	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	38	0.2566944360733032	512	4.017477035522461	38.0000	507.0000	485.0000	191.0000	278.0000	912.0000	512.0000	888.0000	503.0000	235.0000	0.2567	0.1021	0.0539	0.0383	0.0312	0.0244	0.0208	0.0178	0.0177	0.0162	6	0	
1	278	0.2812010943889618	512	3.0062415599823	278.0000	471.0000	235.0000	277.0000	547.0000	789.0000	507.0000	361.0000	38.0000	98.0000	0.2812	0.1826	0.1009	0.0891	0.0521	0.0350	0.0213	0.0206	0.0105	0.0092	24	0	
2	547	0.9439035654067993	512	0.41759711503982544	547.0000	43.0000	874.0000	16.0000	335.0000	164.0000	67.0000	59.0000	809.0000	576.0000	0.9439	0.0097	0.0079	0.0073	0.0023	0.0022	0.0020	0.0017	0.0017	0.0012	34	0	
3	471	0.3371957242488861	512	2.4643163681030273	471.0000	547.0000	235.0000	98.0000	277.0000	789.0000	254.0000	361.0000	278.0000	347.0000	0.3372	0.3327	0.0795	0.0199	0.0163	0.0158	0.0132	0.0101	0.0068	0.0064	38	0	
4	912	0.13572657108306885	512	3.914456605911255	912.0000	767.0000	205.0000	512.0000	658.0000	46.0000	157.0000	342.0000	243.0000	145.0000	0.1357	0.1198	0.0617	0.0594	0.0493	0.0445	0.0431	0.0369	0.0256	0.0209	3	0	
5	157	0.1834092140197754	512	4.437314033508301	157.0000	191.0000	512.0000	38.0000	186.0000	483.0000	617.0000	71.0000	832.0000	912.0000	0.1834	0.0846	0.0404	0.0389	0.0329	0.0225	0.0216	0.0209	0.0199	0.0194	2	0	
6	98	0.08329064399003983	512	4.63908576965332	98.0000	252.0000	278.0000	335.0000	471.0000	277.0000	547.0000	832.0000	658.0000	512.0000	0.0833	0.0772	0.0572	0.0494	0.0369	0.0319	0.0316	0.0316	0.0314	0.0261	9	0	
7	38	0.16312792897224426	512	5.030575752258301	38.0000	485.0000	235.0000	512.0000	547.0000	507.0000	888.0000	278.0000	626.0000	285.0000	0.1631	0.0524	0.0285	0.0245	0.0202	0.0202	0.0170	0.0165	0.0142	0.0119	3	0	
8	809	0.18317443132400513	512	3.3937413692474365	809.0000	335.0000	651.0000	547.0000	658.0000	923.0000	319.0000	347.0000	277.0000	331.0000	0.1832	0.1397	0.1328	0.0834	0.0663	0.0435	0.0211	0.0207	0.0156	0.0115	66	0	
9	157	0.3380187451839447	512	3.5388007164001465	157.0000	512.0000	282.0000	38.0000	658.0000	560.0000	340.0000	817.0000	335.0000	617.0000	0.3380	0.0936	0.0496	0.0487	0.0440	0.0355	0.0206	0.0201	0.0196	0.0152	1	0	
10	59	0.12676891684532166	512	4.322691440582275	59.0000	45.0000	205.0000	626.0000	547.0000	517.0000	340.0000	51.0000	164.0000	528.0000	0.1268	0.0769	0.0568	0.0503	0.0494	0.0417	0.0348	0.0284	0.0235	0.0197	26	0	
11	38	0.2967260181903839	512	4.079733848571777	38.0000	912.0000	512.0000	243.0000	141.0000	205.0000	817.0000	169.0000	98.0000	485.0000	0.2967	0.0597	0.0593	0.0354	0.0262	0.0214	0.0186	0.0178	0.0164	0.0136	2	0	
12	71	0.08861646801233292	512	4.928499221801758	71.0000	186.0000	191.0000	347.0000	98.0000	252.0000	511.0000	483.0000	335.0000	141.0000	0.0886	0.0627	0.0454	0.0341	0.0302	0.0220	0.0218	0.0207	0.0198	0.0188	40	0	
13	626	0.10696790367364883	512	4.027231216430664	626.0000	278.0000	277.0000	141.0000	232.0000	507.0000	771.0000	485.0000	279.0000	38.0000	0.1070	0.1065	0.0972	0.0920	0.0506	0.0471	0.0373	0.0279	0.0249	0.0198	25	0	
14	912	0.08852258324623108	512	4.439757347106934	912.0000	767.0000	715.0000	512.0000	359.0000	156.0000	658.0000	38.0000	889.0000	258.0000	0.0885	0.0834	0.0583	0.0429	0.0358	0.0328	0.0296	0.0281	0.0263	0.0253	3	0	
15	507	0.17983728647232056	512	3.95591402053833	507.0000	38.0000	278.0000	141.0000	277.0000	888.0000	205.0000	98.0000	485.0000	235.0000	0.1798	0.1263	0.1037	0.0519	0.0398	0.0295	0.0254	0.0193	0.0161	0.0153	20	0	
