	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	521	0.1574515849351883	513	4.777191162109375	521.0000	381.0000	744.0000	859.0000	513.0000	282.0000	93.0000	58.0000	100.0000	0.0000	0.1575	0.0595	0.0544	0.0401	0.0392	0.0267	0.0264	0.0140	0.0117	0.0109	4	0	
1	513	0.27031561732292175	513	3.0591249465942383	513.0000	584.0000	357.0000	861.0000	645.0000	844.0000	683.0000	93.0000	222.0000	534.0000	0.2703	0.2448	0.1070	0.0507	0.0240	0.0178	0.0168	0.0157	0.0149	0.0130	0	0	
2	285	0.09841126948595047	513	4.688759803771973	285.0000	282.0000	867.0000	893.0000	719.0000	703.0000	320.0000	543.0000	544.0000	347.0000	0.0984	0.0488	0.0419	0.0319	0.0308	0.0298	0.0283	0.0276	0.0252	0.0248	12	1	
3	357	0.7069663405418396	513	1.491453766822815	357.0000	584.0000	513.0000	861.0000	347.0000	683.0000	93.0000	231.0000	222.0000	301.0000	0.7070	0.1073	0.0323	0.0193	0.0164	0.0161	0.0111	0.0077	0.0065	0.0051	2	1	
4	282	0.196406289935112	513	3.6117372512817383	282.0000	513.0000	787.0000	347.0000	647.0000	543.0000	483.0000	893.0000	867.0000	824.0000	0.1964	0.1228	0.0723	0.0687	0.0620	0.0441	0.0261	0.0255	0.0237	0.0235	1	2	
5	787	0.2880508601665497	513	3.2207796573638916	787.0000	515.0000	513.0000	626.0000	941.0000	779.0000	96.0000	832.0000	924.0000	231.0000	0.2881	0.1212	0.0936	0.0839	0.0401	0.0286	0.0207	0.0181	0.0165	0.0132	2	2	
6	513	0.14797599613666534	513	3.5750815868377686	513.0000	521.0000	900.0000	584.0000	766.0000	523.0000	867.0000	131.0000	320.0000	532.0000	0.1480	0.1001	0.0856	0.0586	0.0552	0.0497	0.0477	0.0377	0.0342	0.0301	0	3	
7	513	0.36368051171302795	513	2.5063610076904297	513.0000	584.0000	900.0000	941.0000	347.0000	357.0000	222.0000	627.0000	727.0000	546.0000	0.3637	0.2285	0.1152	0.0354	0.0165	0.0150	0.0144	0.0139	0.0138	0.0124	0	3	
8	703	0.19319461286067963	513	3.614759683609009	703.0000	285.0000	544.0000	57.0000	483.0000	618.0000	647.0000	452.0000	787.0000	719.0000	0.1932	0.1390	0.0740	0.0508	0.0433	0.0345	0.0334	0.0265	0.0231	0.0200	34	4	
9	362	0.16006946563720703	513	3.784846305847168	362.0000	584.0000	513.0000	844.0000	357.0000	531.0000	573.0000	532.0000	528.0000	546.0000	0.1601	0.1540	0.1297	0.0545	0.0263	0.0214	0.0181	0.0180	0.0179	0.0155	2	4	
