	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	423	0.6875265836715698	535	1.0172781944274902	423.0000	535.0000	216.0000	262.0000	408.0000	533.0000	501.0000	762.0000	855.0000	786.0000	0.6875	0.2175	0.0622	0.0052	0.0019	0.0018	0.0016	0.0015	0.0015	0.0012	1	0	
1	423	0.6248325109481812	535	1.7378610372543335	423.0000	216.0000	535.0000	408.0000	80.0000	262.0000	657.0000	25.0000	2.0000	501.0000	0.6248	0.1069	0.0885	0.0415	0.0171	0.0137	0.0086	0.0079	0.0052	0.0050	2	0	
2	535	0.881696879863739	535	0.42593204975128174	535.0000	423.0000	762.0000	216.0000	408.0000	262.0000	761.0000	533.0000	701.0000	501.0000	0.8817	0.1091	0.0025	0.0009	0.0009	0.0008	0.0005	0.0004	0.0004	0.0003	0	0	
3	423	0.8603417277336121	535	0.46596667170524597	423.0000	216.0000	246.0000	717.0000	762.0000	535.0000	262.0000	533.0000	501.0000	47.0000	0.8603	0.1319	0.0009	0.0006	0.0005	0.0005	0.0004	0.0004	0.0004	0.0004	5	0	
4	216	0.7965130805969238	535	0.5694457292556763	216.0000	423.0000	501.0000	262.0000	535.0000	408.0000	790.0000	25.0000	709.0000	533.0000	0.7965	0.1937	0.0023	0.0019	0.0011	0.0009	0.0007	0.0006	0.0004	0.0004	4	0	
5	91	0.5441087484359741	535	1.904781699180603	91.0000	594.0000	879.0000	122.0000	734.0000	484.0000	862.0000	226.0000	917.0000	423.0000	0.5441	0.1657	0.0922	0.0450	0.0226	0.0109	0.0102	0.0091	0.0057	0.0049	70	0	
6	423	0.8458690643310547	535	0.6454552412033081	423.0000	535.0000	762.0000	262.0000	408.0000	246.0000	501.0000	701.0000	533.0000	657.0000	0.8459	0.1044	0.0250	0.0036	0.0035	0.0023	0.0021	0.0018	0.0014	0.0011	1	0	
7	96	0.13051968812942505	535	4.136516094207764	96.0000	54.0000	3.0000	597.0000	74.0000	122.0000	594.0000	423.0000	235.0000	575.0000	0.1305	0.1288	0.0635	0.0549	0.0330	0.0316	0.0296	0.0278	0.0252	0.0202	23	0	
8	423	0.7776756286621094	535	1.202627420425415	423.0000	262.0000	408.0000	216.0000	535.0000	501.0000	533.0000	709.0000	762.0000	25.0000	0.7777	0.0342	0.0269	0.0259	0.0225	0.0197	0.0161	0.0142	0.0095	0.0094	4	0	
9	423	0.9569172263145447	535	0.24846255779266357	423.0000	216.0000	454.0000	535.0000	800.0000	262.0000	790.0000	709.0000	501.0000	762.0000	0.9569	0.0293	0.0025	0.0021	0.0018	0.0017	0.0006	0.0004	0.0003	0.0003	3	0	
10	423	0.998573899269104	535	0.014706844463944435	423.0000	216.0000	717.0000	533.0000	535.0000	80.0000	390.0000	262.0000	246.0000	637.0000	0.9986	0.0003	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	4	0	
11	423	0.9467833042144775	535	0.3407142758369446	423.0000	535.0000	80.0000	262.0000	216.0000	657.0000	408.0000	701.0000	501.0000	25.0000	0.9468	0.0174	0.0073	0.0069	0.0065	0.0025	0.0024	0.0010	0.0010	0.0008	1	0	
12	657	0.8309116363525391	535	0.7634888887405396	657.0000	735.0000	423.0000	825.0000	246.0000	574.0000	641.0000	480.0000	332.0000	216.0000	0.8309	0.1019	0.0283	0.0093	0.0061	0.0027	0.0013	0.0010	0.0009	0.0007	31	0	
