	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	285	0.08155041933059692	541	5.270671844482422	285.0000	347.0000	832.0000	942.0000	845.0000	703.0000	844.0000	37.0000	575.0000	282.0000	0.0816	0.0745	0.0336	0.0283	0.0272	0.0260	0.0259	0.0174	0.0172	0.0143	56	0	
1	98	0.2521008551120758	541	3.3453187942504883	98.0000	541.0000	832.0000	692.0000	395.0000	347.0000	672.0000	785.0000	646.0000	909.0000	0.2521	0.0757	0.0730	0.0709	0.0644	0.0578	0.0431	0.0373	0.0192	0.0176	1	0	
2	282	0.522614598274231	541	2.6237220764160156	282.0000	844.0000	217.0000	854.0000	239.0000	626.0000	320.0000	582.0000	353.0000	909.0000	0.5226	0.1506	0.0292	0.0203	0.0143	0.0091	0.0088	0.0074	0.0068	0.0066	230	0	
3	282	0.5021084547042847	541	2.5431697368621826	282.0000	37.0000	347.0000	471.0000	320.0000	909.0000	361.0000	583.0000	789.0000	873.0000	0.5021	0.2033	0.0213	0.0130	0.0114	0.0110	0.0080	0.0070	0.0066	0.0062	50	0	
4	583	0.10624607652425766	541	3.7630810737609863	583.0000	833.0000	499.0000	37.0000	347.0000	541.0000	692.0000	395.0000	690.0000	785.0000	0.1062	0.0951	0.0896	0.0742	0.0689	0.0512	0.0372	0.0316	0.0252	0.0248	5	0	
5	575	0.1566234678030014	541	3.975425958633423	575.0000	832.0000	285.0000	583.0000	584.0000	347.0000	844.0000	672.0000	617.0000	483.0000	0.1566	0.1553	0.1257	0.0473	0.0361	0.0315	0.0285	0.0243	0.0178	0.0116	53	0	
6	575	0.18988172709941864	541	4.5784454345703125	575.0000	172.0000	598.0000	833.0000	37.0000	593.0000	282.0000	672.0000	621.0000	375.0000	0.1899	0.0597	0.0545	0.0296	0.0253	0.0212	0.0209	0.0188	0.0180	0.0167	38	0	
7	37	0.17104537785053253	541	4.289120674133301	37.0000	583.0000	347.0000	282.0000	471.0000	361.0000	692.0000	320.0000	909.0000	899.0000	0.1710	0.1124	0.0806	0.0623	0.0225	0.0220	0.0218	0.0179	0.0152	0.0150	16	0	
8	282	0.7356036901473999	541	1.50880765914917	282.0000	37.0000	361.0000	873.0000	744.0000	844.0000	523.0000	513.0000	217.0000	528.0000	0.7356	0.0914	0.0166	0.0152	0.0128	0.0083	0.0054	0.0051	0.0051	0.0047	154	0	
9	844	0.23193781077861786	541	4.143350124359131	844.0000	282.0000	4.0000	893.0000	626.0000	625.0000	575.0000	217.0000	297.0000	582.0000	0.2319	0.0816	0.0626	0.0389	0.0341	0.0244	0.0220	0.0208	0.0201	0.0178	802	0	
10	900	0.06490781903266907	541	5.317556858062744	900.0000	844.0000	672.0000	34.0000	716.0000	837.0000	797.0000	285.0000	681.0000	521.0000	0.0649	0.0554	0.0346	0.0279	0.0231	0.0181	0.0176	0.0156	0.0154	0.0146	136	0	
11	347	0.06336256116628647	541	5.290071487426758	347.0000	833.0000	575.0000	584.0000	583.0000	716.0000	900.0000	844.0000	672.0000	37.0000	0.0634	0.0521	0.0301	0.0294	0.0231	0.0226	0.0221	0.0188	0.0176	0.0165	20	0	
12	672	0.14670409262180328	541	4.242030620574951	672.0000	575.0000	583.0000	840.0000	584.0000	347.0000	900.0000	301.0000	716.0000	521.0000	0.1467	0.1228	0.0695	0.0599	0.0538	0.0395	0.0313	0.0173	0.0156	0.0131	11	0	
13	584	0.059117309749126434	541	5.286280632019043	584.0000	142.0000	575.0000	301.0000	644.0000	98.0000	802.0000	347.0000	468.0000	942.0000	0.0591	0.0476	0.0330	0.0314	0.0302	0.0240	0.0209	0.0199	0.0187	0.0183	11	1	
14	541	0.8480400443077087	541	0.9818423390388489	541.0000	98.0000	646.0000	948.0000	681.0000	672.0000	670.0000	510.0000	82.0000	690.0000	0.8480	0.0211	0.0162	0.0152	0.0145	0.0065	0.0063	0.0061	0.0048	0.0044	0	1	
15	98	0.10724490135908127	541	4.645174026489258	98.0000	710.0000	541.0000	348.0000	626.0000	690.0000	440.0000	672.0000	282.0000	285.0000	0.1072	0.0933	0.0664	0.0605	0.0439	0.0329	0.0169	0.0166	0.0146	0.0141	2	1	
16	541	0.9944362640380859	541	0.04792172089219093	541.0000	98.0000	547.0000	690.0000	692.0000	235.0000	361.0000	478.0000	672.0000	82.0000	0.9944	0.0016	0.0013	0.0010	0.0004	0.0002	0.0001	0.0001	0.0001	0.0001	0	1	
