	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	46	0.2645811140537262	542	3.6039841175079346	46.0000	542.0000	144.0000	243.0000	157.0000	2.0000	817.0000	148.0000	356.0000	140.0000	0.2646	0.0978	0.0658	0.0618	0.0508	0.0403	0.0353	0.0278	0.0247	0.0245	1	0	
1	542	0.17374509572982788	542	4.190853118896484	542.0000	148.0000	817.0000	144.0000	143.0000	571.0000	157.0000	140.0000	151.0000	46.0000	0.1737	0.0880	0.0775	0.0712	0.0583	0.0257	0.0246	0.0236	0.0212	0.0211	0	0	
2	542	0.5618833899497986	542	2.1496686935424805	542.0000	148.0000	144.0000	143.0000	157.0000	767.0000	356.0000	817.0000	243.0000	2.0000	0.5619	0.1099	0.0598	0.0392	0.0258	0.0223	0.0170	0.0144	0.0143	0.0123	0	0	
3	542	0.46389490365982056	542	2.744056463241577	542.0000	144.0000	157.0000	714.0000	893.0000	528.0000	140.0000	143.0000	817.0000	315.0000	0.4639	0.1527	0.0305	0.0265	0.0232	0.0183	0.0176	0.0171	0.0166	0.0155	0	1	
4	148	0.3041331171989441	542	2.1019656658172607	148.0000	144.0000	542.0000	143.0000	140.0000	714.0000	657.0000	243.0000	817.0000	767.0000	0.3041	0.2620	0.2557	0.0242	0.0235	0.0177	0.0126	0.0077	0.0048	0.0035	2	1	
5	542	0.8586235642433167	542	0.5688959360122681	542.0000	148.0000	144.0000	143.0000	140.0000	714.0000	767.0000	817.0000	243.0000	157.0000	0.8586	0.0925	0.0282	0.0080	0.0068	0.0024	0.0012	0.0004	0.0003	0.0002	0	1	
6	714	0.15998369455337524	542	4.2239227294921875	714.0000	817.0000	912.0000	188.0000	243.0000	542.0000	144.0000	919.0000	570.0000	917.0000	0.1600	0.0902	0.0744	0.0483	0.0452	0.0416	0.0246	0.0212	0.0200	0.0193	5	2	
7	144	0.2586425840854645	542	3.0359463691711426	144.0000	714.0000	542.0000	667.0000	148.0000	243.0000	817.0000	767.0000	570.0000	616.0000	0.2586	0.2210	0.0953	0.0439	0.0333	0.0300	0.0297	0.0283	0.0270	0.0241	2	2	
8	714	0.3708721697330475	542	2.605374574661255	714.0000	542.0000	767.0000	144.0000	356.0000	817.0000	243.0000	148.0000	870.0000	188.0000	0.3709	0.1096	0.0725	0.0680	0.0570	0.0431	0.0399	0.0342	0.0208	0.0186	1	2	
9	243	0.5739650726318359	542	1.8934835195541382	243.0000	140.0000	144.0000	542.0000	148.0000	157.0000	714.0000	817.0000	145.0000	156.0000	0.5740	0.1135	0.0750	0.0375	0.0336	0.0324	0.0260	0.0156	0.0078	0.0060	3	3	
10	144	0.5771951079368591	542	1.343906283378601	144.0000	148.0000	243.0000	817.0000	542.0000	140.0000	143.0000	156.0000	714.0000	205.0000	0.5772	0.2806	0.0543	0.0198	0.0114	0.0111	0.0040	0.0039	0.0036	0.0027	4	3	
11	148	0.6742099523544312	542	1.2581537961959839	148.0000	144.0000	243.0000	542.0000	140.0000	156.0000	714.0000	817.0000	870.0000	767.0000	0.6742	0.1264	0.1000	0.0257	0.0153	0.0111	0.0064	0.0056	0.0053	0.0043	3	3	
12	157	0.30605366826057434	542	2.559361696243286	157.0000	144.0000	140.0000	542.0000	344.0000	917.0000	148.0000	714.0000	933.0000	243.0000	0.3061	0.1887	0.1382	0.0671	0.0464	0.0432	0.0365	0.0262	0.0108	0.0105	3	4	
13	144	0.6699751019477844	542	1.6375024318695068	144.0000	148.0000	542.0000	344.0000	157.0000	817.0000	205.0000	140.0000	856.0000	933.0000	0.6700	0.1287	0.0454	0.0305	0.0098	0.0095	0.0043	0.0042	0.0039	0.0036	2	4	
14	144	0.3066629469394684	542	2.0231354236602783	144.0000	542.0000	817.0000	148.0000	157.0000	344.0000	214.0000	2.0000	243.0000	140.0000	0.3067	0.2536	0.1820	0.1312	0.0298	0.0104	0.0099	0.0052	0.0050	0.0049	1	4	
15	157	0.3541843891143799	542	2.442667007446289	157.0000	542.0000	714.0000	243.0000	817.0000	144.0000	148.0000	214.0000	140.0000	342.0000	0.3542	0.1551	0.1210	0.0733	0.0535	0.0527	0.0429	0.0158	0.0110	0.0108	1	5	
16	144	0.4359853267669678	542	2.937689781188965	144.0000	148.0000	243.0000	542.0000	817.0000	459.0000	142.0000	143.0000	714.0000	856.0000	0.4360	0.0716	0.0582	0.0538	0.0455	0.0255	0.0235	0.0182	0.0155	0.0140	3	5	
17	542	0.5367457270622253	542	1.9000029563903809	542.0000	148.0000	144.0000	714.0000	157.0000	817.0000	243.0000	143.0000	2.0000	156.0000	0.5367	0.1280	0.0882	0.0402	0.0369	0.0268	0.0257	0.0228	0.0174	0.0111	0	5	
