	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	844	0.06830813735723495	544	5.273248672485352	844.0000	552.0000	719.0000	582.0000	551.0000	721.0000	364.0000	166.0000	492.0000	208.0000	0.0683	0.0436	0.0348	0.0274	0.0243	0.0202	0.0186	0.0183	0.0180	0.0171	31	0	
1	96	0.1276521384716034	544	4.478730201721191	96.0000	844.0000	282.0000	575.0000	285.0000	364.0000	37.0000	38.0000	552.0000	241.0000	0.1277	0.1155	0.1070	0.0374	0.0326	0.0223	0.0175	0.0146	0.0144	0.0134	51	0	
2	285	0.09596128016710281	544	5.150813102722168	285.0000	582.0000	721.0000	844.0000	551.0000	797.0000	575.0000	811.0000	440.0000	358.0000	0.0960	0.0655	0.0415	0.0323	0.0297	0.0238	0.0186	0.0174	0.0173	0.0161	12	0	
3	364	0.5191627144813538	544	2.7086470127105713	364.0000	166.0000	191.0000	912.0000	358.0000	321.0000	32.0000	255.0000	489.0000	582.0000	0.5192	0.1091	0.0333	0.0321	0.0228	0.0136	0.0128	0.0123	0.0098	0.0097	103	0	
4	364	0.6334264278411865	544	2.655534267425537	364.0000	912.0000	769.0000	191.0000	96.0000	166.0000	282.0000	546.0000	605.0000	893.0000	0.6334	0.0240	0.0195	0.0189	0.0160	0.0071	0.0064	0.0063	0.0061	0.0057	40	0	
5	626	0.13816364109516144	544	2.9471049308776855	626.0000	528.0000	757.0000	297.0000	844.0000	453.0000	942.0000	552.0000	919.0000	264.0000	0.1382	0.1373	0.1058	0.1019	0.0891	0.0577	0.0525	0.0488	0.0462	0.0432	52	0	
6	547	0.2490823119878769	544	3.2751145362854004	547.0000	362.0000	551.0000	205.0000	919.0000	626.0000	153.0000	844.0000	407.0000	421.0000	0.2491	0.1688	0.1490	0.0317	0.0293	0.0204	0.0164	0.0164	0.0128	0.0124	51	0	
7	285	0.2193128615617752	544	3.9667811393737793	285.0000	551.0000	719.0000	364.0000	166.0000	191.0000	358.0000	483.0000	811.0000	867.0000	0.2193	0.0882	0.0688	0.0621	0.0396	0.0380	0.0209	0.0199	0.0161	0.0147	24	0	
8	844	0.21716409921646118	544	4.002507209777832	844.0000	285.0000	282.0000	719.0000	364.0000	162.0000	673.0000	552.0000	867.0000	492.0000	0.2172	0.1241	0.0868	0.0481	0.0209	0.0154	0.0150	0.0146	0.0137	0.0137	41	0	
9	362	0.7003090381622314	544	2.2643237113952637	362.0000	421.0000	407.0000	282.0000	131.0000	153.0000	551.0000	583.0000	924.0000	182.0000	0.7003	0.0223	0.0086	0.0065	0.0059	0.0057	0.0052	0.0052	0.0048	0.0047	22	0	
10	364	0.09457315504550934	544	4.9437665939331055	364.0000	285.0000	191.0000	551.0000	844.0000	811.0000	719.0000	544.0000	166.0000	96.0000	0.0946	0.0767	0.0653	0.0416	0.0355	0.0279	0.0203	0.0183	0.0174	0.0153	7	0	
11	364	0.397535115480423	544	3.923332452774048	364.0000	96.0000	191.0000	166.0000	546.0000	912.0000	492.0000	321.0000	55.0000	893.0000	0.3975	0.0402	0.0348	0.0289	0.0225	0.0219	0.0127	0.0111	0.0098	0.0097	46	0	
12	285	0.5989412069320679	544	2.3979580402374268	285.0000	719.0000	703.0000	844.0000	208.0000	55.0000	811.0000	358.0000	552.0000	867.0000	0.5989	0.1129	0.0196	0.0118	0.0110	0.0102	0.0087	0.0074	0.0071	0.0071	12	0	
13	191	0.12573862075805664	544	4.936186790466309	191.0000	364.0000	166.0000	285.0000	551.0000	96.0000	358.0000	55.0000	867.0000	719.0000	0.1257	0.0517	0.0426	0.0358	0.0327	0.0326	0.0312	0.0293	0.0201	0.0177	29	0	
14	347	0.623826801776886	544	1.7542977333068848	347.0000	131.0000	282.0000	205.0000	298.0000	657.0000	811.0000	45.0000	874.0000	495.0000	0.6238	0.1833	0.0458	0.0129	0.0070	0.0052	0.0051	0.0048	0.0046	0.0039	25	0	
15	282	0.24701404571533203	544	3.812119960784912	282.0000	844.0000	96.0000	575.0000	37.0000	824.0000	534.0000	861.0000	347.0000	629.0000	0.2470	0.0956	0.0781	0.0683	0.0679	0.0241	0.0222	0.0168	0.0127	0.0114	69	0	
16	364	0.30883070826530457	544	3.938359260559082	364.0000	191.0000	285.0000	96.0000	719.0000	844.0000	811.0000	166.0000	55.0000	867.0000	0.3088	0.1131	0.0325	0.0287	0.0252	0.0206	0.0188	0.0166	0.0128	0.0117	11	0	
17	551	0.14367850124835968	544	3.9899511337280273	551.0000	166.0000	243.0000	483.0000	217.0000	162.0000	721.0000	31.0000	582.0000	358.0000	0.1437	0.1201	0.1181	0.0525	0.0262	0.0193	0.0192	0.0192	0.0190	0.0174	79	1	
18	551	0.08379088342189789	544	5.168822288513184	551.0000	893.0000	521.0000	285.0000	844.0000	797.0000	364.0000	673.0000	899.0000	282.0000	0.0838	0.0662	0.0382	0.0362	0.0332	0.0326	0.0209	0.0190	0.0189	0.0186	146	1	
19	582	0.05345020070672035	544	5.08622932434082	582.0000	243.0000	551.0000	936.0000	34.0000	776.0000	721.0000	643.0000	138.0000	844.0000	0.0535	0.0482	0.0457	0.0314	0.0299	0.0258	0.0254	0.0228	0.0226	0.0220	31	1	
20	166	0.4449177384376526	544	2.312779426574707	166.0000	243.0000	358.0000	191.0000	483.0000	936.0000	171.0000	161.0000	551.0000	138.0000	0.4449	0.1739	0.0927	0.0793	0.0298	0.0141	0.0135	0.0086	0.0079	0.0077	129	1	
21	191	0.2562534511089325	544	4.744457244873047	191.0000	228.0000	364.0000	769.0000	4.0000	321.0000	912.0000	320.0000	674.0000	476.0000	0.2563	0.0409	0.0375	0.0233	0.0227	0.0176	0.0163	0.0156	0.0143	0.0125	186	1	
22	942	0.32697823643684387	544	2.672776222229004	942.0000	297.0000	370.0000	757.0000	626.0000	264.0000	703.0000	628.0000	453.0000	472.0000	0.3270	0.2444	0.0537	0.0431	0.0290	0.0262	0.0256	0.0184	0.0182	0.0154	43	1	
23	102	0.6955132484436035	544	1.5710906982421875	102.0000	551.0000	362.0000	495.0000	205.0000	705.0000	893.0000	162.0000	703.0000	313.0000	0.6955	0.0587	0.0548	0.0382	0.0232	0.0217	0.0167	0.0103	0.0063	0.0047	15	1	
24	551	0.24175980687141418	544	3.1160788536071777	551.0000	483.0000	166.0000	358.0000	797.0000	285.0000	162.0000	169.0000	925.0000	191.0000	0.2418	0.2381	0.0754	0.0411	0.0358	0.0349	0.0248	0.0214	0.0191	0.0124	53	1	
25	703	0.3121243417263031	544	3.3393657207489014	703.0000	285.0000	673.0000	61.0000	131.0000	867.0000	716.0000	362.0000	551.0000	925.0000	0.3121	0.0875	0.0671	0.0590	0.0590	0.0357	0.0216	0.0204	0.0190	0.0169	46	1	
26	102	0.23952412605285645	544	3.103865385055542	102.0000	282.0000	362.0000	495.0000	893.0000	857.0000	544.0000	703.0000	285.0000	551.0000	0.2395	0.2328	0.0689	0.0606	0.0456	0.0365	0.0245	0.0208	0.0196	0.0171	6	1	
27	191	0.33178994059562683	544	3.77105712890625	191.0000	285.0000	551.0000	483.0000	364.0000	521.0000	797.0000	476.0000	358.0000	674.0000	0.3318	0.1000	0.0491	0.0324	0.0229	0.0227	0.0197	0.0186	0.0180	0.0107	58	1	
28	191	0.37796521186828613	544	3.8921728134155273	191.0000	674.0000	228.0000	476.0000	4.0000	320.0000	364.0000	166.0000	285.0000	321.0000	0.3780	0.0450	0.0330	0.0278	0.0244	0.0190	0.0182	0.0152	0.0136	0.0124	90	1	
29	703	0.45047467947006226	544	3.0352320671081543	703.0000	131.0000	285.0000	936.0000	61.0000	867.0000	208.0000	719.0000	673.0000	551.0000	0.4505	0.0525	0.0511	0.0452	0.0239	0.0217	0.0175	0.0135	0.0134	0.0133	16	1	
30	191	0.739167332649231	544	1.6224205493927002	191.0000	551.0000	285.0000	483.0000	358.0000	936.0000	166.0000	476.0000	797.0000	673.0000	0.7392	0.0403	0.0385	0.0225	0.0097	0.0089	0.0076	0.0066	0.0065	0.0059	57	1	
