	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	583	0.3751835525035858	546	2.7157156467437744	583.0000	357.0000	297.0000	104.0000	941.0000	301.0000	350.0000	546.0000	4.0000	412.0000	0.3752	0.1823	0.0941	0.0420	0.0317	0.0231	0.0223	0.0177	0.0143	0.0101	7	0	
1	941	0.2451876997947693	546	3.4186787605285645	941.0000	357.0000	297.0000	546.0000	644.0000	737.0000	104.0000	534.0000	510.0000	629.0000	0.2452	0.1380	0.0719	0.0674	0.0663	0.0647	0.0219	0.0137	0.0134	0.0113	3	0	
2	347	0.20574817061424255	546	4.175281047821045	347.0000	381.0000	546.0000	282.0000	941.0000	297.0000	737.0000	876.0000	93.0000	644.0000	0.2057	0.0979	0.0467	0.0450	0.0374	0.0330	0.0281	0.0250	0.0247	0.0236	2	0	
3	350	0.35202211141586304	546	2.9081690311431885	350.0000	4.0000	357.0000	297.0000	510.0000	583.0000	941.0000	917.0000	104.0000	884.0000	0.3520	0.1095	0.0994	0.0721	0.0639	0.0439	0.0205	0.0162	0.0127	0.0120	13	0	
4	357	0.5577266216278076	546	2.2489607334136963	357.0000	941.0000	584.0000	546.0000	645.0000	301.0000	534.0000	629.0000	297.0000	510.0000	0.5577	0.0976	0.0522	0.0356	0.0308	0.0203	0.0140	0.0132	0.0115	0.0107	3	0	
5	941	0.5658686757087708	546	1.6593005657196045	941.0000	546.0000	357.0000	297.0000	737.0000	644.0000	942.0000	534.0000	629.0000	627.0000	0.5659	0.2058	0.0662	0.0335	0.0307	0.0126	0.0116	0.0086	0.0064	0.0037	1	0	
6	626	0.13683700561523438	546	4.284817695617676	626.0000	941.0000	546.0000	282.0000	737.0000	297.0000	347.0000	942.0000	627.0000	515.0000	0.1368	0.0765	0.0716	0.0636	0.0605	0.0472	0.0367	0.0330	0.0240	0.0202	2	0	
7	941	0.29770755767822266	546	3.0980472564697266	941.0000	546.0000	737.0000	297.0000	942.0000	644.0000	534.0000	635.0000	104.0000	301.0000	0.2977	0.1287	0.0956	0.0945	0.0464	0.0377	0.0329	0.0290	0.0157	0.0127	1	0	
8	941	0.5443150997161865	546	2.2769789695739746	941.0000	357.0000	297.0000	546.0000	737.0000	644.0000	282.0000	534.0000	203.0000	104.0000	0.5443	0.1001	0.0609	0.0460	0.0409	0.0272	0.0092	0.0068	0.0064	0.0063	3	0	
9	357	0.19852493703365326	546	3.69670033454895	357.0000	884.0000	861.0000	584.0000	646.0000	301.0000	93.0000	692.0000	470.0000	679.0000	0.1985	0.1346	0.0683	0.0455	0.0364	0.0293	0.0250	0.0226	0.0191	0.0173	58	0	
10	297	0.07316271960735321	546	4.981872081756592	297.0000	941.0000	942.0000	644.0000	737.0000	104.0000	635.0000	627.0000	687.0000	546.0000	0.0732	0.0626	0.0542	0.0542	0.0350	0.0291	0.0228	0.0202	0.0197	0.0179	9	0	
11	104	0.2565111517906189	546	3.9398305416107178	104.0000	762.0000	646.0000	884.0000	513.0000	347.0000	93.0000	832.0000	861.0000	683.0000	0.2565	0.0892	0.0461	0.0397	0.0267	0.0254	0.0234	0.0221	0.0199	0.0195	32	1	
12	546	0.251598596572876	546	3.217355728149414	546.0000	401.0000	627.0000	534.0000	65.0000	942.0000	941.0000	431.0000	301.0000	297.0000	0.2516	0.1214	0.0890	0.0817	0.0520	0.0486	0.0453	0.0226	0.0156	0.0141	0	1	
13	96	0.6432798504829407	546	2.0264315605163574	96.0000	411.0000	346.0000	546.0000	909.0000	38.0000	924.0000	347.0000	737.0000	483.0000	0.6433	0.0409	0.0350	0.0243	0.0217	0.0175	0.0175	0.0165	0.0138	0.0124	3	1	
14	762	0.13009808957576752	546	4.178732872009277	762.0000	350.0000	917.0000	584.0000	61.0000	646.0000	47.0000	645.0000	884.0000	104.0000	0.1301	0.0917	0.0472	0.0444	0.0374	0.0357	0.0338	0.0307	0.0281	0.0262	26	1	
15	787	0.28041744232177734	546	2.867713451385498	787.0000	122.0000	353.0000	347.0000	909.0000	54.0000	96.0000	357.0000	38.0000	818.0000	0.2804	0.2693	0.0570	0.0425	0.0332	0.0253	0.0220	0.0193	0.0147	0.0134	51	1	
16	65	0.37892910838127136	546	2.3020663261413574	65.0000	627.0000	546.0000	942.0000	941.0000	401.0000	534.0000	301.0000	720.0000	525.0000	0.3789	0.1350	0.1326	0.0978	0.0516	0.0356	0.0309	0.0159	0.0133	0.0104	2	1	
17	96	0.6193880438804626	546	2.1655843257904053	96.0000	546.0000	38.0000	909.0000	346.0000	737.0000	411.0000	483.0000	627.0000	924.0000	0.6194	0.0851	0.0208	0.0188	0.0177	0.0143	0.0136	0.0130	0.0099	0.0096	1	1	
18	546	0.3284534513950348	546	3.2941207885742188	546.0000	534.0000	737.0000	513.0000	941.0000	301.0000	644.0000	942.0000	104.0000	468.0000	0.3285	0.1512	0.0569	0.0379	0.0271	0.0259	0.0221	0.0195	0.0192	0.0169	0	1	
19	787	0.18124109506607056	546	3.4070019721984863	787.0000	941.0000	297.0000	626.0000	282.0000	6.0000	347.0000	627.0000	546.0000	483.0000	0.1812	0.1408	0.1054	0.0857	0.0630	0.0489	0.0364	0.0280	0.0257	0.0241	8	1	
20	96	0.4371733069419861	546	1.945785641670227	96.0000	909.0000	54.0000	787.0000	499.0000	133.0000	122.0000	114.0000	346.0000	353.0000	0.4372	0.2120	0.1235	0.0383	0.0337	0.0279	0.0271	0.0239	0.0084	0.0082	136	1	
21	909	0.39791274070739746	546	1.6705291271209717	909.0000	38.0000	96.0000	54.0000	737.0000	104.0000	899.0000	870.0000	617.0000	853.0000	0.3979	0.2733	0.2226	0.0347	0.0051	0.0051	0.0046	0.0045	0.0039	0.0037	10	1	
22	645	0.2115243673324585	546	3.2509477138519287	645.0000	646.0000	662.0000	347.0000	602.0000	47.0000	222.0000	510.0000	431.0000	426.0000	0.2115	0.1232	0.1046	0.0694	0.0560	0.0393	0.0389	0.0379	0.0324	0.0270	30	2	
23	534	0.6552523374557495	546	1.3226431608200073	534.0000	546.0000	942.0000	737.0000	431.0000	297.0000	525.0000	941.0000	222.0000	532.0000	0.6553	0.1710	0.0779	0.0196	0.0093	0.0076	0.0070	0.0070	0.0035	0.0031	1	2	
24	546	0.6894273161888123	546	1.2245123386383057	546.0000	942.0000	468.0000	627.0000	534.0000	737.0000	297.0000	789.0000	941.0000	439.0000	0.6894	0.1234	0.0697	0.0317	0.0253	0.0184	0.0127	0.0077	0.0070	0.0016	0	2	
25	645	0.2839539647102356	546	2.977365493774414	645.0000	301.0000	917.0000	47.0000	104.0000	646.0000	222.0000	662.0000	347.0000	510.0000	0.2840	0.2035	0.0714	0.0687	0.0354	0.0338	0.0299	0.0298	0.0176	0.0133	33	2	
26	645	0.25699666142463684	546	3.4250600337982178	645.0000	534.0000	431.0000	513.0000	222.0000	900.0000	646.0000	584.0000	861.0000	672.0000	0.2570	0.0793	0.0753	0.0700	0.0449	0.0429	0.0385	0.0383	0.0211	0.0173	20	2	
27	534	0.4236191511154175	546	1.5870559215545654	534.0000	546.0000	942.0000	737.0000	941.0000	297.0000	431.0000	513.0000	401.0000	552.0000	0.4236	0.3362	0.1145	0.0358	0.0204	0.0103	0.0100	0.0079	0.0045	0.0036	1	2	
28	546	0.6440281271934509	546	1.3590625524520874	546.0000	627.0000	942.0000	468.0000	737.0000	297.0000	941.0000	534.0000	789.0000	471.0000	0.6440	0.1250	0.0919	0.0317	0.0300	0.0245	0.0153	0.0107	0.0072	0.0044	0	2	
29	546	0.37652307748794556	546	2.275073289871216	546.0000	534.0000	942.0000	515.0000	301.0000	737.0000	468.0000	645.0000	941.0000	104.0000	0.3765	0.2292	0.1618	0.0289	0.0164	0.0145	0.0144	0.0122	0.0121	0.0110	0	2	
