	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	285	0.29120659828186035	551	3.7960081100463867	285.0000	703.0000	483.0000	673.0000	358.0000	551.0000	544.0000	162.0000	492.0000	844.0000	0.2912	0.0864	0.0596	0.0470	0.0373	0.0238	0.0188	0.0185	0.0156	0.0153	5	0	
1	789	0.18965545296669006	551	4.439512252807617	789.0000	358.0000	162.0000	285.0000	703.0000	141.0000	925.0000	82.0000	755.0000	551.0000	0.1897	0.0752	0.0430	0.0289	0.0265	0.0210	0.0203	0.0185	0.0177	0.0155	9	0	
2	483	0.10456129163503647	551	3.8262293338775635	483.0000	320.0000	547.0000	285.0000	719.0000	440.0000	677.0000	85.0000	867.0000	854.0000	0.1046	0.0905	0.0865	0.0862	0.0559	0.0445	0.0397	0.0312	0.0274	0.0241	33	1	
3	703	0.1717202067375183	551	3.5417327880859375	703.0000	457.0000	551.0000	547.0000	23.0000	208.0000	285.0000	102.0000	716.0000	884.0000	0.1717	0.1046	0.0729	0.0720	0.0594	0.0390	0.0385	0.0356	0.0284	0.0254	2	1	
4	483	0.33020931482315063	551	2.466254711151123	483.0000	551.0000	924.0000	358.0000	787.0000	716.0000	49.0000	285.0000	23.0000	492.0000	0.3302	0.2577	0.1022	0.0428	0.0291	0.0261	0.0184	0.0173	0.0115	0.0099	1	2	
5	507	0.7994458079338074	551	1.3307437896728516	507.0000	358.0000	925.0000	626.0000	205.0000	797.0000	34.0000	551.0000	162.0000	670.0000	0.7994	0.0352	0.0196	0.0093	0.0081	0.0062	0.0054	0.0050	0.0048	0.0046	7	2	
6	440	0.15754228830337524	551	3.0900449752807617	440.0000	716.0000	483.0000	551.0000	925.0000	787.0000	285.0000	719.0000	162.0000	87.0000	0.1575	0.1420	0.0914	0.0814	0.0711	0.0650	0.0492	0.0430	0.0359	0.0327	3	3	
7	34	0.38817447423934937	551	2.2692508697509766	34.0000	551.0000	925.0000	457.0000	162.0000	285.0000	868.0000	87.0000	440.0000	168.0000	0.3882	0.2170	0.0701	0.0559	0.0499	0.0496	0.0218	0.0177	0.0144	0.0133	1	3	
8	483	0.4721199870109558	551	2.374694585800171	483.0000	719.0000	285.0000	540.0000	131.0000	787.0000	925.0000	868.0000	61.0000	55.0000	0.4721	0.0890	0.0844	0.0495	0.0367	0.0252	0.0220	0.0216	0.0169	0.0119	17	4	
9	34	0.2576252222061157	551	3.216820001602173	34.0000	285.0000	49.0000	457.0000	551.0000	643.0000	358.0000	31.0000	710.0000	403.0000	0.2576	0.1364	0.1255	0.0399	0.0352	0.0317	0.0281	0.0223	0.0217	0.0166	4	4	
10	673	0.4513311982154846	551	2.259312629699707	673.0000	552.0000	797.0000	540.0000	719.0000	440.0000	924.0000	61.0000	241.0000	936.0000	0.4513	0.1598	0.0664	0.0430	0.0398	0.0303	0.0300	0.0188	0.0137	0.0114	26	5	
11	169	0.16905367374420166	551	2.7840006351470947	169.0000	358.0000	285.0000	925.0000	34.0000	551.0000	421.0000	673.0000	49.0000	457.0000	0.1691	0.1622	0.1542	0.1257	0.0842	0.0376	0.0307	0.0213	0.0172	0.0166	5	5	
12	787	0.3488941490650177	551	2.6327872276306152	787.0000	797.0000	544.0000	551.0000	540.0000	673.0000	31.0000	483.0000	182.0000	421.0000	0.3489	0.1046	0.1046	0.0606	0.0560	0.0328	0.0244	0.0243	0.0239	0.0223	3	6	
13	551	0.5605222582817078	551	1.5141559839248657	551.0000	285.0000	166.0000	162.0000	31.0000	705.0000	643.0000	421.0000	673.0000	49.0000	0.5605	0.2553	0.0415	0.0270	0.0199	0.0144	0.0088	0.0079	0.0076	0.0072	0	6	
14	483	0.5617853999137878	551	1.924922227859497	483.0000	673.0000	551.0000	285.0000	61.0000	797.0000	31.0000	787.0000	162.0000	540.0000	0.5618	0.0867	0.0640	0.0594	0.0490	0.0275	0.0235	0.0126	0.0126	0.0120	2	7	
15	551	0.27179989218711853	551	3.28989577293396	551.0000	358.0000	34.0000	162.0000	507.0000	483.0000	705.0000	285.0000	925.0000	168.0000	0.2718	0.0819	0.0679	0.0561	0.0487	0.0362	0.0340	0.0265	0.0260	0.0235	0	7	
16	787	0.1926712691783905	551	3.0606207847595215	787.0000	924.0000	483.0000	208.0000	132.0000	797.0000	162.0000	285.0000	925.0000	551.0000	0.1927	0.1147	0.0919	0.0753	0.0701	0.0660	0.0494	0.0428	0.0361	0.0316	9	8	
17	925	0.5892435908317566	551	1.8611228466033936	925.0000	551.0000	168.0000	507.0000	358.0000	34.0000	162.0000	87.0000	421.0000	49.0000	0.5892	0.1094	0.0534	0.0496	0.0199	0.0167	0.0155	0.0144	0.0126	0.0120	1	8	
18	551	0.2198512703180313	551	2.9039621353149414	551.0000	924.0000	787.0000	49.0000	421.0000	483.0000	132.0000	61.0000	440.0000	925.0000	0.2199	0.1274	0.1025	0.0785	0.0771	0.0734	0.0343	0.0321	0.0307	0.0207	0	9	
19	49	0.2980608642101288	551	2.7093029022216797	49.0000	716.0000	421.0000	318.0000	194.0000	31.0000	551.0000	132.0000	797.0000	924.0000	0.2981	0.1427	0.1025	0.0551	0.0548	0.0447	0.0423	0.0349	0.0310	0.0245	6	9	
20	924	0.25043603777885437	551	2.156841993331909	924.0000	483.0000	787.0000	49.0000	719.0000	551.0000	421.0000	540.0000	31.0000	208.0000	0.2504	0.2008	0.1661	0.1643	0.0793	0.0344	0.0298	0.0097	0.0071	0.0055	5	10	
21	49	0.5413945913314819	551	1.8081272840499878	49.0000	551.0000	358.0000	673.0000	925.0000	421.0000	31.0000	483.0000	719.0000	924.0000	0.5414	0.1369	0.0955	0.0444	0.0367	0.0255	0.0191	0.0172	0.0153	0.0110	1	10	
22	924	0.18708224594593048	551	2.83400297164917	924.0000	551.0000	797.0000	166.0000	552.0000	358.0000	857.0000	703.0000	178.0000	440.0000	0.1871	0.1115	0.1079	0.1005	0.0849	0.0773	0.0530	0.0390	0.0339	0.0337	1	11	
23	358	0.469585657119751	551	1.907913088798523	358.0000	551.0000	925.0000	34.0000	457.0000	285.0000	131.0000	857.0000	440.0000	626.0000	0.4696	0.1687	0.1222	0.0729	0.0515	0.0237	0.0089	0.0077	0.0064	0.0051	1	11	
24	483	0.24259690940380096	551	2.6563498973846436	483.0000	787.0000	924.0000	61.0000	797.0000	552.0000	551.0000	55.0000	421.0000	527.0000	0.2426	0.2324	0.1050	0.0756	0.0359	0.0344	0.0275	0.0261	0.0244	0.0219	6	12	
25	551	0.3413492441177368	551	2.6106584072113037	551.0000	318.0000	34.0000	741.0000	483.0000	507.0000	925.0000	87.0000	358.0000	679.0000	0.3413	0.1278	0.0924	0.0531	0.0513	0.0494	0.0326	0.0307	0.0245	0.0231	0	12	
26	483	0.2651849687099457	551	2.070164680480957	483.0000	421.0000	403.0000	31.0000	61.0000	194.0000	740.0000	797.0000	551.0000	924.0000	0.2652	0.2498	0.1507	0.1297	0.0489	0.0452	0.0302	0.0165	0.0133	0.0133	8	13	
27	285	0.8068377375602722	551	0.9417582154273987	285.0000	551.0000	31.0000	403.0000	34.0000	194.0000	457.0000	166.0000	132.0000	740.0000	0.8068	0.0881	0.0309	0.0095	0.0073	0.0052	0.0051	0.0050	0.0039	0.0036	1	13	
28	166	0.19583284854888916	551	3.101808547973633	166.0000	551.0000	131.0000	552.0000	924.0000	46.0000	162.0000	719.0000	540.0000	223.0000	0.1958	0.1894	0.1572	0.0385	0.0361	0.0259	0.0258	0.0225	0.0171	0.0168	1	14	
29	131	0.2609485983848572	551	2.5589685440063477	131.0000	551.0000	457.0000	34.0000	31.0000	235.0000	358.0000	741.0000	440.0000	313.0000	0.2609	0.2260	0.1468	0.0957	0.0359	0.0274	0.0183	0.0111	0.0108	0.0094	1	14	
