	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	45	0.27811115980148315	552	2.2929272651672363	45.0000	75.0000	627.0000	530.0000	131.0000	282.0000	205.0000	315.0000	614.0000	212.0000	0.2781	0.2363	0.1320	0.0931	0.0617	0.0482	0.0332	0.0138	0.0102	0.0095	15	0	
1	552	0.16921685636043549	552	4.200329780578613	552.0000	75.0000	131.0000	205.0000	45.0000	893.0000	282.0000	177.0000	628.0000	626.0000	0.1692	0.1467	0.0461	0.0437	0.0386	0.0254	0.0248	0.0213	0.0204	0.0175	0	0	
2	552	0.25841304659843445	552	3.4475269317626953	552.0000	893.0000	492.0000	75.0000	131.0000	177.0000	364.0000	628.0000	703.0000	45.0000	0.2584	0.1299	0.0969	0.0875	0.0334	0.0316	0.0258	0.0254	0.0153	0.0149	0	0	
3	75	0.2489376664161682	552	2.879307746887207	75.0000	45.0000	530.0000	627.0000	131.0000	205.0000	282.0000	164.0000	844.0000	212.0000	0.2489	0.1348	0.1181	0.0907	0.0679	0.0674	0.0284	0.0230	0.0174	0.0137	18	0	
4	315	0.389749675989151	552	2.9207286834716797	315.0000	45.0000	75.0000	585.0000	215.0000	530.0000	893.0000	131.0000	205.0000	212.0000	0.3897	0.0919	0.0728	0.0526	0.0477	0.0300	0.0216	0.0204	0.0153	0.0120	24	1	
5	75	0.16241085529327393	552	3.8145198822021484	75.0000	213.0000	552.0000	342.0000	719.0000	131.0000	45.0000	703.0000	315.0000	282.0000	0.1624	0.0861	0.0731	0.0594	0.0512	0.0471	0.0336	0.0308	0.0283	0.0260	2	1	
6	552	0.24651941657066345	552	3.8544013500213623	552.0000	213.0000	893.0000	626.0000	703.0000	45.0000	805.0000	75.0000	342.0000	719.0000	0.2465	0.0474	0.0384	0.0380	0.0350	0.0326	0.0281	0.0281	0.0261	0.0247	0	1	
7	315	0.5692183375358582	552	2.5124762058258057	315.0000	75.0000	131.0000	45.0000	893.0000	552.0000	703.0000	626.0000	721.0000	212.0000	0.5692	0.0451	0.0272	0.0248	0.0225	0.0164	0.0152	0.0143	0.0135	0.0108	5	1	
8	893	0.3896099925041199	552	2.4999470710754395	893.0000	45.0000	493.0000	75.0000	805.0000	789.0000	530.0000	382.0000	585.0000	436.0000	0.3896	0.1722	0.0584	0.0508	0.0499	0.0413	0.0268	0.0254	0.0173	0.0136	19	2	
9	552	0.3535962700843811	552	3.186776876449585	552.0000	75.0000	721.0000	350.0000	719.0000	625.0000	213.0000	789.0000	208.0000	205.0000	0.3536	0.0899	0.0894	0.0620	0.0332	0.0260	0.0231	0.0223	0.0205	0.0127	0	2	
10	552	0.35800352692604065	552	2.9581100940704346	552.0000	75.0000	805.0000	721.0000	213.0000	350.0000	625.0000	208.0000	893.0000	628.0000	0.3580	0.1289	0.0816	0.0408	0.0395	0.0382	0.0298	0.0278	0.0154	0.0143	0	2	
11	893	0.22144393622875214	552	3.7963695526123047	893.0000	382.0000	75.0000	45.0000	531.0000	530.0000	162.0000	805.0000	493.0000	719.0000	0.2214	0.0749	0.0728	0.0558	0.0291	0.0278	0.0258	0.0253	0.0192	0.0186	16	2	
12	205	0.24244621396064758	552	2.4724044799804688	205.0000	45.0000	131.0000	893.0000	75.0000	530.0000	552.0000	436.0000	627.0000	457.0000	0.2424	0.1879	0.1399	0.0933	0.0777	0.0710	0.0282	0.0203	0.0153	0.0144	6	3	
13	552	0.9835813045501709	552	0.12980465590953827	552.0000	213.0000	75.0000	282.0000	896.0000	893.0000	628.0000	703.0000	582.0000	208.0000	0.9836	0.0062	0.0015	0.0011	0.0009	0.0007	0.0006	0.0005	0.0005	0.0005	0	3	
14	552	0.9925150275230408	552	0.06482649594545364	552.0000	582.0000	208.0000	213.0000	893.0000	703.0000	628.0000	896.0000	317.0000	492.0000	0.9925	0.0032	0.0006	0.0004	0.0003	0.0003	0.0002	0.0002	0.0002	0.0002	0	3	
15	205	0.18359117209911346	552	2.88222599029541	205.0000	893.0000	131.0000	530.0000	75.0000	45.0000	552.0000	457.0000	703.0000	627.0000	0.1836	0.1641	0.1109	0.0925	0.0771	0.0645	0.0343	0.0309	0.0242	0.0208	6	3	
16	75	0.13028346002101898	552	3.328385829925537	75.0000	893.0000	315.0000	45.0000	789.0000	552.0000	585.0000	212.0000	457.0000	436.0000	0.1303	0.1291	0.1002	0.0999	0.0509	0.0508	0.0497	0.0406	0.0352	0.0245	5	4	
17	552	0.9866878390312195	552	0.11883857101202011	552.0000	540.0000	893.0000	208.0000	419.0000	75.0000	317.0000	131.0000	867.0000	45.0000	0.9867	0.0015	0.0014	0.0011	0.0010	0.0008	0.0007	0.0006	0.0006	0.0005	0	4	
18	552	0.9741731882095337	552	0.2083081603050232	552.0000	582.0000	893.0000	282.0000	45.0000	317.0000	208.0000	805.0000	776.0000	131.0000	0.9742	0.0037	0.0032	0.0025	0.0025	0.0017	0.0013	0.0009	0.0007	0.0006	0	4	
19	75	0.21346881985664368	552	3.198709487915039	75.0000	703.0000	893.0000	552.0000	457.0000	315.0000	45.0000	131.0000	585.0000	530.0000	0.2135	0.1337	0.0982	0.0750	0.0642	0.0528	0.0458	0.0357	0.0278	0.0179	3	4	
20	45	0.3155917525291443	552	2.7921955585479736	45.0000	75.0000	585.0000	215.0000	789.0000	315.0000	212.0000	530.0000	791.0000	531.0000	0.3156	0.1598	0.0727	0.0678	0.0550	0.0453	0.0255	0.0255	0.0203	0.0130	12	5	
