	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	96	0.9399202466011047	555	0.35765504837036133	96.0000	60.0000	38.0000	853.0000	54.0000	74.0000	692.0000	567.0000	122.0000	499.0000	0.9399	0.0264	0.0084	0.0079	0.0036	0.0016	0.0014	0.0012	0.0011	0.0011	65	0	
1	96	0.9508668184280396	555	0.3097901940345764	96.0000	60.0000	38.0000	54.0000	909.0000	567.0000	853.0000	71.0000	122.0000	339.0000	0.9509	0.0133	0.0129	0.0070	0.0036	0.0030	0.0018	0.0013	0.0010	0.0004	71	0	
2	38	0.9447564482688904	555	0.3211953043937683	38.0000	96.0000	114.0000	853.0000	54.0000	60.0000	511.0000	339.0000	822.0000	617.0000	0.9448	0.0201	0.0095	0.0094	0.0066	0.0034	0.0021	0.0007	0.0006	0.0004	27	1	
3	96	0.7404969334602356	555	0.7739756107330322	96.0000	38.0000	114.0000	60.0000	54.0000	511.0000	853.0000	71.0000	339.0000	3.0000	0.7405	0.2183	0.0137	0.0087	0.0070	0.0033	0.0018	0.0014	0.0011	0.0005	32	1	
4	38	0.7106853723526001	555	0.785916268825531	38.0000	54.0000	96.0000	114.0000	937.0000	511.0000	849.0000	515.0000	617.0000	853.0000	0.7107	0.2578	0.0123	0.0030	0.0026	0.0019	0.0012	0.0012	0.0011	0.0009	49	2	
5	96	0.933251142501831	555	0.32433193922042847	96.0000	38.0000	54.0000	909.0000	937.0000	511.0000	822.0000	849.0000	114.0000	71.0000	0.9333	0.0385	0.0217	0.0014	0.0010	0.0009	0.0005	0.0004	0.0003	0.0003	39	2	
6	38	0.6400396227836609	555	1.5713406801223755	38.0000	822.0000	96.0000	114.0000	853.0000	849.0000	937.0000	515.0000	54.0000	3.0000	0.6400	0.1551	0.0520	0.0215	0.0162	0.0147	0.0140	0.0076	0.0062	0.0058	49	3	
7	38	0.8453470468521118	555	0.8371561169624329	38.0000	822.0000	96.0000	849.0000	511.0000	465.0000	581.0000	339.0000	937.0000	54.0000	0.8453	0.0417	0.0389	0.0229	0.0090	0.0051	0.0037	0.0035	0.0029	0.0019	74	3	
8	38	0.783076822757721	555	0.988117516040802	38.0000	853.0000	54.0000	96.0000	822.0000	849.0000	511.0000	3.0000	60.0000	692.0000	0.7831	0.0630	0.0571	0.0491	0.0063	0.0054	0.0037	0.0035	0.0031	0.0021	40	4	
9	96	0.6068932414054871	555	1.7456321716308594	96.0000	38.0000	909.0000	822.0000	347.0000	581.0000	339.0000	787.0000	651.0000	54.0000	0.6069	0.1697	0.0419	0.0203	0.0200	0.0158	0.0109	0.0098	0.0094	0.0066	151	4	
10	38	0.9696046113967896	555	0.1905369609594345	38.0000	54.0000	96.0000	853.0000	3.0000	339.0000	114.0000	311.0000	849.0000	909.0000	0.9696	0.0110	0.0085	0.0062	0.0008	0.0007	0.0005	0.0003	0.0003	0.0003	24	5	
11	38	0.8974987864494324	555	0.38689419627189636	38.0000	96.0000	54.0000	339.0000	3.0000	853.0000	511.0000	849.0000	909.0000	311.0000	0.8975	0.0936	0.0020	0.0015	0.0010	0.0006	0.0005	0.0005	0.0004	0.0004	57	5	
12	515	0.3789219856262207	555	1.8387869596481323	515.0000	54.0000	96.0000	38.0000	853.0000	658.0000	849.0000	3.0000	339.0000	465.0000	0.3789	0.3270	0.0854	0.0623	0.0401	0.0276	0.0167	0.0057	0.0053	0.0050	52	6	
13	96	0.4533689618110657	555	1.6696144342422485	96.0000	38.0000	339.0000	849.0000	3.0000	658.0000	581.0000	54.0000	853.0000	515.0000	0.4534	0.3403	0.0426	0.0286	0.0265	0.0189	0.0188	0.0124	0.0068	0.0053	50	6	
14	96	0.6810193061828613	555	1.1247763633728027	96.0000	38.0000	853.0000	54.0000	74.0000	515.0000	849.0000	339.0000	909.0000	311.0000	0.6810	0.1369	0.0950	0.0535	0.0059	0.0042	0.0037	0.0030	0.0027	0.0023	33	7	
