	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	667	0.3690744638442993	557	2.28834867477417	667.0000	43.0000	747.0000	170.0000	571.0000	16.0000	616.0000	845.0000	566.0000	557.0000	0.3691	0.2033	0.1312	0.0551	0.0412	0.0387	0.0305	0.0119	0.0091	0.0089	9	0	
1	747	0.4911382496356964	557	1.9948498010635376	747.0000	43.0000	332.0000	170.0000	16.0000	667.0000	571.0000	263.0000	258.0000	454.0000	0.4911	0.1696	0.0925	0.0352	0.0351	0.0313	0.0225	0.0220	0.0130	0.0117	11	0	
2	43	0.4373621642589569	557	1.8814647197723389	43.0000	170.0000	16.0000	667.0000	263.0000	747.0000	332.0000	706.0000	557.0000	571.0000	0.4374	0.2444	0.0922	0.0705	0.0304	0.0290	0.0155	0.0074	0.0069	0.0069	8	0	
3	170	0.37081873416900635	557	2.2591214179992676	170.0000	557.0000	43.0000	667.0000	571.0000	308.0000	747.0000	858.0000	616.0000	332.0000	0.3708	0.2109	0.0805	0.0624	0.0452	0.0425	0.0346	0.0309	0.0197	0.0165	1	1	
4	332	0.6982790231704712	557	1.500000238418579	332.0000	43.0000	667.0000	557.0000	258.0000	170.0000	94.0000	858.0000	616.0000	224.0000	0.6983	0.0913	0.0293	0.0173	0.0141	0.0126	0.0124	0.0103	0.0103	0.0099	3	1	
5	170	0.672846794128418	557	1.19639253616333	170.0000	43.0000	557.0000	949.0000	224.0000	667.0000	16.0000	332.0000	308.0000	94.0000	0.6728	0.2074	0.0335	0.0112	0.0106	0.0105	0.0086	0.0056	0.0043	0.0041	2	1	
6	557	0.5223470330238342	557	1.4561882019042969	557.0000	170.0000	308.0000	151.0000	43.0000	949.0000	747.0000	616.0000	667.0000	858.0000	0.5223	0.3005	0.0393	0.0310	0.0206	0.0203	0.0177	0.0146	0.0085	0.0027	0	2	
7	747	0.7134311199188232	557	1.2800068855285645	747.0000	557.0000	258.0000	864.0000	224.0000	41.0000	332.0000	170.0000	619.0000	123.0000	0.7134	0.1170	0.0426	0.0288	0.0234	0.0091	0.0067	0.0064	0.0058	0.0051	1	2	
8	170	0.8535681366920471	557	0.6127194762229919	170.0000	949.0000	557.0000	151.0000	927.0000	747.0000	845.0000	43.0000	308.0000	864.0000	0.8536	0.0701	0.0516	0.0135	0.0025	0.0015	0.0011	0.0011	0.0009	0.0008	2	2	
9	43	0.6439331769943237	557	1.1759165525436401	43.0000	308.0000	170.0000	557.0000	571.0000	224.0000	151.0000	845.0000	406.0000	332.0000	0.6439	0.1752	0.0914	0.0555	0.0083	0.0042	0.0033	0.0028	0.0023	0.0021	3	3	
10	747	0.3157903552055359	557	2.22648286819458	747.0000	332.0000	43.0000	557.0000	258.0000	224.0000	67.0000	41.0000	406.0000	16.0000	0.3158	0.1929	0.1331	0.0756	0.0660	0.0501	0.0434	0.0352	0.0190	0.0091	3	3	
11	43	0.3597078323364258	557	1.773030161857605	43.0000	170.0000	949.0000	557.0000	308.0000	16.0000	151.0000	845.0000	67.0000	667.0000	0.3597	0.2737	0.1235	0.0899	0.0729	0.0225	0.0210	0.0092	0.0087	0.0041	3	3	
12	308	0.46929931640625	557	1.4955860376358032	308.0000	557.0000	43.0000	571.0000	16.0000	151.0000	224.0000	845.0000	616.0000	858.0000	0.4693	0.2171	0.1995	0.0570	0.0100	0.0095	0.0090	0.0042	0.0040	0.0030	1	4	
13	224	0.4627872705459595	557	1.5479974746704102	224.0000	557.0000	16.0000	43.0000	747.0000	364.0000	571.0000	619.0000	41.0000	151.0000	0.4628	0.2786	0.1431	0.0220	0.0199	0.0137	0.0136	0.0098	0.0066	0.0054	1	4	
14	16	0.36478331685066223	557	1.8371747732162476	16.0000	43.0000	151.0000	557.0000	224.0000	308.0000	949.0000	845.0000	571.0000	170.0000	0.3648	0.2318	0.1270	0.1070	0.0657	0.0332	0.0317	0.0123	0.0103	0.0020	3	4	
15	667	0.7701614499092102	557	0.986290454864502	667.0000	557.0000	308.0000	332.0000	747.0000	43.0000	571.0000	406.0000	619.0000	170.0000	0.7702	0.0815	0.0581	0.0256	0.0230	0.0137	0.0063	0.0032	0.0032	0.0025	1	5	
16	557	0.3671674132347107	557	2.0173683166503906	557.0000	747.0000	16.0000	332.0000	224.0000	949.0000	641.0000	619.0000	258.0000	435.0000	0.3672	0.1884	0.1139	0.0850	0.0737	0.0591	0.0260	0.0202	0.0177	0.0165	0	5	
17	16	0.537385106086731	557	1.5682486295700073	16.0000	949.0000	667.0000	557.0000	170.0000	43.0000	224.0000	332.0000	308.0000	151.0000	0.5374	0.1614	0.0900	0.0769	0.0546	0.0317	0.0143	0.0135	0.0034	0.0028	3	5	
18	43	0.4280245900154114	557	1.2640677690505981	43.0000	308.0000	667.0000	557.0000	170.0000	332.0000	571.0000	858.0000	406.0000	322.0000	0.4280	0.3630	0.1541	0.0244	0.0192	0.0033	0.0029	0.0007	0.0005	0.0004	3	6	
19	557	0.35109949111938477	557	2.2782487869262695	557.0000	308.0000	332.0000	43.0000	435.0000	949.0000	41.0000	667.0000	170.0000	747.0000	0.3511	0.1654	0.1108	0.1049	0.0471	0.0302	0.0296	0.0218	0.0210	0.0183	0	6	
20	43	0.8387046456336975	557	0.6608263254165649	43.0000	308.0000	170.0000	667.0000	557.0000	949.0000	571.0000	321.0000	67.0000	332.0000	0.8387	0.0911	0.0309	0.0212	0.0106	0.0026	0.0005	0.0005	0.0004	0.0004	4	6	
21	308	0.4946539103984833	557	1.467098593711853	308.0000	43.0000	667.0000	571.0000	332.0000	151.0000	557.0000	747.0000	16.0000	949.0000	0.4947	0.2701	0.0874	0.0695	0.0325	0.0147	0.0102	0.0034	0.0027	0.0023	6	7	
22	258	0.6936625242233276	557	1.2171406745910645	258.0000	332.0000	43.0000	224.0000	337.0000	747.0000	571.0000	308.0000	657.0000	800.0000	0.6937	0.1183	0.0920	0.0267	0.0159	0.0061	0.0058	0.0057	0.0040	0.0034	11	7	
