	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	558	0.4456346035003662	558	3.051971435546875	558.0000	484.0000	51.0000	703.0000	486.0000	304.0000	340.0000	730.0000	338.0000	903.0000	0.4456	0.0626	0.0514	0.0378	0.0346	0.0301	0.0195	0.0142	0.0140	0.0137	0	0	
1	142	0.2010793387889862	558	3.786639928817749	142.0000	558.0000	486.0000	903.0000	338.0000	321.0000	304.0000	651.0000	340.0000	441.0000	0.2011	0.1796	0.0454	0.0407	0.0370	0.0330	0.0315	0.0295	0.0233	0.0171	1	0	
2	558	0.4030153453350067	558	2.1564016342163086	558.0000	338.0000	219.0000	160.0000	486.0000	903.0000	206.0000	830.0000	335.0000	304.0000	0.4030	0.2810	0.0756	0.0517	0.0205	0.0196	0.0111	0.0092	0.0087	0.0086	0	1	
3	338	0.8695957660675049	558	0.5444592237472534	338.0000	558.0000	903.0000	486.0000	142.0000	730.0000	926.0000	441.0000	853.0000	60.0000	0.8696	0.1010	0.0082	0.0050	0.0038	0.0018	0.0015	0.0015	0.0005	0.0004	1	1	
4	558	0.42856860160827637	558	2.0733482837677	558.0000	512.0000	926.0000	340.0000	335.0000	486.0000	903.0000	142.0000	32.0000	206.0000	0.4286	0.1996	0.0939	0.0871	0.0577	0.0240	0.0191	0.0082	0.0067	0.0050	0	2	
5	558	0.7404106259346008	558	1.079759120941162	558.0000	142.0000	926.0000	903.0000	338.0000	340.0000	335.0000	486.0000	467.0000	494.0000	0.7404	0.0834	0.0648	0.0551	0.0224	0.0090	0.0073	0.0025	0.0014	0.0008	0	2	
6	626	0.2921323776245117	558	2.9483683109283447	626.0000	486.0000	558.0000	160.0000	219.0000	830.0000	338.0000	512.0000	45.0000	335.0000	0.2921	0.1824	0.0730	0.0681	0.0670	0.0426	0.0248	0.0206	0.0137	0.0120	2	3	
7	558	0.8370544910430908	558	0.5932645797729492	558.0000	338.0000	730.0000	903.0000	830.0000	335.0000	142.0000	441.0000	160.0000	926.0000	0.8371	0.1357	0.0107	0.0040	0.0023	0.0012	0.0012	0.0010	0.0005	0.0004	0	3	
8	335	0.8146512508392334	558	0.9919830560684204	335.0000	903.0000	558.0000	338.0000	441.0000	486.0000	926.0000	340.0000	487.0000	227.0000	0.8147	0.0435	0.0395	0.0291	0.0113	0.0105	0.0065	0.0032	0.0026	0.0023	2	4	
9	558	0.9206048846244812	558	0.3919116258621216	558.0000	926.0000	903.0000	335.0000	338.0000	441.0000	730.0000	340.0000	486.0000	282.0000	0.9206	0.0356	0.0273	0.0066	0.0041	0.0023	0.0013	0.0007	0.0005	0.0001	0	4	
