	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	282	0.33314719796180725	563	3.2744946479797363	282.0000	364.0000	528.0000	626.0000	854.0000	853.0000	466.0000	818.0000	6.0000	75.0000	0.3331	0.1909	0.0868	0.0205	0.0155	0.0132	0.0123	0.0107	0.0102	0.0102	697	0	
1	528	0.5766183733940125	563	2.762455463409424	528.0000	282.0000	466.0000	854.0000	310.0000	219.0000	811.0000	453.0000	721.0000	75.0000	0.5766	0.0384	0.0332	0.0259	0.0182	0.0130	0.0129	0.0097	0.0089	0.0087	392	0	
2	282	0.30363497138023376	563	3.1401896476745605	282.0000	528.0000	854.0000	721.0000	310.0000	75.0000	466.0000	626.0000	177.0000	219.0000	0.3036	0.2930	0.0449	0.0160	0.0138	0.0123	0.0115	0.0107	0.0079	0.0078	465	0	
3	528	0.161080464720726	563	4.7839579582214355	528.0000	75.0000	226.0000	759.0000	0.0000	449.0000	117.0000	844.0000	273.0000	264.0000	0.1611	0.0343	0.0334	0.0287	0.0280	0.0229	0.0219	0.0217	0.0191	0.0159	323	0	
4	528	0.33454403281211853	563	3.6450188159942627	528.0000	488.0000	844.0000	700.0000	329.0000	131.0000	472.0000	523.0000	51.0000	285.0000	0.3345	0.0923	0.0669	0.0341	0.0233	0.0222	0.0176	0.0163	0.0144	0.0106	491	0	
5	626	0.5980954766273499	563	2.574892520904541	626.0000	528.0000	75.0000	789.0000	523.0000	585.0000	45.0000	472.0000	471.0000	582.0000	0.5981	0.0379	0.0218	0.0184	0.0141	0.0133	0.0129	0.0124	0.0113	0.0092	407	0	
6	528	0.2028150111436844	563	4.122903823852539	528.0000	466.0000	282.0000	854.0000	219.0000	453.0000	75.0000	626.0000	364.0000	310.0000	0.2028	0.1366	0.0552	0.0412	0.0236	0.0233	0.0219	0.0211	0.0210	0.0203	498	0	
7	528	0.3862699866294861	563	2.962310314178467	528.0000	444.0000	310.0000	219.0000	0.0000	721.0000	297.0000	239.0000	117.0000	854.0000	0.3863	0.1166	0.0629	0.0535	0.0387	0.0324	0.0284	0.0237	0.0158	0.0149	141	1	
8	310	0.24940752983093262	563	3.34995698928833	310.0000	444.0000	219.0000	466.0000	364.0000	528.0000	550.0000	811.0000	561.0000	917.0000	0.2494	0.1666	0.1288	0.0547	0.0345	0.0296	0.0176	0.0169	0.0146	0.0128	153	1	
9	310	0.31178587675094604	563	3.359133005142212	310.0000	444.0000	0.0000	528.0000	721.0000	219.0000	550.0000	466.0000	811.0000	239.0000	0.3118	0.1646	0.0558	0.0408	0.0249	0.0221	0.0198	0.0195	0.0171	0.0166	139	1	
10	854	0.35435208678245544	563	3.712120771408081	854.0000	811.0000	310.0000	137.0000	330.0000	0.0000	273.0000	865.0000	226.0000	443.0000	0.3544	0.1165	0.0324	0.0226	0.0214	0.0149	0.0134	0.0120	0.0119	0.0090	173	1	
11	472	0.25584641098976135	563	3.5823025703430176	472.0000	329.0000	811.0000	700.0000	854.0000	310.0000	508.0000	370.0000	528.0000	490.0000	0.2558	0.0733	0.0699	0.0657	0.0506	0.0427	0.0342	0.0230	0.0205	0.0178	287	1	
12	528	0.393856942653656	563	1.8381459712982178	528.0000	282.0000	626.0000	789.0000	472.0000	471.0000	205.0000	490.0000	117.0000	45.0000	0.3939	0.3388	0.1005	0.0328	0.0181	0.0179	0.0091	0.0073	0.0071	0.0071	253	1	
13	219	0.27324897050857544	563	2.9141218662261963	219.0000	444.0000	310.0000	528.0000	466.0000	550.0000	364.0000	721.0000	561.0000	854.0000	0.2732	0.2494	0.0729	0.0579	0.0408	0.0231	0.0228	0.0159	0.0157	0.0153	169	1	
14	854	0.5200276970863342	563	2.688511371612549	854.0000	528.0000	297.0000	626.0000	865.0000	282.0000	310.0000	453.0000	0.0000	479.0000	0.5200	0.0746	0.0361	0.0297	0.0297	0.0271	0.0167	0.0126	0.0123	0.0095	143	2	
15	364	0.1440826803445816	563	3.776320457458496	364.0000	444.0000	310.0000	528.0000	4.0000	282.0000	228.0000	854.0000	219.0000	0.0000	0.1441	0.1142	0.0711	0.0710	0.0516	0.0510	0.0399	0.0319	0.0291	0.0290	102	2	
16	528	0.33783861994743347	563	3.1582448482513428	528.0000	85.0000	854.0000	282.0000	310.0000	239.0000	444.0000	0.0000	625.0000	865.0000	0.3378	0.1333	0.0446	0.0436	0.0434	0.0337	0.0332	0.0203	0.0181	0.0169	97	2	
17	865	0.26073023676872253	563	3.473694324493408	865.0000	854.0000	326.0000	896.0000	528.0000	0.0000	522.0000	75.0000	628.0000	117.0000	0.2607	0.2000	0.0478	0.0298	0.0280	0.0191	0.0189	0.0182	0.0166	0.0153	133	2	
18	896	0.10371889173984528	563	3.7455620765686035	896.0000	865.0000	85.0000	329.0000	700.0000	453.0000	285.0000	370.0000	844.0000	59.0000	0.1037	0.0806	0.0779	0.0664	0.0629	0.0595	0.0571	0.0477	0.0475	0.0300	219	2	
