	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	864	0.23082207143306732	566	3.0804877281188965	864.0000	16.0000	667.0000	566.0000	933.0000	800.0000	332.0000	224.0000	67.0000	43.0000	0.2308	0.1513	0.0900	0.0791	0.0571	0.0347	0.0335	0.0296	0.0227	0.0194	3	0	
1	224	0.14820174872875214	566	3.631507396697998	224.0000	845.0000	258.0000	67.0000	864.0000	667.0000	170.0000	16.0000	36.0000	800.0000	0.1482	0.1480	0.0801	0.0531	0.0395	0.0393	0.0342	0.0332	0.0291	0.0272	14	0	
2	332	0.27167823910713196	566	3.0276780128479004	332.0000	480.0000	571.0000	224.0000	800.0000	864.0000	258.0000	123.0000	657.0000	664.0000	0.2717	0.1035	0.0784	0.0736	0.0653	0.0418	0.0394	0.0355	0.0271	0.0211	46	0	
3	933	0.29584187269210815	566	2.7008910179138184	933.0000	667.0000	16.0000	572.0000	800.0000	566.0000	224.0000	321.0000	864.0000	43.0000	0.2958	0.1051	0.0962	0.0922	0.0758	0.0644	0.0385	0.0293	0.0292	0.0228	5	0	
4	332	0.22665195167064667	566	2.8933920860290527	332.0000	224.0000	454.0000	258.0000	800.0000	571.0000	16.0000	815.0000	480.0000	664.0000	0.2267	0.1016	0.0903	0.0846	0.0789	0.0595	0.0559	0.0410	0.0288	0.0280	24	0	
5	667	0.1605101078748703	566	3.020829200744629	667.0000	566.0000	224.0000	933.0000	569.0000	67.0000	360.0000	148.0000	123.0000	820.0000	0.1605	0.1266	0.1223	0.1142	0.0783	0.0617	0.0321	0.0273	0.0212	0.0192	1	0	
6	800	0.16417348384857178	566	3.00199031829834	800.0000	224.0000	321.0000	667.0000	933.0000	864.0000	572.0000	454.0000	16.0000	566.0000	0.1642	0.1508	0.0795	0.0749	0.0670	0.0572	0.0554	0.0497	0.0468	0.0427	9	0	
7	454	0.3771083652973175	566	1.9334914684295654	454.0000	800.0000	566.0000	933.0000	151.0000	224.0000	815.0000	170.0000	864.0000	359.0000	0.3771	0.2107	0.1832	0.0648	0.0517	0.0254	0.0140	0.0093	0.0068	0.0058	2	0	
8	933	0.27345162630081177	566	2.479313373565674	933.0000	800.0000	454.0000	815.0000	224.0000	151.0000	667.0000	332.0000	566.0000	572.0000	0.2735	0.2481	0.1280	0.0477	0.0328	0.0323	0.0281	0.0277	0.0199	0.0181	8	0	
9	667	0.12263837456703186	566	3.187873363494873	667.0000	224.0000	258.0000	800.0000	43.0000	572.0000	933.0000	16.0000	815.0000	454.0000	0.1226	0.1122	0.1082	0.0824	0.0592	0.0564	0.0519	0.0491	0.0395	0.0367	10	0	
