	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	815	0.5617477893829346	571	1.6983102560043335	815.0000	359.0000	258.0000	715.0000	50.0000	322.0000	202.0000	454.0000	664.0000	224.0000	0.5617	0.1326	0.0704	0.0661	0.0469	0.0170	0.0136	0.0129	0.0128	0.0125	12	0	
1	815	0.4349600374698639	571	2.253117084503174	815.0000	50.0000	258.0000	715.0000	571.0000	359.0000	322.0000	800.0000	332.0000	224.0000	0.4350	0.0832	0.0703	0.0684	0.0515	0.0510	0.0390	0.0384	0.0340	0.0279	4	0	
2	571	0.5411007404327393	571	1.9720371961593628	571.0000	332.0000	815.0000	800.0000	224.0000	359.0000	664.0000	933.0000	50.0000	454.0000	0.5411	0.1531	0.0423	0.0362	0.0319	0.0255	0.0190	0.0183	0.0167	0.0163	0	0	
3	332	0.2284659445285797	571	3.4000205993652344	332.0000	571.0000	815.0000	747.0000	454.0000	50.0000	258.0000	438.0000	657.0000	224.0000	0.2285	0.1547	0.0689	0.0649	0.0544	0.0421	0.0351	0.0310	0.0191	0.0184	1	0	
4	815	0.5955945253372192	571	1.6389117240905762	815.0000	359.0000	258.0000	715.0000	50.0000	322.0000	454.0000	664.0000	224.0000	202.0000	0.5956	0.1113	0.0622	0.0583	0.0459	0.0219	0.0147	0.0134	0.0131	0.0114	12	0	
5	332	0.20178177952766418	571	3.4448494911193848	332.0000	571.0000	815.0000	747.0000	454.0000	50.0000	258.0000	438.0000	224.0000	664.0000	0.2018	0.1696	0.0811	0.0538	0.0532	0.0488	0.0355	0.0302	0.0186	0.0165	1	0	
6	815	0.5287802219390869	571	1.282615065574646	815.0000	258.0000	537.0000	123.0000	571.0000	50.0000	360.0000	332.0000	41.0000	747.0000	0.5288	0.2403	0.1101	0.0973	0.0123	0.0025	0.0013	0.0012	0.0012	0.0010	4	1	
7	815	0.7897228002548218	571	0.8345648646354675	815.0000	537.0000	258.0000	571.0000	454.0000	123.0000	800.0000	332.0000	193.0000	360.0000	0.7897	0.0710	0.0662	0.0506	0.0092	0.0056	0.0021	0.0012	0.0007	0.0007	3	1	
8	571	0.4974673092365265	571	1.4491617679595947	571.0000	815.0000	454.0000	537.0000	258.0000	193.0000	360.0000	151.0000	800.0000	123.0000	0.4975	0.3593	0.0238	0.0148	0.0133	0.0097	0.0089	0.0076	0.0070	0.0065	0	1	
9	815	0.49759405851364136	571	2.002882957458496	815.0000	258.0000	537.0000	571.0000	123.0000	193.0000	360.0000	747.0000	170.0000	50.0000	0.4976	0.1642	0.0659	0.0527	0.0422	0.0370	0.0157	0.0146	0.0124	0.0111	3	1	
10	815	0.5149000287055969	571	1.2743828296661377	815.0000	258.0000	537.0000	123.0000	571.0000	50.0000	332.0000	747.0000	41.0000	616.0000	0.5149	0.2687	0.1103	0.0839	0.0115	0.0022	0.0016	0.0012	0.0010	0.0009	4	1	
11	815	0.4897667169570923	571	1.9968661069869995	815.0000	258.0000	537.0000	571.0000	123.0000	193.0000	747.0000	360.0000	50.0000	170.0000	0.4898	0.1773	0.0605	0.0551	0.0405	0.0375	0.0161	0.0140	0.0124	0.0120	3	1	
12	815	0.976294219493866	571	0.1300439089536667	815.0000	123.0000	571.0000	258.0000	537.0000	616.0000	332.0000	50.0000	664.0000	747.0000	0.9763	0.0198	0.0012	0.0008	0.0008	0.0004	0.0002	0.0002	0.0001	0.0000	2	2	
13	815	0.9071283936500549	571	0.41007184982299805	815.0000	800.0000	151.0000	571.0000	123.0000	454.0000	332.0000	537.0000	664.0000	616.0000	0.9071	0.0682	0.0063	0.0063	0.0052	0.0029	0.0014	0.0007	0.0006	0.0004	3	2	
14	571	0.9485748410224915	571	0.2807912826538086	571.0000	151.0000	815.0000	123.0000	616.0000	332.0000	800.0000	193.0000	619.0000	258.0000	0.9486	0.0279	0.0094	0.0062	0.0033	0.0014	0.0008	0.0003	0.0003	0.0002	0	2	
15	571	0.9439132213592529	571	0.33179545402526855	571.0000	123.0000	616.0000	815.0000	332.0000	258.0000	151.0000	619.0000	747.0000	193.0000	0.9439	0.0175	0.0110	0.0097	0.0045	0.0040	0.0024	0.0018	0.0015	0.0013	0	2	
16	815	0.9599643349647522	571	0.19649824500083923	815.0000	123.0000	537.0000	571.0000	258.0000	616.0000	332.0000	50.0000	664.0000	747.0000	0.9600	0.0340	0.0017	0.0014	0.0012	0.0007	0.0004	0.0002	0.0001	0.0001	3	2	
17	571	0.9371529817581177	571	0.35810309648513794	571.0000	123.0000	815.0000	616.0000	258.0000	332.0000	151.0000	619.0000	747.0000	193.0000	0.9372	0.0212	0.0131	0.0117	0.0041	0.0035	0.0026	0.0016	0.0014	0.0013	0	2	
18	258	0.9715642333030701	571	0.1657567173242569	258.0000	123.0000	815.0000	537.0000	41.0000	359.0000	50.0000	332.0000	360.0000	193.0000	0.9716	0.0121	0.0093	0.0057	0.0006	0.0002	0.0002	0.0001	0.0001	0.0001	16	3	
19	258	0.9861708879470825	571	0.07822220027446747	258.0000	815.0000	123.0000	537.0000	151.0000	332.0000	50.0000	359.0000	360.0000	664.0000	0.9862	0.0128	0.0004	0.0002	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	12	3	
20	571	0.6023082733154297	571	1.2287479639053345	571.0000	151.0000	258.0000	815.0000	123.0000	359.0000	50.0000	193.0000	800.0000	537.0000	0.6023	0.1780	0.1494	0.0297	0.0113	0.0070	0.0053	0.0027	0.0025	0.0018	0	3	
21	258	0.671898365020752	571	1.2309651374816895	258.0000	815.0000	193.0000	123.0000	537.0000	616.0000	571.0000	50.0000	619.0000	359.0000	0.6719	0.0997	0.0751	0.0582	0.0514	0.0162	0.0111	0.0055	0.0032	0.0015	6	3	
22	258	0.9711822271347046	571	0.1659015417098999	258.0000	815.0000	123.0000	537.0000	41.0000	359.0000	360.0000	50.0000	332.0000	193.0000	0.9712	0.0133	0.0086	0.0060	0.0004	0.0001	0.0001	0.0001	0.0001	0.0001	14	3	
23	258	0.7417945861816406	571	1.0393729209899902	258.0000	815.0000	193.0000	123.0000	537.0000	616.0000	571.0000	50.0000	619.0000	359.0000	0.7418	0.0799	0.0503	0.0501	0.0442	0.0138	0.0074	0.0048	0.0020	0.0013	6	3	
24	258	0.8701836466789246	571	0.5272975564002991	258.0000	123.0000	815.0000	537.0000	571.0000	41.0000	360.0000	616.0000	50.0000	322.0000	0.8702	0.0631	0.0527	0.0073	0.0050	0.0007	0.0004	0.0003	0.0002	0.0001	4	4	
25	258	0.8790895342826843	571	0.5399847626686096	258.0000	815.0000	571.0000	123.0000	454.0000	800.0000	332.0000	50.0000	537.0000	359.0000	0.8791	0.0656	0.0301	0.0115	0.0036	0.0028	0.0016	0.0010	0.0009	0.0008	2	4	
26	571	0.8651142716407776	571	0.7124528288841248	571.0000	454.0000	800.0000	332.0000	258.0000	933.0000	406.0000	359.0000	50.0000	815.0000	0.8651	0.0534	0.0183	0.0133	0.0076	0.0075	0.0038	0.0035	0.0034	0.0031	0	4	
27	571	0.6702841520309448	571	1.5359622240066528	571.0000	258.0000	123.0000	815.0000	747.0000	332.0000	616.0000	537.0000	619.0000	193.0000	0.6703	0.0628	0.0494	0.0455	0.0268	0.0208	0.0201	0.0156	0.0138	0.0116	0	4	
28	258	0.8651135563850403	571	0.5485822558403015	258.0000	123.0000	815.0000	537.0000	571.0000	41.0000	360.0000	616.0000	50.0000	322.0000	0.8651	0.0628	0.0553	0.0092	0.0052	0.0009	0.0005	0.0003	0.0003	0.0001	4	4	
29	571	0.6757420301437378	571	1.5045809745788574	571.0000	258.0000	123.0000	815.0000	747.0000	616.0000	332.0000	537.0000	619.0000	193.0000	0.6757	0.0589	0.0540	0.0496	0.0217	0.0198	0.0175	0.0162	0.0145	0.0115	0	4	
30	537	0.958168625831604	571	0.22354847192764282	537.0000	258.0000	815.0000	360.0000	571.0000	616.0000	41.0000	193.0000	322.0000	123.0000	0.9582	0.0225	0.0098	0.0077	0.0009	0.0005	0.0001	0.0001	0.0001	0.0001	4	5	
