	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	575	0.9448236227035522	573	0.4192333221435547	575.0000	574.0000	593.0000	848.0000	81.0000	583.0000	598.0000	675.0000	491.0000	938.0000	0.9448	0.0085	0.0071	0.0048	0.0031	0.0029	0.0025	0.0024	0.0015	0.0012	14	0	
1	96	0.5105559825897217	573	2.2742137908935547	96.0000	575.0000	818.0000	3.0000	598.0000	353.0000	499.0000	593.0000	814.0000	63.0000	0.5106	0.1889	0.0260	0.0237	0.0236	0.0175	0.0155	0.0152	0.0139	0.0119	17	0	
2	96	0.1531081646680832	573	3.4845829010009766	96.0000	575.0000	107.0000	583.0000	938.0000	499.0000	848.0000	678.0000	353.0000	818.0000	0.1531	0.1183	0.0871	0.0758	0.0625	0.0586	0.0445	0.0415	0.0248	0.0230	20	1	
3	593	0.20944854617118835	573	3.859825611114502	593.0000	575.0000	938.0000	63.0000	430.0000	412.0000	499.0000	824.0000	899.0000	638.0000	0.2094	0.0911	0.0485	0.0435	0.0425	0.0400	0.0311	0.0290	0.0272	0.0239	21	1	
4	575	0.7665017247200012	573	1.294104814529419	575.0000	430.0000	593.0000	848.0000	107.0000	81.0000	762.0000	353.0000	938.0000	901.0000	0.7665	0.0460	0.0313	0.0215	0.0200	0.0170	0.0106	0.0068	0.0068	0.0062	25	2	
5	593	0.8841220140457153	573	0.5177603363990784	593.0000	430.0000	63.0000	861.0000	710.0000	824.0000	679.0000	573.0000	575.0000	353.0000	0.8841	0.0889	0.0039	0.0021	0.0019	0.0019	0.0017	0.0015	0.0013	0.0012	7	2	
6	575	0.5576392412185669	573	1.683440923690796	575.0000	430.0000	107.0000	355.0000	491.0000	395.0000	938.0000	573.0000	37.0000	593.0000	0.5576	0.1809	0.0586	0.0577	0.0249	0.0235	0.0145	0.0124	0.0113	0.0095	7	3	
7	430	0.8423470854759216	573	0.6743024587631226	430.0000	593.0000	573.0000	499.0000	37.0000	938.0000	598.0000	814.0000	63.0000	824.0000	0.8423	0.1041	0.0133	0.0094	0.0066	0.0054	0.0033	0.0025	0.0021	0.0015	2	3	
8	575	0.9097373485565186	573	0.5853291153907776	575.0000	107.0000	96.0000	491.0000	899.0000	395.0000	353.0000	583.0000	355.0000	943.0000	0.9097	0.0196	0.0100	0.0068	0.0061	0.0044	0.0041	0.0039	0.0039	0.0035	33	4	
9	395	0.22269566357135773	573	2.6506481170654297	395.0000	573.0000	499.0000	491.0000	593.0000	430.0000	412.0000	824.0000	11.0000	943.0000	0.2227	0.1828	0.1405	0.0784	0.0776	0.0422	0.0377	0.0285	0.0196	0.0193	1	4	
10	575	0.3338177502155304	573	2.7472898960113525	575.0000	943.0000	107.0000	593.0000	353.0000	583.0000	938.0000	355.0000	491.0000	598.0000	0.3338	0.0755	0.0738	0.0673	0.0593	0.0587	0.0573	0.0540	0.0218	0.0192	26	5	
11	593	0.6012916564941406	573	1.8373850584030151	593.0000	943.0000	430.0000	938.0000	491.0000	573.0000	353.0000	818.0000	583.0000	680.0000	0.6013	0.0841	0.0609	0.0421	0.0334	0.0245	0.0231	0.0192	0.0107	0.0104	5	5	
12	575	0.42548906803131104	573	1.7075989246368408	575.0000	355.0000	107.0000	583.0000	598.0000	675.0000	597.0000	593.0000	938.0000	81.0000	0.4255	0.3526	0.0645	0.0258	0.0179	0.0127	0.0107	0.0091	0.0074	0.0072	20	6	
13	593	0.29402419924736023	573	2.1789896488189697	593.0000	573.0000	430.0000	63.0000	943.0000	353.0000	938.0000	491.0000	575.0000	861.0000	0.2940	0.2304	0.1592	0.0852	0.0714	0.0237	0.0224	0.0196	0.0138	0.0136	1	6	
14	575	0.6150457859039307	573	1.3535887002944946	575.0000	355.0000	107.0000	63.0000	583.0000	593.0000	430.0000	375.0000	353.0000	943.0000	0.6150	0.2019	0.0600	0.0547	0.0135	0.0084	0.0079	0.0046	0.0037	0.0035	39	7	
15	430	0.5342808961868286	573	1.8869154453277588	430.0000	593.0000	63.0000	938.0000	353.0000	598.0000	395.0000	491.0000	573.0000	81.0000	0.5343	0.1121	0.0896	0.0825	0.0410	0.0175	0.0163	0.0144	0.0132	0.0098	8	7	
16	575	0.33596140146255493	573	2.2238783836364746	575.0000	430.0000	107.0000	355.0000	938.0000	63.0000	15.0000	593.0000	901.0000	785.0000	0.3360	0.2187	0.1562	0.0620	0.0442	0.0217	0.0172	0.0165	0.0122	0.0112	17	8	
17	593	0.28987058997154236	573	1.913144826889038	593.0000	430.0000	938.0000	573.0000	491.0000	63.0000	583.0000	575.0000	66.0000	943.0000	0.2899	0.1777	0.1668	0.1204	0.1073	0.0960	0.0182	0.0038	0.0033	0.0032	3	8	
18	575	0.6702329516410828	573	0.8799155950546265	575.0000	355.0000	107.0000	353.0000	430.0000	593.0000	848.0000	938.0000	943.0000	63.0000	0.6702	0.2130	0.1119	0.0012	0.0007	0.0006	0.0006	0.0005	0.0004	0.0003	24	9	
19	593	0.5850330591201782	573	1.4863475561141968	593.0000	938.0000	430.0000	573.0000	575.0000	491.0000	63.0000	943.0000	353.0000	499.0000	0.5850	0.1522	0.0987	0.0631	0.0294	0.0176	0.0128	0.0064	0.0059	0.0047	3	9	
20	575	0.8502357006072998	573	0.5668420791625977	575.0000	107.0000	430.0000	491.0000	355.0000	943.0000	63.0000	395.0000	499.0000	583.0000	0.8502	0.1082	0.0153	0.0148	0.0094	0.0005	0.0005	0.0003	0.0002	0.0001	15	10	
