	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	524	0.26215335726737976	576	3.003241539001465	524.0000	282.0000	807.0000	771.0000	320.0000	0.0000	347.0000	894.0000	615.0000	324.0000	0.2622	0.1293	0.1114	0.0769	0.0529	0.0321	0.0277	0.0221	0.0195	0.0187	22	0	
1	524	0.3906733989715576	576	2.1190409660339355	524.0000	771.0000	488.0000	810.0000	746.0000	744.0000	807.0000	528.0000	58.0000	639.0000	0.3907	0.3259	0.0439	0.0316	0.0174	0.0154	0.0137	0.0131	0.0122	0.0116	94	1	
2	452	0.22714892029762268	576	3.1841652393341064	452.0000	528.0000	873.0000	425.0000	558.0000	894.0000	282.0000	807.0000	744.0000	51.0000	0.2271	0.1845	0.1107	0.0626	0.0507	0.0408	0.0392	0.0290	0.0112	0.0111	79	2	
3	807	0.7940161824226379	576	0.702216386795044	807.0000	524.0000	282.0000	347.0000	854.0000	746.0000	771.0000	894.0000	558.0000	310.0000	0.7940	0.1670	0.0133	0.0098	0.0048	0.0025	0.0009	0.0006	0.0005	0.0004	104	3	
4	324	0.2438814342021942	576	3.0401968955993652	324.0000	254.0000	874.0000	873.0000	425.0000	153.0000	543.0000	524.0000	452.0000	809.0000	0.2439	0.1687	0.1326	0.0522	0.0377	0.0280	0.0247	0.0216	0.0191	0.0179	26	4	
5	771	0.4338206648826599	576	2.040419816970825	771.0000	324.0000	347.0000	859.0000	282.0000	894.0000	874.0000	310.0000	524.0000	682.0000	0.4338	0.1808	0.1124	0.0642	0.0513	0.0281	0.0275	0.0165	0.0096	0.0085	21	5	
6	811	0.2170371264219284	576	2.902113437652588	811.0000	524.0000	771.0000	874.0000	347.0000	792.0000	746.0000	854.0000	809.0000	425.0000	0.2170	0.1879	0.1182	0.1002	0.0603	0.0459	0.0331	0.0216	0.0204	0.0152	25	6	
7	874	0.2532138228416443	576	2.162891387939453	874.0000	282.0000	254.0000	320.0000	873.0000	347.0000	807.0000	809.0000	894.0000	854.0000	0.2532	0.2383	0.1642	0.1108	0.0537	0.0484	0.0467	0.0220	0.0096	0.0088	46	7	
8	282	0.6753228306770325	576	1.882538080215454	282.0000	874.0000	310.0000	205.0000	771.0000	324.0000	810.0000	357.0000	558.0000	615.0000	0.6753	0.0495	0.0392	0.0249	0.0203	0.0118	0.0113	0.0100	0.0099	0.0077	124	8	
9	282	0.8594017028808594	576	0.8837717771530151	282.0000	909.0000	854.0000	874.0000	254.0000	711.0000	807.0000	452.0000	418.0000	320.0000	0.8594	0.0334	0.0253	0.0085	0.0077	0.0075	0.0064	0.0028	0.0028	0.0026	106	9	
10	807	0.9119867086410522	576	0.49376264214515686	807.0000	282.0000	854.0000	874.0000	873.0000	558.0000	418.0000	682.0000	502.0000	425.0000	0.9120	0.0447	0.0065	0.0064	0.0062	0.0043	0.0035	0.0029	0.0011	0.0008	137	10	
11	874	0.6701865792274475	576	1.4848318099975586	874.0000	809.0000	894.0000	771.0000	324.0000	558.0000	282.0000	682.0000	732.0000	254.0000	0.6702	0.0844	0.0772	0.0474	0.0242	0.0100	0.0094	0.0083	0.0076	0.0073	44	11	
12	347	0.26511022448539734	576	2.799468517303467	347.0000	425.0000	854.0000	285.0000	543.0000	874.0000	418.0000	471.0000	576.0000	809.0000	0.2651	0.1259	0.1145	0.0706	0.0560	0.0499	0.0484	0.0403	0.0281	0.0261	8	12	
13	854	0.9770942330360413	576	0.15161699056625366	854.0000	347.0000	874.0000	807.0000	425.0000	809.0000	418.0000	411.0000	810.0000	326.0000	0.9771	0.0131	0.0015	0.0015	0.0010	0.0009	0.0008	0.0007	0.0007	0.0006	27	13	
14	282	0.7946155071258545	576	0.9509357213973999	282.0000	854.0000	258.0000	874.0000	807.0000	558.0000	605.0000	502.0000	441.0000	418.0000	0.7946	0.1154	0.0114	0.0112	0.0106	0.0089	0.0050	0.0038	0.0032	0.0032	213	14	
15	854	0.41536423563957214	576	2.1512935161590576	854.0000	873.0000	254.0000	282.0000	807.0000	347.0000	809.0000	909.0000	319.0000	133.0000	0.4154	0.1288	0.1146	0.1134	0.0548	0.0510	0.0190	0.0146	0.0092	0.0071	236	15	
16	524	0.285722017288208	576	2.8846564292907715	524.0000	874.0000	854.0000	452.0000	868.0000	282.0000	789.0000	162.0000	719.0000	528.0000	0.2857	0.1761	0.0868	0.0637	0.0532	0.0403	0.0250	0.0227	0.0205	0.0168	94	16	
17	324	0.5156751871109009	576	2.2150933742523193	324.0000	639.0000	771.0000	521.0000	420.0000	792.0000	640.0000	0.0000	524.0000	33.0000	0.5157	0.1874	0.0334	0.0236	0.0177	0.0162	0.0112	0.0100	0.0100	0.0099	37	17	
18	874	0.811598539352417	576	0.9233406186103821	874.0000	347.0000	809.0000	254.0000	719.0000	854.0000	811.0000	512.0000	320.0000	57.0000	0.8116	0.0566	0.0530	0.0303	0.0058	0.0054	0.0034	0.0030	0.0025	0.0023	13	18	
19	254	0.31160980463027954	576	2.4400811195373535	254.0000	874.0000	854.0000	347.0000	811.0000	282.0000	320.0000	543.0000	789.0000	57.0000	0.3116	0.2177	0.0979	0.0861	0.0754	0.0280	0.0214	0.0165	0.0150	0.0108	35	19	
20	282	0.8440414667129517	576	0.6298011541366577	282.0000	254.0000	874.0000	558.0000	471.0000	319.0000	57.0000	909.0000	543.0000	771.0000	0.8440	0.1010	0.0295	0.0125	0.0023	0.0018	0.0015	0.0010	0.0008	0.0008	90	20	
21	320	0.6012841463088989	576	1.664565920829773	320.0000	282.0000	854.0000	57.0000	811.0000	130.0000	347.0000	874.0000	471.0000	719.0000	0.6013	0.1289	0.0853	0.0429	0.0403	0.0128	0.0098	0.0068	0.0064	0.0058	83	21	
