	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	637	0.26410648226737976	577	3.3007872104644775	637.0000	47.0000	143.0000	715.0000	912.0000	356.0000	243.0000	216.0000	262.0000	25.0000	0.2641	0.1134	0.0804	0.0776	0.0527	0.0483	0.0471	0.0266	0.0225	0.0216	206	0	
1	637	0.31599313020706177	577	2.8275094032287598	637.0000	47.0000	262.0000	216.0000	717.0000	709.0000	423.0000	790.0000	715.0000	144.0000	0.3160	0.1374	0.0969	0.0724	0.0461	0.0387	0.0347	0.0258	0.0253	0.0249	93	1	
2	637	0.34603607654571533	577	2.171588182449341	637.0000	790.0000	262.0000	709.0000	216.0000	533.0000	535.0000	25.0000	845.0000	408.0000	0.3460	0.1754	0.1464	0.0864	0.0702	0.0292	0.0276	0.0265	0.0208	0.0178	49	2	
3	25	0.22399185597896576	577	2.275869846343994	25.0000	262.0000	501.0000	637.0000	715.0000	709.0000	216.0000	47.0000	408.0000	790.0000	0.2240	0.1602	0.1389	0.1265	0.1103	0.0803	0.0617	0.0410	0.0108	0.0101	59	3	
4	262	0.35746586322784424	577	2.083519458770752	262.0000	216.0000	709.0000	47.0000	637.0000	715.0000	25.0000	535.0000	143.0000	845.0000	0.3575	0.2863	0.0784	0.0748	0.0562	0.0224	0.0149	0.0108	0.0097	0.0093	65	4	
5	216	0.4428098797798157	577	1.8925471305847168	216.0000	47.0000	637.0000	535.0000	709.0000	262.0000	423.0000	701.0000	25.0000	717.0000	0.4428	0.2940	0.0545	0.0462	0.0368	0.0215	0.0119	0.0089	0.0062	0.0060	80	5	
6	47	0.6336380243301392	577	1.540550947189331	47.0000	637.0000	715.0000	262.0000	25.0000	216.0000	790.0000	717.0000	709.0000	533.0000	0.6336	0.1174	0.0461	0.0424	0.0415	0.0254	0.0211	0.0157	0.0138	0.0081	39	6	
7	845	0.2639591693878174	577	2.0742805004119873	845.0000	216.0000	637.0000	709.0000	790.0000	47.0000	715.0000	717.0000	501.0000	262.0000	0.2640	0.2367	0.2305	0.0781	0.0496	0.0367	0.0170	0.0134	0.0107	0.0091	129	7	
8	709	0.5404527187347412	577	1.5590850114822388	709.0000	47.0000	216.0000	637.0000	845.0000	423.0000	717.0000	210.0000	855.0000	25.0000	0.5405	0.1570	0.1226	0.0905	0.0303	0.0167	0.0077	0.0050	0.0048	0.0019	36	8	
9	216	0.455221563577652	577	1.2213246822357178	216.0000	47.0000	709.0000	637.0000	262.0000	855.0000	769.0000	717.0000	25.0000	715.0000	0.4552	0.4443	0.0312	0.0154	0.0100	0.0057	0.0056	0.0050	0.0039	0.0033	64	9	
10	216	0.39988070726394653	577	2.091431140899658	216.0000	845.0000	709.0000	637.0000	715.0000	47.0000	25.0000	262.0000	408.0000	912.0000	0.3999	0.2167	0.1340	0.0343	0.0340	0.0269	0.0250	0.0246	0.0206	0.0112	87	10	
11	709	0.32955533266067505	577	1.8362135887145996	709.0000	47.0000	262.0000	637.0000	790.0000	715.0000	216.0000	25.0000	717.0000	408.0000	0.3296	0.3251	0.0999	0.0590	0.0501	0.0389	0.0380	0.0181	0.0153	0.0085	82	11	
12	637	0.4814389646053314	577	1.6529350280761719	637.0000	709.0000	47.0000	216.0000	717.0000	25.0000	408.0000	262.0000	790.0000	533.0000	0.4814	0.1790	0.1255	0.1152	0.0220	0.0180	0.0169	0.0102	0.0042	0.0042	33	12	
13	47	0.8212670683860779	577	0.8493719100952148	47.0000	637.0000	717.0000	715.0000	216.0000	262.0000	709.0000	664.0000	143.0000	610.0000	0.8213	0.0561	0.0417	0.0342	0.0185	0.0043	0.0031	0.0021	0.0016	0.0015	92	13	
14	709	0.4449496269226074	577	1.6099607944488525	709.0000	47.0000	717.0000	715.0000	25.0000	845.0000	216.0000	262.0000	790.0000	707.0000	0.4449	0.2767	0.1052	0.0711	0.0394	0.0255	0.0081	0.0034	0.0027	0.0026	73	14	
15	47	0.8692567944526672	577	0.6962772607803345	47.0000	216.0000	637.0000	709.0000	845.0000	666.0000	717.0000	762.0000	196.0000	423.0000	0.8693	0.0521	0.0255	0.0118	0.0111	0.0036	0.0031	0.0027	0.0016	0.0014	145	15	
16	709	0.34033575654029846	577	2.2056026458740234	709.0000	47.0000	262.0000	535.0000	533.0000	25.0000	637.0000	216.0000	845.0000	855.0000	0.3403	0.2924	0.0569	0.0498	0.0391	0.0311	0.0295	0.0223	0.0190	0.0131	65	16	
17	715	0.41586169600486755	577	2.751237392425537	715.0000	709.0000	216.0000	637.0000	47.0000	717.0000	701.0000	762.0000	321.0000	262.0000	0.4159	0.1125	0.0694	0.0392	0.0374	0.0330	0.0308	0.0281	0.0210	0.0176	222	17	
18	47	0.7424628138542175	577	0.8727670907974243	47.0000	709.0000	216.0000	637.0000	717.0000	845.0000	715.0000	666.0000	262.0000	408.0000	0.7425	0.1870	0.0203	0.0165	0.0088	0.0069	0.0055	0.0029	0.0018	0.0018	107	18	
19	47	0.3754849433898926	577	2.3292245864868164	47.0000	262.0000	717.0000	701.0000	637.0000	216.0000	715.0000	533.0000	709.0000	144.0000	0.3755	0.1654	0.0927	0.0620	0.0550	0.0483	0.0430	0.0308	0.0269	0.0159	93	19	
20	717	0.2505350410938263	577	2.0009818077087402	717.0000	262.0000	637.0000	709.0000	715.0000	216.0000	47.0000	25.0000	790.0000	423.0000	0.2505	0.1988	0.1638	0.1365	0.1181	0.0549	0.0295	0.0204	0.0120	0.0028	60	20	
21	637	0.6907870173454285	577	1.2006702423095703	637.0000	47.0000	717.0000	216.0000	575.0000	709.0000	38.0000	855.0000	262.0000	707.0000	0.6908	0.1810	0.0576	0.0087	0.0060	0.0056	0.0045	0.0036	0.0035	0.0031	35	21	
