	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	157	0.14520764350891113	579	4.403740882873535	157.0000	364.0000	658.0000	442.0000	538.0000	38.0000	142.0000	255.0000	340.0000	889.0000	0.1452	0.1058	0.0476	0.0465	0.0307	0.0294	0.0270	0.0223	0.0222	0.0197	751	0	
1	38	0.21092985570430756	579	3.4007885456085205	38.0000	335.0000	658.0000	340.0000	538.0000	560.0000	157.0000	226.0000	176.0000	282.0000	0.2109	0.1642	0.0785	0.0673	0.0624	0.0514	0.0279	0.0211	0.0198	0.0163	426	1	
2	157	0.48667365312576294	579	2.627042770385742	157.0000	658.0000	912.0000	38.0000	364.0000	335.0000	290.0000	889.0000	538.0000	144.0000	0.4867	0.1526	0.0301	0.0268	0.0232	0.0191	0.0152	0.0116	0.0104	0.0096	209	2	
3	658	0.3859460949897766	579	1.7758469581604004	658.0000	335.0000	157.0000	340.0000	560.0000	442.0000	650.0000	290.0000	538.0000	38.0000	0.3859	0.3238	0.1407	0.0229	0.0226	0.0215	0.0104	0.0081	0.0078	0.0063	185	3	
4	157	0.17258840799331665	579	2.7475852966308594	157.0000	538.0000	335.0000	38.0000	560.0000	340.0000	290.0000	658.0000	651.0000	384.0000	0.1726	0.1598	0.1197	0.1114	0.0889	0.0672	0.0589	0.0347	0.0221	0.0203	96	4	
5	157	0.40285199880599976	579	1.8523809909820557	157.0000	658.0000	38.0000	335.0000	511.0000	290.0000	364.0000	385.0000	650.0000	142.0000	0.4029	0.3425	0.0806	0.0534	0.0152	0.0116	0.0088	0.0058	0.0038	0.0037	71	5	
6	335	0.13135437667369843	579	2.9675023555755615	335.0000	46.0000	290.0000	340.0000	282.0000	385.0000	658.0000	889.0000	226.0000	60.0000	0.1314	0.1157	0.1081	0.0881	0.0853	0.0798	0.0778	0.0708	0.0522	0.0310	44	6	
7	658	0.3072300851345062	579	2.6658809185028076	658.0000	157.0000	335.0000	538.0000	650.0000	38.0000	385.0000	364.0000	282.0000	290.0000	0.3072	0.2390	0.1132	0.0429	0.0417	0.0396	0.0157	0.0151	0.0145	0.0103	42	7	
8	340	0.1979455053806305	579	3.2379214763641357	340.0000	364.0000	385.0000	335.0000	290.0000	157.0000	38.0000	658.0000	560.0000	650.0000	0.1979	0.1909	0.0805	0.0728	0.0535	0.0339	0.0330	0.0234	0.0196	0.0192	25	8	
9	923	0.2328854650259018	579	2.9177281856536865	923.0000	560.0000	658.0000	340.0000	335.0000	650.0000	538.0000	651.0000	38.0000	385.0000	0.2329	0.1034	0.1027	0.1019	0.0715	0.0558	0.0460	0.0334	0.0279	0.0246	39	9	
10	157	0.9670955538749695	579	0.21961745619773865	157.0000	658.0000	538.0000	340.0000	290.0000	923.0000	385.0000	650.0000	335.0000	364.0000	0.9671	0.0092	0.0082	0.0065	0.0016	0.0012	0.0006	0.0006	0.0006	0.0005	15	10	
11	384	0.4403511881828308	579	2.1456847190856934	384.0000	38.0000	157.0000	364.0000	290.0000	489.0000	335.0000	658.0000	912.0000	340.0000	0.4404	0.1661	0.0954	0.0932	0.0272	0.0233	0.0205	0.0196	0.0126	0.0098	11	11	
