	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	583	0.23001357913017273	580	3.95822811126709	583.0000	297.0000	37.0000	396.0000	626.0000	534.0000	468.0000	515.0000	942.0000	439.0000	0.2300	0.0778	0.0764	0.0537	0.0378	0.0348	0.0269	0.0218	0.0198	0.0169	55	0	
1	942	0.2383023500442505	580	3.334832191467285	942.0000	521.0000	297.0000	468.0000	626.0000	449.0000	0.0000	477.0000	635.0000	534.0000	0.2383	0.0969	0.0958	0.0747	0.0712	0.0711	0.0253	0.0187	0.0175	0.0123	47	1	
2	297	0.19408459961414337	580	3.5017874240875244	297.0000	449.0000	942.0000	412.0000	626.0000	521.0000	872.0000	475.0000	941.0000	90.0000	0.1941	0.1819	0.0644	0.0564	0.0564	0.0540	0.0235	0.0184	0.0164	0.0157	121	2	
3	942	0.5506585836410522	580	1.770842432975769	942.0000	449.0000	297.0000	90.0000	12.0000	888.0000	468.0000	439.0000	534.0000	561.0000	0.5507	0.2176	0.0321	0.0275	0.0164	0.0159	0.0143	0.0138	0.0129	0.0127	59	3	
4	297	0.4166567027568817	580	1.4542319774627686	297.0000	12.0000	888.0000	439.0000	942.0000	534.0000	521.0000	449.0000	488.0000	626.0000	0.4167	0.4118	0.0646	0.0353	0.0154	0.0072	0.0050	0.0049	0.0038	0.0031	113	4	
5	942	0.7267798781394958	580	0.9789255857467651	942.0000	12.0000	449.0000	297.0000	521.0000	888.0000	490.0000	550.0000	386.0000	802.0000	0.7268	0.2043	0.0105	0.0083	0.0059	0.0049	0.0047	0.0039	0.0025	0.0024	66	5	
6	12	0.5580072402954102	580	2.0736474990844727	12.0000	297.0000	449.0000	466.0000	521.0000	396.0000	872.0000	888.0000	942.0000	90.0000	0.5580	0.1287	0.0423	0.0280	0.0277	0.0254	0.0211	0.0171	0.0124	0.0110	155	6	
7	449	0.3371136784553528	580	2.6187515258789062	449.0000	297.0000	872.0000	199.0000	942.0000	69.0000	466.0000	521.0000	64.0000	12.0000	0.3371	0.1619	0.1295	0.0614	0.0557	0.0534	0.0166	0.0151	0.0106	0.0078	57	7	
8	449	0.4162740409374237	580	2.6635732650756836	449.0000	386.0000	942.0000	297.0000	310.0000	466.0000	700.0000	0.0000	521.0000	468.0000	0.4163	0.0774	0.0633	0.0458	0.0412	0.0402	0.0394	0.0384	0.0335	0.0194	67	8	
9	490	0.46257495880126953	580	1.879335880279541	490.0000	297.0000	449.0000	626.0000	6.0000	700.0000	199.0000	118.0000	468.0000	0.0000	0.4626	0.1545	0.1418	0.1199	0.0156	0.0112	0.0101	0.0074	0.0073	0.0060	132	9	
10	521	0.5728438496589661	580	1.9776558876037598	521.0000	626.0000	449.0000	118.0000	69.0000	64.0000	297.0000	12.0000	479.0000	942.0000	0.5728	0.0953	0.0590	0.0570	0.0241	0.0230	0.0196	0.0133	0.0127	0.0126	38	10	
11	449	0.26052406430244446	580	3.176314353942871	449.0000	888.0000	521.0000	525.0000	199.0000	118.0000	439.0000	64.0000	386.0000	412.0000	0.2605	0.1207	0.0570	0.0512	0.0478	0.0475	0.0377	0.0311	0.0311	0.0280	108	11	
12	297	0.93526691198349	580	0.4868897497653961	297.0000	64.0000	0.0000	443.0000	12.0000	942.0000	222.0000	69.0000	449.0000	872.0000	0.9353	0.0067	0.0057	0.0047	0.0039	0.0032	0.0027	0.0026	0.0023	0.0023	48	12	
