	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	362	0.20903079211711884	587	3.430290937423706	362.0000	205.0000	131.0000	204.0000	358.0000	61.0000	626.0000	787.0000	6.0000	721.0000	0.2090	0.1080	0.0937	0.0868	0.0637	0.0451	0.0276	0.0265	0.0216	0.0191	917	0	
1	148	0.17955490946769714	587	3.2946603298187256	148.0000	140.0000	767.0000	32.0000	650.0000	2.0000	227.0000	658.0000	356.0000	923.0000	0.1796	0.1472	0.0673	0.0528	0.0473	0.0454	0.0415	0.0386	0.0331	0.0330	881	0	
2	75	0.1582428514957428	587	3.7908029556274414	75.0000	213.0000	61.0000	362.0000	343.0000	212.0000	919.0000	528.0000	552.0000	45.0000	0.1582	0.1014	0.0788	0.0764	0.0489	0.0398	0.0319	0.0283	0.0236	0.0228	765	1	
3	156	0.43245360255241394	587	2.244373321533203	156.0000	2.0000	62.0000	227.0000	889.0000	650.0000	895.0000	32.0000	46.0000	140.0000	0.4325	0.1348	0.0844	0.0826	0.0571	0.0268	0.0200	0.0190	0.0164	0.0157	760	1	
4	776	0.2222074568271637	587	3.050492286682129	776.0000	362.0000	315.0000	245.0000	893.0000	75.0000	552.0000	112.0000	344.0000	212.0000	0.2222	0.2082	0.1130	0.0396	0.0321	0.0292	0.0284	0.0211	0.0197	0.0176	607	2	
5	767	0.6353574991226196	587	1.6461284160614014	767.0000	912.0000	650.0000	38.0000	714.0000	140.0000	2.0000	156.0000	148.0000	243.0000	0.6354	0.1263	0.0308	0.0250	0.0238	0.0238	0.0226	0.0139	0.0120	0.0110	519	2	
6	45	0.2843649983406067	587	3.318359851837158	45.0000	614.0000	315.0000	75.0000	204.0000	112.0000	211.0000	212.0000	603.0000	414.0000	0.2844	0.0862	0.0809	0.0657	0.0452	0.0328	0.0291	0.0260	0.0166	0.0165	498	3	
7	650	0.8145694136619568	587	0.7924445867538452	650.0000	227.0000	658.0000	156.0000	767.0000	542.0000	157.0000	62.0000	895.0000	143.0000	0.8146	0.0945	0.0407	0.0205	0.0064	0.0042	0.0037	0.0023	0.0016	0.0013	525	3	
8	614	0.14237558841705322	587	3.592395067214966	614.0000	282.0000	315.0000	75.0000	166.0000	211.0000	213.0000	483.0000	45.0000	204.0000	0.1424	0.1279	0.1089	0.1077	0.0598	0.0301	0.0226	0.0217	0.0193	0.0182	484	4	
9	650	0.808254599571228	587	1.1081182956695557	650.0000	2.0000	156.0000	542.0000	227.0000	658.0000	912.0000	140.0000	49.0000	32.0000	0.8083	0.0243	0.0200	0.0185	0.0182	0.0140	0.0120	0.0093	0.0070	0.0066	407	4	
10	282	0.5720313787460327	587	2.3275108337402344	282.0000	6.0000	205.0000	45.0000	344.0000	75.0000	436.0000	144.0000	614.0000	211.0000	0.5720	0.0573	0.0348	0.0321	0.0309	0.0260	0.0215	0.0154	0.0118	0.0106	408	5	
11	156	0.3072682321071625	587	2.2317216396331787	156.0000	46.0000	3.0000	49.0000	650.0000	143.0000	356.0000	767.0000	484.0000	166.0000	0.3073	0.2570	0.1265	0.0802	0.0788	0.0197	0.0145	0.0111	0.0090	0.0072	384	5	
12	75	0.1762477606534958	587	3.7561237812042236	75.0000	344.0000	436.0000	614.0000	204.0000	721.0000	45.0000	627.0000	213.0000	205.0000	0.1762	0.1122	0.0702	0.0595	0.0536	0.0357	0.0344	0.0343	0.0245	0.0229	419	6	
13	650	0.7075710892677307	587	1.2018673419952393	650.0000	658.0000	156.0000	144.0000	912.0000	714.0000	157.0000	143.0000	767.0000	32.0000	0.7076	0.1347	0.0598	0.0177	0.0112	0.0108	0.0102	0.0073	0.0056	0.0051	314	6	
14	727	0.12011505663394928	587	3.623868465423584	727.0000	614.0000	844.0000	205.0000	617.0000	220.0000	627.0000	211.0000	919.0000	364.0000	0.1201	0.1156	0.0962	0.0902	0.0494	0.0401	0.0395	0.0320	0.0301	0.0298	335	7	
15	767	0.5518024563789368	587	1.9434082508087158	767.0000	870.0000	156.0000	650.0000	143.0000	542.0000	2.0000	157.0000	243.0000	912.0000	0.5518	0.1239	0.0432	0.0406	0.0339	0.0321	0.0226	0.0224	0.0163	0.0163	340	7	
16	75	0.8419668078422546	587	0.7287972569465637	75.0000	721.0000	112.0000	205.0000	917.0000	629.0000	614.0000	351.0000	310.0000	213.0000	0.8420	0.0923	0.0300	0.0061	0.0030	0.0027	0.0014	0.0012	0.0012	0.0010	380	8	
17	650	0.29919397830963135	587	2.1194007396698	650.0000	912.0000	767.0000	156.0000	140.0000	2.0000	542.0000	32.0000	243.0000	356.0000	0.2992	0.2273	0.1491	0.0769	0.0729	0.0469	0.0339	0.0199	0.0128	0.0107	267	8	
18	75	0.18287381529808044	587	3.566180944442749	75.0000	205.0000	211.0000	614.0000	703.0000	492.0000	531.0000	315.0000	721.0000	55.0000	0.1829	0.1310	0.0802	0.0625	0.0522	0.0377	0.0374	0.0334	0.0272	0.0203	203	9	
