	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	54	0.39308324456214905	588	3.4492385387420654	54.0000	470.0000	657.0000	96.0000	375.0000	641.0000	845.0000	541.0000	142.0000	833.0000	0.3931	0.0666	0.0433	0.0381	0.0284	0.0229	0.0217	0.0155	0.0147	0.0136	210	0	
1	54	0.22444267570972443	588	3.2773547172546387	54.0000	375.0000	301.0000	541.0000	833.0000	575.0000	142.0000	144.0000	701.0000	5.0000	0.2244	0.1286	0.1201	0.0806	0.0495	0.0347	0.0211	0.0204	0.0187	0.0171	69	1	
2	909	0.16407878696918488	588	4.254799842834473	909.0000	347.0000	96.0000	301.0000	541.0000	690.0000	735.0000	142.0000	652.0000	282.0000	0.1641	0.1171	0.0561	0.0518	0.0438	0.0220	0.0202	0.0181	0.0146	0.0145	200	2	
3	501	0.3133992850780487	588	3.82381534576416	501.0000	423.0000	608.0000	690.0000	470.0000	301.0000	96.0000	583.0000	54.0000	375.0000	0.3134	0.0525	0.0436	0.0426	0.0361	0.0265	0.0251	0.0251	0.0187	0.0170	314	3	
4	701	0.6199769377708435	588	2.5533928871154785	701.0000	762.0000	824.0000	301.0000	81.0000	470.0000	375.0000	657.0000	5.0000	874.0000	0.6200	0.0222	0.0220	0.0183	0.0165	0.0099	0.0083	0.0079	0.0073	0.0073	366	4	
5	902	0.20373401045799255	588	3.6115055084228516	902.0000	747.0000	142.0000	571.0000	235.0000	501.0000	652.0000	672.0000	690.0000	909.0000	0.2037	0.1457	0.0844	0.0669	0.0559	0.0395	0.0370	0.0185	0.0126	0.0106	69	5	
6	301	0.4442403316497803	588	2.543675422668457	301.0000	262.0000	423.0000	762.0000	501.0000	80.0000	637.0000	47.0000	652.0000	709.0000	0.4442	0.1202	0.0908	0.0411	0.0386	0.0268	0.0257	0.0185	0.0147	0.0141	51	6	
7	375	0.1581364870071411	588	3.8078184127807617	375.0000	690.0000	301.0000	142.0000	652.0000	122.0000	121.0000	609.0000	235.0000	80.0000	0.1581	0.1560	0.0671	0.0602	0.0573	0.0467	0.0273	0.0252	0.0233	0.0206	156	7	
8	54	0.8563832640647888	588	0.9552361965179443	54.0000	657.0000	347.0000	142.0000	902.0000	715.0000	262.0000	501.0000	25.0000	909.0000	0.8564	0.0218	0.0179	0.0139	0.0124	0.0065	0.0061	0.0055	0.0039	0.0024	106	8	
9	96	0.1213807761669159	588	3.5186402797698975	96.0000	326.0000	347.0000	909.0000	735.0000	497.0000	818.0000	583.0000	657.0000	641.0000	0.1214	0.1195	0.1081	0.1073	0.0761	0.0451	0.0395	0.0312	0.0236	0.0184	770	9	
