	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	811	0.0356348492205143	589	5.566176414489746	811.0000	585.0000	854.0000	304.0000	627.0000	285.0000	0.0000	226.0000	942.0000	277.0000	0.0356	0.0308	0.0228	0.0215	0.0198	0.0190	0.0178	0.0177	0.0176	0.0171	34	0	
1	226	0.7182444334030151	589	1.1861307621002197	226.0000	364.0000	191.0000	340.0000	304.0000	730.0000	181.0000	319.0000	854.0000	538.0000	0.7182	0.1166	0.0504	0.0396	0.0300	0.0046	0.0032	0.0032	0.0025	0.0023	256	0	
2	153	0.04650111496448517	589	5.535724639892578	153.0000	854.0000	844.0000	282.0000	789.0000	0.0000	488.0000	884.0000	837.0000	626.0000	0.0465	0.0360	0.0347	0.0214	0.0168	0.0165	0.0154	0.0147	0.0147	0.0141	54	0	
3	226	0.4241011440753937	589	2.040285587310791	226.0000	340.0000	364.0000	191.0000	304.0000	384.0000	730.0000	928.0000	319.0000	282.0000	0.4241	0.2225	0.0983	0.0565	0.0454	0.0238	0.0209	0.0124	0.0108	0.0103	190	0	
4	226	0.16779868304729462	589	3.9718267917633057	226.0000	503.0000	558.0000	141.0000	441.0000	888.0000	277.0000	279.0000	532.0000	165.0000	0.1678	0.1533	0.0587	0.0511	0.0509	0.0398	0.0194	0.0163	0.0139	0.0134	11	1	
5	226	0.7580718398094177	589	1.072973608970642	226.0000	364.0000	340.0000	191.0000	441.0000	453.0000	442.0000	730.0000	558.0000	319.0000	0.7581	0.0815	0.0691	0.0198	0.0182	0.0148	0.0069	0.0050	0.0029	0.0024	257	1	
6	528	0.10972817242145538	589	4.845512390136719	528.0000	532.0000	441.0000	558.0000	476.0000	524.0000	888.0000	884.0000	503.0000	526.0000	0.1097	0.0780	0.0379	0.0361	0.0348	0.0297	0.0286	0.0177	0.0177	0.0161	87	1	
7	226	0.3501264154911041	589	2.1041364669799805	226.0000	340.0000	364.0000	441.0000	191.0000	319.0000	453.0000	730.0000	558.0000	442.0000	0.3501	0.3127	0.0747	0.0657	0.0340	0.0238	0.0167	0.0157	0.0148	0.0080	297	1	
8	277	0.05338840186595917	589	4.952700138092041	277.0000	724.0000	558.0000	304.0000	503.0000	441.0000	854.0000	910.0000	884.0000	137.0000	0.0534	0.0525	0.0489	0.0465	0.0353	0.0336	0.0240	0.0202	0.0200	0.0199	122	2	
9	226	0.7869417071342468	589	1.0847821235656738	226.0000	304.0000	191.0000	854.0000	219.0000	698.0000	441.0000	558.0000	364.0000	928.0000	0.7869	0.0773	0.0405	0.0119	0.0110	0.0094	0.0090	0.0053	0.0050	0.0039	585	2	
10	277	0.6714401841163635	589	1.6226859092712402	277.0000	854.0000	278.0000	558.0000	503.0000	441.0000	528.0000	279.0000	837.0000	724.0000	0.6714	0.1228	0.0473	0.0213	0.0130	0.0125	0.0089	0.0088	0.0083	0.0044	295	2	
11	226	0.7909696698188782	589	1.1354525089263916	226.0000	304.0000	219.0000	928.0000	191.0000	854.0000	441.0000	228.0000	277.0000	698.0000	0.7910	0.0650	0.0317	0.0130	0.0129	0.0095	0.0083	0.0068	0.0060	0.0045	417	2	
