	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	358	0.22303657233715057	590	3.7931199073791504	358.0000	621.0000	590.0000	509.0000	141.0000	681.0000	705.0000	925.0000	169.0000	507.0000	0.2230	0.1340	0.0522	0.0483	0.0452	0.0381	0.0316	0.0266	0.0144	0.0143	2	0	
1	621	0.2687016725540161	590	2.644270896911621	621.0000	681.0000	590.0000	510.0000	589.0000	507.0000	925.0000	141.0000	232.0000	363.0000	0.2687	0.2110	0.1483	0.0706	0.0334	0.0289	0.0227	0.0194	0.0184	0.0181	2	0	
2	681	0.3013155162334442	590	2.8494937419891357	681.0000	590.0000	509.0000	510.0000	621.0000	670.0000	358.0000	507.0000	662.0000	363.0000	0.3013	0.1996	0.1117	0.0536	0.0427	0.0201	0.0200	0.0190	0.0178	0.0134	1	0	
3	358	0.19299961626529694	590	3.108962059020996	358.0000	621.0000	681.0000	590.0000	141.0000	507.0000	509.0000	925.0000	705.0000	169.0000	0.1930	0.1626	0.1209	0.0944	0.0806	0.0391	0.0310	0.0224	0.0190	0.0151	3	0	
4	621	0.4814666509628296	590	2.2912752628326416	621.0000	681.0000	590.0000	510.0000	363.0000	768.0000	589.0000	925.0000	869.0000	141.0000	0.4815	0.1623	0.0677	0.0360	0.0342	0.0198	0.0176	0.0164	0.0120	0.0118	2	0	
5	358	0.23794621229171753	590	3.7718429565429688	358.0000	621.0000	590.0000	141.0000	509.0000	681.0000	705.0000	925.0000	510.0000	507.0000	0.2379	0.1249	0.0493	0.0490	0.0450	0.0425	0.0319	0.0242	0.0144	0.0129	2	0	
6	621	0.4215981662273407	590	2.4375407695770264	621.0000	681.0000	590.0000	363.0000	510.0000	768.0000	589.0000	869.0000	925.0000	232.0000	0.4216	0.1903	0.0775	0.0422	0.0411	0.0193	0.0156	0.0144	0.0140	0.0108	2	0	
7	509	0.29487261176109314	590	2.6504642963409424	509.0000	358.0000	621.0000	643.0000	626.0000	590.0000	811.0000	705.0000	510.0000	141.0000	0.2949	0.1834	0.1307	0.1065	0.0524	0.0216	0.0195	0.0182	0.0100	0.0094	5	1	
8	169	0.2178959995508194	590	2.998046875	169.0000	358.0000	621.0000	141.0000	162.0000	509.0000	382.0000	705.0000	925.0000	316.0000	0.2179	0.1624	0.1084	0.0773	0.0592	0.0484	0.0359	0.0263	0.0247	0.0209	14	1	
9	705	0.20509561896324158	590	3.5043625831604004	705.0000	483.0000	509.0000	358.0000	621.0000	169.0000	495.0000	925.0000	49.0000	162.0000	0.2051	0.1020	0.0834	0.0629	0.0543	0.0362	0.0307	0.0306	0.0291	0.0274	30	1	
10	509	0.6059275269508362	590	1.4550095796585083	509.0000	621.0000	626.0000	358.0000	590.0000	316.0000	871.0000	705.0000	141.0000	495.0000	0.6059	0.2346	0.0416	0.0217	0.0154	0.0068	0.0059	0.0048	0.0046	0.0041	4	1	
11	621	0.385672003030777	590	2.713697910308838	621.0000	382.0000	358.0000	510.0000	169.0000	440.0000	162.0000	316.0000	75.0000	585.0000	0.3857	0.1482	0.0833	0.0348	0.0330	0.0264	0.0238	0.0205	0.0184	0.0174	18	1	
12	509	0.29285332560539246	590	2.5449299812316895	509.0000	358.0000	643.0000	621.0000	626.0000	590.0000	705.0000	141.0000	811.0000	495.0000	0.2929	0.2154	0.1256	0.1153	0.0511	0.0201	0.0133	0.0100	0.0095	0.0067	5	1	
