	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	485	0.07514920085668564	591	5.351512908935547	485.0000	521.0000	893.0000	232.0000	582.0000	528.0000	0.0000	789.0000	235.0000	844.0000	0.0751	0.0289	0.0277	0.0242	0.0226	0.0226	0.0217	0.0209	0.0176	0.0174	479	0	
1	868	0.16608978807926178	591	3.680811882019043	868.0000	282.0000	331.0000	348.0000	789.0000	315.0000	153.0000	811.0000	162.0000	347.0000	0.1661	0.1515	0.1217	0.0693	0.0530	0.0256	0.0207	0.0163	0.0159	0.0149	494	0	
2	528	0.06499682366847992	591	4.984318733215332	528.0000	893.0000	582.0000	844.0000	521.0000	75.0000	552.0000	315.0000	232.0000	348.0000	0.0650	0.0632	0.0457	0.0423	0.0376	0.0323	0.0238	0.0198	0.0149	0.0144	417	0	
3	282	0.4840424656867981	591	2.3321499824523926	282.0000	789.0000	331.0000	868.0000	348.0000	45.0000	205.0000	315.0000	153.0000	627.0000	0.4840	0.1665	0.0559	0.0341	0.0324	0.0203	0.0197	0.0166	0.0160	0.0100	470	0	
4	485	0.25997424125671387	591	3.4448535442352295	485.0000	282.0000	893.0000	523.0000	844.0000	854.0000	585.0000	0.0000	626.0000	315.0000	0.2600	0.2478	0.0562	0.0295	0.0237	0.0161	0.0113	0.0094	0.0085	0.0083	85	1	
5	457	0.15356212854385376	591	3.7351455688476562	457.0000	282.0000	348.0000	57.0000	811.0000	585.0000	868.0000	819.0000	249.0000	347.0000	0.1536	0.1353	0.1143	0.0713	0.0446	0.0355	0.0257	0.0251	0.0232	0.0227	133	1	
6	844	0.1554647535085678	591	4.417938709259033	844.0000	521.0000	854.0000	893.0000	348.0000	808.0000	84.0000	826.0000	282.0000	805.0000	0.1555	0.0922	0.0700	0.0491	0.0233	0.0233	0.0217	0.0192	0.0184	0.0175	86	1	
7	282	0.20388469099998474	591	3.2406864166259766	282.0000	819.0000	348.0000	57.0000	320.0000	523.0000	100.0000	585.0000	85.0000	247.0000	0.2039	0.1776	0.1449	0.0401	0.0353	0.0324	0.0261	0.0240	0.0208	0.0198	117	1	
8	239	0.2148602455854416	591	3.4078152179718018	239.0000	215.0000	844.0000	315.0000	893.0000	153.0000	582.0000	727.0000	282.0000	628.0000	0.2149	0.1364	0.1250	0.0644	0.0468	0.0356	0.0275	0.0202	0.0166	0.0135	133	2	
9	153	0.4968487322330475	591	2.7745749950408936	153.0000	627.0000	789.0000	315.0000	868.0000	457.0000	585.0000	331.0000	249.0000	45.0000	0.4968	0.0434	0.0409	0.0368	0.0323	0.0242	0.0189	0.0189	0.0182	0.0167	186	2	
10	844	0.8217435479164124	591	1.155238389968872	844.0000	582.0000	893.0000	315.0000	215.0000	521.0000	531.0000	826.0000	532.0000	213.0000	0.8217	0.0331	0.0189	0.0086	0.0081	0.0081	0.0048	0.0045	0.0044	0.0039	141	2	
11	153	0.373714804649353	591	3.2950336933135986	153.0000	789.0000	627.0000	249.0000	215.0000	315.0000	348.0000	585.0000	457.0000	45.0000	0.3737	0.0585	0.0582	0.0512	0.0360	0.0329	0.0208	0.0170	0.0164	0.0155	186	2	
12	215	0.13063134253025055	591	3.9772098064422607	215.0000	232.0000	819.0000	865.0000	0.0000	282.0000	130.0000	528.0000	75.0000	532.0000	0.1306	0.0862	0.0655	0.0589	0.0421	0.0403	0.0250	0.0246	0.0239	0.0217	62	3	
13	348	0.44541701674461365	591	1.819719910621643	348.0000	282.0000	627.0000	249.0000	153.0000	45.0000	789.0000	585.0000	811.0000	205.0000	0.4454	0.2115	0.1335	0.0901	0.0263	0.0147	0.0076	0.0074	0.0067	0.0056	238	3	
14	215	0.3061988949775696	591	2.6843276023864746	215.0000	232.0000	614.0000	819.0000	75.0000	585.0000	865.0000	521.0000	348.0000	532.0000	0.3062	0.1201	0.1080	0.0902	0.0824	0.0491	0.0344	0.0287	0.0201	0.0163	79	3	
15	627	0.37439078092575073	591	1.8490245342254639	627.0000	249.0000	282.0000	789.0000	348.0000	585.0000	45.0000	232.0000	215.0000	205.0000	0.3744	0.2849	0.1347	0.0535	0.0463	0.0233	0.0213	0.0092	0.0071	0.0066	203	3	
16	582	0.24791137874126434	591	3.473792314529419	582.0000	282.0000	528.0000	130.0000	239.0000	727.0000	315.0000	724.0000	757.0000	884.0000	0.2479	0.1512	0.0576	0.0493	0.0412	0.0353	0.0293	0.0227	0.0211	0.0185	60	4	
17	868	0.31746894121170044	591	2.0200753211975098	868.0000	282.0000	153.0000	315.0000	205.0000	434.0000	627.0000	177.0000	223.0000	34.0000	0.3175	0.2554	0.1996	0.0603	0.0601	0.0156	0.0106	0.0081	0.0073	0.0045	387	4	
