	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	575	0.5427476763725281	593	2.1692428588867188	575.0000	598.0000	430.0000	80.0000	172.0000	63.0000	675.0000	37.0000	593.0000	122.0000	0.5427	0.0789	0.0758	0.0378	0.0349	0.0248	0.0221	0.0199	0.0171	0.0139	8	0	
1	575	0.6599316596984863	593	1.6261301040649414	575.0000	598.0000	675.0000	430.0000	172.0000	593.0000	63.0000	287.0000	37.0000	594.0000	0.6599	0.0656	0.0602	0.0413	0.0262	0.0241	0.0209	0.0148	0.0110	0.0098	5	0	
2	675	0.5207840204238892	593	1.450164556503296	675.0000	575.0000	593.0000	938.0000	594.0000	598.0000	172.0000	355.0000	63.0000	122.0000	0.5208	0.2521	0.0908	0.0541	0.0367	0.0144	0.0052	0.0040	0.0034	0.0033	2	1	
3	675	0.5678336024284363	593	1.5001881122589111	675.0000	575.0000	598.0000	593.0000	938.0000	594.0000	172.0000	122.0000	80.0000	37.0000	0.5678	0.1395	0.1004	0.0752	0.0367	0.0296	0.0244	0.0096	0.0034	0.0025	3	1	
4	598	0.3004608750343323	593	2.1907756328582764	598.0000	593.0000	575.0000	675.0000	63.0000	938.0000	122.0000	594.0000	81.0000	172.0000	0.3005	0.1410	0.1160	0.1099	0.0968	0.0870	0.0469	0.0392	0.0103	0.0095	1	2	
5	63	0.3175165355205536	593	2.118957757949829	63.0000	575.0000	598.0000	593.0000	938.0000	675.0000	287.0000	81.0000	818.0000	353.0000	0.3175	0.1639	0.1516	0.1027	0.0719	0.0571	0.0333	0.0314	0.0164	0.0126	3	2	
6	593	0.21058470010757446	593	2.8842830657958984	593.0000	253.0000	675.0000	80.0000	594.0000	412.0000	122.0000	11.0000	172.0000	583.0000	0.2106	0.1729	0.1355	0.0995	0.0827	0.0258	0.0254	0.0180	0.0159	0.0157	0	3	
7	593	0.4492197334766388	593	1.7529089450836182	593.0000	675.0000	172.0000	253.0000	598.0000	221.0000	597.0000	287.0000	80.0000	63.0000	0.4492	0.3103	0.0575	0.0502	0.0229	0.0181	0.0143	0.0070	0.0063	0.0060	0	3	
8	594	0.29953449964523315	593	2.102907657623291	594.0000	598.0000	122.0000	675.0000	353.0000	852.0000	575.0000	172.0000	63.0000	253.0000	0.2995	0.2158	0.2051	0.1160	0.0163	0.0161	0.0155	0.0138	0.0124	0.0109	11	4	
9	598	0.259640097618103	593	2.735633373260498	598.0000	675.0000	575.0000	594.0000	63.0000	234.0000	593.0000	852.0000	597.0000	353.0000	0.2596	0.1315	0.0844	0.0700	0.0611	0.0502	0.0460	0.0405	0.0387	0.0298	6	4	
