	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	491	0.6243579983711243	594	1.7226537466049194	491.0000	594.0000	343.0000	375.0000	575.0000	310.0000	122.0000	598.0000	574.0000	573.0000	0.6244	0.1314	0.0546	0.0288	0.0256	0.0196	0.0171	0.0142	0.0062	0.0055	1	0	
1	491	0.5188480019569397	594	1.8814425468444824	491.0000	375.0000	575.0000	594.0000	598.0000	122.0000	574.0000	881.0000	573.0000	938.0000	0.5188	0.1124	0.1049	0.0639	0.0597	0.0468	0.0190	0.0096	0.0089	0.0057	3	0	
2	491	0.8493669033050537	594	0.9284573793411255	491.0000	594.0000	575.0000	375.0000	598.0000	574.0000	573.0000	343.0000	881.0000	122.0000	0.8494	0.0279	0.0142	0.0140	0.0117	0.0093	0.0090	0.0086	0.0079	0.0062	1	0	
3	122	0.40706756711006165	594	1.6151303052902222	122.0000	375.0000	491.0000	598.0000	575.0000	594.0000	675.0000	938.0000	574.0000	470.0000	0.4071	0.2195	0.2079	0.0658	0.0462	0.0319	0.0026	0.0025	0.0021	0.0018	5	0	
4	594	0.65968257188797	594	1.408805251121521	594.0000	598.0000	575.0000	491.0000	122.0000	172.0000	675.0000	938.0000	814.0000	375.0000	0.6597	0.1370	0.0593	0.0400	0.0291	0.0124	0.0074	0.0067	0.0066	0.0044	0	0	
5	598	0.08545174449682236	594	4.25383186340332	598.0000	594.0000	575.0000	491.0000	343.0000	122.0000	844.0000	449.0000	574.0000	253.0000	0.0855	0.0775	0.0762	0.0688	0.0438	0.0325	0.0270	0.0251	0.0232	0.0231	1	0	
6	122	0.4489000141620636	594	2.0031685829162598	122.0000	594.0000	575.0000	598.0000	80.0000	375.0000	583.0000	491.0000	597.0000	81.0000	0.4489	0.2422	0.0811	0.0360	0.0294	0.0195	0.0175	0.0122	0.0096	0.0086	1	0	
7	594	0.5279456973075867	594	1.8172444105148315	594.0000	598.0000	575.0000	122.0000	491.0000	172.0000	597.0000	375.0000	938.0000	573.0000	0.5279	0.1541	0.0835	0.0779	0.0459	0.0163	0.0100	0.0095	0.0091	0.0068	0	0	
8	594	0.2259456366300583	594	3.706200361251831	594.0000	122.0000	343.0000	491.0000	575.0000	598.0000	574.0000	253.0000	675.0000	583.0000	0.2259	0.0865	0.0789	0.0631	0.0548	0.0540	0.0403	0.0220	0.0145	0.0130	0	0	
9	491	0.3767615556716919	594	2.687023639678955	491.0000	575.0000	574.0000	122.0000	881.0000	573.0000	594.0000	598.0000	375.0000	675.0000	0.3768	0.1067	0.0563	0.0555	0.0515	0.0466	0.0462	0.0338	0.0254	0.0228	6	0	
10	491	0.32975611090660095	594	2.3949785232543945	491.0000	598.0000	594.0000	575.0000	375.0000	122.0000	573.0000	938.0000	675.0000	574.0000	0.3298	0.2131	0.1058	0.0992	0.0309	0.0250	0.0220	0.0191	0.0179	0.0135	2	0	
11	491	0.4142979085445404	594	2.182847499847412	491.0000	594.0000	598.0000	575.0000	122.0000	375.0000	574.0000	597.0000	172.0000	573.0000	0.4143	0.2456	0.0852	0.0602	0.0289	0.0233	0.0149	0.0105	0.0104	0.0077	1	0	
