	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	122	0.8303762078285217	596	0.8634914755821228	122.0000	353.0000	594.0000	80.0000	818.0000	113.0000	583.0000	597.0000	81.0000	63.0000	0.8304	0.0534	0.0296	0.0270	0.0126	0.0109	0.0047	0.0035	0.0031	0.0030	59	0	
1	63	0.30085816979408264	596	3.157256603240967	63.0000	287.0000	143.0000	122.0000	205.0000	144.0000	594.0000	598.0000	575.0000	597.0000	0.3009	0.1070	0.0667	0.0552	0.0547	0.0500	0.0400	0.0310	0.0237	0.0198	211	0	
2	594	0.487804651260376	596	1.598455548286438	594.0000	122.0000	63.0000	598.0000	80.0000	597.0000	583.0000	287.0000	675.0000	81.0000	0.4878	0.2741	0.0914	0.0311	0.0230	0.0190	0.0125	0.0107	0.0100	0.0070	113	0	
3	122	0.47402018308639526	596	1.5037848949432373	122.0000	678.0000	353.0000	594.0000	113.0000	81.0000	422.0000	818.0000	583.0000	938.0000	0.4740	0.3179	0.0873	0.0228	0.0207	0.0164	0.0132	0.0105	0.0065	0.0061	41	1	
4	122	0.29564663767814636	596	2.2655649185180664	122.0000	287.0000	675.0000	594.0000	353.0000	172.0000	598.0000	938.0000	63.0000	597.0000	0.2956	0.2674	0.1001	0.0976	0.0557	0.0234	0.0180	0.0175	0.0157	0.0152	105	1	
5	594	0.7603480815887451	596	1.0434467792510986	594.0000	575.0000	938.0000	598.0000	848.0000	287.0000	172.0000	122.0000	355.0000	597.0000	0.7603	0.0706	0.0610	0.0416	0.0148	0.0116	0.0094	0.0071	0.0046	0.0046	84	1	
6	353	0.5738146901130676	596	1.2558197975158691	353.0000	122.0000	81.0000	818.0000	113.0000	678.0000	422.0000	583.0000	783.0000	375.0000	0.5738	0.2426	0.0614	0.0595	0.0339	0.0159	0.0095	0.0007	0.0006	0.0004	22	2	
7	287	0.17065997421741486	596	3.438617706298828	287.0000	122.0000	594.0000	938.0000	353.0000	675.0000	172.0000	701.0000	609.0000	375.0000	0.1707	0.1590	0.0605	0.0590	0.0499	0.0435	0.0411	0.0299	0.0270	0.0265	53	2	
8	598	0.48063626885414124	596	1.435260534286499	598.0000	848.0000	938.0000	575.0000	355.0000	594.0000	81.0000	172.0000	375.0000	597.0000	0.4806	0.2106	0.1627	0.1059	0.0144	0.0066	0.0040	0.0036	0.0025	0.0012	72	2	
9	122	0.9938775897026062	596	0.04770420491695404	122.0000	353.0000	818.0000	678.0000	81.0000	422.0000	598.0000	113.0000	594.0000	583.0000	0.9939	0.0020	0.0019	0.0013	0.0003	0.0002	0.0001	0.0001	0.0001	0.0000	26	3	
