	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	575	0.28649312257766724	598	2.465074300765991	575.0000	353.0000	81.0000	598.0000	593.0000	122.0000	287.0000	172.0000	938.0000	594.0000	0.2865	0.2436	0.1225	0.0442	0.0406	0.0315	0.0304	0.0234	0.0218	0.0210	3	0	
1	575	0.34836509823799133	598	2.2197718620300293	575.0000	81.0000	678.0000	598.0000	287.0000	818.0000	122.0000	96.0000	594.0000	172.0000	0.3484	0.1730	0.1372	0.1246	0.0414	0.0226	0.0222	0.0137	0.0111	0.0107	3	1	
2	598	0.33488622307777405	598	1.718286156654358	598.0000	81.0000	575.0000	675.0000	122.0000	172.0000	593.0000	938.0000	814.0000	678.0000	0.3349	0.3081	0.1787	0.0821	0.0168	0.0132	0.0113	0.0082	0.0071	0.0071	0	2	
3	575	0.46326765418052673	598	1.445197343826294	575.0000	598.0000	938.0000	814.0000	675.0000	593.0000	81.0000	353.0000	430.0000	172.0000	0.4633	0.3476	0.0608	0.0364	0.0223	0.0184	0.0119	0.0087	0.0081	0.0058	1	3	
4	598	0.7173439264297485	598	1.2990305423736572	598.0000	575.0000	593.0000	675.0000	678.0000	938.0000	80.0000	172.0000	430.0000	818.0000	0.7173	0.0742	0.0497	0.0241	0.0212	0.0202	0.0174	0.0135	0.0127	0.0118	0	4	
5	122	0.4534126818180084	598	1.8317266702651978	122.0000	81.0000	598.0000	575.0000	422.0000	678.0000	353.0000	814.0000	675.0000	80.0000	0.4534	0.1490	0.1265	0.1086	0.0273	0.0213	0.0207	0.0188	0.0173	0.0163	2	5	
6	81	0.31354770064353943	598	2.056713581085205	81.0000	598.0000	675.0000	172.0000	678.0000	938.0000	122.0000	575.0000	430.0000	593.0000	0.3135	0.2129	0.1522	0.0914	0.0513	0.0449	0.0395	0.0294	0.0210	0.0075	1	6	
7	575	0.6171987652778625	598	1.3905372619628906	575.0000	81.0000	598.0000	675.0000	678.0000	814.0000	80.0000	172.0000	122.0000	430.0000	0.6172	0.1398	0.0888	0.0596	0.0468	0.0080	0.0074	0.0033	0.0032	0.0031	2	7	
8	575	0.8076688051223755	598	0.9299112558364868	575.0000	122.0000	598.0000	430.0000	593.0000	938.0000	583.0000	596.0000	81.0000	63.0000	0.8077	0.0455	0.0386	0.0280	0.0215	0.0155	0.0098	0.0063	0.0055	0.0050	2	8	
9	598	0.7556874752044678	598	0.8607379198074341	598.0000	575.0000	81.0000	122.0000	675.0000	678.0000	37.0000	63.0000	172.0000	814.0000	0.7557	0.1550	0.0370	0.0307	0.0069	0.0061	0.0014	0.0012	0.0011	0.0008	0	9	
