	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	735	0.6957088112831116	600	1.8347350358963013	735.0000	142.0000	657.0000	122.0000	594.0000	701.0000	832.0000	172.0000	486.0000	47.0000	0.6957	0.0837	0.0254	0.0210	0.0146	0.0094	0.0087	0.0061	0.0060	0.0037	14	0	
1	735	0.9118641018867493	600	0.5764232277870178	735.0000	657.0000	142.0000	486.0000	832.0000	47.0000	717.0000	701.0000	667.0000	253.0000	0.9119	0.0274	0.0255	0.0019	0.0019	0.0014	0.0010	0.0010	0.0010	0.0010	31	0	
2	735	0.8520848155021667	600	0.8447325229644775	735.0000	142.0000	657.0000	486.0000	47.0000	832.0000	825.0000	253.0000	667.0000	717.0000	0.8521	0.0586	0.0382	0.0036	0.0022	0.0016	0.0016	0.0014	0.0012	0.0010	30	0	
3	735	0.8647172451019287	600	0.7039097547531128	735.0000	142.0000	657.0000	817.0000	47.0000	832.0000	747.0000	825.0000	486.0000	571.0000	0.8647	0.0743	0.0272	0.0020	0.0019	0.0018	0.0013	0.0011	0.0011	0.0009	45	0	
4	122	0.8059068918228149	600	0.9429718255996704	122.0000	828.0000	172.0000	299.0000	879.0000	600.0000	834.0000	594.0000	598.0000	687.0000	0.8059	0.0526	0.0373	0.0260	0.0173	0.0154	0.0116	0.0096	0.0049	0.0037	5	1	
5	879	0.2772831320762634	600	2.924337148666382	879.0000	600.0000	828.0000	122.0000	172.0000	598.0000	596.0000	687.0000	142.0000	840.0000	0.2773	0.1138	0.1114	0.1091	0.0498	0.0375	0.0342	0.0238	0.0207	0.0193	1	1	
6	879	0.22815465927124023	600	2.7085139751434326	879.0000	122.0000	828.0000	600.0000	299.0000	687.0000	172.0000	142.0000	735.0000	834.0000	0.2282	0.1625	0.1401	0.1372	0.0486	0.0454	0.0359	0.0229	0.0153	0.0149	3	1	
7	122	0.4383569359779358	600	2.155759334564209	122.0000	828.0000	172.0000	879.0000	600.0000	834.0000	299.0000	594.0000	687.0000	596.0000	0.4384	0.1667	0.1094	0.0526	0.0512	0.0251	0.0212	0.0200	0.0150	0.0137	4	1	
8	142	0.9199899435043335	600	0.4583882689476013	142.0000	735.0000	600.0000	486.0000	828.0000	150.0000	657.0000	406.0000	170.0000	747.0000	0.9200	0.0255	0.0199	0.0108	0.0054	0.0028	0.0028	0.0022	0.0018	0.0011	2	2	
9	142	0.8262550234794617	600	0.8791344165802002	142.0000	735.0000	486.0000	600.0000	657.0000	406.0000	282.0000	170.0000	828.0000	290.0000	0.8263	0.0687	0.0322	0.0112	0.0108	0.0092	0.0088	0.0062	0.0043	0.0025	3	2	
10	142	0.6567601561546326	600	1.414787769317627	142.0000	486.0000	600.0000	282.0000	828.0000	735.0000	406.0000	170.0000	558.0000	880.0000	0.6568	0.1087	0.0700	0.0523	0.0459	0.0205	0.0052	0.0043	0.0026	0.0018	2	2	
11	142	0.7257869243621826	600	1.0822598934173584	142.0000	486.0000	735.0000	600.0000	406.0000	828.0000	170.0000	332.0000	657.0000	747.0000	0.7258	0.1684	0.0238	0.0204	0.0129	0.0092	0.0080	0.0043	0.0025	0.0014	3	2	
12	828	0.25521954894065857	600	3.484283208847046	828.0000	600.0000	142.0000	687.0000	684.0000	735.0000	879.0000	832.0000	667.0000	907.0000	0.2552	0.1158	0.0619	0.0529	0.0443	0.0417	0.0277	0.0258	0.0253	0.0188	1	3	
13	828	0.3457898199558258	600	2.9539339542388916	828.0000	735.0000	600.0000	667.0000	687.0000	657.0000	684.0000	486.0000	170.0000	142.0000	0.3458	0.1277	0.0932	0.0544	0.0474	0.0425	0.0268	0.0218	0.0193	0.0149	2	3	
14	828	0.5770426988601685	600	1.8409854173660278	828.0000	600.0000	687.0000	684.0000	879.0000	667.0000	735.0000	47.0000	142.0000	907.0000	0.5770	0.1263	0.0883	0.0523	0.0208	0.0201	0.0166	0.0072	0.0058	0.0056	1	3	
15	828	0.36346107721328735	600	2.633324146270752	828.0000	600.0000	735.0000	142.0000	47.0000	667.0000	825.0000	879.0000	684.0000	907.0000	0.3635	0.1430	0.1287	0.0616	0.0345	0.0213	0.0212	0.0211	0.0190	0.0159	1	3	
16	299	0.1815285086631775	600	3.181586265563965	299.0000	150.0000	600.0000	684.0000	824.0000	735.0000	142.0000	828.0000	323.0000	95.0000	0.1815	0.1421	0.1181	0.1011	0.0490	0.0489	0.0477	0.0308	0.0252	0.0191	2	4	
17	486	0.1827651560306549	600	3.4579367637634277	486.0000	735.0000	600.0000	170.0000	323.0000	828.0000	150.0000	734.0000	684.0000	142.0000	0.1828	0.1412	0.0871	0.0683	0.0443	0.0440	0.0390	0.0333	0.0301	0.0248	2	4	
18	600	0.2178017497062683	600	2.965926170349121	600.0000	828.0000	299.0000	486.0000	684.0000	687.0000	735.0000	323.0000	150.0000	701.0000	0.2178	0.1802	0.0944	0.0850	0.0572	0.0569	0.0440	0.0322	0.0216	0.0172	0	4	
19	299	0.16586367785930634	600	3.712100028991699	299.0000	600.0000	828.0000	150.0000	486.0000	735.0000	142.0000	684.0000	323.0000	67.0000	0.1659	0.0786	0.0774	0.0716	0.0698	0.0524	0.0471	0.0391	0.0271	0.0258	1	4	
20	824	0.36385586857795715	600	1.8013944625854492	824.0000	299.0000	600.0000	828.0000	684.0000	598.0000	687.0000	518.0000	122.0000	623.0000	0.3639	0.2314	0.1676	0.0944	0.0659	0.0286	0.0149	0.0052	0.0049	0.0018	2	5	
21	600	0.3772149085998535	600	1.8632761240005493	600.0000	828.0000	735.0000	824.0000	684.0000	486.0000	687.0000	880.0000	323.0000	518.0000	0.3772	0.2374	0.2272	0.0238	0.0219	0.0136	0.0117	0.0086	0.0076	0.0071	0	5	
22	600	0.376335471868515	600	1.8215875625610352	600.0000	828.0000	735.0000	299.0000	684.0000	687.0000	824.0000	880.0000	142.0000	907.0000	0.3763	0.3683	0.0378	0.0350	0.0342	0.0332	0.0324	0.0085	0.0077	0.0072	0	5	
23	600	0.49400970339775085	600	1.7822996377944946	600.0000	828.0000	824.0000	122.0000	299.0000	598.0000	687.0000	684.0000	518.0000	142.0000	0.4940	0.2556	0.0556	0.0413	0.0282	0.0156	0.0149	0.0124	0.0097	0.0068	0	5	
24	735	0.2890947759151459	600	2.2937095165252686	735.0000	142.0000	571.0000	67.0000	657.0000	907.0000	902.0000	600.0000	566.0000	667.0000	0.2891	0.2483	0.2001	0.0683	0.0160	0.0121	0.0096	0.0086	0.0081	0.0080	7	6	
25	735	0.48224180936813354	600	1.7535347938537598	735.0000	657.0000	142.0000	406.0000	67.0000	486.0000	170.0000	571.0000	876.0000	459.0000	0.4822	0.3230	0.0275	0.0198	0.0181	0.0143	0.0132	0.0123	0.0094	0.0066	33	6	
26	735	0.4714868366718292	600	2.167372226715088	735.0000	571.0000	142.0000	657.0000	828.0000	67.0000	406.0000	486.0000	170.0000	600.0000	0.4715	0.1687	0.0774	0.0720	0.0238	0.0207	0.0166	0.0144	0.0122	0.0119	9	6	
27	735	0.22243668138980865	600	2.2315120697021484	735.0000	571.0000	67.0000	142.0000	2.0000	170.0000	332.0000	486.0000	406.0000	43.0000	0.2224	0.2088	0.2048	0.1990	0.0209	0.0132	0.0105	0.0104	0.0086	0.0079	29	6	
28	828	0.789937436580658	600	0.964964747428894	828.0000	600.0000	687.0000	684.0000	282.0000	323.0000	735.0000	476.0000	571.0000	486.0000	0.7899	0.1243	0.0129	0.0097	0.0090	0.0066	0.0058	0.0036	0.0027	0.0025	1	7	
29	828	0.423837810754776	600	1.9530047178268433	828.0000	657.0000	735.0000	486.0000	476.0000	282.0000	830.0000	142.0000	600.0000	323.0000	0.4238	0.2141	0.1133	0.0987	0.0260	0.0185	0.0153	0.0138	0.0127	0.0067	8	7	
30	828	0.7808743119239807	600	0.9633581638336182	828.0000	486.0000	735.0000	600.0000	142.0000	687.0000	657.0000	323.0000	830.0000	476.0000	0.7809	0.0784	0.0455	0.0449	0.0144	0.0092	0.0067	0.0024	0.0021	0.0016	3	7	
31	828	0.3550313711166382	600	2.28759765625	828.0000	735.0000	657.0000	142.0000	600.0000	825.0000	323.0000	571.0000	282.0000	4.0000	0.3550	0.2838	0.0965	0.0357	0.0265	0.0236	0.0227	0.0222	0.0156	0.0124	4	7	
32	600	0.6364719271659851	600	1.0654335021972656	600.0000	828.0000	486.0000	122.0000	323.0000	687.0000	80.0000	701.0000	8.0000	430.0000	0.6365	0.2874	0.0165	0.0109	0.0102	0.0053	0.0048	0.0029	0.0028	0.0025	0	8	
33	600	0.6847870945930481	600	1.1960484981536865	600.0000	486.0000	828.0000	657.0000	830.0000	323.0000	687.0000	203.0000	825.0000	170.0000	0.6848	0.1425	0.0909	0.0187	0.0153	0.0127	0.0050	0.0037	0.0036	0.0021	0	8	
34	600	0.7060072422027588	600	0.8575249910354614	600.0000	486.0000	828.0000	830.0000	323.0000	687.0000	122.0000	8.0000	701.0000	203.0000	0.7060	0.1891	0.0928	0.0044	0.0031	0.0026	0.0004	0.0002	0.0002	0.0002	0	8	
35	828	0.5209657549858093	600	1.414993405342102	828.0000	600.0000	486.0000	830.0000	323.0000	122.0000	142.0000	701.0000	8.0000	80.0000	0.5210	0.2979	0.0904	0.0221	0.0121	0.0096	0.0061	0.0044	0.0041	0.0032	1	8	
36	600	0.527126669883728	600	0.9698927998542786	600.0000	828.0000	142.0000	687.0000	684.0000	598.0000	299.0000	824.0000	486.0000	323.0000	0.5271	0.4140	0.0221	0.0211	0.0048	0.0035	0.0018	0.0013	0.0007	0.0007	0	9	
37	828	0.7856994271278381	600	0.5924813747406006	828.0000	600.0000	687.0000	142.0000	170.0000	323.0000	684.0000	476.0000	657.0000	486.0000	0.7857	0.1976	0.0141	0.0007	0.0004	0.0003	0.0002	0.0002	0.0002	0.0001	1	9	
38	828	0.5063209533691406	600	0.7871143221855164	828.0000	600.0000	687.0000	142.0000	108.0000	170.0000	486.0000	684.0000	323.0000	80.0000	0.5063	0.4765	0.0091	0.0066	0.0003	0.0002	0.0002	0.0002	0.0002	0.0001	1	9	
39	828	0.7057167291641235	600	0.9778767228126526	828.0000	142.0000	600.0000	598.0000	108.0000	687.0000	623.0000	323.0000	845.0000	684.0000	0.7057	0.1767	0.0863	0.0079	0.0015	0.0015	0.0015	0.0014	0.0012	0.0011	2	9	
40	600	0.9206541180610657	600	0.40871602296829224	600.0000	687.0000	828.0000	299.0000	684.0000	571.0000	880.0000	122.0000	824.0000	323.0000	0.9207	0.0479	0.0133	0.0042	0.0019	0.0019	0.0017	0.0012	0.0012	0.0008	0	10	
41	600	0.9490042328834534	600	0.2515888214111328	600.0000	687.0000	828.0000	486.0000	323.0000	667.0000	122.0000	830.0000	880.0000	684.0000	0.9490	0.0371	0.0089	0.0027	0.0004	0.0002	0.0002	0.0002	0.0001	0.0001	0	10	
42	600	0.9787769913673401	600	0.1238345056772232	600.0000	687.0000	828.0000	486.0000	667.0000	323.0000	880.0000	47.0000	172.0000	122.0000	0.9788	0.0124	0.0076	0.0005	0.0001	0.0001	0.0001	0.0000	0.0000	0.0000	0	10	
43	600	0.9561812877655029	600	0.2368316948413849	600.0000	828.0000	687.0000	571.0000	122.0000	486.0000	323.0000	299.0000	880.0000	47.0000	0.9562	0.0271	0.0115	0.0007	0.0007	0.0007	0.0004	0.0004	0.0003	0.0002	0	10	
44	600	0.6601108312606812	600	1.2904114723205566	600.0000	828.0000	142.0000	687.0000	824.0000	880.0000	486.0000	571.0000	299.0000	684.0000	0.6601	0.1426	0.0867	0.0416	0.0147	0.0127	0.0068	0.0039	0.0033	0.0031	0	11	
45	600	0.39262187480926514	600	1.9785726070404053	600.0000	828.0000	486.0000	485.0000	687.0000	657.0000	406.0000	142.0000	228.0000	830.0000	0.3926	0.1737	0.1413	0.1355	0.0448	0.0181	0.0173	0.0161	0.0117	0.0034	0	11	
46	600	0.7955762147903442	600	0.8043382167816162	600.0000	828.0000	142.0000	687.0000	486.0000	657.0000	880.0000	485.0000	323.0000	571.0000	0.7956	0.1315	0.0236	0.0184	0.0129	0.0041	0.0014	0.0011	0.0011	0.0010	0	11	
47	571	0.6928224563598633	600	1.4398581981658936	571.0000	600.0000	828.0000	657.0000	94.0000	142.0000	486.0000	406.0000	170.0000	566.0000	0.6928	0.0953	0.0597	0.0213	0.0192	0.0177	0.0165	0.0109	0.0089	0.0060	1	11	
48	828	0.8379987478256226	600	0.5121922492980957	828.0000	600.0000	824.0000	684.0000	687.0000	80.0000	122.0000	172.0000	323.0000	701.0000	0.8380	0.1482	0.0081	0.0019	0.0010	0.0007	0.0004	0.0003	0.0002	0.0002	1	12	
49	828	0.8829629421234131	600	0.3915520906448364	828.0000	600.0000	657.0000	486.0000	735.0000	687.0000	684.0000	476.0000	80.0000	825.0000	0.8830	0.1128	0.0009	0.0008	0.0005	0.0003	0.0002	0.0002	0.0002	0.0002	1	12	
50	828	0.9005188941955566	600	0.3332848846912384	828.0000	600.0000	684.0000	687.0000	323.0000	80.0000	667.0000	486.0000	824.0000	855.0000	0.9005	0.0981	0.0007	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	12	
51	828	0.964089035987854	600	0.198996439576149	828.0000	600.0000	684.0000	323.0000	518.0000	486.0000	216.0000	880.0000	80.0000	432.0000	0.9641	0.0278	0.0017	0.0016	0.0006	0.0004	0.0003	0.0003	0.0002	0.0002	1	12	
