	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	205	0.07461653649806976	602	5.269870758056641	205.0000	584.0000	364.0000	395.0000	844.0000	521.0000	582.0000	119.0000	861.0000	55.0000	0.0746	0.0329	0.0325	0.0273	0.0265	0.0247	0.0203	0.0202	0.0170	0.0169	88	0	
1	503	0.24896574020385742	602	3.2729763984680176	503.0000	521.0000	584.0000	681.0000	55.0000	44.0000	312.0000	670.0000	273.0000	285.0000	0.2490	0.1922	0.0663	0.0425	0.0410	0.0385	0.0280	0.0248	0.0242	0.0196	215	0	
2	503	0.23876121640205383	602	3.8381052017211914	503.0000	521.0000	802.0000	676.0000	312.0000	44.0000	510.0000	273.0000	361.0000	55.0000	0.2388	0.1664	0.0540	0.0313	0.0295	0.0295	0.0262	0.0191	0.0143	0.0116	296	0	
3	297	0.0640273243188858	602	5.498979568481445	297.0000	412.0000	844.0000	55.0000	513.0000	941.0000	37.0000	528.0000	583.0000	942.0000	0.0640	0.0586	0.0299	0.0200	0.0182	0.0180	0.0171	0.0157	0.0154	0.0152	230	0	
4	521	0.24552758038043976	602	4.717976093292236	521.0000	584.0000	55.0000	297.0000	364.0000	513.0000	844.0000	61.0000	528.0000	119.0000	0.2455	0.0360	0.0213	0.0181	0.0180	0.0169	0.0166	0.0144	0.0141	0.0127	160	0	
5	521	0.2118562012910843	602	4.637070178985596	521.0000	942.0000	0.0000	808.0000	676.0000	33.0000	273.0000	802.0000	744.0000	65.0000	0.2119	0.0519	0.0442	0.0267	0.0187	0.0177	0.0170	0.0160	0.0151	0.0139	233	0	
6	521	0.2850433886051178	602	3.4170944690704346	521.0000	273.0000	503.0000	681.0000	312.0000	44.0000	689.0000	55.0000	944.0000	802.0000	0.2850	0.1234	0.0671	0.0660	0.0460	0.0332	0.0200	0.0195	0.0189	0.0158	305	0	
7	412	0.19287016987800598	602	4.735071659088135	412.0000	941.0000	297.0000	449.0000	942.0000	11.0000	253.0000	583.0000	343.0000	37.0000	0.1929	0.0540	0.0442	0.0295	0.0292	0.0199	0.0175	0.0169	0.0136	0.0129	208	0	
8	205	0.27323025465011597	602	4.148236274719238	205.0000	528.0000	884.0000	821.0000	395.0000	646.0000	703.0000	919.0000	789.0000	532.0000	0.2732	0.0468	0.0393	0.0381	0.0261	0.0209	0.0202	0.0197	0.0169	0.0165	64	1	
9	510	0.22792097926139832	602	3.0129923820495605	510.0000	681.0000	646.0000	521.0000	584.0000	395.0000	645.0000	196.0000	869.0000	811.0000	0.2279	0.2250	0.1097	0.0411	0.0332	0.0285	0.0263	0.0237	0.0212	0.0201	130	1	
10	521	0.15443500876426697	602	4.627448558807373	521.0000	945.0000	811.0000	884.0000	584.0000	525.0000	589.0000	646.0000	431.0000	503.0000	0.1544	0.0758	0.0474	0.0349	0.0328	0.0256	0.0237	0.0191	0.0181	0.0177	128	1	
11	942	0.19965071976184845	602	4.589385986328125	942.0000	297.0000	528.0000	468.0000	310.0000	626.0000	550.0000	821.0000	91.0000	703.0000	0.1997	0.0836	0.0321	0.0303	0.0256	0.0211	0.0165	0.0135	0.0126	0.0118	217	1	
12	521	0.3023776113986969	602	4.133059024810791	521.0000	532.0000	884.0000	811.0000	350.0000	900.0000	510.0000	821.0000	662.0000	196.0000	0.3024	0.0547	0.0491	0.0300	0.0206	0.0156	0.0147	0.0145	0.0143	0.0136	66	1	
13	945	0.1096472516655922	602	4.9912872314453125	945.0000	250.0000	662.0000	508.0000	884.0000	888.0000	91.0000	689.0000	137.0000	273.0000	0.1096	0.0827	0.0319	0.0314	0.0263	0.0198	0.0177	0.0173	0.0136	0.0135	198	1	
14	945	0.16405698657035828	602	3.4619650840759277	945.0000	811.0000	944.0000	521.0000	681.0000	884.0000	510.0000	196.0000	646.0000	662.0000	0.1641	0.0973	0.0959	0.0951	0.0759	0.0732	0.0447	0.0413	0.0173	0.0128	139	1	
15	449	0.16144131124019623	602	4.5805158615112305	449.0000	75.0000	310.0000	884.0000	550.0000	942.0000	91.0000	626.0000	412.0000	759.0000	0.1614	0.0523	0.0495	0.0437	0.0424	0.0341	0.0271	0.0236	0.0196	0.0168	202	1	
16	205	0.5111851096153259	602	2.773218870162964	205.0000	528.0000	584.0000	55.0000	138.0000	821.0000	727.0000	212.0000	93.0000	350.0000	0.5112	0.0873	0.0321	0.0285	0.0176	0.0152	0.0147	0.0125	0.0109	0.0098	38	2	
17	584	0.6233285069465637	602	1.8351801633834839	584.0000	524.0000	55.0000	821.0000	357.0000	884.0000	844.0000	521.0000	222.0000	441.0000	0.6233	0.1112	0.0527	0.0312	0.0188	0.0134	0.0126	0.0120	0.0114	0.0068	73	2	
18	584	0.32894366979599	602	3.612895965576172	584.0000	884.0000	521.0000	646.0000	55.0000	524.0000	525.0000	821.0000	797.0000	326.0000	0.3289	0.0698	0.0494	0.0341	0.0334	0.0289	0.0237	0.0214	0.0203	0.0184	28	2	
19	297	0.10215649753808975	602	4.63660192489624	297.0000	528.0000	582.0000	821.0000	222.0000	205.0000	412.0000	138.0000	55.0000	721.0000	0.1022	0.0988	0.0488	0.0452	0.0317	0.0291	0.0244	0.0242	0.0216	0.0203	62	2	
20	528	0.26491373777389526	602	3.5730929374694824	528.0000	532.0000	350.0000	821.0000	582.0000	521.0000	245.0000	297.0000	205.0000	884.0000	0.2649	0.1290	0.0608	0.0483	0.0404	0.0381	0.0229	0.0194	0.0177	0.0166	45	2	
21	441	0.30101442337036133	602	4.056271076202393	441.0000	724.0000	821.0000	854.0000	558.0000	884.0000	55.0000	453.0000	528.0000	442.0000	0.3010	0.0734	0.0350	0.0333	0.0316	0.0216	0.0209	0.0177	0.0131	0.0129	67	2	
22	584	0.18226706981658936	602	3.6219089031219482	584.0000	884.0000	821.0000	55.0000	532.0000	524.0000	521.0000	357.0000	844.0000	138.0000	0.1823	0.0991	0.0807	0.0543	0.0392	0.0357	0.0345	0.0344	0.0320	0.0256	51	2	
23	297	0.1528024524450302	602	4.530693054199219	297.0000	528.0000	412.0000	582.0000	117.0000	821.0000	549.0000	264.0000	370.0000	11.0000	0.1528	0.0984	0.0631	0.0378	0.0253	0.0212	0.0162	0.0149	0.0135	0.0131	91	2	
24	521	0.3101406395435333	602	3.642317771911621	521.0000	93.0000	726.0000	904.0000	534.0000	584.0000	232.0000	582.0000	222.0000	602.0000	0.3101	0.1189	0.0525	0.0232	0.0221	0.0213	0.0177	0.0172	0.0157	0.0153	9	3	
25	521	0.405345618724823	602	2.8857262134552	521.0000	584.0000	808.0000	135.0000	424.0000	884.0000	780.0000	524.0000	503.0000	510.0000	0.4053	0.1504	0.0359	0.0336	0.0272	0.0220	0.0203	0.0155	0.0148	0.0136	79	3	
26	521	0.3566598892211914	602	3.2451295852661133	521.0000	273.0000	584.0000	0.0000	534.0000	808.0000	503.0000	222.0000	780.0000	347.0000	0.3567	0.1004	0.0656	0.0324	0.0298	0.0279	0.0278	0.0239	0.0231	0.0201	33	3	
27	808	0.11448700726032257	602	4.492247581481934	808.0000	297.0000	310.0000	821.0000	528.0000	513.0000	329.0000	347.0000	532.0000	521.0000	0.1145	0.0554	0.0495	0.0432	0.0404	0.0360	0.0290	0.0269	0.0236	0.0233	47	3	
28	521	0.2247195988893509	602	3.877981185913086	521.0000	532.0000	582.0000	534.0000	93.0000	528.0000	744.0000	245.0000	232.0000	602.0000	0.2247	0.1241	0.0532	0.0515	0.0320	0.0221	0.0185	0.0173	0.0173	0.0166	9	3	
29	326	0.27913564443588257	602	3.7522928714752197	326.0000	854.0000	347.0000	411.0000	830.0000	651.0000	273.0000	0.0000	865.0000	808.0000	0.2791	0.1067	0.0478	0.0473	0.0466	0.0233	0.0197	0.0193	0.0176	0.0127	86	3	
30	273	0.2610776424407959	602	2.8963475227355957	273.0000	521.0000	424.0000	532.0000	808.0000	744.0000	329.0000	945.0000	944.0000	0.0000	0.2611	0.2176	0.1040	0.0619	0.0309	0.0291	0.0287	0.0255	0.0161	0.0138	113	3	
31	808	0.08944397419691086	602	4.357496738433838	808.0000	226.0000	310.0000	347.0000	449.0000	811.0000	917.0000	329.0000	0.0000	110.0000	0.0894	0.0678	0.0638	0.0476	0.0463	0.0389	0.0378	0.0348	0.0326	0.0260	37	3	
32	93	0.3070666193962097	602	3.571765184402466	93.0000	205.0000	884.0000	528.0000	602.0000	584.0000	131.0000	412.0000	724.0000	821.0000	0.3071	0.0875	0.0727	0.0402	0.0306	0.0279	0.0231	0.0210	0.0197	0.0178	4	4	
33	584	0.3770487606525421	602	2.7252421379089355	584.0000	347.0000	884.0000	525.0000	646.0000	222.0000	93.0000	629.0000	521.0000	861.0000	0.3770	0.1024	0.0730	0.0636	0.0522	0.0372	0.0367	0.0340	0.0269	0.0178	42	4	
34	584	0.3813630938529968	602	2.361402988433838	584.0000	222.0000	521.0000	884.0000	33.0000	476.0000	802.0000	532.0000	821.0000	347.0000	0.3814	0.2567	0.0837	0.0386	0.0287	0.0216	0.0153	0.0137	0.0123	0.0120	35	4	
35	412	0.18539083003997803	602	4.319277286529541	412.0000	583.0000	203.0000	11.0000	872.0000	917.0000	821.0000	584.0000	884.0000	93.0000	0.1854	0.0539	0.0384	0.0361	0.0344	0.0278	0.0273	0.0270	0.0249	0.0241	34	4	
36	93	0.381957083940506	602	2.555283546447754	93.0000	884.0000	821.0000	515.0000	584.0000	222.0000	683.0000	602.0000	347.0000	55.0000	0.3820	0.2362	0.0518	0.0483	0.0472	0.0199	0.0155	0.0140	0.0131	0.0085	7	4	
37	854	0.3357122838497162	602	2.7159857749938965	854.0000	832.0000	203.0000	441.0000	924.0000	584.0000	884.0000	326.0000	899.0000	4.0000	0.3357	0.2015	0.1020	0.0693	0.0241	0.0187	0.0179	0.0125	0.0125	0.0115	121	4	
38	884	0.27834972739219666	602	3.1437392234802246	884.0000	532.0000	521.0000	584.0000	222.0000	273.0000	826.0000	582.0000	811.0000	0.0000	0.2783	0.1153	0.1077	0.0542	0.0391	0.0380	0.0356	0.0236	0.0232	0.0203	35	4	
39	412	0.3762821853160858	602	3.1311593055725098	412.0000	917.0000	347.0000	449.0000	12.0000	222.0000	821.0000	443.0000	802.0000	310.0000	0.3763	0.1083	0.0487	0.0469	0.0465	0.0330	0.0186	0.0180	0.0148	0.0143	37	4	
40	602	0.40872064232826233	602	2.5627853870391846	602.0000	93.0000	861.0000	727.0000	884.0000	521.0000	222.0000	584.0000	232.0000	821.0000	0.4087	0.2483	0.0277	0.0232	0.0218	0.0190	0.0164	0.0163	0.0142	0.0113	0	5	
41	521	0.3091105818748474	602	3.0529184341430664	521.0000	808.0000	584.0000	348.0000	821.0000	222.0000	884.0000	84.0000	811.0000	900.0000	0.3091	0.1365	0.0780	0.0464	0.0381	0.0357	0.0314	0.0295	0.0221	0.0178	20	5	
42	0	0.429046094417572	602	2.7625160217285156	0.0000	521.0000	584.0000	449.0000	630.0000	525.0000	273.0000	531.0000	222.0000	883.0000	0.4290	0.1034	0.0798	0.0517	0.0336	0.0227	0.0197	0.0151	0.0151	0.0142	18	5	
43	821	0.11286304146051407	602	4.2555365562438965	821.0000	521.0000	222.0000	513.0000	808.0000	310.0000	297.0000	872.0000	531.0000	779.0000	0.1129	0.0681	0.0614	0.0494	0.0461	0.0412	0.0409	0.0355	0.0316	0.0290	13	5	
44	821	0.3056548833847046	602	3.2627081871032715	821.0000	521.0000	811.0000	531.0000	727.0000	602.0000	826.0000	884.0000	222.0000	93.0000	0.3057	0.0854	0.0669	0.0613	0.0592	0.0489	0.0269	0.0251	0.0224	0.0198	5	5	
45	0	0.5499662160873413	602	2.597285270690918	0.0000	273.0000	811.0000	759.0000	449.0000	476.0000	222.0000	369.0000	89.0000	744.0000	0.5500	0.0953	0.0189	0.0169	0.0153	0.0144	0.0131	0.0117	0.0113	0.0101	74	5	
46	744	0.1273806244134903	602	3.3767800331115723	744.0000	521.0000	811.0000	944.0000	531.0000	264.0000	532.0000	424.0000	273.0000	0.0000	0.1274	0.1251	0.0779	0.0717	0.0619	0.0530	0.0451	0.0427	0.0418	0.0399	38	5	
47	297	0.10917732864618301	602	4.3528151512146	297.0000	808.0000	310.0000	821.0000	781.0000	872.0000	549.0000	117.0000	412.0000	222.0000	0.1092	0.0908	0.0594	0.0398	0.0285	0.0273	0.0231	0.0218	0.0218	0.0214	19	5	
48	12	0.10296124219894409	602	3.92087984085083	12.0000	222.0000	364.0000	727.0000	528.0000	940.0000	232.0000	93.0000	821.0000	627.0000	0.1030	0.0984	0.0856	0.0690	0.0630	0.0563	0.0524	0.0483	0.0430	0.0217	24	6	
49	476	0.2653326094150543	602	2.829761505126953	476.0000	584.0000	521.0000	646.0000	222.0000	884.0000	524.0000	84.0000	821.0000	629.0000	0.2653	0.2284	0.0999	0.0639	0.0333	0.0328	0.0282	0.0216	0.0181	0.0102	112	6	
50	521	0.2566976547241211	602	2.9289681911468506	521.0000	476.0000	584.0000	222.0000	811.0000	883.0000	347.0000	780.0000	884.0000	802.0000	0.2567	0.2061	0.0945	0.0918	0.0384	0.0306	0.0294	0.0282	0.0123	0.0111	36	6	
51	297	0.1599486917257309	602	3.7075138092041016	297.0000	528.0000	521.0000	821.0000	583.0000	222.0000	844.0000	872.0000	110.0000	282.0000	0.1599	0.1361	0.1001	0.0857	0.0726	0.0356	0.0228	0.0216	0.0162	0.0148	118	6	
52	532	0.2660900056362152	602	2.768625259399414	532.0000	727.0000	821.0000	582.0000	222.0000	528.0000	844.0000	627.0000	524.0000	232.0000	0.2661	0.2217	0.0833	0.0697	0.0608	0.0591	0.0266	0.0158	0.0135	0.0134	39	6	
53	521	0.12461786717176437	602	3.5115458965301514	521.0000	476.0000	0.0000	84.0000	190.0000	884.0000	525.0000	77.0000	347.0000	222.0000	0.1246	0.1213	0.1185	0.0688	0.0671	0.0609	0.0277	0.0229	0.0220	0.0214	51	6	
54	273	0.2665371894836426	602	2.6496362686157227	273.0000	945.0000	944.0000	264.0000	493.0000	884.0000	424.0000	521.0000	443.0000	591.0000	0.2665	0.1893	0.1558	0.0776	0.0508	0.0412	0.0380	0.0199	0.0096	0.0074	194	6	
55	110	0.09105012565851212	602	4.367313385009766	110.0000	412.0000	802.0000	942.0000	203.0000	528.0000	521.0000	340.0000	700.0000	872.0000	0.0911	0.0818	0.0631	0.0456	0.0392	0.0327	0.0300	0.0291	0.0287	0.0279	114	6	
56	93	0.5569685697555542	602	1.8403048515319824	93.0000	861.0000	602.0000	727.0000	231.0000	683.0000	627.0000	528.0000	357.0000	222.0000	0.5570	0.2056	0.0611	0.0383	0.0110	0.0098	0.0066	0.0066	0.0059	0.0058	2	7	
57	347	0.5977001190185547	602	1.7412128448486328	347.0000	811.0000	515.0000	884.0000	826.0000	357.0000	727.0000	222.0000	821.0000	264.0000	0.5977	0.1911	0.0272	0.0250	0.0240	0.0129	0.0112	0.0089	0.0062	0.0062	160	7	
58	584	0.45351552963256836	602	2.4697201251983643	584.0000	357.0000	884.0000	521.0000	33.0000	347.0000	222.0000	525.0000	531.0000	396.0000	0.4535	0.0836	0.0816	0.0689	0.0653	0.0279	0.0243	0.0223	0.0115	0.0098	33	7	
59	222	0.07833891361951828	602	4.626199722290039	222.0000	412.0000	99.0000	534.0000	419.0000	310.0000	264.0000	490.0000	821.0000	63.0000	0.0783	0.0678	0.0413	0.0335	0.0326	0.0314	0.0293	0.0277	0.0257	0.0231	93	7	
60	727	0.307608425617218	602	2.8018808364868164	727.0000	93.0000	515.0000	222.0000	861.0000	602.0000	396.0000	532.0000	821.0000	627.0000	0.3076	0.1563	0.1301	0.0851	0.0379	0.0297	0.0290	0.0165	0.0145	0.0142	5	7	
61	854	0.2718493342399597	602	3.10736083984375	854.0000	515.0000	584.0000	679.0000	290.0000	724.0000	203.0000	554.0000	442.0000	528.0000	0.2718	0.1178	0.0996	0.0710	0.0579	0.0507	0.0402	0.0238	0.0180	0.0178	148	7	
62	264	0.28913989663124084	602	2.9647319316864014	264.0000	532.0000	727.0000	357.0000	515.0000	424.0000	884.0000	443.0000	521.0000	200.0000	0.2891	0.1220	0.1130	0.0617	0.0397	0.0288	0.0248	0.0238	0.0233	0.0232	244	7	
63	412	0.7931579351425171	602	1.4720468521118164	412.0000	203.0000	222.0000	234.0000	917.0000	12.0000	872.0000	11.0000	916.0000	99.0000	0.7932	0.0162	0.0117	0.0091	0.0076	0.0060	0.0056	0.0055	0.0054	0.0050	44	7	
64	727	0.2530147433280945	602	3.172144889831543	727.0000	297.0000	205.0000	453.0000	93.0000	602.0000	821.0000	222.0000	626.0000	627.0000	0.2530	0.1338	0.0873	0.0671	0.0667	0.0298	0.0293	0.0262	0.0256	0.0244	5	8	
65	521	0.5749619603157043	602	1.300390362739563	521.0000	780.0000	944.0000	584.0000	808.0000	811.0000	524.0000	394.0000	821.0000	884.0000	0.5750	0.2287	0.1423	0.0055	0.0037	0.0036	0.0036	0.0032	0.0031	0.0030	82	8	
66	521	0.664695143699646	602	1.4077200889587402	521.0000	780.0000	33.0000	811.0000	584.0000	883.0000	394.0000	0.0000	525.0000	532.0000	0.6647	0.1475	0.0524	0.0395	0.0135	0.0121	0.0120	0.0059	0.0037	0.0037	45	8	
67	521	0.27621492743492126	602	3.149088144302368	521.0000	821.0000	297.0000	872.0000	583.0000	222.0000	203.0000	674.0000	63.0000	513.0000	0.2762	0.1817	0.1014	0.0667	0.0565	0.0223	0.0201	0.0187	0.0137	0.0075	63	8	
68	727	0.34342485666275024	602	2.904975175857544	727.0000	821.0000	515.0000	282.0000	222.0000	205.0000	76.0000	602.0000	297.0000	208.0000	0.3434	0.1516	0.0819	0.0473	0.0378	0.0327	0.0264	0.0206	0.0178	0.0118	7	8	
69	780	0.17306175827980042	602	3.7450003623962402	780.0000	521.0000	703.0000	591.0000	888.0000	563.0000	532.0000	945.0000	273.0000	811.0000	0.1731	0.1079	0.0689	0.0511	0.0435	0.0352	0.0349	0.0256	0.0253	0.0225	33	8	
70	521	0.6015022993087769	602	1.6120219230651855	521.0000	944.0000	591.0000	780.0000	273.0000	888.0000	844.0000	884.0000	532.0000	493.0000	0.6015	0.1861	0.0320	0.0284	0.0268	0.0193	0.0182	0.0117	0.0100	0.0054	97	8	
71	521	0.1480497568845749	602	3.973806619644165	521.0000	821.0000	872.0000	222.0000	780.0000	61.0000	550.0000	297.0000	488.0000	364.0000	0.1480	0.1121	0.0998	0.0508	0.0383	0.0316	0.0257	0.0256	0.0249	0.0205	89	8	
72	75	0.24264715611934662	602	3.263864517211914	75.0000	528.0000	93.0000	727.0000	297.0000	205.0000	222.0000	531.0000	602.0000	940.0000	0.2426	0.0685	0.0647	0.0576	0.0532	0.0526	0.0519	0.0486	0.0418	0.0298	8	9	
73	84	0.5157999396324158	602	1.9991761445999146	84.0000	348.0000	524.0000	944.0000	525.0000	884.0000	584.0000	521.0000	269.0000	811.0000	0.5158	0.0995	0.0897	0.0727	0.0477	0.0289	0.0255	0.0219	0.0162	0.0104	42	9	
74	584	0.5519458651542664	602	1.8282839059829712	584.0000	883.0000	531.0000	780.0000	525.0000	521.0000	84.0000	222.0000	33.0000	900.0000	0.5519	0.0991	0.0746	0.0661	0.0630	0.0481	0.0160	0.0102	0.0072	0.0067	63	9	
75	310	0.1331251710653305	602	4.1970930099487305	310.0000	821.0000	584.0000	528.0000	203.0000	884.0000	297.0000	942.0000	226.0000	719.0000	0.1331	0.1100	0.0804	0.0521	0.0333	0.0289	0.0281	0.0279	0.0236	0.0178	25	9	
76	546	0.1965874433517456	602	2.8995938301086426	546.0000	222.0000	515.0000	727.0000	940.0000	602.0000	531.0000	821.0000	941.0000	297.0000	0.1966	0.1417	0.1411	0.0847	0.0646	0.0565	0.0476	0.0404	0.0271	0.0188	5	9	
77	883	0.20507797598838806	602	2.8144783973693848	883.0000	531.0000	780.0000	900.0000	532.0000	525.0000	222.0000	84.0000	893.0000	584.0000	0.2051	0.1957	0.1666	0.0603	0.0592	0.0334	0.0297	0.0285	0.0276	0.0197	56	9	
78	84	0.4340330958366394	602	2.3662331104278564	84.0000	546.0000	521.0000	944.0000	273.0000	532.0000	584.0000	531.0000	900.0000	591.0000	0.4340	0.1200	0.0766	0.0697	0.0488	0.0367	0.0306	0.0209	0.0201	0.0134	44	9	
79	884	0.19335557520389557	602	3.845660448074341	884.0000	203.0000	412.0000	347.0000	719.0000	310.0000	583.0000	549.0000	917.0000	759.0000	0.1934	0.1257	0.0769	0.0411	0.0349	0.0314	0.0267	0.0256	0.0231	0.0160	20	9	
80	93	0.8391205668449402	602	0.9534680247306824	93.0000	861.0000	727.0000	546.0000	827.0000	602.0000	936.0000	534.0000	297.0000	884.0000	0.8391	0.0486	0.0127	0.0110	0.0107	0.0099	0.0055	0.0054	0.0039	0.0036	5	10	
81	521	0.8635467290878296	602	0.7213582992553711	521.0000	944.0000	584.0000	811.0000	884.0000	84.0000	945.0000	910.0000	222.0000	273.0000	0.8635	0.0631	0.0137	0.0113	0.0086	0.0060	0.0040	0.0032	0.0031	0.0027	27	10	
82	521	0.2346019148826599	602	3.007795810699463	521.0000	424.0000	273.0000	441.0000	503.0000	759.0000	944.0000	811.0000	525.0000	630.0000	0.2346	0.1319	0.1176	0.0888	0.0492	0.0342	0.0297	0.0222	0.0204	0.0195	118	10	
