	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	547	0.27786606550216675	609	4.238118648529053	547.0000	102.0000	361.0000	285.0000	703.0000	191.0000	551.0000	235.0000	395.0000	673.0000	0.2779	0.0594	0.0584	0.0375	0.0267	0.0220	0.0181	0.0159	0.0152	0.0105	314	0	
1	347	0.16715691983699799	609	4.54641056060791	347.0000	575.0000	96.0000	675.0000	924.0000	122.0000	63.0000	573.0000	161.0000	832.0000	0.1672	0.1395	0.0463	0.0183	0.0166	0.0151	0.0150	0.0150	0.0141	0.0118	215	0	
2	575	0.18105599284172058	609	4.521091461181641	575.0000	96.0000	347.0000	191.0000	675.0000	282.0000	488.0000	54.0000	122.0000	924.0000	0.1811	0.0993	0.0453	0.0239	0.0213	0.0191	0.0188	0.0186	0.0179	0.0160	252	0	
3	547	0.17127400636672974	609	5.140998840332031	547.0000	285.0000	421.0000	703.0000	551.0000	361.0000	143.0000	923.0000	483.0000	71.0000	0.1713	0.0335	0.0307	0.0275	0.0259	0.0202	0.0189	0.0142	0.0135	0.0107	324	0	
4	899	0.37611186504364014	609	3.3086156845092773	899.0000	361.0000	513.0000	205.0000	824.0000	547.0000	575.0000	395.0000	861.0000	231.0000	0.3761	0.0968	0.0823	0.0330	0.0181	0.0171	0.0157	0.0137	0.0135	0.0133	145	0	
5	347	0.5365656018257141	609	2.4976768493652344	347.0000	899.0000	144.0000	282.0000	874.0000	205.0000	63.0000	832.0000	924.0000	395.0000	0.5366	0.1174	0.0544	0.0195	0.0147	0.0142	0.0134	0.0132	0.0117	0.0094	222	0	
6	899	0.36615705490112305	609	3.6683266162872314	899.0000	347.0000	583.0000	575.0000	395.0000	63.0000	832.0000	513.0000	361.0000	282.0000	0.3662	0.0400	0.0335	0.0239	0.0238	0.0234	0.0232	0.0194	0.0189	0.0182	162	0	
7	395	0.3347795903682709	609	2.9808807373046875	395.0000	361.0000	98.0000	547.0000	235.0000	646.0000	644.0000	102.0000	541.0000	948.0000	0.3348	0.2036	0.0636	0.0453	0.0368	0.0204	0.0195	0.0193	0.0144	0.0137	251	0	
8	899	0.47107934951782227	609	1.7489798069000244	899.0000	361.0000	583.0000	541.0000	909.0000	133.0000	395.0000	96.0000	347.0000	672.0000	0.4711	0.2147	0.1378	0.0950	0.0099	0.0088	0.0053	0.0031	0.0028	0.0021	214	0	
9	361	0.9633339643478394	609	0.31519389152526855	361.0000	395.0000	547.0000	102.0000	670.0000	884.0000	421.0000	945.0000	584.0000	507.0000	0.9633	0.0065	0.0051	0.0033	0.0015	0.0010	0.0005	0.0005	0.0004	0.0004	309	0	
10	692	0.19319556653499603	609	4.019691467285156	692.0000	98.0000	395.0000	143.0000	948.0000	235.0000	902.0000	547.0000	679.0000	672.0000	0.1932	0.1226	0.0583	0.0554	0.0442	0.0411	0.0203	0.0198	0.0189	0.0185	130	1	
11	347	0.08984559774398804	609	4.5908308029174805	347.0000	287.0000	144.0000	81.0000	575.0000	597.0000	395.0000	96.0000	54.0000	87.0000	0.0898	0.0531	0.0476	0.0450	0.0438	0.0429	0.0374	0.0318	0.0202	0.0187	115	1	
12	96	0.6221142411231995	609	1.8397860527038574	96.0000	54.0000	81.0000	3.0000	678.0000	122.0000	818.0000	594.0000	499.0000	909.0000	0.6221	0.1445	0.0332	0.0211	0.0171	0.0161	0.0084	0.0082	0.0066	0.0063	112	1	
13	692	0.28821614384651184	609	3.5392251014709473	692.0000	98.0000	909.0000	899.0000	87.0000	143.0000	96.0000	874.0000	282.0000	679.0000	0.2882	0.1227	0.0714	0.0711	0.0320	0.0318	0.0240	0.0148	0.0136	0.0125	169	1	
14	899	0.8576964735984802	609	0.733116865158081	899.0000	909.0000	499.0000	874.0000	395.0000	692.0000	583.0000	832.0000	385.0000	144.0000	0.8577	0.0750	0.0156	0.0109	0.0033	0.0029	0.0029	0.0022	0.0019	0.0019	66	1	
15	287	0.14224468171596527	609	3.615255355834961	287.0000	597.0000	144.0000	395.0000	470.0000	143.0000	81.0000	692.0000	499.0000	347.0000	0.1422	0.1059	0.0935	0.0793	0.0589	0.0414	0.0403	0.0382	0.0315	0.0276	62	1	
16	899	0.4379725754261017	609	2.2835781574249268	899.0000	282.0000	499.0000	787.0000	679.0000	347.0000	924.0000	421.0000	583.0000	861.0000	0.4380	0.1854	0.1002	0.0630	0.0288	0.0275	0.0160	0.0092	0.0077	0.0072	73	1	
17	884	0.15963776409626007	609	4.281099319458008	884.0000	692.0000	98.0000	543.0000	874.0000	421.0000	679.0000	395.0000	899.0000	690.0000	0.1596	0.0873	0.0808	0.0439	0.0374	0.0288	0.0284	0.0215	0.0212	0.0209	269	1	
18	909	0.5456570386886597	609	0.8861606121063232	909.0000	899.0000	692.0000	98.0000	395.0000	96.0000	114.0000	499.0000	541.0000	832.0000	0.5457	0.4199	0.0165	0.0052	0.0029	0.0016	0.0011	0.0010	0.0006	0.0006	93	1	
19	884	0.12237110733985901	609	4.168731212615967	884.0000	395.0000	421.0000	98.0000	899.0000	679.0000	361.0000	584.0000	347.0000	672.0000	0.1224	0.1103	0.0867	0.0744	0.0427	0.0346	0.0277	0.0240	0.0211	0.0209	121	1	
20	319	0.08411671221256256	609	4.814562797546387	319.0000	547.0000	551.0000	282.0000	235.0000	923.0000	710.0000	340.0000	625.0000	422.0000	0.0841	0.0641	0.0565	0.0519	0.0301	0.0300	0.0245	0.0227	0.0213	0.0165	271	2	
21	874	0.1877066045999527	609	4.174955368041992	874.0000	282.0000	63.0000	824.0000	347.0000	832.0000	787.0000	861.0000	385.0000	144.0000	0.1877	0.0916	0.0845	0.0627	0.0498	0.0184	0.0164	0.0142	0.0118	0.0116	131	2	
22	282	0.3787393867969513	609	3.418775796890259	282.0000	874.0000	63.0000	144.0000	319.0000	551.0000	909.0000	483.0000	924.0000	422.0000	0.3787	0.0969	0.0303	0.0286	0.0275	0.0262	0.0171	0.0155	0.0144	0.0125	133	2	
23	282	0.2617417275905609	609	3.5259225368499756	282.0000	319.0000	923.0000	186.0000	255.0000	340.0000	422.0000	874.0000	551.0000	358.0000	0.2617	0.1073	0.0754	0.0690	0.0528	0.0396	0.0276	0.0275	0.0169	0.0143	318	2	
24	874	0.5881410241127014	609	2.2205989360809326	874.0000	909.0000	361.0000	347.0000	543.0000	203.0000	809.0000	319.0000	899.0000	65.0000	0.5881	0.0514	0.0458	0.0431	0.0430	0.0377	0.0148	0.0118	0.0114	0.0099	221	2	
25	874	0.4266253411769867	609	2.9919180870056152	874.0000	63.0000	347.0000	583.0000	282.0000	584.0000	924.0000	679.0000	543.0000	909.0000	0.4266	0.0896	0.0840	0.0520	0.0216	0.0215	0.0207	0.0207	0.0181	0.0109	92	2	
26	874	0.15868408977985382	609	3.2850136756896973	874.0000	347.0000	583.0000	899.0000	63.0000	543.0000	282.0000	203.0000	924.0000	576.0000	0.1587	0.1515	0.1331	0.1009	0.0872	0.0468	0.0278	0.0205	0.0129	0.0112	85	2	
27	363	0.09379249066114426	609	4.596613883972168	363.0000	874.0000	65.0000	948.0000	476.0000	710.0000	285.0000	909.0000	203.0000	679.0000	0.0938	0.0706	0.0594	0.0467	0.0369	0.0354	0.0251	0.0229	0.0217	0.0204	383	2	
28	909	0.8968089818954468	609	0.6264371871948242	909.0000	133.0000	361.0000	874.0000	319.0000	899.0000	830.0000	347.0000	837.0000	203.0000	0.8968	0.0463	0.0077	0.0059	0.0047	0.0030	0.0021	0.0021	0.0019	0.0018	241	2	
29	874	0.3235640227794647	609	3.9208858013153076	874.0000	65.0000	285.0000	710.0000	909.0000	924.0000	543.0000	363.0000	819.0000	476.0000	0.3236	0.1188	0.0231	0.0216	0.0193	0.0139	0.0128	0.0116	0.0114	0.0113	191	2	
30	282	0.28656625747680664	609	3.9958481788635254	282.0000	899.0000	547.0000	941.0000	421.0000	395.0000	692.0000	412.0000	98.0000	543.0000	0.2866	0.1183	0.0237	0.0193	0.0188	0.0185	0.0183	0.0161	0.0119	0.0112	49	3	
