	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	803	0.10460001230239868	621	4.7969231605529785	803.0000	449.0000	930.0000	768.0000	104.0000	226.0000	494.0000	503.0000	277.0000	467.0000	0.1046	0.0516	0.0413	0.0362	0.0338	0.0317	0.0290	0.0260	0.0255	0.0202	22	0	
1	510	0.11861170828342438	621	4.851065635681152	510.0000	768.0000	467.0000	910.0000	288.0000	289.0000	190.0000	426.0000	799.0000	698.0000	0.1186	0.0997	0.0355	0.0280	0.0253	0.0247	0.0244	0.0190	0.0179	0.0160	64	0	
2	449	0.050812944769859314	621	5.37888240814209	449.0000	803.0000	930.0000	942.0000	494.0000	444.0000	884.0000	888.0000	306.0000	468.0000	0.0508	0.0368	0.0280	0.0257	0.0239	0.0212	0.0203	0.0202	0.0176	0.0165	82	0	
3	768	0.19920210540294647	621	3.9422354698181152	768.0000	467.0000	510.0000	578.0000	190.0000	289.0000	799.0000	288.0000	426.0000	698.0000	0.1992	0.1447	0.0551	0.0418	0.0372	0.0324	0.0227	0.0224	0.0220	0.0186	76	0	
4	277	0.49465617537498474	621	2.8199715614318848	277.0000	279.0000	590.0000	621.0000	509.0000	369.0000	304.0000	910.0000	768.0000	626.0000	0.4947	0.0567	0.0546	0.0480	0.0220	0.0203	0.0172	0.0130	0.0127	0.0108	3	1	
5	510	0.19745978713035583	621	3.7436392307281494	510.0000	578.0000	295.0000	75.0000	235.0000	273.0000	590.0000	626.0000	82.0000	786.0000	0.1975	0.0985	0.0659	0.0539	0.0464	0.0373	0.0303	0.0264	0.0237	0.0193	119	1	
6	621	0.13844861090183258	621	4.624899864196777	621.0000	590.0000	279.0000	605.0000	626.0000	277.0000	509.0000	316.0000	768.0000	853.0000	0.1384	0.0901	0.0723	0.0447	0.0315	0.0288	0.0273	0.0177	0.0138	0.0124	0	1	
7	510	0.5640807151794434	621	2.415224552154541	510.0000	578.0000	589.0000	590.0000	811.0000	768.0000	786.0000	305.0000	869.0000	369.0000	0.5641	0.0835	0.0396	0.0161	0.0159	0.0140	0.0139	0.0132	0.0125	0.0121	30	1	
8	590	0.19983206689357758	621	2.9323840141296387	590.0000	369.0000	509.0000	304.0000	510.0000	137.0000	633.0000	141.0000	910.0000	277.0000	0.1998	0.1731	0.1609	0.1024	0.0308	0.0253	0.0251	0.0213	0.0187	0.0187	46	2	
9	295	0.3805658221244812	621	2.686295986175537	295.0000	369.0000	510.0000	590.0000	910.0000	44.0000	888.0000	225.0000	568.0000	288.0000	0.3806	0.0944	0.0722	0.0616	0.0600	0.0305	0.0267	0.0245	0.0222	0.0192	314	2	
10	590	0.37656712532043457	621	3.3547043800354004	590.0000	509.0000	910.0000	369.0000	460.0000	277.0000	28.0000	621.0000	289.0000	141.0000	0.3766	0.0624	0.0565	0.0470	0.0266	0.0240	0.0190	0.0164	0.0157	0.0138	7	2	
11	295	0.22908134758472443	621	3.0076515674591064	295.0000	510.0000	369.0000	289.0000	578.0000	590.0000	568.0000	288.0000	910.0000	363.0000	0.2291	0.1688	0.1194	0.0680	0.0420	0.0406	0.0237	0.0226	0.0220	0.0197	305	2	
12	509	0.3342912197113037	621	2.729862689971924	509.0000	510.0000	621.0000	288.0000	590.0000	363.0000	305.0000	28.0000	295.0000	768.0000	0.3343	0.2687	0.0445	0.0318	0.0218	0.0183	0.0175	0.0162	0.0156	0.0133	2	3	
13	510	0.724269449710846	621	1.4457013607025146	510.0000	295.0000	590.0000	288.0000	786.0000	931.0000	431.0000	273.0000	811.0000	634.0000	0.7243	0.0583	0.0429	0.0274	0.0253	0.0217	0.0069	0.0066	0.0063	0.0045	60	3	
14	621	0.07554923743009567	621	4.692017078399658	621.0000	305.0000	590.0000	589.0000	509.0000	288.0000	232.0000	28.0000	510.0000	910.0000	0.0755	0.0498	0.0472	0.0424	0.0392	0.0367	0.0338	0.0333	0.0288	0.0280	0	3	
15	510	0.746475100517273	621	1.2005705833435059	510.0000	288.0000	590.0000	295.0000	589.0000	786.0000	869.0000	568.0000	305.0000	755.0000	0.7465	0.0868	0.0662	0.0188	0.0078	0.0078	0.0055	0.0048	0.0041	0.0039	59	3	
16	509	0.3830161690711975	621	2.070244789123535	509.0000	510.0000	910.0000	295.0000	426.0000	561.0000	621.0000	363.0000	662.0000	277.0000	0.3830	0.2175	0.1138	0.0944	0.0556	0.0285	0.0178	0.0094	0.0066	0.0055	6	4	
17	510	0.4028599262237549	621	2.169790029525757	510.0000	288.0000	295.0000	568.0000	363.0000	786.0000	578.0000	225.0000	660.0000	812.0000	0.4029	0.1433	0.1255	0.0851	0.0620	0.0570	0.0156	0.0130	0.0106	0.0073	39	4	
18	910	0.310542494058609	621	2.465799570083618	910.0000	510.0000	621.0000	426.0000	295.0000	509.0000	363.0000	625.0000	288.0000	869.0000	0.3105	0.1622	0.1243	0.1058	0.0775	0.0345	0.0331	0.0237	0.0189	0.0135	2	4	
19	288	0.2940596640110016	621	2.5183463096618652	288.0000	786.0000	510.0000	568.0000	295.0000	363.0000	660.0000	812.0000	681.0000	578.0000	0.2941	0.2378	0.1168	0.0721	0.0392	0.0363	0.0251	0.0221	0.0128	0.0125	108	4	
20	621	0.606818437576294	621	1.0317085981369019	621.0000	509.0000	510.0000	910.0000	226.0000	363.0000	590.0000	330.0000	295.0000	141.0000	0.6068	0.3193	0.0292	0.0095	0.0086	0.0054	0.0032	0.0025	0.0024	0.0024	0	5	
21	510	0.6485828161239624	621	1.74551260471344	510.0000	786.0000	482.0000	910.0000	768.0000	363.0000	578.0000	621.0000	584.0000	124.0000	0.6486	0.0961	0.0498	0.0307	0.0247	0.0107	0.0105	0.0101	0.0091	0.0087	7	5	
22	621	0.5152720808982849	621	1.3932561874389648	621.0000	509.0000	910.0000	363.0000	510.0000	626.0000	590.0000	316.0000	226.0000	295.0000	0.5153	0.3421	0.0415	0.0333	0.0101	0.0084	0.0048	0.0037	0.0037	0.0025	0	5	
23	510	0.9293196797370911	621	0.4509428143501282	510.0000	786.0000	768.0000	482.0000	910.0000	288.0000	124.0000	621.0000	698.0000	578.0000	0.9293	0.0232	0.0086	0.0085	0.0041	0.0034	0.0030	0.0021	0.0016	0.0016	7	5	
24	621	0.7345438599586487	621	1.0536315441131592	621.0000	363.0000	295.0000	869.0000	510.0000	277.0000	812.0000	180.0000	692.0000	288.0000	0.7345	0.1129	0.0546	0.0493	0.0175	0.0078	0.0027	0.0027	0.0026	0.0023	0	6	
25	295	0.6380444765090942	621	1.4956257343292236	295.0000	363.0000	510.0000	786.0000	590.0000	288.0000	578.0000	869.0000	621.0000	568.0000	0.6380	0.1443	0.0576	0.0281	0.0259	0.0204	0.0176	0.0102	0.0075	0.0067	8	6	
26	621	0.7184852361679077	621	1.256305456161499	621.0000	363.0000	869.0000	295.0000	692.0000	277.0000	590.0000	288.0000	28.0000	812.0000	0.7185	0.1123	0.0491	0.0249	0.0202	0.0126	0.0104	0.0053	0.0051	0.0046	0	6	
27	295	0.32578131556510925	621	2.650822877883911	295.0000	363.0000	786.0000	578.0000	869.0000	288.0000	510.0000	590.0000	275.0000	812.0000	0.3258	0.1810	0.0995	0.0723	0.0497	0.0449	0.0320	0.0234	0.0168	0.0088	19	6	
28	590	0.2986145317554474	621	2.8069510459899902	590.0000	633.0000	621.0000	812.0000	316.0000	363.0000	509.0000	277.0000	180.0000	305.0000	0.2986	0.1316	0.1006	0.0714	0.0559	0.0391	0.0389	0.0340	0.0276	0.0183	2	7	
