	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	6	0.08453772217035294	626	4.79966402053833	6.0000	353.0000	626.0000	627.0000	297.0000	853.0000	737.0000	575.0000	489.0000	104.0000	0.0845	0.0792	0.0751	0.0668	0.0355	0.0234	0.0209	0.0208	0.0203	0.0185	2	0	
1	888	0.10529977828264236	626	5.14285945892334	888.0000	532.0000	0.0000	449.0000	4.0000	215.0000	626.0000	190.0000	703.0000	485.0000	0.1053	0.0543	0.0476	0.0286	0.0273	0.0265	0.0221	0.0161	0.0133	0.0124	6	0	
2	489	0.08356771618127823	626	4.541670799255371	489.0000	627.0000	515.0000	96.0000	941.0000	470.0000	626.0000	737.0000	942.0000	789.0000	0.0836	0.0770	0.0608	0.0523	0.0484	0.0377	0.0375	0.0360	0.0294	0.0207	6	1	
3	194	0.1359052062034607	626	4.332119941711426	194.0000	703.0000	924.0000	884.0000	716.0000	797.0000	719.0000	235.0000	457.0000	23.0000	0.1359	0.1090	0.0650	0.0628	0.0509	0.0356	0.0314	0.0259	0.0203	0.0191	11	1	
4	626	0.22960521280765533	626	3.3487555980682373	626.0000	449.0000	627.0000	75.0000	297.0000	6.0000	0.0000	721.0000	942.0000	789.0000	0.2296	0.1305	0.1279	0.0926	0.0922	0.0228	0.0184	0.0120	0.0108	0.0103	0	2	
5	703	0.07890461385250092	626	5.3003435134887695	703.0000	744.0000	582.0000	532.0000	347.0000	716.0000	194.0000	23.0000	888.0000	719.0000	0.0789	0.0360	0.0335	0.0208	0.0196	0.0194	0.0192	0.0166	0.0160	0.0138	55	2	
6	6	0.47591742873191833	626	2.4350738525390625	6.0000	297.0000	818.0000	96.0000	789.0000	853.0000	489.0000	941.0000	54.0000	626.0000	0.4759	0.1291	0.0532	0.0471	0.0383	0.0298	0.0278	0.0213	0.0179	0.0127	9	3	
7	703	0.13758906722068787	626	4.117558479309082	703.0000	130.0000	719.0000	348.0000	208.0000	657.0000	704.0000	320.0000	626.0000	235.0000	0.1376	0.1316	0.0740	0.0389	0.0283	0.0226	0.0211	0.0200	0.0182	0.0182	8	3	
8	626	0.6244196891784668	626	1.913789987564087	626.0000	297.0000	6.0000	942.0000	490.0000	130.0000	872.0000	625.0000	534.0000	561.0000	0.6244	0.0912	0.0546	0.0384	0.0142	0.0126	0.0121	0.0114	0.0100	0.0095	0	4	
9	130	0.24335436522960663	626	3.211317539215088	130.0000	874.0000	471.0000	924.0000	704.0000	208.0000	719.0000	811.0000	201.0000	576.0000	0.2434	0.1586	0.0759	0.0497	0.0456	0.0410	0.0346	0.0263	0.0247	0.0223	11	4	
10	626	0.6287220120429993	626	1.7074472904205322	626.0000	942.0000	941.0000	297.0000	789.0000	627.0000	583.0000	12.0000	346.0000	6.0000	0.6287	0.1114	0.0702	0.0493	0.0135	0.0131	0.0111	0.0107	0.0090	0.0084	0	5	
11	626	0.16330327093601227	626	3.8505606651306152	626.0000	282.0000	130.0000	719.0000	72.0000	874.0000	540.0000	576.0000	819.0000	924.0000	0.1633	0.1319	0.1110	0.0582	0.0404	0.0262	0.0254	0.0234	0.0191	0.0162	0	5	
12	6	0.49447929859161377	626	2.361372709274292	6.0000	297.0000	626.0000	235.0000	884.0000	667.0000	721.0000	0.0000	627.0000	525.0000	0.4945	0.1875	0.0422	0.0355	0.0287	0.0172	0.0122	0.0099	0.0082	0.0078	2	6	
13	719	0.17812995612621307	626	3.975332021713257	719.0000	130.0000	540.0000	888.0000	662.0000	0.0000	582.0000	704.0000	208.0000	433.0000	0.1781	0.1053	0.0518	0.0471	0.0462	0.0321	0.0199	0.0187	0.0181	0.0180	59	6	
14	6	0.5630738139152527	626	1.4811075925827026	6.0000	626.0000	122.0000	627.0000	297.0000	364.0000	440.0000	454.0000	96.0000	598.0000	0.5631	0.2887	0.0267	0.0191	0.0173	0.0125	0.0105	0.0094	0.0033	0.0032	1	7	
15	719	0.21206586062908173	626	3.2107810974121094	719.0000	924.0000	540.0000	318.0000	162.0000	201.0000	896.0000	647.0000	130.0000	371.0000	0.2121	0.1612	0.0810	0.0750	0.0432	0.0428	0.0428	0.0226	0.0211	0.0209	29	7	
16	6	0.258842796087265	626	3.3195810317993164	6.0000	297.0000	626.0000	423.0000	627.0000	818.0000	583.0000	721.0000	941.0000	454.0000	0.2588	0.1785	0.1266	0.0593	0.0276	0.0177	0.0170	0.0135	0.0116	0.0111	2	8	
17	626	0.09486711770296097	626	4.38101863861084	626.0000	130.0000	922.0000	201.0000	208.0000	27.0000	207.0000	582.0000	57.0000	205.0000	0.0949	0.0616	0.0557	0.0462	0.0375	0.0314	0.0311	0.0304	0.0282	0.0282	0	8	
18	6	0.6025069355964661	626	1.5954902172088623	6.0000	297.0000	270.0000	75.0000	626.0000	122.0000	721.0000	454.0000	570.0000	0.0000	0.6025	0.1513	0.1196	0.0159	0.0137	0.0121	0.0079	0.0048	0.0045	0.0039	4	9	
19	532	0.15730585157871246	626	3.360334873199463	532.0000	854.0000	235.0000	627.0000	130.0000	719.0000	628.0000	450.0000	805.0000	896.0000	0.1573	0.1456	0.0727	0.0717	0.0663	0.0543	0.0457	0.0393	0.0291	0.0260	62	9	
20	942	0.4017775356769562	626	2.196237802505493	942.0000	297.0000	627.0000	626.0000	96.0000	635.0000	721.0000	468.0000	14.0000	789.0000	0.4018	0.1885	0.1357	0.1034	0.0154	0.0142	0.0124	0.0104	0.0104	0.0096	3	10	
21	626	0.4630298316478729	626	2.451597213745117	626.0000	719.0000	235.0000	576.0000	130.0000	703.0000	896.0000	72.0000	205.0000	450.0000	0.4630	0.2019	0.0240	0.0215	0.0208	0.0174	0.0172	0.0157	0.0156	0.0151	0	10	
22	626	0.5621094703674316	626	2.303342342376709	626.0000	297.0000	6.0000	844.0000	627.0000	122.0000	818.0000	721.0000	625.0000	27.0000	0.5621	0.0734	0.0548	0.0321	0.0302	0.0297	0.0155	0.0123	0.0118	0.0109	0	11	
23	130	0.2762346863746643	626	3.12479829788208	130.0000	576.0000	540.0000	924.0000	854.0000	235.0000	710.0000	201.0000	626.0000	265.0000	0.2762	0.1446	0.0799	0.0750	0.0526	0.0277	0.0229	0.0216	0.0194	0.0192	8	11	
24	297	0.3772464990615845	626	2.159001350402832	297.0000	626.0000	454.0000	499.0000	942.0000	6.0000	861.0000	872.0000	627.0000	721.0000	0.3772	0.3762	0.0307	0.0218	0.0164	0.0109	0.0093	0.0063	0.0058	0.0057	1	12	
25	626	0.2700177729129791	626	3.541945695877075	626.0000	162.0000	551.0000	719.0000	205.0000	811.0000	703.0000	130.0000	888.0000	925.0000	0.2700	0.1321	0.0616	0.0549	0.0333	0.0328	0.0325	0.0252	0.0211	0.0151	0	12	
26	122	0.18486350774765015	626	3.5648322105407715	122.0000	6.0000	626.0000	353.0000	598.0000	75.0000	297.0000	783.0000	818.0000	721.0000	0.1849	0.1773	0.1137	0.0361	0.0316	0.0299	0.0286	0.0265	0.0260	0.0199	2	13	
27	205	0.3087195158004761	626	2.951226234436035	205.0000	235.0000	884.0000	716.0000	531.0000	532.0000	55.0000	194.0000	540.0000	609.0000	0.3087	0.1757	0.1051	0.0542	0.0411	0.0221	0.0213	0.0213	0.0153	0.0100	51	13	
28	6	0.30770039558410645	626	3.1515603065490723	6.0000	0.0000	583.0000	818.0000	721.0000	941.0000	884.0000	627.0000	525.0000	235.0000	0.3077	0.0998	0.0810	0.0692	0.0570	0.0461	0.0287	0.0280	0.0249	0.0179	14	14	
29	576	0.280728816986084	626	2.3313140869140625	576.0000	719.0000	874.0000	130.0000	811.0000	854.0000	320.0000	0.0000	348.0000	797.0000	0.2807	0.1909	0.1815	0.1434	0.0276	0.0164	0.0158	0.0116	0.0108	0.0104	17	14	
30	626	0.6674051880836487	626	1.3640565872192383	626.0000	6.0000	627.0000	297.0000	942.0000	789.0000	724.0000	96.0000	603.0000	561.0000	0.6674	0.1798	0.0465	0.0214	0.0090	0.0072	0.0069	0.0043	0.0030	0.0029	0	15	
31	130	0.15098226070404053	626	3.2011096477508545	130.0000	440.0000	208.0000	896.0000	285.0000	207.0000	201.0000	705.0000	626.0000	704.0000	0.1510	0.1490	0.1037	0.0999	0.0462	0.0420	0.0349	0.0337	0.0332	0.0325	8	15	
32	626	0.918318510055542	626	0.49425366520881653	626.0000	297.0000	6.0000	489.0000	122.0000	561.0000	583.0000	627.0000	635.0000	8.0000	0.9183	0.0324	0.0139	0.0052	0.0034	0.0025	0.0020	0.0018	0.0018	0.0016	0	16	
33	626	0.7921956181526184	626	1.212764024734497	626.0000	576.0000	924.0000	130.0000	440.0000	265.0000	874.0000	450.0000	285.0000	194.0000	0.7922	0.0447	0.0273	0.0226	0.0095	0.0079	0.0069	0.0055	0.0053	0.0050	0	16	
34	6	0.5156301856040955	626	2.276585102081299	6.0000	583.0000	297.0000	449.0000	626.0000	721.0000	916.0000	454.0000	96.0000	423.0000	0.5156	0.1330	0.0941	0.0377	0.0360	0.0209	0.0073	0.0069	0.0060	0.0058	4	17	
35	837	0.23614217340946198	626	2.589046001434326	837.0000	285.0000	719.0000	811.0000	924.0000	130.0000	789.0000	450.0000	440.0000	207.0000	0.2361	0.1779	0.1609	0.1218	0.0508	0.0485	0.0397	0.0131	0.0119	0.0112	19	17	
36	626	0.431890070438385	626	3.237913131713867	626.0000	6.0000	627.0000	440.0000	525.0000	4.0000	721.0000	351.0000	270.0000	872.0000	0.4319	0.0509	0.0321	0.0304	0.0272	0.0253	0.0221	0.0206	0.0174	0.0167	0	18	
37	130	0.7277144193649292	626	1.2627979516983032	130.0000	857.0000	551.0000	576.0000	72.0000	719.0000	440.0000	854.0000	705.0000	540.0000	0.7277	0.0757	0.0611	0.0300	0.0222	0.0175	0.0163	0.0059	0.0039	0.0038	16	18	
