	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	282	0.486101895570755	627	2.602034091949463	282.0000	627.0000	737.0000	789.0000	120.0000	873.0000	941.0000	13.0000	153.0000	310.0000	0.4861	0.0959	0.0826	0.0418	0.0218	0.0181	0.0169	0.0145	0.0137	0.0099	1	0	
1	282	0.6400447487831116	627	2.0867254734039307	282.0000	873.0000	941.0000	310.0000	528.0000	120.0000	75.0000	626.0000	153.0000	472.0000	0.6400	0.0617	0.0248	0.0241	0.0236	0.0216	0.0134	0.0120	0.0093	0.0090	20	0	
2	682	0.3062259256839752	627	2.855931520462036	682.0000	737.0000	120.0000	110.0000	13.0000	499.0000	326.0000	627.0000	72.0000	694.0000	0.3062	0.1876	0.0571	0.0438	0.0365	0.0297	0.0295	0.0251	0.0235	0.0196	7	1	
3	941	0.342918336391449	627	3.5115623474121094	941.0000	737.0000	682.0000	644.0000	488.0000	627.0000	120.0000	75.0000	468.0000	873.0000	0.3429	0.0729	0.0395	0.0390	0.0303	0.0247	0.0243	0.0220	0.0199	0.0150	5	1	
4	941	0.30649420619010925	627	2.731203556060791	941.0000	627.0000	347.0000	13.0000	320.0000	282.0000	737.0000	65.0000	499.0000	682.0000	0.3065	0.1596	0.0899	0.0869	0.0501	0.0373	0.0283	0.0245	0.0240	0.0228	1	2	
5	941	0.8852503299713135	627	0.6597533822059631	941.0000	942.0000	396.0000	282.0000	297.0000	419.0000	627.0000	468.0000	789.0000	834.0000	0.8853	0.0372	0.0297	0.0076	0.0054	0.0032	0.0027	0.0026	0.0015	0.0014	6	2	
6	282	0.3329429030418396	627	2.3639016151428223	282.0000	627.0000	682.0000	737.0000	320.0000	874.0000	789.0000	819.0000	65.0000	254.0000	0.3329	0.2185	0.1438	0.0570	0.0357	0.0290	0.0177	0.0172	0.0161	0.0133	1	3	
7	627	0.8251549601554871	627	0.6379261016845703	627.0000	789.0000	941.0000	737.0000	419.0000	819.0000	682.0000	468.0000	720.0000	282.0000	0.8252	0.1380	0.0162	0.0059	0.0036	0.0017	0.0012	0.0011	0.0010	0.0008	0	3	
8	789	0.6665974259376526	627	1.0688062906265259	789.0000	737.0000	65.0000	627.0000	941.0000	468.0000	585.0000	528.0000	320.0000	720.0000	0.6666	0.2088	0.0484	0.0470	0.0086	0.0066	0.0028	0.0018	0.0013	0.0008	3	4	
9	941	0.6866745948791504	627	0.8085391521453857	941.0000	942.0000	737.0000	789.0000	468.0000	627.0000	626.0000	720.0000	629.0000	534.0000	0.6867	0.2742	0.0180	0.0105	0.0026	0.0024	0.0013	0.0008	0.0007	0.0007	5	4	
10	282	0.5333379507064819	627	1.9283971786499023	282.0000	737.0000	22.0000	347.0000	894.0000	65.0000	627.0000	873.0000	941.0000	120.0000	0.5333	0.1107	0.0873	0.0812	0.0369	0.0290	0.0188	0.0108	0.0089	0.0085	6	5	
11	941	0.4986785352230072	627	1.367133378982544	941.0000	627.0000	737.0000	282.0000	720.0000	20.0000	231.0000	946.0000	396.0000	723.0000	0.4987	0.3189	0.0962	0.0329	0.0140	0.0060	0.0049	0.0032	0.0027	0.0025	1	5	
12	627	0.2940947413444519	627	2.6195106506347656	627.0000	282.0000	737.0000	789.0000	682.0000	65.0000	819.0000	941.0000	808.0000	120.0000	0.2941	0.1934	0.0745	0.0723	0.0567	0.0540	0.0474	0.0308	0.0264	0.0213	0	6	
