	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	396	0.7305108308792114	629	1.8468217849731445	396.0000	0.0000	534.0000	629.0000	347.0000	942.0000	282.0000	941.0000	297.0000	72.0000	0.7305	0.0324	0.0204	0.0163	0.0144	0.0084	0.0080	0.0062	0.0051	0.0047	3	0	
1	558	0.09908048808574677	629	5.29591703414917	558.0000	509.0000	166.0000	483.0000	809.0000	75.0000	222.0000	4.0000	453.0000	338.0000	0.0991	0.0522	0.0377	0.0270	0.0183	0.0168	0.0157	0.0151	0.0146	0.0138	529	0	
2	222	0.2801830470561981	629	3.962296962738037	222.0000	510.0000	521.0000	509.0000	534.0000	273.0000	802.0000	900.0000	674.0000	190.0000	0.2802	0.0566	0.0463	0.0291	0.0287	0.0273	0.0225	0.0213	0.0204	0.0163	635	0	
3	503	0.04505603015422821	629	5.125380516052246	503.0000	510.0000	441.0000	191.0000	670.0000	285.0000	307.0000	884.0000	521.0000	75.0000	0.0451	0.0364	0.0326	0.0326	0.0316	0.0275	0.0238	0.0225	0.0210	0.0199	644	0	
4	694	0.3277512490749359	629	2.730855941772461	694.0000	491.0000	75.0000	573.0000	629.0000	396.0000	131.0000	110.0000	343.0000	940.0000	0.3278	0.1124	0.0865	0.0856	0.0799	0.0641	0.0428	0.0165	0.0122	0.0121	4	0	
5	285	0.05748939514160156	629	5.801238536834717	285.0000	483.0000	845.0000	396.0000	679.0000	503.0000	507.0000	239.0000	797.0000	488.0000	0.0575	0.0426	0.0224	0.0198	0.0165	0.0163	0.0140	0.0139	0.0136	0.0113	105	0	
6	222	0.11942985653877258	629	4.619295597076416	222.0000	509.0000	797.0000	307.0000	441.0000	476.0000	884.0000	285.0000	811.0000	232.0000	0.1194	0.0861	0.0459	0.0436	0.0344	0.0290	0.0273	0.0263	0.0244	0.0165	656	0	
7	790	0.06293594092130661	629	5.511320114135742	790.0000	423.0000	637.0000	598.0000	38.0000	845.0000	817.0000	870.0000	54.0000	172.0000	0.0629	0.0526	0.0288	0.0240	0.0226	0.0207	0.0191	0.0149	0.0121	0.0119	177	0	
8	488	0.14221970736980438	629	4.967017650604248	488.0000	285.0000	844.0000	320.0000	483.0000	347.0000	797.0000	522.0000	396.0000	551.0000	0.1422	0.0749	0.0269	0.0246	0.0237	0.0231	0.0206	0.0180	0.0175	0.0153	64	0	
9	222	0.13572145998477936	629	4.367035865783691	222.0000	884.0000	584.0000	521.0000	273.0000	532.0000	797.0000	802.0000	510.0000	670.0000	0.1357	0.0952	0.0769	0.0690	0.0331	0.0242	0.0240	0.0207	0.0205	0.0182	330	0	
