	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	768	0.48166751861572266	633	2.5787177085876465	768.0000	289.0000	698.0000	590.0000	288.0000	316.0000	621.0000	510.0000	568.0000	295.0000	0.4817	0.1088	0.0565	0.0489	0.0394	0.0242	0.0212	0.0172	0.0133	0.0122	57	0	
1	768	0.3558295667171478	633	3.213433027267456	768.0000	590.0000	226.0000	304.0000	621.0000	141.0000	698.0000	288.0000	289.0000	510.0000	0.3558	0.0895	0.0505	0.0443	0.0366	0.0300	0.0296	0.0269	0.0239	0.0222	93	0	
2	621	0.7979851961135864	633	0.7618269920349121	621.0000	289.0000	288.0000	494.0000	305.0000	910.0000	698.0000	482.0000	316.0000	590.0000	0.7980	0.1563	0.0095	0.0039	0.0037	0.0035	0.0029	0.0024	0.0022	0.0022	24	1	
3	621	0.2174024134874344	633	3.6215176582336426	621.0000	226.0000	590.0000	369.0000	289.0000	910.0000	510.0000	330.0000	589.0000	662.0000	0.2174	0.1081	0.0809	0.0464	0.0438	0.0333	0.0308	0.0269	0.0203	0.0202	42	1	
4	289	0.4739912450313568	633	2.281466007232666	289.0000	621.0000	768.0000	590.0000	288.0000	316.0000	33.0000	633.0000	802.0000	305.0000	0.4740	0.1400	0.1073	0.0392	0.0334	0.0199	0.0191	0.0148	0.0133	0.0110	7	2	
5	590	0.3950231671333313	633	2.5084776878356934	590.0000	589.0000	768.0000	621.0000	226.0000	510.0000	431.0000	369.0000	633.0000	479.0000	0.3950	0.1343	0.0852	0.0777	0.0670	0.0278	0.0219	0.0202	0.0176	0.0087	8	2	
6	621	0.6662781834602356	633	1.3294800519943237	621.0000	289.0000	698.0000	155.0000	590.0000	316.0000	633.0000	28.0000	124.0000	304.0000	0.6663	0.1402	0.0893	0.0148	0.0141	0.0129	0.0068	0.0065	0.0062	0.0048	6	3	
7	590	0.3131483197212219	633	2.632627248764038	590.0000	369.0000	304.0000	155.0000	426.0000	510.0000	633.0000	19.0000	662.0000	312.0000	0.3131	0.2259	0.0558	0.0505	0.0419	0.0383	0.0373	0.0360	0.0207	0.0205	6	3	
8	621	0.43067502975463867	633	1.4457764625549316	621.0000	289.0000	124.0000	590.0000	316.0000	305.0000	494.0000	633.0000	482.0000	698.0000	0.4307	0.4224	0.0235	0.0177	0.0148	0.0146	0.0126	0.0119	0.0058	0.0053	7	4	
9	494	0.5175995826721191	633	1.7999141216278076	494.0000	590.0000	226.0000	633.0000	330.0000	304.0000	589.0000	768.0000	698.0000	662.0000	0.5176	0.2571	0.0489	0.0331	0.0130	0.0124	0.0108	0.0074	0.0070	0.0063	3	4	
10	369	0.2874401807785034	633	2.8725295066833496	369.0000	482.0000	155.0000	141.0000	633.0000	590.0000	316.0000	226.0000	578.0000	124.0000	0.2874	0.1862	0.0842	0.0601	0.0495	0.0315	0.0272	0.0237	0.0197	0.0193	4	5	
11	226	0.5621201395988464	633	2.0513575077056885	226.0000	312.0000	503.0000	681.0000	369.0000	578.0000	155.0000	191.0000	44.0000	273.0000	0.5621	0.0897	0.0427	0.0395	0.0382	0.0337	0.0311	0.0147	0.0142	0.0125	14	5	
12	369	0.20978042483329773	633	2.9865353107452393	369.0000	289.0000	590.0000	545.0000	633.0000	124.0000	28.0000	316.0000	482.0000	44.0000	0.2098	0.1853	0.0915	0.0624	0.0618	0.0562	0.0353	0.0331	0.0233	0.0213	4	6	
13	369	0.6916106939315796	633	1.4451600313186646	369.0000	226.0000	503.0000	590.0000	510.0000	304.0000	155.0000	426.0000	330.0000	44.0000	0.6916	0.0822	0.0510	0.0437	0.0214	0.0170	0.0124	0.0099	0.0062	0.0061	16	6	
14	633	0.2142850011587143	633	2.992619514465332	633.0000	89.0000	369.0000	289.0000	884.0000	621.0000	155.0000	590.0000	124.0000	141.0000	0.2143	0.1838	0.1022	0.0673	0.0556	0.0401	0.0348	0.0275	0.0234	0.0185	0	7	
15	633	0.5403703451156616	633	2.3580870628356934	633.0000	304.0000	590.0000	503.0000	662.0000	226.0000	155.0000	884.0000	273.0000	369.0000	0.5404	0.0763	0.0560	0.0307	0.0276	0.0195	0.0191	0.0187	0.0187	0.0173	0	7	
