	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	867	0.10941571742296219	635	5.060466766357422	867.0000	942.0000	893.0000	861.0000	726.0000	143.0000	683.0000	789.0000	719.0000	924.0000	0.1094	0.0875	0.0592	0.0292	0.0234	0.0179	0.0162	0.0139	0.0137	0.0131	283	0	
1	884	0.15334872901439667	635	4.293694496154785	884.0000	797.0000	646.0000	584.0000	235.0000	670.0000	900.0000	716.0000	510.0000	467.0000	0.1533	0.0922	0.0728	0.0683	0.0332	0.0293	0.0273	0.0204	0.0182	0.0148	375	0	
2	942	0.1531931310892105	635	4.656990051269531	942.0000	726.0000	867.0000	893.0000	789.0000	143.0000	874.0000	468.0000	941.0000	356.0000	0.1532	0.0640	0.0597	0.0421	0.0379	0.0290	0.0286	0.0239	0.0160	0.0137	344	0	
3	646	0.12657713890075684	635	4.328222274780273	646.0000	235.0000	884.0000	900.0000	584.0000	797.0000	840.0000	690.0000	467.0000	323.0000	0.1266	0.0722	0.0628	0.0480	0.0461	0.0447	0.0321	0.0242	0.0231	0.0208	251	0	
4	942	0.4076526165008545	635	1.850225567817688	942.0000	468.0000	546.0000	627.0000	737.0000	534.0000	626.0000	297.0000	941.0000	867.0000	0.4077	0.2402	0.1738	0.0513	0.0318	0.0151	0.0121	0.0117	0.0096	0.0044	35	1	
5	203	0.06323611736297607	635	5.436938762664795	203.0000	235.0000	534.0000	840.0000	541.0000	449.0000	521.0000	627.0000	884.0000	759.0000	0.0632	0.0337	0.0279	0.0263	0.0209	0.0193	0.0173	0.0167	0.0158	0.0153	49	1	
6	942	0.3218156099319458	635	2.074204444885254	942.0000	468.0000	546.0000	627.0000	297.0000	534.0000	6.0000	737.0000	626.0000	941.0000	0.3218	0.3068	0.1414	0.0713	0.0276	0.0215	0.0153	0.0124	0.0122	0.0059	56	1	
7	203	0.07014498114585876	635	5.518289566040039	203.0000	541.0000	55.0000	646.0000	235.0000	534.0000	670.0000	716.0000	196.0000	899.0000	0.0701	0.0425	0.0299	0.0237	0.0154	0.0149	0.0131	0.0128	0.0122	0.0119	232	1	
8	909	0.8627959489822388	635	0.598950982093811	909.0000	867.0000	737.0000	37.0000	899.0000	924.0000	96.0000	55.0000	133.0000	941.0000	0.8628	0.0948	0.0170	0.0050	0.0024	0.0023	0.0022	0.0019	0.0016	0.0010	184	2	
9	909	0.5565921664237976	635	1.726257562637329	909.0000	899.0000	854.0000	6.0000	326.0000	55.0000	279.0000	133.0000	411.0000	347.0000	0.5566	0.2157	0.0673	0.0175	0.0149	0.0124	0.0092	0.0089	0.0087	0.0076	305	2	
10	909	0.9154886603355408	635	0.6086763143539429	909.0000	96.0000	924.0000	37.0000	737.0000	6.0000	854.0000	326.0000	874.0000	789.0000	0.9155	0.0115	0.0070	0.0060	0.0042	0.0040	0.0039	0.0038	0.0033	0.0029	174	2	
11	909	0.8334675431251526	635	0.9094240665435791	909.0000	899.0000	854.0000	347.0000	583.0000	133.0000	651.0000	55.0000	326.0000	37.0000	0.8335	0.0462	0.0236	0.0170	0.0140	0.0119	0.0108	0.0075	0.0052	0.0029	487	2	
12	789	0.25720980763435364	635	1.9230350255966187	789.0000	737.0000	941.0000	627.0000	13.0000	471.0000	38.0000	867.0000	546.0000	862.0000	0.2572	0.2440	0.2136	0.1579	0.0315	0.0199	0.0194	0.0131	0.0090	0.0060	35	3	
13	13	0.4360802471637726	635	3.322429656982422	13.0000	627.0000	534.0000	576.0000	0.0000	737.0000	525.0000	256.0000	941.0000	824.0000	0.4361	0.0411	0.0377	0.0260	0.0155	0.0153	0.0136	0.0123	0.0121	0.0118	41	3	
14	627	0.3996409773826599	635	1.6252028942108154	627.0000	789.0000	471.0000	941.0000	546.0000	737.0000	13.0000	603.0000	534.0000	626.0000	0.3996	0.3333	0.1142	0.0602	0.0339	0.0153	0.0061	0.0059	0.0039	0.0030	20	3	
15	832	0.0719560906291008	635	4.859655380249023	832.0000	98.0000	13.0000	909.0000	861.0000	874.0000	347.0000	692.0000	339.0000	55.0000	0.0720	0.0473	0.0432	0.0392	0.0372	0.0314	0.0283	0.0267	0.0233	0.0218	197	3	
16	737	0.6627367734909058	635	1.134455680847168	737.0000	941.0000	627.0000	789.0000	546.0000	13.0000	38.0000	471.0000	942.0000	534.0000	0.6627	0.1844	0.0741	0.0433	0.0083	0.0043	0.0040	0.0032	0.0023	0.0021	32	4	
17	515	0.11514022201299667	635	3.9222049713134766	515.0000	13.0000	190.0000	72.0000	525.0000	347.0000	584.0000	282.0000	467.0000	323.0000	0.1151	0.0674	0.0651	0.0502	0.0416	0.0409	0.0393	0.0321	0.0289	0.0286	105	4	
18	941	0.34864580631256104	635	1.7282688617706299	941.0000	627.0000	737.0000	789.0000	546.0000	942.0000	534.0000	471.0000	603.0000	297.0000	0.3486	0.3436	0.1128	0.0623	0.0394	0.0299	0.0235	0.0130	0.0039	0.0039	16	4	
19	832	0.2387481927871704	635	3.4273858070373535	832.0000	692.0000	98.0000	347.0000	470.0000	301.0000	173.0000	833.0000	710.0000	13.0000	0.2387	0.1304	0.0771	0.0518	0.0378	0.0294	0.0276	0.0265	0.0184	0.0180	271	4	
20	789	0.2619208097457886	635	2.7010974884033203	789.0000	38.0000	867.0000	471.0000	737.0000	627.0000	909.0000	534.0000	54.0000	13.0000	0.2619	0.1261	0.1052	0.0904	0.0855	0.0646	0.0504	0.0503	0.0216	0.0193	109	5	
21	471	0.8562533855438232	635	0.8332341909408569	471.0000	98.0000	347.0000	692.0000	837.0000	783.0000	854.0000	690.0000	133.0000	789.0000	0.8563	0.0397	0.0238	0.0130	0.0076	0.0073	0.0072	0.0047	0.0042	0.0039	172	5	
22	789	0.36612045764923096	635	2.653578042984009	789.0000	627.0000	471.0000	534.0000	942.0000	874.0000	38.0000	96.0000	546.0000	603.0000	0.3661	0.1732	0.0933	0.0605	0.0468	0.0308	0.0188	0.0163	0.0163	0.0131	132	5	
23	471	0.5521818399429321	635	1.7311770915985107	471.0000	909.0000	837.0000	690.0000	353.0000	347.0000	692.0000	133.0000	98.0000	854.0000	0.5522	0.1820	0.0616	0.0429	0.0297	0.0231	0.0197	0.0110	0.0105	0.0076	326	5	
24	546	0.4949176609516144	635	1.8579400777816772	546.0000	627.0000	737.0000	789.0000	942.0000	534.0000	941.0000	867.0000	13.0000	603.0000	0.4949	0.2099	0.0918	0.0293	0.0253	0.0237	0.0228	0.0210	0.0160	0.0114	28	6	
