	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	161	0.2103128880262375	637	2.4069156646728516	161.0000	637.0000	533.0000	790.0000	56.0000	408.0000	608.0000	845.0000	216.0000	750.0000	0.2103	0.1733	0.1128	0.1079	0.1013	0.0787	0.0472	0.0442	0.0417	0.0182	1	0	
1	54	0.35217180848121643	637	2.168886661529541	54.0000	709.0000	142.0000	262.0000	588.0000	408.0000	608.0000	501.0000	25.0000	235.0000	0.3522	0.3033	0.1182	0.0291	0.0232	0.0207	0.0123	0.0113	0.0108	0.0100	14	0	
2	637	0.3459865152835846	637	2.2839643955230713	637.0000	608.0000	408.0000	533.0000	790.0000	845.0000	161.0000	25.0000	423.0000	709.0000	0.3460	0.1618	0.1219	0.0757	0.0473	0.0405	0.0306	0.0246	0.0240	0.0228	0	0	
3	709	0.28452229499816895	637	4.480228424072266	709.0000	423.0000	142.0000	762.0000	845.0000	583.0000	641.0000	657.0000	919.0000	321.0000	0.2845	0.0342	0.0256	0.0228	0.0211	0.0181	0.0166	0.0143	0.0136	0.0130	29	0	
4	637	0.568153440952301	637	0.8622119426727295	637.0000	533.0000	790.0000	216.0000	408.0000	608.0000	709.0000	262.0000	423.0000	535.0000	0.5682	0.3908	0.0317	0.0031	0.0018	0.0013	0.0010	0.0006	0.0003	0.0002	0	1	
5	142	0.31830593943595886	637	2.9953231811523438	142.0000	709.0000	637.0000	47.0000	423.0000	408.0000	717.0000	588.0000	216.0000	790.0000	0.3183	0.1099	0.1085	0.0577	0.0419	0.0369	0.0299	0.0231	0.0205	0.0147	2	1	
6	637	0.6384832859039307	637	1.6589763164520264	637.0000	790.0000	709.0000	533.0000	408.0000	262.0000	608.0000	216.0000	25.0000	332.0000	0.6385	0.0996	0.0599	0.0355	0.0202	0.0186	0.0137	0.0136	0.0120	0.0113	0	1	
7	709	0.4449734687805176	637	2.480147361755371	709.0000	423.0000	47.0000	585.0000	735.0000	657.0000	762.0000	790.0000	262.0000	825.0000	0.4450	0.1763	0.0877	0.0294	0.0251	0.0214	0.0194	0.0146	0.0104	0.0083	12	1	
8	637	0.41365718841552734	637	1.307584524154663	637.0000	533.0000	790.0000	408.0000	709.0000	750.0000	608.0000	262.0000	302.0000	25.0000	0.4137	0.3541	0.1701	0.0286	0.0114	0.0101	0.0071	0.0011	0.0006	0.0005	0	2	
9	142	0.6691708564758301	637	1.321852684020996	142.0000	762.0000	535.0000	709.0000	54.0000	235.0000	47.0000	25.0000	637.0000	717.0000	0.6692	0.1127	0.0990	0.0354	0.0212	0.0129	0.0096	0.0045	0.0036	0.0032	8	2	
10	637	0.4494183659553528	637	1.8624101877212524	637.0000	709.0000	790.0000	408.0000	608.0000	161.0000	25.0000	533.0000	262.0000	845.0000	0.4494	0.1508	0.1423	0.0859	0.0367	0.0234	0.0227	0.0217	0.0186	0.0140	0	2	
11	709	0.3357621431350708	637	2.115351676940918	709.0000	423.0000	762.0000	535.0000	902.0000	637.0000	790.0000	235.0000	608.0000	142.0000	0.3358	0.2744	0.0751	0.0705	0.0628	0.0541	0.0378	0.0150	0.0150	0.0045	5	2	
12	533	0.7249784469604492	637	1.1392868757247925	533.0000	637.0000	608.0000	790.0000	709.0000	750.0000	35.0000	408.0000	161.0000	216.0000	0.7250	0.1040	0.0530	0.0380	0.0183	0.0136	0.0119	0.0114	0.0105	0.0035	1	3	
13	657	0.5245068669319153	637	2.184976100921631	657.0000	515.0000	471.0000	782.0000	142.0000	235.0000	911.0000	644.0000	588.0000	336.0000	0.5245	0.0639	0.0626	0.0614	0.0494	0.0346	0.0281	0.0243	0.0142	0.0135	20	3	
