	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	844	0.20246285200119019	644	3.7356958389282227	844.0000	893.0000	282.0000	419.0000	701.0000	757.0000	75.0000	582.0000	407.0000	528.0000	0.2025	0.1315	0.0937	0.0342	0.0338	0.0311	0.0262	0.0238	0.0203	0.0200	547	0	
1	627	0.21786989271640778	644	3.9642300605773926	627.0000	235.0000	75.0000	789.0000	407.0000	0.0000	282.0000	893.0000	532.0000	737.0000	0.2179	0.1122	0.0498	0.0481	0.0367	0.0350	0.0320	0.0299	0.0242	0.0147	68	0	
2	216	0.025890203192830086	644	5.920289039611816	216.0000	575.0000	246.0000	301.0000	6.0000	637.0000	390.0000	423.0000	598.0000	0.0000	0.0259	0.0228	0.0197	0.0163	0.0152	0.0150	0.0139	0.0134	0.0131	0.0128	90	0	
3	235	0.5749059915542603	644	1.407314419746399	235.0000	644.0000	782.0000	190.0000	515.0000	142.0000	467.0000	884.0000	840.0000	301.0000	0.5749	0.2979	0.0235	0.0185	0.0078	0.0076	0.0051	0.0042	0.0039	0.0038	1	0	
4	235	0.8287637829780579	644	0.8994308114051819	235.0000	782.0000	789.0000	471.0000	644.0000	142.0000	942.0000	588.0000	546.0000	627.0000	0.8288	0.0839	0.0105	0.0097	0.0074	0.0069	0.0048	0.0046	0.0043	0.0036	4	0	
5	235	0.24986328184604645	644	4.385307312011719	235.0000	888.0000	782.0000	789.0000	942.0000	0.0000	468.0000	250.0000	627.0000	215.0000	0.2499	0.0529	0.0347	0.0330	0.0321	0.0245	0.0242	0.0185	0.0178	0.0174	32	0	
6	80	0.2351507544517517	644	4.228335380554199	80.0000	701.0000	893.0000	472.0000	844.0000	826.0000	585.0000	419.0000	614.0000	582.0000	0.2352	0.1094	0.0586	0.0253	0.0237	0.0225	0.0207	0.0180	0.0141	0.0122	92	1	
7	111	0.1731988787651062	644	4.892877101898193	111.0000	407.0000	893.0000	585.0000	75.0000	80.0000	315.0000	857.0000	532.0000	531.0000	0.1732	0.0378	0.0313	0.0270	0.0270	0.0229	0.0219	0.0158	0.0157	0.0150	92	1	
8	762	0.18255585432052612	644	3.9417951107025146	762.0000	585.0000	814.0000	598.0000	675.0000	893.0000	80.0000	81.0000	629.0000	299.0000	0.1826	0.1686	0.0423	0.0314	0.0288	0.0288	0.0280	0.0217	0.0185	0.0162	56	1	
9	644	0.4149741530418396	644	2.151799440383911	644.0000	235.0000	336.0000	515.0000	884.0000	782.0000	142.0000	840.0000	13.0000	789.0000	0.4150	0.1677	0.1551	0.0922	0.0171	0.0138	0.0099	0.0092	0.0090	0.0087	0	1	
10	789	0.23541685938835144	644	2.5244526863098145	789.0000	235.0000	515.0000	468.0000	644.0000	782.0000	336.0000	635.0000	142.0000	942.0000	0.2354	0.1937	0.1619	0.0987	0.0490	0.0475	0.0367	0.0358	0.0250	0.0186	4	1	
11	789	0.49997997283935547	644	2.8456051349639893	789.0000	468.0000	644.0000	627.0000	782.0000	235.0000	942.0000	0.0000	471.0000	585.0000	0.5000	0.1120	0.0385	0.0244	0.0243	0.0180	0.0163	0.0140	0.0116	0.0100	2	1	
12	701	0.5927378535270691	644	2.3042943477630615	701.0000	80.0000	712.0000	585.0000	235.0000	315.0000	724.0000	111.0000	627.0000	407.0000	0.5927	0.1030	0.0301	0.0213	0.0134	0.0110	0.0106	0.0104	0.0091	0.0089	138	2	
13	235	0.14878346025943756	644	3.9891207218170166	235.0000	701.0000	627.0000	874.0000	385.0000	585.0000	515.0000	54.0000	909.0000	80.0000	0.1488	0.1264	0.1022	0.0868	0.0313	0.0253	0.0242	0.0237	0.0237	0.0223	130	2	
14	617	0.21119093894958496	644	4.2721476554870605	617.0000	598.0000	515.0000	423.0000	679.0000	6.0000	762.0000	657.0000	162.0000	893.0000	0.2112	0.1147	0.0629	0.0624	0.0218	0.0217	0.0169	0.0143	0.0132	0.0122	49	2	
15	737	0.2833133935928345	644	2.6140151023864746	737.0000	627.0000	13.0000	644.0000	346.0000	235.0000	391.0000	789.0000	682.0000	282.0000	0.2833	0.1900	0.1337	0.1085	0.0532	0.0290	0.0171	0.0145	0.0141	0.0136	3	2	
16	627	0.42609095573425293	644	2.3838863372802734	627.0000	644.0000	789.0000	737.0000	471.0000	235.0000	13.0000	720.0000	515.0000	391.0000	0.4261	0.1177	0.0918	0.0904	0.0417	0.0350	0.0318	0.0198	0.0145	0.0121	1	2	
17	235	0.31781336665153503	644	3.5372061729431152	235.0000	644.0000	627.0000	468.0000	789.0000	391.0000	720.0000	471.0000	782.0000	588.0000	0.3178	0.0972	0.0941	0.0488	0.0441	0.0198	0.0171	0.0170	0.0158	0.0112	1	2	
18	585	0.6922188401222229	644	1.7833552360534668	585.0000	530.0000	215.0000	531.0000	805.0000	213.0000	436.0000	893.0000	727.0000	627.0000	0.6922	0.0399	0.0251	0.0233	0.0203	0.0149	0.0136	0.0136	0.0129	0.0117	73	3	
19	789	0.14743420481681824	644	3.5752615928649902	789.0000	627.0000	391.0000	585.0000	644.0000	515.0000	336.0000	54.0000	45.0000	495.0000	0.1474	0.1360	0.1174	0.0621	0.0579	0.0535	0.0480	0.0254	0.0232	0.0177	4	3	
20	391	0.2410551905632019	644	2.847464084625244	391.0000	893.0000	789.0000	585.0000	630.0000	510.0000	861.0000	679.0000	598.0000	644.0000	0.2411	0.1486	0.1309	0.1283	0.0466	0.0450	0.0280	0.0272	0.0195	0.0162	9	3	
