	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	646	0.25871366262435913	645	3.0728397369384766	646.0000	869.0000	674.0000	510.0000	681.0000	884.0000	590.0000	288.0000	584.0000	670.0000	0.2587	0.1313	0.1229	0.0920	0.0421	0.0329	0.0250	0.0179	0.0169	0.0160	63	0	
1	521	0.10380334407091141	645	4.268094539642334	521.0000	510.0000	646.0000	285.0000	643.0000	509.0000	884.0000	674.0000	869.0000	584.0000	0.1038	0.0713	0.0692	0.0656	0.0532	0.0493	0.0389	0.0372	0.0286	0.0202	185	0	
2	38	0.13379882276058197	645	4.839840888977051	38.0000	364.0000	96.0000	709.0000	54.0000	790.0000	637.0000	750.0000	161.0000	832.0000	0.1338	0.1131	0.0542	0.0244	0.0198	0.0185	0.0174	0.0172	0.0151	0.0122	203	0	
3	547	0.126102477312088	645	5.022089004516602	547.0000	760.0000	608.0000	750.0000	637.0000	143.0000	235.0000	206.0000	377.0000	646.0000	0.1261	0.0389	0.0330	0.0288	0.0242	0.0239	0.0238	0.0215	0.0203	0.0197	172	0	
4	646	0.7847753167152405	645	1.262547254562378	646.0000	584.0000	869.0000	884.0000	510.0000	681.0000	670.0000	61.0000	551.0000	395.0000	0.7848	0.0655	0.0156	0.0148	0.0143	0.0100	0.0078	0.0051	0.0048	0.0043	11	0	
5	395	0.9936715364456177	645	0.04786858335137367	395.0000	646.0000	584.0000	645.0000	840.0000	884.0000	47.0000	521.0000	98.0000	119.0000	0.9937	0.0030	0.0024	0.0002	0.0002	0.0001	0.0001	0.0001	0.0000	0.0000	3	0	
6	584	0.30462220311164856	645	2.997558832168579	584.0000	646.0000	395.0000	840.0000	884.0000	645.0000	521.0000	47.0000	98.0000	235.0000	0.3046	0.2167	0.1159	0.0526	0.0270	0.0165	0.0148	0.0147	0.0096	0.0082	5	0	
7	646	0.15590348839759827	645	4.9739227294921875	646.0000	395.0000	521.0000	884.0000	584.0000	282.0000	534.0000	582.0000	205.0000	861.0000	0.1559	0.0679	0.0563	0.0345	0.0276	0.0152	0.0147	0.0096	0.0095	0.0092	17	0	
8	235	0.3418746888637543	645	3.14223575592041	235.0000	646.0000	521.0000	510.0000	75.0000	644.0000	240.0000	884.0000	674.0000	670.0000	0.3419	0.1044	0.1041	0.0985	0.0173	0.0170	0.0167	0.0151	0.0122	0.0120	58	0	
9	38	0.07614577561616898	645	5.332943439483643	38.0000	832.0000	646.0000	347.0000	96.0000	364.0000	861.0000	395.0000	709.0000	824.0000	0.0761	0.0567	0.0527	0.0320	0.0320	0.0223	0.0166	0.0126	0.0122	0.0119	201	0	
10	646	0.22131526470184326	645	4.824812889099121	646.0000	521.0000	395.0000	534.0000	584.0000	75.0000	637.0000	47.0000	483.0000	55.0000	0.2213	0.0427	0.0346	0.0250	0.0166	0.0165	0.0156	0.0131	0.0100	0.0098	12	0	
11	510	0.3420123755931854	645	3.2247304916381836	510.0000	681.0000	235.0000	674.0000	869.0000	646.0000	240.0000	521.0000	670.0000	644.0000	0.3420	0.0652	0.0619	0.0524	0.0441	0.0386	0.0372	0.0298	0.0294	0.0190	52	0	
12	235	0.04707804322242737	645	5.40208625793457	235.0000	521.0000	547.0000	358.0000	143.0000	285.0000	377.0000	646.0000	750.0000	510.0000	0.0471	0.0429	0.0356	0.0304	0.0272	0.0246	0.0229	0.0215	0.0200	0.0199	221	0	
13	646	0.4629300832748413	645	1.6991708278656006	646.0000	584.0000	395.0000	884.0000	840.0000	681.0000	645.0000	119.0000	47.0000	670.0000	0.4629	0.3192	0.1012	0.0210	0.0081	0.0073	0.0063	0.0053	0.0041	0.0027	6	0	
14	861	0.26186832785606384	645	3.8146591186523438	861.0000	499.0000	584.0000	692.0000	924.0000	797.0000	98.0000	690.0000	543.0000	884.0000	0.2619	0.0673	0.0582	0.0432	0.0387	0.0323	0.0304	0.0285	0.0191	0.0176	39	1	
15	861	0.13097317516803741	645	4.498543739318848	861.0000	543.0000	483.0000	584.0000	282.0000	924.0000	34.0000	499.0000	222.0000	797.0000	0.1310	0.0619	0.0565	0.0487	0.0366	0.0346	0.0326	0.0278	0.0259	0.0249	205	1	
16	96	0.23977576196193695	645	4.342207908630371	96.0000	55.0000	38.0000	54.0000	483.0000	924.0000	679.0000	584.0000	364.0000	787.0000	0.2398	0.0687	0.0468	0.0403	0.0349	0.0287	0.0231	0.0212	0.0181	0.0115	69	1	
17	902	0.12952403724193573	645	5.263687610626221	902.0000	332.0000	750.0000	760.0000	651.0000	942.0000	596.0000	811.0000	206.0000	227.0000	0.1295	0.0396	0.0302	0.0256	0.0205	0.0143	0.0132	0.0129	0.0124	0.0112	393	1	
18	467	0.11888635903596878	645	3.8801770210266113	467.0000	98.0000	840.0000	884.0000	349.0000	797.0000	690.0000	513.0000	395.0000	584.0000	0.1189	0.0868	0.0794	0.0728	0.0644	0.0595	0.0434	0.0384	0.0383	0.0349	17	1	
19	395	0.8897345662117004	645	0.7668360471725464	395.0000	645.0000	357.0000	840.0000	114.0000	301.0000	584.0000	513.0000	884.0000	515.0000	0.8897	0.0194	0.0151	0.0098	0.0082	0.0045	0.0039	0.0030	0.0029	0.0020	1	1	
20	357	0.10083997249603271	645	4.482341289520264	357.0000	840.0000	884.0000	861.0000	96.0000	853.0000	924.0000	584.0000	54.0000	645.0000	0.1008	0.0568	0.0529	0.0492	0.0397	0.0347	0.0330	0.0325	0.0303	0.0296	9	1	
21	909	0.09852997213602066	645	4.43546199798584	909.0000	924.0000	96.0000	787.0000	55.0000	899.0000	133.0000	114.0000	483.0000	679.0000	0.0985	0.0903	0.0873	0.0490	0.0443	0.0413	0.0379	0.0336	0.0204	0.0189	55	1	
22	98	0.2389499843120575	645	3.6143054962158203	98.0000	80.0000	133.0000	483.0000	692.0000	643.0000	515.0000	853.0000	471.0000	937.0000	0.2389	0.1556	0.0825	0.0560	0.0247	0.0212	0.0164	0.0152	0.0150	0.0133	477	1	
23	55	0.1458197981119156	645	5.125349044799805	55.0000	584.0000	679.0000	684.0000	96.0000	38.0000	646.0000	534.0000	513.0000	762.0000	0.1458	0.0314	0.0218	0.0215	0.0200	0.0194	0.0180	0.0158	0.0158	0.0153	76	1	
24	96	0.10627561062574387	645	4.1684160232543945	96.0000	55.0000	483.0000	924.0000	357.0000	909.0000	679.0000	861.0000	353.0000	787.0000	0.1063	0.1059	0.0612	0.0553	0.0473	0.0447	0.0396	0.0272	0.0256	0.0232	37	1	
25	98	0.3337366282939911	645	3.810204029083252	98.0000	80.0000	133.0000	104.0000	489.0000	483.0000	68.0000	853.0000	692.0000	948.0000	0.3337	0.0757	0.0523	0.0285	0.0202	0.0195	0.0185	0.0147	0.0142	0.0117	224	1	
26	142	0.10535629093647003	645	4.958140850067139	142.0000	902.0000	782.0000	760.0000	837.0000	596.0000	588.0000	879.0000	235.0000	909.0000	0.1054	0.0683	0.0461	0.0437	0.0309	0.0306	0.0284	0.0247	0.0221	0.0147	313	1	
27	584	0.33294346928596497	645	3.451625347137451	584.0000	645.0000	395.0000	54.0000	513.0000	357.0000	840.0000	646.0000	884.0000	98.0000	0.3329	0.0786	0.0471	0.0408	0.0403	0.0389	0.0365	0.0318	0.0313	0.0199	1	1	
28	861	0.664743185043335	645	1.7574223279953003	861.0000	584.0000	476.0000	832.0000	222.0000	347.0000	323.0000	190.0000	780.0000	797.0000	0.6647	0.0541	0.0388	0.0280	0.0278	0.0260	0.0175	0.0157	0.0115	0.0099	11	2	
29	861	0.43289312720298767	645	2.24143648147583	861.0000	780.0000	347.0000	543.0000	534.0000	521.0000	629.0000	222.0000	33.0000	900.0000	0.4329	0.1908	0.0474	0.0472	0.0451	0.0385	0.0329	0.0302	0.0179	0.0157	177	2	
30	534	0.26933032274246216	645	4.160459995269775	534.0000	861.0000	546.0000	347.0000	54.0000	584.0000	832.0000	532.0000	96.0000	646.0000	0.2693	0.0702	0.0298	0.0291	0.0259	0.0218	0.0210	0.0181	0.0177	0.0173	28	2	
31	143	0.36137163639068604	645	3.9677176475524902	143.0000	644.0000	715.0000	332.0000	750.0000	356.0000	902.0000	818.0000	395.0000	907.0000	0.3614	0.0301	0.0295	0.0238	0.0158	0.0157	0.0146	0.0131	0.0124	0.0122	223	2	
32	797	0.15015113353729248	645	4.172026634216309	797.0000	467.0000	832.0000	584.0000	710.0000	349.0000	645.0000	861.0000	840.0000	476.0000	0.1502	0.1017	0.0635	0.0515	0.0479	0.0314	0.0306	0.0239	0.0233	0.0212	6	2	
33	645	0.5747959017753601	645	2.091808795928955	645.0000	395.0000	627.0000	840.0000	584.0000	93.0000	683.0000	119.0000	861.0000	832.0000	0.5748	0.0977	0.0560	0.0546	0.0382	0.0207	0.0112	0.0075	0.0073	0.0068	0	2	
34	645	0.28201863169670105	645	3.2827062606811523	645.0000	832.0000	861.0000	840.0000	646.0000	395.0000	347.0000	584.0000	323.0000	467.0000	0.2820	0.0847	0.0730	0.0467	0.0374	0.0364	0.0351	0.0341	0.0328	0.0296	0	2	
35	323	0.0584922730922699	645	4.95164680480957	323.0000	190.0000	861.0000	395.0000	884.0000	534.0000	467.0000	644.0000	196.0000	645.0000	0.0585	0.0469	0.0444	0.0342	0.0330	0.0297	0.0295	0.0289	0.0277	0.0276	9	2	
36	644	0.6502147912979126	645	1.8702800273895264	644.0000	235.0000	627.0000	240.0000	196.0000	674.0000	98.0000	232.0000	532.0000	585.0000	0.6502	0.1034	0.0368	0.0164	0.0136	0.0128	0.0128	0.0094	0.0076	0.0073	142	2	
37	534	0.21483483910560608	645	4.309549808502197	534.0000	646.0000	47.0000	861.0000	532.0000	231.0000	546.0000	395.0000	584.0000	762.0000	0.2148	0.0471	0.0445	0.0316	0.0314	0.0312	0.0274	0.0258	0.0240	0.0219	35	2	
38	395	0.13638201355934143	645	3.9773240089416504	395.0000	534.0000	584.0000	861.0000	645.0000	646.0000	196.0000	483.0000	323.0000	832.0000	0.1364	0.1188	0.1163	0.0355	0.0337	0.0304	0.0291	0.0278	0.0250	0.0236	4	2	
39	644	0.8419182300567627	645	1.061211347579956	644.0000	674.0000	196.0000	521.0000	240.0000	235.0000	47.0000	104.0000	888.0000	377.0000	0.8419	0.0303	0.0151	0.0087	0.0068	0.0064	0.0045	0.0042	0.0033	0.0032	113	2	
40	235	0.14450106024742126	645	4.808406829833984	235.0000	644.0000	395.0000	143.0000	948.0000	674.0000	98.0000	196.0000	762.0000	692.0000	0.1445	0.0506	0.0467	0.0359	0.0269	0.0217	0.0203	0.0142	0.0139	0.0130	171	2	
41	645	0.2919245660305023	645	2.772156000137329	645.0000	861.0000	584.0000	646.0000	832.0000	840.0000	347.0000	395.0000	323.0000	603.0000	0.2919	0.1531	0.1436	0.0839	0.0563	0.0326	0.0233	0.0138	0.0135	0.0117	0	2	
42	884	0.2727910578250885	645	3.1841368675231934	884.0000	645.0000	515.0000	832.0000	644.0000	861.0000	323.0000	476.0000	521.0000	295.0000	0.2728	0.1725	0.0567	0.0401	0.0396	0.0388	0.0267	0.0239	0.0225	0.0186	1	3	
43	347	0.23491626977920532	645	3.791532039642334	347.0000	900.0000	521.0000	861.0000	832.0000	543.0000	23.0000	515.0000	483.0000	285.0000	0.2349	0.0737	0.0628	0.0578	0.0328	0.0269	0.0257	0.0235	0.0228	0.0205	224	3	
44	679	0.04410434514284134	645	5.024239540100098	679.0000	909.0000	534.0000	55.0000	483.0000	291.0000	861.0000	532.0000	96.0000	762.0000	0.0441	0.0386	0.0344	0.0315	0.0307	0.0248	0.0246	0.0227	0.0215	0.0210	20	3	
45	608	0.4890801012516022	645	2.6241700649261475	608.0000	750.0000	35.0000	216.0000	161.0000	432.0000	408.0000	760.0000	332.0000	709.0000	0.4891	0.0853	0.0483	0.0396	0.0345	0.0274	0.0202	0.0166	0.0145	0.0131	124	3	
46	645	0.4083322584629059	645	2.9311134815216064	645.0000	584.0000	513.0000	603.0000	884.0000	467.0000	634.0000	72.0000	395.0000	646.0000	0.4083	0.0733	0.0607	0.0493	0.0434	0.0288	0.0269	0.0210	0.0174	0.0154	0	3	
47	395	0.47167202830314636	645	1.4662383794784546	395.0000	645.0000	584.0000	513.0000	357.0000	93.0000	603.0000	546.0000	832.0000	138.0000	0.4717	0.3626	0.0391	0.0292	0.0145	0.0142	0.0130	0.0127	0.0083	0.0038	1	3	
48	884	0.7944031357765198	645	1.1407511234283447	884.0000	645.0000	584.0000	603.0000	357.0000	395.0000	679.0000	840.0000	421.0000	96.0000	0.7944	0.0591	0.0333	0.0177	0.0127	0.0099	0.0056	0.0043	0.0040	0.0037	1	3	
49	96	0.15534569323062897	645	4.214781761169434	96.0000	645.0000	291.0000	884.0000	861.0000	832.0000	679.0000	441.0000	582.0000	395.0000	0.1553	0.1020	0.0502	0.0435	0.0420	0.0374	0.0285	0.0274	0.0259	0.0258	1	3	
50	644	0.8898398876190186	645	0.640064001083374	644.0000	301.0000	762.0000	235.0000	782.0000	336.0000	395.0000	515.0000	948.0000	98.0000	0.8898	0.0513	0.0114	0.0057	0.0034	0.0028	0.0027	0.0023	0.0019	0.0019	21	3	
51	534	0.0951152816414833	645	4.9150495529174805	534.0000	47.0000	760.0000	861.0000	948.0000	546.0000	832.0000	55.0000	692.0000	909.0000	0.0951	0.0696	0.0340	0.0285	0.0275	0.0234	0.0214	0.0200	0.0194	0.0193	28	3	
52	55	0.25855863094329834	645	3.325161933898926	55.0000	37.0000	909.0000	534.0000	787.0000	483.0000	138.0000	191.0000	679.0000	196.0000	0.2586	0.1281	0.1103	0.0541	0.0513	0.0450	0.0310	0.0191	0.0153	0.0146	22	3	
53	644	0.6464886665344238	645	2.0043246746063232	644.0000	301.0000	681.0000	670.0000	44.0000	161.0000	489.0000	358.0000	104.0000	171.0000	0.6465	0.0717	0.0383	0.0167	0.0160	0.0147	0.0122	0.0109	0.0094	0.0070	28	3	
54	608	0.7513404488563538	645	1.5761795043945312	608.0000	301.0000	408.0000	377.0000	432.0000	762.0000	761.0000	909.0000	423.0000	203.0000	0.7513	0.0367	0.0216	0.0150	0.0111	0.0093	0.0078	0.0075	0.0074	0.0068	168	3	
55	645	0.43513023853302	645	1.5907292366027832	645.0000	584.0000	884.0000	395.0000	603.0000	357.0000	840.0000	646.0000	513.0000	301.0000	0.4351	0.3600	0.0720	0.0259	0.0254	0.0152	0.0103	0.0100	0.0062	0.0033	0	3	
