	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	884	0.14443427324295044	646	4.213476181030273	884.0000	295.0000	646.0000	467.0000	644.0000	190.0000	797.0000	510.0000	840.0000	681.0000	0.1444	0.0849	0.0823	0.0606	0.0339	0.0306	0.0294	0.0292	0.0238	0.0225	2	0	
1	644	0.7734158039093018	646	1.2128572463989258	644.0000	301.0000	546.0000	534.0000	515.0000	635.0000	190.0000	395.0000	513.0000	13.0000	0.7734	0.0778	0.0400	0.0129	0.0090	0.0077	0.0057	0.0036	0.0036	0.0033	22	0	
2	240	0.12399829924106598	646	4.484930992126465	240.0000	235.0000	621.0000	98.0000	515.0000	797.0000	196.0000	510.0000	232.0000	630.0000	0.1240	0.0806	0.0786	0.0408	0.0379	0.0274	0.0187	0.0149	0.0145	0.0138	31	1	
3	301	0.26795703172683716	646	3.9646363258361816	301.0000	515.0000	941.0000	235.0000	630.0000	627.0000	644.0000	489.0000	861.0000	55.0000	0.2680	0.1374	0.0263	0.0262	0.0219	0.0190	0.0189	0.0166	0.0160	0.0157	11	1	
4	467	0.24646729230880737	646	3.4525725841522217	467.0000	621.0000	884.0000	510.0000	295.0000	190.0000	589.0000	679.0000	646.0000	426.0000	0.2465	0.1420	0.0875	0.0689	0.0436	0.0276	0.0273	0.0198	0.0196	0.0178	8	2	
5	291	0.23499193787574768	646	3.7310400009155273	291.0000	646.0000	797.0000	55.0000	680.0000	679.0000	584.0000	295.0000	924.0000	909.0000	0.2350	0.1142	0.0510	0.0392	0.0307	0.0276	0.0266	0.0259	0.0209	0.0197	1	2	
6	621	0.14435794949531555	646	3.7742834091186523	621.0000	483.0000	589.0000	884.0000	768.0000	369.0000	295.0000	426.0000	681.0000	304.0000	0.1444	0.1090	0.0941	0.0804	0.0531	0.0486	0.0310	0.0238	0.0207	0.0195	32	3	
7	924	0.17127001285552979	646	3.7702975273132324	924.0000	55.0000	884.0000	680.0000	70.0000	369.0000	96.0000	690.0000	674.0000	98.0000	0.1713	0.1703	0.1315	0.0375	0.0247	0.0174	0.0160	0.0158	0.0155	0.0134	18	3	
8	645	0.11667362600564957	646	3.9037537574768066	645.0000	603.0000	646.0000	240.0000	434.0000	395.0000	584.0000	884.0000	190.0000	710.0000	0.1167	0.0944	0.0844	0.0731	0.0618	0.0470	0.0390	0.0370	0.0341	0.0245	2	4	
9	291	0.09291534125804901	646	4.2037248611450195	291.0000	55.0000	584.0000	301.0000	646.0000	861.0000	645.0000	395.0000	347.0000	832.0000	0.0929	0.0870	0.0759	0.0734	0.0659	0.0634	0.0407	0.0252	0.0227	0.0202	4	4	
10	679	0.07231754809617996	646	4.77769660949707	679.0000	589.0000	403.0000	132.0000	710.0000	421.0000	884.0000	674.0000	73.0000	104.0000	0.0723	0.0484	0.0352	0.0335	0.0315	0.0287	0.0280	0.0269	0.0266	0.0228	15	5	
11	291	0.2820150554180145	646	2.9684267044067383	291.0000	55.0000	644.0000	37.0000	138.0000	546.0000	534.0000	203.0000	301.0000	900.0000	0.2820	0.1201	0.0907	0.0843	0.0839	0.0449	0.0347	0.0222	0.0183	0.0154	34	5	
12	467	0.476865291595459	646	2.305685043334961	467.0000	679.0000	924.0000	132.0000	674.0000	476.0000	710.0000	323.0000	884.0000	521.0000	0.4769	0.1988	0.0899	0.0176	0.0159	0.0136	0.0103	0.0072	0.0056	0.0054	47	6	
13	861	0.2957514226436615	646	3.1809401512145996	861.0000	646.0000	832.0000	513.0000	924.0000	104.0000	347.0000	531.0000	679.0000	295.0000	0.2958	0.0933	0.0914	0.0425	0.0422	0.0391	0.0280	0.0253	0.0250	0.0213	1	6	
14	679	0.8250606656074524	646	0.932415246963501	679.0000	680.0000	884.0000	467.0000	692.0000	690.0000	645.0000	603.0000	853.0000	646.0000	0.8251	0.0548	0.0285	0.0205	0.0121	0.0068	0.0066	0.0056	0.0053	0.0034	9	7	
15	680	0.8179159164428711	646	0.687292754650116	680.0000	909.0000	133.0000	854.0000	55.0000	228.0000	203.0000	96.0000	924.0000	679.0000	0.8179	0.1342	0.0217	0.0064	0.0054	0.0026	0.0024	0.0013	0.0008	0.0008	174	7	
16	403	0.1263333410024643	646	3.930171012878418	403.0000	589.0000	513.0000	132.0000	869.0000	426.0000	238.0000	710.0000	645.0000	674.0000	0.1263	0.1150	0.0779	0.0685	0.0367	0.0348	0.0321	0.0314	0.0281	0.0244	20	8	
17	301	0.2642773985862732	646	2.4278266429901123	301.0000	644.0000	900.0000	646.0000	861.0000	645.0000	630.0000	948.0000	513.0000	395.0000	0.2643	0.2133	0.1758	0.1093	0.0432	0.0290	0.0148	0.0145	0.0127	0.0104	3	8	
18	646	0.345395028591156	646	2.3182454109191895	646.0000	884.0000	467.0000	645.0000	710.0000	679.0000	584.0000	426.0000	190.0000	690.0000	0.3454	0.1941	0.1609	0.0691	0.0328	0.0232	0.0175	0.0129	0.0124	0.0121	0	9	
19	861	0.26314470171928406	646	3.2149925231933594	861.0000	644.0000	630.0000	866.0000	291.0000	98.0000	646.0000	301.0000	285.0000	603.0000	0.2631	0.1468	0.1309	0.0319	0.0305	0.0295	0.0286	0.0255	0.0214	0.0211	6	9	
