	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	282	0.45927804708480835	647	2.988389492034912	282.0000	131.0000	524.0000	452.0000	893.0000	347.0000	703.0000	719.0000	884.0000	157.0000	0.4593	0.1531	0.0213	0.0162	0.0148	0.0134	0.0128	0.0102	0.0096	0.0087	19	0	
1	282	0.7590195536613464	647	1.621025800704956	282.0000	131.0000	153.0000	166.0000	169.0000	483.0000	893.0000	162.0000	358.0000	54.0000	0.7590	0.0172	0.0168	0.0152	0.0143	0.0135	0.0115	0.0097	0.0082	0.0076	28	0	
2	453	0.1859334260225296	647	3.385958194732666	453.0000	131.0000	583.0000	364.0000	340.0000	647.0000	362.0000	654.0000	919.0000	528.0000	0.1859	0.1787	0.0754	0.0714	0.0606	0.0466	0.0320	0.0279	0.0262	0.0208	5	0	
3	282	0.9479818344116211	647	0.40564286708831787	282.0000	385.0000	131.0000	893.0000	452.0000	711.0000	483.0000	153.0000	371.0000	874.0000	0.9480	0.0097	0.0055	0.0026	0.0019	0.0019	0.0019	0.0018	0.0017	0.0017	25	0	
4	282	0.1829652637243271	647	4.037117958068848	282.0000	719.0000	157.0000	540.0000	131.0000	787.0000	552.0000	483.0000	647.0000	789.0000	0.1830	0.0743	0.0579	0.0502	0.0468	0.0464	0.0428	0.0306	0.0274	0.0240	8	1	
5	282	0.31931719183921814	647	2.325155019760132	282.0000	483.0000	787.0000	868.0000	191.0000	166.0000	169.0000	49.0000	551.0000	440.0000	0.3193	0.3144	0.1232	0.0204	0.0187	0.0141	0.0131	0.0130	0.0085	0.0084	68	1	
6	347	0.13736677169799805	647	4.536748886108398	347.0000	583.0000	142.0000	576.0000	924.0000	832.0000	203.0000	867.0000	719.0000	787.0000	0.1374	0.0991	0.0397	0.0368	0.0367	0.0306	0.0292	0.0257	0.0239	0.0193	13	1	
7	282	0.9232164621353149	647	0.5822350978851318	282.0000	787.0000	854.0000	483.0000	811.0000	558.0000	711.0000	49.0000	71.0000	896.0000	0.9232	0.0137	0.0061	0.0057	0.0055	0.0022	0.0018	0.0017	0.0016	0.0016	84	1	
8	873	0.4356458783149719	647	2.2377758026123047	873.0000	347.0000	894.0000	282.0000	131.0000	942.0000	867.0000	452.0000	57.0000	874.0000	0.4356	0.1943	0.1116	0.0587	0.0180	0.0174	0.0147	0.0123	0.0114	0.0074	15	2	
9	282	0.9650952816009521	647	0.267204612493515	282.0000	868.0000	45.0000	205.0000	874.0000	811.0000	169.0000	342.0000	166.0000	85.0000	0.9651	0.0088	0.0061	0.0018	0.0012	0.0011	0.0010	0.0008	0.0008	0.0007	150	2	
10	583	0.4590195119380951	647	2.7386105060577393	583.0000	340.0000	654.0000	719.0000	131.0000	651.0000	647.0000	924.0000	540.0000	867.0000	0.4590	0.0804	0.0639	0.0484	0.0332	0.0327	0.0254	0.0228	0.0226	0.0146	6	2	
11	282	0.9694780707359314	647	0.21738362312316895	282.0000	45.0000	868.0000	205.0000	811.0000	874.0000	177.0000	385.0000	857.0000	854.0000	0.9695	0.0124	0.0036	0.0019	0.0016	0.0014	0.0009	0.0008	0.0007	0.0007	104	2	
12	893	0.26910656690597534	647	2.9887828826904297	893.0000	867.0000	647.0000	654.0000	857.0000	342.0000	131.0000	719.0000	703.0000	924.0000	0.2691	0.2000	0.0967	0.0433	0.0388	0.0329	0.0324	0.0284	0.0276	0.0182	2	3	
13	282	0.9973528385162354	647	0.027299271896481514	282.0000	169.0000	868.0000	46.0000	162.0000	854.0000	857.0000	483.0000	331.0000	371.0000	0.9974	0.0004	0.0004	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	162	3	
14	719	0.19543889164924622	647	4.039129257202148	719.0000	867.0000	654.0000	540.0000	924.0000	285.0000	857.0000	72.0000	703.0000	811.0000	0.1954	0.0624	0.0623	0.0455	0.0425	0.0408	0.0336	0.0292	0.0265	0.0243	12	3	
15	282	0.8734444975852966	647	0.7636055946350098	282.0000	868.0000	169.0000	889.0000	857.0000	162.0000	854.0000	453.0000	585.0000	177.0000	0.8734	0.0258	0.0194	0.0156	0.0088	0.0076	0.0065	0.0042	0.0031	0.0030	172	3	
16	647	0.19186332821846008	647	3.88645076751709	647.0000	867.0000	527.0000	884.0000	347.0000	654.0000	131.0000	719.0000	55.0000	138.0000	0.1919	0.0741	0.0659	0.0645	0.0572	0.0433	0.0365	0.0341	0.0339	0.0198	0	4	
17	282	0.9517236351966858	647	0.3461114466190338	282.0000	854.0000	857.0000	614.0000	868.0000	162.0000	177.0000	371.0000	526.0000	342.0000	0.9517	0.0085	0.0071	0.0069	0.0059	0.0030	0.0027	0.0014	0.0007	0.0006	174	4	
18	654	0.4661528170108795	647	1.3901796340942383	654.0000	647.0000	719.0000	857.0000	540.0000	131.0000	867.0000	896.0000	526.0000	527.0000	0.4662	0.3885	0.0516	0.0213	0.0145	0.0097	0.0086	0.0080	0.0032	0.0024	1	4	
19	282	0.9503703117370605	647	0.350267231464386	282.0000	868.0000	857.0000	614.0000	162.0000	854.0000	342.0000	177.0000	526.0000	371.0000	0.9504	0.0104	0.0068	0.0066	0.0038	0.0027	0.0024	0.0024	0.0016	0.0015	167	4	
20	647	0.44978561997413635	647	2.196959972381592	647.0000	703.0000	719.0000	131.0000	654.0000	528.0000	924.0000	867.0000	552.0000	618.0000	0.4498	0.2167	0.0716	0.0520	0.0349	0.0234	0.0098	0.0090	0.0074	0.0066	0	5	
21	874	0.6007906794548035	647	1.3247833251953125	874.0000	282.0000	818.0000	340.0000	924.0000	868.0000	925.0000	528.0000	319.0000	8.0000	0.6008	0.2974	0.0084	0.0078	0.0076	0.0058	0.0057	0.0054	0.0041	0.0033	112	5	
22	654	0.726019561290741	647	1.0652271509170532	654.0000	647.0000	924.0000	719.0000	526.0000	896.0000	131.0000	857.0000	618.0000	544.0000	0.7260	0.1455	0.0480	0.0183	0.0179	0.0126	0.0077	0.0041	0.0037	0.0020	1	5	
23	282	0.3407960534095764	647	2.7065701484680176	282.0000	868.0000	874.0000	213.0000	924.0000	896.0000	528.0000	854.0000	177.0000	340.0000	0.3408	0.1740	0.1528	0.0413	0.0270	0.0170	0.0168	0.0124	0.0108	0.0097	148	5	
24	647	0.773818850517273	647	1.383080005645752	647.0000	654.0000	719.0000	527.0000	347.0000	543.0000	131.0000	787.0000	924.0000	513.0000	0.7738	0.0379	0.0294	0.0225	0.0101	0.0074	0.0071	0.0066	0.0062	0.0061	0	6	
