	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	895	0.8239955902099609	650	0.6981561183929443	895.0000	227.0000	156.0000	650.0000	62.0000	658.0000	767.0000	255.0000	484.0000	356.0000	0.8240	0.0774	0.0714	0.0083	0.0065	0.0047	0.0037	0.0009	0.0006	0.0004	3	0	
1	650	0.5422077178955078	650	1.7152559757232666	650.0000	658.0000	156.0000	895.0000	227.0000	651.0000	62.0000	767.0000	255.0000	923.0000	0.5422	0.1055	0.0749	0.0728	0.0615	0.0398	0.0332	0.0330	0.0108	0.0044	0	0	
2	895	0.3139428198337555	650	2.234866142272949	895.0000	255.0000	8.0000	227.0000	923.0000	650.0000	767.0000	140.0000	538.0000	2.0000	0.3139	0.1673	0.1058	0.1002	0.0908	0.0625	0.0324	0.0276	0.0269	0.0166	5	0	
3	650	0.35109594464302063	650	1.9114763736724854	650.0000	895.0000	227.0000	923.0000	255.0000	658.0000	651.0000	156.0000	767.0000	8.0000	0.3511	0.2805	0.1331	0.0411	0.0353	0.0341	0.0281	0.0209	0.0200	0.0200	0	0	
4	650	0.36220577359199524	650	2.351259469985962	650.0000	658.0000	227.0000	32.0000	895.0000	255.0000	8.0000	156.0000	767.0000	538.0000	0.3622	0.1671	0.0866	0.0655	0.0582	0.0529	0.0421	0.0255	0.0250	0.0153	0	0	
5	650	0.5486049652099609	650	1.5010329484939575	650.0000	156.0000	658.0000	227.0000	62.0000	895.0000	767.0000	651.0000	356.0000	140.0000	0.5486	0.2113	0.1197	0.0248	0.0232	0.0146	0.0140	0.0083	0.0057	0.0050	0	0	
6	156	0.36098477244377136	650	1.6556650400161743	156.0000	895.0000	650.0000	62.0000	227.0000	255.0000	767.0000	651.0000	658.0000	356.0000	0.3610	0.2735	0.2262	0.0279	0.0264	0.0256	0.0226	0.0092	0.0079	0.0045	2	0	
7	895	0.2546798288822174	650	2.2544217109680176	895.0000	8.0000	227.0000	650.0000	255.0000	658.0000	923.0000	32.0000	140.0000	767.0000	0.2547	0.1767	0.1691	0.0908	0.0903	0.0464	0.0334	0.0318	0.0234	0.0231	3	0	
8	235	0.13960033655166626	650	4.447497367858887	235.0000	142.0000	919.0000	657.0000	80.0000	160.0000	423.0000	626.0000	701.0000	47.0000	0.1396	0.1363	0.0459	0.0341	0.0317	0.0290	0.0273	0.0209	0.0205	0.0190	312	0	
9	122	0.7100652456283569	650	1.8027541637420654	122.0000	728.0000	143.0000	818.0000	484.0000	80.0000	767.0000	46.0000	610.0000	658.0000	0.7101	0.0370	0.0264	0.0227	0.0198	0.0123	0.0115	0.0093	0.0081	0.0076	14	0	
