	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	75	0.146352156996727	655	4.953605651855469	75.0000	888.0000	703.0000	162.0000	444.0000	884.0000	449.0000	724.0000	285.0000	235.0000	0.1464	0.0814	0.0315	0.0259	0.0248	0.0234	0.0186	0.0166	0.0160	0.0158	16	0	
1	297	0.06276438385248184	655	5.566825866699219	297.0000	364.0000	626.0000	662.0000	226.0000	162.0000	888.0000	215.0000	285.0000	444.0000	0.0628	0.0408	0.0385	0.0251	0.0196	0.0175	0.0154	0.0148	0.0134	0.0133	30	0	
2	443	0.07488486170768738	655	4.792185306549072	443.0000	444.0000	0.0000	285.0000	888.0000	250.0000	117.0000	802.0000	219.0000	90.0000	0.0749	0.0552	0.0507	0.0459	0.0347	0.0327	0.0278	0.0267	0.0241	0.0240	33	0	
3	626	0.13570335507392883	655	4.339707374572754	626.0000	453.0000	605.0000	340.0000	49.0000	364.0000	483.0000	787.0000	213.0000	517.0000	0.1357	0.1014	0.0770	0.0381	0.0367	0.0341	0.0263	0.0239	0.0210	0.0204	171	0	
4	0	0.20237134397029877	655	4.541504383087158	0.0000	285.0000	888.0000	449.0000	942.0000	443.0000	808.0000	468.0000	297.0000	521.0000	0.2024	0.0642	0.0486	0.0442	0.0258	0.0214	0.0188	0.0145	0.0135	0.0128	27	0	
5	888	0.21456123888492584	655	4.434430122375488	888.0000	285.0000	703.0000	239.0000	884.0000	75.0000	449.0000	0.0000	444.0000	521.0000	0.2146	0.0669	0.0462	0.0351	0.0351	0.0267	0.0253	0.0216	0.0215	0.0173	18	0	
6	854	0.33890455961227417	655	3.9450385570526123	854.0000	626.0000	441.0000	0.0000	443.0000	444.0000	787.0000	290.0000	522.0000	226.0000	0.3389	0.0890	0.0297	0.0207	0.0189	0.0164	0.0132	0.0130	0.0102	0.0101	138	0	
7	888	0.7956695556640625	655	1.4539353847503662	888.0000	92.0000	884.0000	655.0000	0.0000	443.0000	235.0000	477.0000	91.0000	352.0000	0.7957	0.0176	0.0147	0.0130	0.0100	0.0084	0.0061	0.0055	0.0050	0.0039	3	1	
8	888	0.5330842137336731	655	1.9799778461456299	888.0000	215.0000	75.0000	655.0000	585.0000	662.0000	0.0000	91.0000	449.0000	626.0000	0.5331	0.2368	0.0305	0.0257	0.0182	0.0118	0.0105	0.0094	0.0078	0.0046	3	1	
9	888	0.7836625576019287	655	1.257373571395874	888.0000	477.0000	485.0000	4.0000	0.0000	655.0000	443.0000	487.0000	563.0000	12.0000	0.7837	0.0510	0.0229	0.0210	0.0166	0.0121	0.0088	0.0047	0.0042	0.0038	5	1	
10	90	0.19041351974010468	655	3.761077642440796	90.0000	655.0000	626.0000	443.0000	888.0000	917.0000	51.0000	488.0000	297.0000	75.0000	0.1904	0.1248	0.0663	0.0577	0.0468	0.0341	0.0307	0.0280	0.0264	0.0184	1	1	
11	888	0.8995066285133362	655	0.6551558971405029	888.0000	443.0000	12.0000	0.0000	477.0000	91.0000	250.0000	655.0000	466.0000	90.0000	0.8995	0.0206	0.0151	0.0098	0.0082	0.0052	0.0046	0.0035	0.0035	0.0024	7	1	
12	888	0.9534032344818115	655	0.38224560022354126	888.0000	250.0000	443.0000	655.0000	0.0000	91.0000	12.0000	477.0000	4.0000	449.0000	0.9534	0.0046	0.0041	0.0039	0.0028	0.0027	0.0019	0.0018	0.0014	0.0013	3	1	
13	888	0.6763542294502258	655	1.6824896335601807	888.0000	0.0000	4.0000	443.0000	865.0000	674.0000	655.0000	582.0000	799.0000	477.0000	0.6764	0.1033	0.0567	0.0183	0.0164	0.0076	0.0048	0.0045	0.0042	0.0041	6	1	
14	888	0.9862512350082397	655	0.09278003871440887	888.0000	91.0000	655.0000	12.0000	352.0000	90.0000	75.0000	239.0000	477.0000	444.0000	0.9863	0.0085	0.0017	0.0012	0.0009	0.0003	0.0002	0.0002	0.0001	0.0001	2	2	
15	888	0.9918648600578308	655	0.06566457450389862	888.0000	655.0000	91.0000	12.0000	90.0000	352.0000	477.0000	550.0000	75.0000	306.0000	0.9919	0.0029	0.0014	0.0009	0.0009	0.0008	0.0003	0.0001	0.0001	0.0001	1	2	
16	477	0.4533478915691376	655	2.353043556213379	477.0000	888.0000	563.0000	485.0000	12.0000	449.0000	655.0000	444.0000	352.0000	233.0000	0.4533	0.1608	0.0474	0.0447	0.0367	0.0263	0.0234	0.0209	0.0170	0.0153	6	2	
17	449	0.2512720823287964	655	3.125067949295044	449.0000	655.0000	888.0000	550.0000	75.0000	477.0000	942.0000	90.0000	522.0000	703.0000	0.2513	0.1871	0.1154	0.0523	0.0376	0.0320	0.0276	0.0263	0.0211	0.0097	1	2	
18	888	0.9707667231559753	655	0.16561919450759888	888.0000	12.0000	91.0000	655.0000	477.0000	352.0000	90.0000	306.0000	550.0000	239.0000	0.9708	0.0223	0.0021	0.0014	0.0005	0.0005	0.0004	0.0003	0.0002	0.0002	3	2	
19	888	0.9936929941177368	655	0.05235147103667259	888.0000	91.0000	655.0000	12.0000	239.0000	90.0000	75.0000	352.0000	235.0000	477.0000	0.9937	0.0017	0.0016	0.0011	0.0006	0.0002	0.0002	0.0002	0.0001	0.0001	2	2	
20	888	0.4806773364543915	655	2.9578909873962402	888.0000	799.0000	563.0000	352.0000	655.0000	239.0000	449.0000	233.0000	0.0000	477.0000	0.4807	0.0360	0.0353	0.0339	0.0265	0.0247	0.0198	0.0141	0.0137	0.0128	4	2	
21	91	0.5003533959388733	655	1.559767723083496	91.0000	888.0000	90.0000	655.0000	352.0000	12.0000	92.0000	545.0000	799.0000	550.0000	0.5004	0.2509	0.0774	0.0676	0.0544	0.0123	0.0060	0.0028	0.0022	0.0017	3	3	
22	91	0.6431403756141663	655	1.353245496749878	91.0000	888.0000	90.0000	655.0000	352.0000	12.0000	550.0000	485.0000	911.0000	486.0000	0.6431	0.1472	0.0666	0.0476	0.0420	0.0182	0.0051	0.0050	0.0019	0.0014	3	3	
23	888	0.28624045848846436	655	2.962344169616699	888.0000	485.0000	655.0000	477.0000	90.0000	91.0000	563.0000	352.0000	486.0000	12.0000	0.2862	0.1535	0.0690	0.0664	0.0643	0.0365	0.0325	0.0316	0.0174	0.0173	2	3	
24	90	0.38437068462371826	655	3.0686802864074707	90.0000	550.0000	872.0000	297.0000	655.0000	0.0000	203.0000	443.0000	641.0000	449.0000	0.3844	0.0977	0.0470	0.0462	0.0436	0.0277	0.0223	0.0198	0.0190	0.0188	4	3	
25	12	0.39083197712898254	655	1.7950800657272339	12.0000	888.0000	91.0000	352.0000	655.0000	64.0000	90.0000	550.0000	485.0000	580.0000	0.3908	0.3131	0.1182	0.0565	0.0236	0.0164	0.0131	0.0118	0.0061	0.0052	4	3	
26	888	0.8677830696105957	655	0.6119532585144043	888.0000	655.0000	91.0000	90.0000	545.0000	352.0000	92.0000	163.0000	12.0000	510.0000	0.8678	0.0552	0.0367	0.0234	0.0053	0.0018	0.0017	0.0010	0.0009	0.0008	1	3	
27	888	0.27739837765693665	655	3.458730936050415	888.0000	90.0000	0.0000	352.0000	563.0000	799.0000	4.0000	233.0000	782.0000	235.0000	0.2774	0.0799	0.0724	0.0496	0.0466	0.0351	0.0304	0.0227	0.0193	0.0189	11	3	
28	888	0.8071281313896179	655	0.8325070142745972	888.0000	352.0000	91.0000	655.0000	884.0000	12.0000	348.0000	92.0000	532.0000	563.0000	0.8071	0.1168	0.0287	0.0129	0.0096	0.0025	0.0016	0.0010	0.0009	0.0009	3	4	
29	888	0.8919593095779419	655	0.5904861688613892	888.0000	655.0000	352.0000	91.0000	884.0000	12.0000	563.0000	808.0000	550.0000	911.0000	0.8920	0.0421	0.0227	0.0171	0.0039	0.0020	0.0019	0.0014	0.0013	0.0009	1	4	
30	888	0.8696041107177734	655	0.7280191779136658	888.0000	563.0000	655.0000	865.0000	582.0000	477.0000	884.0000	521.0000	91.0000	352.0000	0.8696	0.0544	0.0192	0.0090	0.0069	0.0047	0.0028	0.0024	0.0020	0.0018	2	4	
31	449	0.12882331013679504	655	3.9038290977478027	449.0000	844.0000	884.0000	888.0000	854.0000	655.0000	582.0000	919.0000	205.0000	522.0000	0.1288	0.0917	0.0825	0.0791	0.0558	0.0435	0.0339	0.0246	0.0239	0.0232	5	4	
32	888	0.9006996154785156	655	0.5690717697143555	888.0000	12.0000	808.0000	550.0000	352.0000	91.0000	563.0000	348.0000	64.0000	655.0000	0.9007	0.0443	0.0128	0.0068	0.0067	0.0036	0.0026	0.0024	0.0018	0.0014	9	4	
33	888	0.9859346151351929	655	0.11636002361774445	888.0000	884.0000	655.0000	703.0000	348.0000	808.0000	12.0000	352.0000	91.0000	61.0000	0.9859	0.0053	0.0015	0.0008	0.0006	0.0006	0.0006	0.0004	0.0003	0.0002	2	4	
34	888	0.4477256238460541	655	2.9846363067626953	888.0000	528.0000	532.0000	352.0000	563.0000	198.0000	348.0000	0.0000	117.0000	876.0000	0.4477	0.0707	0.0392	0.0347	0.0296	0.0265	0.0237	0.0170	0.0152	0.0128	39	4	
35	888	0.8934526443481445	655	0.46668803691864014	888.0000	91.0000	655.0000	90.0000	92.0000	235.0000	768.0000	589.0000	352.0000	250.0000	0.8935	0.0601	0.0216	0.0186	0.0044	0.0005	0.0003	0.0003	0.0001	0.0001	2	5	
36	888	0.9370719194412231	655	0.28459063172340393	888.0000	655.0000	91.0000	90.0000	92.0000	235.0000	250.0000	273.0000	215.0000	591.0000	0.9371	0.0511	0.0064	0.0030	0.0005	0.0004	0.0002	0.0001	0.0001	0.0001	1	5	
37	477	0.4194905459880829	655	1.758241891860962	477.0000	888.0000	655.0000	235.0000	521.0000	273.0000	91.0000	563.0000	90.0000	449.0000	0.4195	0.3419	0.0585	0.0513	0.0295	0.0192	0.0090	0.0068	0.0045	0.0040	2	5	
38	90	0.4756552278995514	655	2.2829670906066895	90.0000	477.0000	655.0000	162.0000	550.0000	888.0000	297.0000	449.0000	916.0000	872.0000	0.4757	0.1081	0.0806	0.0543	0.0370	0.0355	0.0297	0.0221	0.0177	0.0146	2	5	
39	888	0.9714652299880981	655	0.19049900770187378	888.0000	91.0000	655.0000	273.0000	250.0000	235.0000	90.0000	12.0000	563.0000	64.0000	0.9715	0.0078	0.0060	0.0049	0.0044	0.0013	0.0013	0.0004	0.0004	0.0003	2	5	
40	888	0.9827281832695007	655	0.10224331170320511	888.0000	655.0000	91.0000	90.0000	92.0000	163.0000	545.0000	589.0000	273.0000	27.0000	0.9827	0.0136	0.0016	0.0014	0.0001	0.0001	0.0001	0.0000	0.0000	0.0000	1	5	
41	888	0.8513492345809937	655	0.83208167552948	888.0000	90.0000	92.0000	235.0000	589.0000	449.0000	655.0000	273.0000	545.0000	91.0000	0.8513	0.0406	0.0268	0.0159	0.0088	0.0078	0.0075	0.0036	0.0035	0.0030	6	5	
42	888	0.9124122858047485	655	0.3628785312175751	888.0000	655.0000	91.0000	352.0000	92.0000	12.0000	449.0000	662.0000	884.0000	510.0000	0.9124	0.0742	0.0071	0.0023	0.0007	0.0004	0.0002	0.0002	0.0002	0.0001	1	6	
43	888	0.9799780249595642	655	0.1528054177761078	888.0000	655.0000	215.0000	485.0000	91.0000	198.0000	662.0000	352.0000	449.0000	370.0000	0.9800	0.0083	0.0021	0.0020	0.0008	0.0006	0.0006	0.0005	0.0004	0.0004	1	6	
44	888	0.9871428608894348	655	0.09937895834445953	888.0000	477.0000	449.0000	655.0000	91.0000	466.0000	444.0000	485.0000	662.0000	872.0000	0.9871	0.0036	0.0032	0.0023	0.0004	0.0003	0.0003	0.0002	0.0002	0.0002	3	6	
45	449	0.6143810749053955	655	1.6978428363800049	449.0000	916.0000	854.0000	872.0000	615.0000	370.0000	888.0000	352.0000	655.0000	550.0000	0.6144	0.1064	0.0598	0.0539	0.0416	0.0170	0.0143	0.0131	0.0105	0.0092	8	6	
46	888	0.9763023853302002	655	0.14838050305843353	888.0000	12.0000	655.0000	91.0000	352.0000	808.0000	550.0000	466.0000	799.0000	0.0000	0.9763	0.0145	0.0049	0.0010	0.0004	0.0004	0.0003	0.0002	0.0002	0.0002	2	6	
47	888	0.9735983610153198	655	0.13561102747917175	888.0000	655.0000	91.0000	884.0000	12.0000	449.0000	808.0000	352.0000	945.0000	92.0000	0.9736	0.0245	0.0005	0.0003	0.0001	0.0001	0.0001	0.0001	0.0001	0.0000	1	6	
48	888	0.9845437407493591	655	0.1289798468351364	888.0000	449.0000	75.0000	198.0000	92.0000	655.0000	563.0000	190.0000	235.0000	884.0000	0.9845	0.0053	0.0009	0.0007	0.0006	0.0006	0.0006	0.0005	0.0005	0.0005	5	6	
49	0	0.31364041566848755	655	2.6833510398864746	0.0000	888.0000	190.0000	585.0000	91.0000	655.0000	674.0000	235.0000	485.0000	326.0000	0.3136	0.1879	0.1074	0.0725	0.0523	0.0335	0.0194	0.0164	0.0163	0.0148	5	7	
50	0	0.3772762417793274	655	1.6486579179763794	0.0000	888.0000	485.0000	655.0000	235.0000	91.0000	449.0000	75.0000	352.0000	215.0000	0.3773	0.3602	0.1091	0.0824	0.0114	0.0067	0.0053	0.0041	0.0031	0.0027	3	7	
51	235	0.5407289862632751	655	2.0354175567626953	235.0000	449.0000	485.0000	888.0000	0.0000	563.0000	477.0000	655.0000	872.0000	273.0000	0.5407	0.1008	0.0746	0.0728	0.0353	0.0262	0.0256	0.0226	0.0062	0.0062	7	7	
52	854	0.7920452952384949	655	1.3273438215255737	854.0000	449.0000	4.0000	203.0000	6.0000	522.0000	872.0000	297.0000	85.0000	877.0000	0.7920	0.0481	0.0200	0.0108	0.0065	0.0058	0.0057	0.0052	0.0050	0.0039	13	7	
53	888	0.5260348320007324	655	1.579049825668335	888.0000	0.0000	91.0000	485.0000	12.0000	655.0000	235.0000	490.0000	563.0000	6.0000	0.5260	0.1780	0.0884	0.0809	0.0510	0.0436	0.0048	0.0046	0.0027	0.0026	5	7	
54	888	0.3673642873764038	655	2.04117751121521	888.0000	91.0000	0.0000	655.0000	12.0000	239.0000	808.0000	485.0000	184.0000	945.0000	0.3674	0.2017	0.1747	0.1194	0.0159	0.0152	0.0115	0.0078	0.0071	0.0068	3	7	
55	0	0.22432972490787506	655	3.151634693145752	0.0000	184.0000	190.0000	756.0000	854.0000	449.0000	888.0000	235.0000	75.0000	872.0000	0.2243	0.1896	0.0701	0.0619	0.0606	0.0436	0.0344	0.0341	0.0333	0.0149	110	7	
56	655	0.8772984147071838	655	0.48328229784965515	655.0000	888.0000	91.0000	352.0000	90.0000	550.0000	532.0000	884.0000	92.0000	12.0000	0.8773	0.0753	0.0414	0.0035	0.0006	0.0006	0.0002	0.0002	0.0001	0.0001	0	8	
57	888	0.6068264842033386	655	0.942026674747467	888.0000	655.0000	91.0000	352.0000	215.0000	911.0000	90.0000	550.0000	536.0000	591.0000	0.6068	0.3046	0.0765	0.0052	0.0025	0.0007	0.0006	0.0006	0.0002	0.0002	1	8	
