	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	657	0.15913911163806915	662	3.8025991916656494	657.0000	509.0000	137.0000	489.0000	845.0000	304.0000	735.0000	47.0000	717.0000	142.0000	0.1591	0.1234	0.0832	0.0637	0.0557	0.0438	0.0417	0.0301	0.0241	0.0223	54	0	
1	358	0.2663481831550598	662	3.569855213165283	358.0000	148.0000	364.0000	243.0000	925.0000	356.0000	143.0000	719.0000	544.0000	483.0000	0.2663	0.1365	0.0511	0.0403	0.0371	0.0252	0.0236	0.0208	0.0206	0.0171	353	0	
2	47	0.08112433552742004	662	5.27689266204834	47.0000	717.0000	919.0000	91.0000	161.0000	143.0000	226.0000	515.0000	104.0000	141.0000	0.0811	0.0445	0.0445	0.0390	0.0295	0.0196	0.0189	0.0181	0.0178	0.0156	40	0	
3	137	0.8258075714111328	662	0.910159707069397	137.0000	226.0000	304.0000	191.0000	307.0000	509.0000	489.0000	104.0000	811.0000	364.0000	0.8258	0.0723	0.0254	0.0113	0.0099	0.0085	0.0080	0.0044	0.0041	0.0032	75	0	
4	191	0.4582020938396454	662	1.5572316646575928	191.0000	364.0000	226.0000	811.0000	483.0000	342.0000	442.0000	509.0000	137.0000	87.0000	0.4582	0.3918	0.0379	0.0146	0.0079	0.0070	0.0064	0.0052	0.0052	0.0049	114	0	
5	137	0.3309589624404907	662	3.2724828720092773	137.0000	141.0000	489.0000	304.0000	226.0000	191.0000	509.0000	307.0000	681.0000	442.0000	0.3310	0.1242	0.0965	0.0517	0.0254	0.0249	0.0214	0.0183	0.0125	0.0112	18	0	
6	364	0.46089059114456177	662	1.679713249206543	364.0000	191.0000	226.0000	811.0000	342.0000	483.0000	285.0000	442.0000	137.0000	87.0000	0.4609	0.3660	0.0317	0.0240	0.0095	0.0087	0.0063	0.0061	0.0059	0.0056	126	0	
7	799	0.043264154344797134	662	5.370401382446289	799.0000	259.0000	515.0000	768.0000	91.0000	590.0000	449.0000	626.0000	137.0000	226.0000	0.0433	0.0381	0.0370	0.0351	0.0248	0.0210	0.0207	0.0175	0.0172	0.0161	60	0	
8	364	0.4876626431941986	662	2.406911849975586	364.0000	191.0000	912.0000	226.0000	342.0000	442.0000	483.0000	811.0000	6.0000	87.0000	0.4877	0.1253	0.0509	0.0419	0.0413	0.0343	0.0245	0.0230	0.0114	0.0107	134	0	
9	768	0.2603957951068878	662	2.5177054405212402	768.0000	657.0000	698.0000	509.0000	137.0000	289.0000	304.0000	578.0000	141.0000	191.0000	0.2604	0.1779	0.1372	0.0894	0.0759	0.0621	0.0420	0.0287	0.0167	0.0096	101	0	
10	364	0.1709495484828949	662	3.9596967697143555	364.0000	912.0000	489.0000	358.0000	509.0000	307.0000	243.0000	342.0000	673.0000	483.0000	0.1709	0.1008	0.0640	0.0607	0.0579	0.0453	0.0446	0.0258	0.0244	0.0215	83	0	
11	358	0.10655588656663895	662	4.831133842468262	358.0000	243.0000	148.0000	364.0000	925.0000	140.0000	719.0000	356.0000	169.0000	143.0000	0.1066	0.0434	0.0423	0.0291	0.0290	0.0262	0.0260	0.0253	0.0217	0.0212	324	0	
12	364	0.5325563549995422	662	2.2421586513519287	364.0000	191.0000	226.0000	912.0000	342.0000	483.0000	442.0000	811.0000	509.0000	87.0000	0.5326	0.1261	0.0401	0.0363	0.0309	0.0267	0.0245	0.0223	0.0117	0.0111	128	0	
