	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	358	0.2973857820034027	673	2.9229178428649902	358.0000	681.0000	510.0000	551.0000	483.0000	925.0000	169.0000	662.0000	509.0000	285.0000	0.2974	0.1879	0.1189	0.0462	0.0319	0.0296	0.0283	0.0181	0.0149	0.0124	33	0	
1	673	0.24137277901172638	673	3.227757692337036	673.0000	483.0000	358.0000	49.0000	162.0000	169.0000	166.0000	925.0000	285.0000	177.0000	0.2414	0.1638	0.1128	0.0752	0.0513	0.0374	0.0278	0.0212	0.0208	0.0183	0	0	
2	358	0.31288859248161316	673	2.9001641273498535	358.0000	169.0000	483.0000	925.0000	551.0000	509.0000	681.0000	166.0000	662.0000	510.0000	0.3129	0.2366	0.0659	0.0339	0.0230	0.0228	0.0210	0.0206	0.0146	0.0132	10	0	
3	925	0.6075807809829712	673	1.7857494354248047	925.0000	673.0000	169.0000	358.0000	331.0000	49.0000	811.0000	205.0000	421.0000	162.0000	0.6076	0.1149	0.0613	0.0603	0.0239	0.0125	0.0117	0.0113	0.0103	0.0081	1	1	
4	673	0.6530187129974365	673	1.6397180557250977	673.0000	925.0000	162.0000	358.0000	49.0000	551.0000	169.0000	340.0000	285.0000	483.0000	0.6530	0.0876	0.0686	0.0458	0.0359	0.0133	0.0106	0.0062	0.0053	0.0036	0	1	
5	925	0.633322536945343	673	1.473499059677124	925.0000	358.0000	673.0000	169.0000	162.0000	551.0000	49.0000	166.0000	421.0000	811.0000	0.6333	0.1014	0.0969	0.0672	0.0195	0.0174	0.0120	0.0094	0.0077	0.0051	2	1	
6	925	0.8044623136520386	673	1.107688546180725	925.0000	358.0000	551.0000	166.0000	68.0000	797.0000	421.0000	681.0000	705.0000	403.0000	0.8045	0.0565	0.0354	0.0131	0.0079	0.0066	0.0063	0.0055	0.0050	0.0044	10	2	
7	673	0.38857096433639526	673	2.78546404838562	673.0000	925.0000	208.0000	551.0000	483.0000	358.0000	285.0000	421.0000	318.0000	703.0000	0.3886	0.1822	0.0366	0.0246	0.0240	0.0223	0.0214	0.0199	0.0177	0.0161	0	2	
8	925	0.82388836145401	673	0.8207688331604004	925.0000	551.0000	358.0000	166.0000	705.0000	673.0000	169.0000	421.0000	495.0000	285.0000	0.8239	0.0575	0.0452	0.0285	0.0150	0.0048	0.0046	0.0041	0.0023	0.0023	5	2	
9	169	0.3553595244884491	673	2.7142558097839355	169.0000	925.0000	358.0000	673.0000	68.0000	331.0000	49.0000	867.0000	590.0000	205.0000	0.3554	0.1931	0.1184	0.0379	0.0212	0.0184	0.0168	0.0168	0.0162	0.0126	3	3	
10	169	0.181563138961792	673	3.741044521331787	169.0000	673.0000	719.0000	358.0000	867.0000	162.0000	925.0000	483.0000	811.0000	789.0000	0.1816	0.0776	0.0643	0.0636	0.0615	0.0513	0.0354	0.0334	0.0327	0.0221	1	3	
11	169	0.4972418248653412	673	2.1767218112945557	169.0000	925.0000	358.0000	811.0000	673.0000	166.0000	177.0000	180.0000	49.0000	483.0000	0.4972	0.1272	0.1171	0.0378	0.0321	0.0205	0.0137	0.0098	0.0094	0.0082	4	3	
12	719	0.36022260785102844	673	2.8964922428131104	719.0000	925.0000	358.0000	551.0000	307.0000	169.0000	440.0000	705.0000	403.0000	284.0000	0.3602	0.0684	0.0636	0.0495	0.0479	0.0331	0.0278	0.0277	0.0265	0.0238	13	4	
13	719	0.5579615235328674	673	1.9788812398910522	719.0000	673.0000	483.0000	551.0000	285.0000	440.0000	358.0000	924.0000	318.0000	284.0000	0.5580	0.1445	0.0432	0.0290	0.0185	0.0178	0.0164	0.0151	0.0128	0.0124	1	4	
14	483	0.2787756621837616	673	2.6881213188171387	483.0000	551.0000	673.0000	719.0000	169.0000	924.0000	867.0000	358.0000	162.0000	925.0000	0.2788	0.1380	0.1318	0.0793	0.0533	0.0494	0.0390	0.0293	0.0186	0.0152	2	4	
15	358	0.5075149536132812	673	2.1036229133605957	358.0000	169.0000	925.0000	421.0000	551.0000	457.0000	507.0000	433.0000	284.0000	82.0000	0.5075	0.0914	0.0886	0.0639	0.0613	0.0347	0.0255	0.0145	0.0089	0.0083	17	5	
16	457	0.2542005777359009	673	2.9954609870910645	457.0000	626.0000	358.0000	719.0000	551.0000	235.0000	162.0000	925.0000	421.0000	440.0000	0.2542	0.0999	0.0961	0.0954	0.0731	0.0360	0.0345	0.0339	0.0268	0.0259	15	5	
17	358	0.7693023085594177	673	1.1492671966552734	358.0000	169.0000	925.0000	551.0000	457.0000	507.0000	417.0000	284.0000	719.0000	421.0000	0.7693	0.0823	0.0349	0.0211	0.0155	0.0083	0.0069	0.0055	0.0050	0.0049	11	5	
18	925	0.7609445452690125	673	1.0203120708465576	925.0000	358.0000	673.0000	169.0000	433.0000	551.0000	421.0000	49.0000	743.0000	284.0000	0.7609	0.1312	0.0294	0.0177	0.0087	0.0077	0.0068	0.0057	0.0053	0.0031	2	6	
19	673	0.6075471639633179	673	1.4256846904754639	673.0000	925.0000	483.0000	49.0000	743.0000	358.0000	166.0000	284.0000	433.0000	162.0000	0.6075	0.2258	0.0284	0.0278	0.0215	0.0142	0.0111	0.0091	0.0065	0.0052	0	6	
20	673	0.4555946886539459	673	1.6376265287399292	673.0000	925.0000	358.0000	49.0000	169.0000	743.0000	551.0000	433.0000	167.0000	284.0000	0.4556	0.2580	0.1559	0.0364	0.0270	0.0084	0.0064	0.0055	0.0047	0.0045	0	6	
