	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	263	0.2671773135662079	676	3.8688454627990723	263.0000	213.0000	854.0000	811.0000	282.0000	170.0000	615.0000	347.0000	36.0000	605.0000	0.2672	0.0854	0.0451	0.0430	0.0386	0.0246	0.0202	0.0198	0.0181	0.0175	278	0	
1	940	0.2864741086959839	676	3.5792932510375977	940.0000	36.0000	605.0000	263.0000	213.0000	854.0000	517.0000	484.0000	547.0000	626.0000	0.2865	0.0982	0.0850	0.0839	0.0261	0.0204	0.0191	0.0169	0.0152	0.0147	352	0	
2	615	0.15699151158332825	676	3.6025211811065674	615.0000	940.0000	811.0000	347.0000	522.0000	36.0000	576.0000	605.0000	876.0000	832.0000	0.1570	0.1364	0.1249	0.0658	0.0646	0.0465	0.0288	0.0284	0.0224	0.0195	193	0	
3	282	0.20442375540733337	676	4.4990434646606445	282.0000	347.0000	170.0000	667.0000	213.0000	263.0000	818.0000	615.0000	36.0000	547.0000	0.2044	0.0756	0.0428	0.0349	0.0328	0.0259	0.0208	0.0175	0.0156	0.0126	395	0	
4	282	0.3030565679073334	676	3.174992561340332	282.0000	347.0000	213.0000	263.0000	818.0000	517.0000	615.0000	170.0000	547.0000	605.0000	0.3031	0.2029	0.0803	0.0437	0.0256	0.0182	0.0160	0.0145	0.0139	0.0108	527	0	
5	263	0.24219265580177307	676	3.368598461151123	263.0000	605.0000	282.0000	615.0000	213.0000	36.0000	706.0000	170.0000	547.0000	347.0000	0.2422	0.1547	0.1130	0.0455	0.0439	0.0369	0.0230	0.0225	0.0196	0.0161	351	0	
6	576	0.17752060294151306	676	4.052072525024414	576.0000	71.0000	162.0000	484.0000	223.0000	170.0000	169.0000	868.0000	87.0000	875.0000	0.1775	0.0882	0.0812	0.0521	0.0250	0.0243	0.0237	0.0228	0.0202	0.0188	221	1	
7	576	0.23845867812633514	676	4.2296857833862305	576.0000	517.0000	170.0000	940.0000	263.0000	875.0000	484.0000	605.0000	206.0000	615.0000	0.2385	0.0387	0.0384	0.0307	0.0301	0.0280	0.0270	0.0260	0.0259	0.0207	462	1	
8	102	0.1998375803232193	676	3.667468309402466	102.0000	576.0000	263.0000	544.0000	517.0000	667.0000	170.0000	547.0000	131.0000	313.0000	0.1998	0.1643	0.0628	0.0344	0.0326	0.0311	0.0288	0.0249	0.0226	0.0221	649	1	
9	282	0.3575996458530426	676	3.5132761001586914	282.0000	206.0000	667.0000	824.0000	576.0000	547.0000	517.0000	347.0000	818.0000	874.0000	0.3576	0.0875	0.0574	0.0335	0.0302	0.0279	0.0183	0.0158	0.0153	0.0145	635	1	
10	263	0.10993592441082001	676	4.247751235961914	263.0000	282.0000	206.0000	874.0000	8.0000	170.0000	576.0000	667.0000	566.0000	547.0000	0.1099	0.1096	0.0837	0.0379	0.0335	0.0328	0.0322	0.0290	0.0269	0.0268	670	1	
11	170	0.34802764654159546	676	2.8651375770568848	170.0000	576.0000	263.0000	206.0000	667.0000	164.0000	162.0000	71.0000	864.0000	818.0000	0.3480	0.1985	0.0838	0.0724	0.0236	0.0158	0.0119	0.0116	0.0095	0.0094	693	1	
12	876	0.19363193213939667	676	3.2994141578674316	876.0000	576.0000	874.0000	640.0000	811.0000	324.0000	809.0000	263.0000	320.0000	875.0000	0.1936	0.1326	0.0817	0.0786	0.0718	0.0514	0.0430	0.0264	0.0258	0.0223	216	2	
13	615	0.2909608483314514	676	3.3579964637756348	615.0000	427.0000	576.0000	638.0000	320.0000	347.0000	875.0000	282.0000	640.0000	575.0000	0.2910	0.0976	0.0777	0.0652	0.0507	0.0283	0.0261	0.0259	0.0243	0.0225	187	2	
14	576	0.1972450315952301	676	2.704328775405884	576.0000	347.0000	615.0000	282.0000	876.0000	638.0000	263.0000	332.0000	832.0000	874.0000	0.1972	0.1619	0.1464	0.1046	0.0994	0.0969	0.0260	0.0188	0.0110	0.0096	356	2	
15	282	0.6115018725395203	676	1.7444651126861572	282.0000	347.0000	874.0000	576.0000	818.0000	528.0000	263.0000	876.0000	811.0000	854.0000	0.6115	0.1511	0.0676	0.0303	0.0125	0.0124	0.0096	0.0082	0.0066	0.0042	577	2	
16	263	0.17065612971782684	676	3.1416985988616943	263.0000	282.0000	576.0000	874.0000	876.0000	347.0000	809.0000	873.0000	806.0000	615.0000	0.1707	0.1431	0.1353	0.1069	0.1024	0.0355	0.0270	0.0257	0.0224	0.0153	500	2	
17	576	0.6690959334373474	676	1.6179707050323486	576.0000	282.0000	876.0000	874.0000	263.0000	809.0000	170.0000	324.0000	332.0000	164.0000	0.6691	0.0920	0.0449	0.0376	0.0359	0.0149	0.0106	0.0092	0.0065	0.0064	632	2	
18	576	0.5036855340003967	676	2.4507687091827393	576.0000	615.0000	875.0000	282.0000	320.0000	522.0000	347.0000	876.0000	877.0000	517.0000	0.5037	0.0716	0.0667	0.0385	0.0344	0.0333	0.0226	0.0219	0.0174	0.0126	42	3	
19	615	0.35772138833999634	676	2.717440605163574	615.0000	320.0000	875.0000	522.0000	576.0000	410.0000	682.0000	120.0000	795.0000	745.0000	0.3577	0.2227	0.0485	0.0360	0.0340	0.0280	0.0259	0.0170	0.0152	0.0141	83	3	
20	615	0.5729278326034546	676	1.8418552875518799	615.0000	282.0000	576.0000	638.0000	876.0000	940.0000	832.0000	120.0000	36.0000	517.0000	0.5729	0.1637	0.0513	0.0446	0.0334	0.0159	0.0126	0.0098	0.0083	0.0061	226	3	
21	282	0.7022139430046082	676	1.5567933320999146	282.0000	615.0000	576.0000	347.0000	517.0000	638.0000	894.0000	873.0000	120.0000	876.0000	0.7022	0.0739	0.0720	0.0248	0.0116	0.0082	0.0067	0.0066	0.0064	0.0057	317	3	
22	282	0.4821775555610657	676	1.6945663690567017	282.0000	615.0000	576.0000	873.0000	876.0000	263.0000	638.0000	894.0000	120.0000	347.0000	0.4822	0.3102	0.0701	0.0239	0.0168	0.0103	0.0090	0.0079	0.0070	0.0048	321	3	
23	576	0.7029876708984375	676	1.3416310548782349	576.0000	615.0000	120.0000	282.0000	876.0000	873.0000	877.0000	682.0000	894.0000	522.0000	0.7030	0.1136	0.0617	0.0266	0.0125	0.0079	0.0071	0.0062	0.0051	0.0048	111	3	
24	576	0.5153443217277527	676	2.3057007789611816	576.0000	876.0000	811.0000	874.0000	854.0000	263.0000	120.0000	347.0000	164.0000	873.0000	0.5153	0.1200	0.0658	0.0371	0.0225	0.0190	0.0186	0.0151	0.0143	0.0117	97	4	
25	576	0.6781256198883057	676	1.3903660774230957	576.0000	522.0000	615.0000	120.0000	876.0000	682.0000	873.0000	877.0000	638.0000	543.0000	0.6781	0.1054	0.0520	0.0406	0.0335	0.0265	0.0104	0.0080	0.0071	0.0032	18	4	
26	576	0.7807081937789917	676	0.8471700549125671	576.0000	876.0000	615.0000	263.0000	120.0000	638.0000	347.0000	873.0000	682.0000	282.0000	0.7807	0.1555	0.0146	0.0071	0.0064	0.0052	0.0046	0.0044	0.0038	0.0028	54	4	
27	576	0.673477828502655	676	1.6480379104614258	576.0000	282.0000	874.0000	347.0000	876.0000	324.0000	682.0000	575.0000	873.0000	120.0000	0.6735	0.0842	0.0385	0.0303	0.0262	0.0172	0.0130	0.0117	0.0116	0.0095	221	4	
28	576	0.816631019115448	676	1.0114076137542725	576.0000	876.0000	615.0000	874.0000	347.0000	873.0000	263.0000	120.0000	324.0000	575.0000	0.8166	0.0571	0.0175	0.0152	0.0124	0.0110	0.0085	0.0063	0.0059	0.0055	107	4	
29	576	0.8823763132095337	676	0.5345693826675415	576.0000	876.0000	263.0000	874.0000	120.0000	324.0000	873.0000	347.0000	164.0000	809.0000	0.8824	0.0829	0.0083	0.0072	0.0027	0.0026	0.0022	0.0015	0.0014	0.0009	153	4	
30	576	0.33784452080726624	676	2.8900306224823	576.0000	522.0000	282.0000	263.0000	875.0000	320.0000	615.0000	452.0000	170.0000	811.0000	0.3378	0.1556	0.1319	0.0471	0.0257	0.0166	0.0166	0.0151	0.0135	0.0135	63	5	
31	615	0.22757066786289215	676	3.0518593788146973	615.0000	576.0000	522.0000	282.0000	547.0000	544.0000	45.0000	36.0000	297.0000	320.0000	0.2276	0.1638	0.1343	0.0602	0.0570	0.0482	0.0306	0.0223	0.0217	0.0158	110	5	
32	282	0.5879479050636292	676	1.4874763488769531	282.0000	576.0000	615.0000	263.0000	638.0000	873.0000	876.0000	667.0000	522.0000	36.0000	0.5879	0.2397	0.0646	0.0155	0.0110	0.0082	0.0074	0.0055	0.0051	0.0039	187	5	
33	282	0.5345757603645325	676	2.40382719039917	282.0000	576.0000	667.0000	452.0000	263.0000	615.0000	522.0000	854.0000	45.0000	818.0000	0.5346	0.1584	0.0267	0.0207	0.0130	0.0128	0.0094	0.0090	0.0083	0.0079	170	5	
34	282	0.4422048330307007	676	2.1146063804626465	282.0000	576.0000	615.0000	263.0000	522.0000	873.0000	677.0000	638.0000	429.0000	512.0000	0.4422	0.2441	0.0698	0.0574	0.0430	0.0098	0.0090	0.0068	0.0058	0.0053	124	5	
35	282	0.3412178158760071	676	2.3950750827789307	282.0000	576.0000	263.0000	522.0000	170.0000	615.0000	864.0000	36.0000	308.0000	818.0000	0.3412	0.3409	0.0581	0.0190	0.0167	0.0140	0.0127	0.0096	0.0092	0.0085	181	5	
36	874	0.12161540985107422	676	3.536503791809082	874.0000	263.0000	206.0000	876.0000	170.0000	36.0000	875.0000	576.0000	332.0000	809.0000	0.1216	0.0976	0.0891	0.0818	0.0767	0.0520	0.0418	0.0400	0.0300	0.0293	96	6	
37	615	0.8561325073242188	676	0.8476462960243225	615.0000	36.0000	940.0000	522.0000	682.0000	206.0000	875.0000	638.0000	502.0000	576.0000	0.8561	0.0355	0.0167	0.0133	0.0123	0.0096	0.0067	0.0055	0.0054	0.0048	50	6	
38	615	0.6670318841934204	676	1.399675726890564	615.0000	876.0000	576.0000	36.0000	263.0000	638.0000	873.0000	940.0000	522.0000	682.0000	0.6670	0.1489	0.0431	0.0374	0.0209	0.0163	0.0122	0.0054	0.0033	0.0032	68	6	
39	615	0.3199514150619507	676	2.667107343673706	615.0000	576.0000	206.0000	876.0000	873.0000	263.0000	36.0000	894.0000	682.0000	864.0000	0.3200	0.1981	0.1034	0.0492	0.0364	0.0338	0.0295	0.0245	0.0176	0.0166	178	6	
40	615	0.6223132610321045	676	1.8917655944824219	615.0000	576.0000	206.0000	263.0000	876.0000	873.0000	874.0000	638.0000	682.0000	282.0000	0.6223	0.0778	0.0383	0.0355	0.0329	0.0319	0.0157	0.0120	0.0119	0.0107	117	6	
41	576	0.186537966132164	676	3.3450510501861572	576.0000	876.0000	36.0000	615.0000	874.0000	206.0000	263.0000	170.0000	120.0000	894.0000	0.1865	0.0838	0.0721	0.0666	0.0499	0.0478	0.0477	0.0430	0.0409	0.0339	105	6	
42	213	0.9019744992256165	676	0.6792871952056885	213.0000	206.0000	875.0000	410.0000	873.0000	212.0000	615.0000	320.0000	164.0000	811.0000	0.9020	0.0131	0.0112	0.0087	0.0069	0.0061	0.0052	0.0044	0.0041	0.0024	158	7	
43	615	0.44263941049575806	676	2.872774362564087	615.0000	320.0000	875.0000	213.0000	206.0000	940.0000	36.0000	576.0000	638.0000	873.0000	0.4426	0.0632	0.0520	0.0503	0.0409	0.0347	0.0326	0.0269	0.0152	0.0145	65	7	
44	615	0.31958726048469543	676	3.0530495643615723	615.0000	36.0000	263.0000	576.0000	873.0000	544.0000	893.0000	170.0000	667.0000	638.0000	0.3196	0.0966	0.0820	0.0796	0.0507	0.0409	0.0328	0.0250	0.0246	0.0188	108	7	
45	873	0.2189549058675766	676	2.830148458480835	873.0000	615.0000	213.0000	576.0000	834.0000	320.0000	206.0000	120.0000	667.0000	512.0000	0.2190	0.1723	0.1273	0.0934	0.0698	0.0620	0.0605	0.0184	0.0115	0.0111	100	7	
