	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	499	0.20475494861602783	679	4.059941291809082	499.0000	834.0000	37.0000	824.0000	861.0000	347.0000	470.0000	396.0000	575.0000	96.0000	0.2048	0.1066	0.0489	0.0468	0.0386	0.0329	0.0282	0.0236	0.0224	0.0221	62	0	
1	347	0.3905586004257202	679	3.3267393112182617	347.0000	909.0000	854.0000	282.0000	924.0000	320.0000	96.0000	626.0000	285.0000	71.0000	0.3906	0.0967	0.0772	0.0471	0.0316	0.0246	0.0167	0.0086	0.0081	0.0081	72	0	
2	824	0.2869446575641632	679	3.8474905490875244	824.0000	683.0000	470.0000	347.0000	609.0000	96.0000	584.0000	395.0000	499.0000	122.0000	0.2869	0.0821	0.0558	0.0306	0.0237	0.0210	0.0210	0.0199	0.0188	0.0173	26	1	
3	347	0.20404572784900665	679	3.4697482585906982	347.0000	690.0000	467.0000	471.0000	357.0000	824.0000	840.0000	98.0000	13.0000	884.0000	0.2040	0.1693	0.0693	0.0615	0.0577	0.0415	0.0361	0.0224	0.0156	0.0146	35	1	
4	575	0.10893096774816513	679	4.154758453369141	575.0000	924.0000	203.0000	491.0000	470.0000	37.0000	96.0000	483.0000	719.0000	899.0000	0.1089	0.1055	0.0716	0.0494	0.0445	0.0412	0.0400	0.0376	0.0373	0.0267	22	2	
5	347	0.3305477201938629	679	3.078246593475342	347.0000	467.0000	98.0000	710.0000	924.0000	884.0000	13.0000	824.0000	690.0000	874.0000	0.3305	0.1438	0.0993	0.0354	0.0323	0.0299	0.0193	0.0169	0.0163	0.0162	29	2	
6	375	0.4961313009262085	679	1.7164463996887207	375.0000	854.0000	122.0000	353.0000	909.0000	680.0000	133.0000	347.0000	787.0000	326.0000	0.4961	0.2006	0.0866	0.0733	0.0366	0.0314	0.0201	0.0086	0.0069	0.0068	17	3	
7	471	0.5202951431274414	679	2.2575793266296387	471.0000	347.0000	254.0000	909.0000	55.0000	201.0000	819.0000	710.0000	528.0000	690.0000	0.5203	0.1003	0.0771	0.0402	0.0393	0.0193	0.0175	0.0148	0.0143	0.0120	53	3	
8	499	0.11185786873102188	679	3.740556240081787	499.0000	347.0000	861.0000	834.0000	96.0000	54.0000	203.0000	609.0000	874.0000	421.0000	0.1119	0.0905	0.0884	0.0850	0.0746	0.0657	0.0553	0.0475	0.0253	0.0204	85	4	
9	421	0.39059770107269287	679	2.825986623764038	421.0000	349.0000	924.0000	609.0000	121.0000	499.0000	690.0000	203.0000	899.0000	490.0000	0.3906	0.1153	0.0597	0.0548	0.0541	0.0535	0.0233	0.0193	0.0185	0.0178	30	4	
10	371	0.11892030388116837	679	4.039342880249023	371.0000	282.0000	144.0000	375.0000	499.0000	575.0000	609.0000	347.0000	787.0000	483.0000	0.1189	0.1026	0.0688	0.0506	0.0500	0.0464	0.0375	0.0337	0.0274	0.0266	89	5	
11	499	0.5137738585472107	679	2.04286527633667	499.0000	899.0000	692.0000	421.0000	609.0000	96.0000	679.0000	924.0000	690.0000	203.0000	0.5138	0.1414	0.0798	0.0534	0.0382	0.0234	0.0187	0.0132	0.0118	0.0078	6	5	
12	356	0.11743868887424469	679	4.669441223144531	356.0000	371.0000	144.0000	421.0000	787.0000	203.0000	96.0000	153.0000	122.0000	597.0000	0.1174	0.0914	0.0466	0.0456	0.0266	0.0266	0.0222	0.0168	0.0154	0.0147	12	6	
13	421	0.6149957776069641	679	1.4874264001846313	421.0000	203.0000	121.0000	609.0000	710.0000	884.0000	349.0000	361.0000	690.0000	11.0000	0.6150	0.2443	0.0186	0.0114	0.0099	0.0075	0.0069	0.0064	0.0051	0.0044	21	6	
14	203	0.2501066029071808	679	3.212846279144287	203.0000	824.0000	828.0000	499.0000	483.0000	609.0000	282.0000	834.0000	122.0000	470.0000	0.2501	0.2215	0.0569	0.0402	0.0355	0.0339	0.0258	0.0200	0.0138	0.0136	136	7	
