	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	701	0.19175735116004944	682	4.301390647888184	701.0000	235.0000	644.0000	347.0000	833.0000	909.0000	301.0000	142.0000	65.0000	737.0000	0.1918	0.0854	0.0546	0.0358	0.0335	0.0202	0.0193	0.0180	0.0165	0.0163	14	0	
1	682	0.4074966311454773	682	1.73200261592865	682.0000	320.0000	854.0000	638.0000	729.0000	615.0000	875.0000	807.0000	522.0000	640.0000	0.4075	0.2753	0.1735	0.0283	0.0242	0.0212	0.0100	0.0091	0.0088	0.0051	0	0	
2	729	0.30465471744537354	682	2.732738733291626	729.0000	682.0000	522.0000	615.0000	110.0000	694.0000	347.0000	638.0000	576.0000	466.0000	0.3047	0.1739	0.0996	0.0717	0.0642	0.0374	0.0265	0.0228	0.0162	0.0146	1	0	
3	682	0.47033604979515076	682	1.683734655380249	682.0000	694.0000	729.0000	522.0000	110.0000	638.0000	605.0000	615.0000	120.0000	427.0000	0.4703	0.3419	0.0485	0.0338	0.0139	0.0059	0.0053	0.0050	0.0047	0.0034	0	0	
4	682	0.15136930346488953	682	4.260560035705566	682.0000	737.0000	644.0000	638.0000	615.0000	235.0000	13.0000	37.0000	11.0000	110.0000	0.1514	0.1241	0.0624	0.0373	0.0329	0.0311	0.0268	0.0254	0.0238	0.0184	0	0	
5	282	0.9878459572792053	682	0.1046772301197052	282.0000	499.0000	396.0000	357.0000	347.0000	310.0000	924.0000	854.0000	745.0000	153.0000	0.9878	0.0029	0.0021	0.0017	0.0006	0.0005	0.0003	0.0003	0.0002	0.0002	162	1	
6	877	0.8079597353935242	682	0.9498139023780823	877.0000	320.0000	682.0000	120.0000	745.0000	694.0000	677.0000	543.0000	676.0000	522.0000	0.8080	0.0425	0.0378	0.0246	0.0237	0.0132	0.0112	0.0094	0.0058	0.0043	2	1	
7	745	0.17760996520519257	682	4.256712436676025	745.0000	131.0000	347.0000	153.0000	544.0000	488.0000	522.0000	746.0000	120.0000	576.0000	0.1776	0.0533	0.0488	0.0343	0.0290	0.0289	0.0266	0.0253	0.0238	0.0227	17	1	
8	694	0.4805879592895508	682	1.8837538957595825	694.0000	682.0000	120.0000	877.0000	522.0000	745.0000	894.0000	347.0000	811.0000	320.0000	0.4806	0.1957	0.1019	0.0664	0.0392	0.0213	0.0111	0.0106	0.0072	0.0050	1	1	
9	282	0.8398458361625671	682	0.9540372490882874	282.0000	310.0000	396.0000	824.0000	347.0000	120.0000	737.0000	110.0000	528.0000	873.0000	0.8398	0.0616	0.0159	0.0128	0.0037	0.0032	0.0031	0.0026	0.0026	0.0025	29	1	
10	72	0.1575702726840973	682	3.8563830852508545	72.0000	638.0000	33.0000	515.0000	677.0000	11.0000	282.0000	576.0000	676.0000	381.0000	0.1576	0.1062	0.0712	0.0571	0.0553	0.0494	0.0416	0.0395	0.0202	0.0199	71	2	
11	877	0.4307168126106262	682	1.9126042127609253	877.0000	854.0000	682.0000	320.0000	576.0000	522.0000	638.0000	677.0000	676.0000	807.0000	0.4307	0.2062	0.1240	0.0842	0.0452	0.0149	0.0129	0.0078	0.0067	0.0065	2	2	
12	72	0.10321792960166931	682	4.123170852661133	72.0000	347.0000	745.0000	638.0000	522.0000	324.0000	615.0000	466.0000	576.0000	33.0000	0.1032	0.0879	0.0754	0.0656	0.0459	0.0388	0.0384	0.0379	0.0285	0.0202	32	2	
13	682	0.13047292828559875	682	3.5680935382843018	682.0000	347.0000	110.0000	522.0000	120.0000	811.0000	638.0000	310.0000	877.0000	745.0000	0.1305	0.0909	0.0704	0.0669	0.0631	0.0577	0.0526	0.0365	0.0364	0.0343	0	2	
14	638	0.13215665519237518	682	4.221443176269531	638.0000	110.0000	677.0000	33.0000	11.0000	515.0000	203.0000	682.0000	576.0000	941.0000	0.1322	0.0838	0.0777	0.0568	0.0391	0.0358	0.0315	0.0255	0.0226	0.0212	7	2	
15	63	0.15268513560295105	682	3.416715145111084	63.0000	513.0000	37.0000	575.0000	584.0000	430.0000	824.0000	396.0000	499.0000	299.0000	0.1527	0.1220	0.1193	0.0862	0.0654	0.0491	0.0387	0.0336	0.0219	0.0194	70	3	
16	682	0.9837024211883545	682	0.10580504685640335	682.0000	877.0000	576.0000	873.0000	120.0000	894.0000	320.0000	615.0000	640.0000	795.0000	0.9837	0.0103	0.0023	0.0016	0.0007	0.0003	0.0003	0.0002	0.0001	0.0001	0	3	
17	682	0.17806687951087952	682	3.703958511352539	682.0000	502.0000	120.0000	745.0000	810.0000	324.0000	131.0000	575.0000	513.0000	824.0000	0.1781	0.1126	0.0773	0.0727	0.0476	0.0277	0.0252	0.0251	0.0247	0.0202	0	3	
