	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	216	0.3097681999206543	687	4.15620231628418	216.0000	486.0000	600.0000	637.0000	484.0000	122.0000	47.0000	662.0000	701.0000	485.0000	0.3098	0.0639	0.0546	0.0368	0.0232	0.0161	0.0158	0.0104	0.0101	0.0087	449	0	
1	216	0.2964101731777191	687	2.933098316192627	216.0000	600.0000	486.0000	122.0000	47.0000	485.0000	701.0000	637.0000	535.0000	423.0000	0.2964	0.2513	0.1103	0.0345	0.0281	0.0177	0.0153	0.0095	0.0083	0.0082	335	0	
2	486	0.1921503096818924	687	4.53669548034668	486.0000	600.0000	216.0000	142.0000	47.0000	825.0000	662.0000	246.0000	942.0000	888.0000	0.1922	0.0729	0.0670	0.0426	0.0187	0.0177	0.0175	0.0174	0.0139	0.0132	256	0	
3	486	0.21165040135383606	687	3.807412624359131	486.0000	600.0000	216.0000	888.0000	834.0000	760.0000	662.0000	485.0000	47.0000	637.0000	0.2117	0.1727	0.1504	0.0244	0.0142	0.0131	0.0108	0.0100	0.0089	0.0081	297	0	
4	879	0.32609283924102783	687	2.8874411582946777	879.0000	600.0000	828.0000	142.0000	623.0000	95.0000	484.0000	206.0000	880.0000	512.0000	0.3261	0.2773	0.0541	0.0362	0.0163	0.0152	0.0126	0.0125	0.0108	0.0104	344	1	
5	600	0.5639737248420715	687	1.9094135761260986	600.0000	828.0000	879.0000	142.0000	486.0000	95.0000	672.0000	880.0000	834.0000	512.0000	0.5640	0.1706	0.0884	0.0189	0.0187	0.0092	0.0079	0.0064	0.0060	0.0059	306	1	
6	142	0.7169002294540405	687	1.8255207538604736	142.0000	95.0000	150.0000	879.0000	512.0000	335.0000	828.0000	600.0000	432.0000	486.0000	0.7169	0.0204	0.0201	0.0195	0.0189	0.0181	0.0162	0.0128	0.0103	0.0100	248	1	
7	600	0.2637097239494324	687	3.2702040672302246	600.0000	828.0000	142.0000	486.0000	879.0000	512.0000	623.0000	95.0000	122.0000	888.0000	0.2637	0.1895	0.0764	0.0619	0.0554	0.0270	0.0252	0.0177	0.0120	0.0108	487	1	
8	828	0.4905693233013153	687	1.7373757362365723	828.0000	600.0000	879.0000	834.0000	623.0000	122.0000	760.0000	172.0000	216.0000	518.0000	0.4906	0.2642	0.0594	0.0525	0.0215	0.0212	0.0139	0.0096	0.0076	0.0054	198	2	
9	828	0.6430400609970093	687	1.1597874164581299	828.0000	600.0000	122.0000	834.0000	172.0000	216.0000	701.0000	879.0000	684.0000	485.0000	0.6430	0.2128	0.0600	0.0411	0.0156	0.0058	0.0048	0.0031	0.0012	0.0011	206	2	
10	834	0.4233846068382263	687	1.4187726974487305	834.0000	828.0000	600.0000	122.0000	172.0000	299.0000	684.0000	879.0000	216.0000	623.0000	0.4234	0.4179	0.0516	0.0326	0.0178	0.0078	0.0068	0.0066	0.0044	0.0031	156	2	
11	828	0.37896469235420227	687	1.6458308696746826	828.0000	122.0000	834.0000	172.0000	600.0000	485.0000	701.0000	216.0000	299.0000	594.0000	0.3790	0.3577	0.0860	0.0644	0.0300	0.0225	0.0175	0.0087	0.0085	0.0032	196	2	
12	600	0.9631249904632568	687	0.18806663155555725	600.0000	828.0000	216.0000	637.0000	879.0000	226.0000	596.0000	662.0000	713.0000	47.0000	0.9631	0.0325	0.0010	0.0003	0.0003	0.0002	0.0002	0.0001	0.0001	0.0001	469	3	
13	600	0.9908500909805298	687	0.056459296494722366	600.0000	828.0000	216.0000	637.0000	888.0000	594.0000	879.0000	47.0000	596.0000	684.0000	0.9909	0.0085	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	415	3	
14	600	0.48651203513145447	687	1.178876280784607	600.0000	828.0000	216.0000	684.0000	623.0000	514.0000	879.0000	832.0000	323.0000	594.0000	0.4865	0.4364	0.0101	0.0096	0.0073	0.0046	0.0039	0.0031	0.0028	0.0028	622	3	
15	600	0.9404106736183167	687	0.2387162297964096	600.0000	828.0000	594.0000	216.0000	684.0000	596.0000	122.0000	637.0000	879.0000	888.0000	0.9404	0.0578	0.0004	0.0003	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	544	3	
16	600	0.639325737953186	687	1.0018237829208374	600.0000	828.0000	486.0000	880.0000	323.0000	918.0000	47.0000	701.0000	67.0000	142.0000	0.6393	0.3036	0.0127	0.0055	0.0040	0.0037	0.0031	0.0025	0.0022	0.0021	246	4	
17	600	0.6461678743362427	687	0.9888156652450562	600.0000	828.0000	701.0000	485.0000	80.0000	122.0000	323.0000	684.0000	486.0000	852.0000	0.6462	0.2845	0.0195	0.0118	0.0112	0.0060	0.0049	0.0036	0.0028	0.0018	174	4	
18	828	0.39695456624031067	687	2.486530303955078	828.0000	701.0000	918.0000	880.0000	485.0000	95.0000	323.0000	834.0000	486.0000	600.0000	0.3970	0.1603	0.0606	0.0386	0.0373	0.0264	0.0254	0.0253	0.0221	0.0195	191	4	
19	485	0.6568160057067871	687	1.2497941255569458	485.0000	701.0000	828.0000	122.0000	80.0000	600.0000	684.0000	486.0000	299.0000	323.0000	0.6568	0.1351	0.1093	0.0411	0.0102	0.0097	0.0075	0.0045	0.0036	0.0034	180	4	
20	828	0.20717673003673553	687	3.147969961166382	828.0000	657.0000	246.0000	4.0000	918.0000	735.0000	601.0000	623.0000	137.0000	406.0000	0.2072	0.2060	0.1317	0.0506	0.0431	0.0343	0.0243	0.0212	0.0188	0.0155	559	5	
