	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	483	0.1230027973651886	689	4.8691511154174805	483.0000	643.0000	358.0000	364.0000	141.0000	32.0000	617.0000	243.0000	528.0000	453.0000	0.1230	0.0900	0.0717	0.0232	0.0198	0.0175	0.0156	0.0137	0.0126	0.0109	534	0	
1	483	0.06870001554489136	689	5.049868583679199	483.0000	104.0000	727.0000	141.0000	662.0000	49.0000	489.0000	235.0000	205.0000	673.0000	0.0687	0.0615	0.0536	0.0393	0.0308	0.0298	0.0257	0.0231	0.0201	0.0199	333	0	
2	191	0.22437556087970734	689	3.7804689407348633	191.0000	358.0000	507.0000	55.0000	681.0000	716.0000	196.0000	670.0000	104.0000	32.0000	0.2244	0.1425	0.0796	0.0476	0.0405	0.0333	0.0235	0.0205	0.0154	0.0123	277	1	
3	104	0.1198015883564949	689	4.555353164672852	104.0000	358.0000	208.0000	662.0000	924.0000	196.0000	55.0000	626.0000	716.0000	301.0000	0.1198	0.0469	0.0390	0.0364	0.0344	0.0335	0.0314	0.0283	0.0270	0.0243	253	1	
4	716	0.1166040450334549	689	4.1863837242126465	716.0000	884.0000	582.0000	208.0000	936.0000	358.0000	160.0000	670.0000	483.0000	55.0000	0.1166	0.0899	0.0780	0.0708	0.0389	0.0362	0.0344	0.0301	0.0277	0.0258	18	2	
5	358	0.28762897849082947	689	3.109683036804199	358.0000	716.0000	936.0000	884.0000	670.0000	205.0000	673.0000	662.0000	208.0000	837.0000	0.2876	0.2224	0.0497	0.0413	0.0405	0.0254	0.0197	0.0139	0.0132	0.0132	14	2	
6	441	0.26953619718551636	689	2.903381109237671	441.0000	453.0000	528.0000	340.0000	483.0000	264.0000	160.0000	724.0000	821.0000	582.0000	0.2695	0.1153	0.0853	0.0798	0.0525	0.0515	0.0437	0.0432	0.0364	0.0268	18	3	
7	716	0.23268231749534607	689	2.708707809448242	716.0000	358.0000	673.0000	924.0000	936.0000	483.0000	160.0000	528.0000	837.0000	208.0000	0.2327	0.1611	0.1282	0.0722	0.0715	0.0435	0.0429	0.0411	0.0386	0.0337	12	3	
8	547	0.19732500612735748	689	3.7479801177978516	547.0000	208.0000	483.0000	358.0000	55.0000	319.0000	854.0000	362.0000	70.0000	716.0000	0.1973	0.0831	0.0679	0.0558	0.0460	0.0412	0.0395	0.0312	0.0271	0.0222	195	4	
9	364	0.5069491863250732	689	2.4233696460723877	364.0000	837.0000	724.0000	228.0000	528.0000	208.0000	626.0000	133.0000	104.0000	854.0000	0.5069	0.1115	0.0857	0.0276	0.0238	0.0179	0.0149	0.0147	0.0130	0.0112	86	4	
10	797	0.08718094229698181	689	3.981049060821533	797.0000	776.0000	716.0000	884.0000	138.0000	483.0000	196.0000	528.0000	171.0000	163.0000	0.0872	0.0825	0.0743	0.0699	0.0673	0.0454	0.0350	0.0305	0.0265	0.0233	44	5	
11	670	0.3255004584789276	689	2.700778007507324	670.0000	716.0000	797.0000	900.0000	936.0000	208.0000	689.0000	528.0000	673.0000	483.0000	0.3255	0.2244	0.0724	0.0517	0.0303	0.0246	0.0244	0.0208	0.0194	0.0191	6	5	
12	358	0.46908658742904663	689	2.711337089538574	358.0000	704.0000	507.0000	884.0000	453.0000	703.0000	272.0000	776.0000	433.0000	141.0000	0.4691	0.0922	0.0729	0.0548	0.0251	0.0222	0.0165	0.0144	0.0106	0.0092	55	6	
