	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	626	0.394185870885849	698	2.2481236457824707	626.0000	226.0000	423.0000	228.0000	191.0000	104.0000	202.0000	485.0000	845.0000	4.0000	0.3942	0.2503	0.0725	0.0456	0.0345	0.0325	0.0319	0.0205	0.0147	0.0082	111	0	
1	160	0.2395385354757309	698	2.641051769256592	160.0000	338.0000	558.0000	264.0000	340.0000	441.0000	724.0000	582.0000	730.0000	226.0000	0.2395	0.2036	0.1084	0.0875	0.0772	0.0577	0.0378	0.0242	0.0197	0.0175	139	0	
2	226	0.9867461323738098	698	0.11067873984575272	226.0000	6.0000	191.0000	96.0000	331.0000	3.0000	279.0000	509.0000	626.0000	304.0000	0.9867	0.0047	0.0023	0.0008	0.0005	0.0003	0.0003	0.0003	0.0002	0.0002	87	0	
3	340	0.29544755816459656	698	2.7073307037353516	340.0000	264.0000	441.0000	160.0000	226.0000	558.0000	219.0000	662.0000	830.0000	453.0000	0.2954	0.1616	0.1288	0.1227	0.0326	0.0292	0.0137	0.0131	0.0117	0.0115	156	0	
4	47	0.28768855333328247	698	3.0881237983703613	47.0000	216.0000	715.0000	484.0000	485.0000	626.0000	845.0000	228.0000	202.0000	864.0000	0.2877	0.1861	0.1071	0.0514	0.0289	0.0281	0.0250	0.0167	0.0151	0.0139	445	1	
5	370	0.27783921360969543	698	3.049407958984375	370.0000	888.0000	219.0000	641.0000	724.0000	837.0000	703.0000	304.0000	90.0000	449.0000	0.2778	0.1398	0.0850	0.0784	0.0497	0.0448	0.0410	0.0361	0.0356	0.0192	477	1	
6	226	0.9959619641304016	698	0.03643089532852173	226.0000	277.0000	6.0000	166.0000	331.0000	304.0000	191.0000	47.0000	279.0000	484.0000	0.9960	0.0011	0.0010	0.0003	0.0003	0.0003	0.0002	0.0002	0.0001	0.0001	70	1	
7	219	0.7835821509361267	698	1.442140817642212	219.0000	304.0000	370.0000	226.0000	662.0000	137.0000	558.0000	12.0000	626.0000	550.0000	0.7836	0.0304	0.0153	0.0086	0.0074	0.0063	0.0063	0.0058	0.0056	0.0053	269	1	
8	47	0.2114664763212204	698	3.417726993560791	47.0000	423.0000	717.0000	626.0000	228.0000	485.0000	4.0000	104.0000	96.0000	715.0000	0.2115	0.0953	0.0819	0.0714	0.0655	0.0517	0.0447	0.0410	0.0330	0.0223	559	2	
9	837	0.39971214532852173	698	2.509219169616699	837.0000	90.0000	304.0000	508.0000	793.0000	370.0000	160.0000	219.0000	888.0000	165.0000	0.3997	0.2130	0.0550	0.0439	0.0341	0.0197	0.0178	0.0166	0.0166	0.0150	371	2	
