	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	235	0.23679177463054657	703	4.520739555358887	235.0000	703.0000	884.0000	507.0000	205.0000	510.0000	457.0000	910.0000	226.0000	51.0000	0.2368	0.0677	0.0555	0.0352	0.0205	0.0184	0.0173	0.0156	0.0133	0.0124	1	0	
1	789	0.37285521626472473	703	2.1311168670654297	789.0000	235.0000	51.0000	703.0000	131.0000	457.0000	547.0000	285.0000	162.0000	721.0000	0.3729	0.3339	0.0540	0.0381	0.0300	0.0224	0.0145	0.0113	0.0112	0.0107	3	0	
2	703	0.1681705117225647	703	4.200782299041748	703.0000	361.0000	547.0000	208.0000	134.0000	285.0000	716.0000	51.0000	131.0000	55.0000	0.1682	0.0946	0.0621	0.0506	0.0437	0.0435	0.0292	0.0286	0.0205	0.0148	0	1	
3	51	0.581737220287323	703	2.2024312019348145	51.0000	944.0000	285.0000	703.0000	528.0000	131.0000	235.0000	457.0000	134.0000	273.0000	0.5817	0.0511	0.0496	0.0431	0.0386	0.0339	0.0232	0.0223	0.0112	0.0106	3	1	
4	551	0.2075377106666565	703	3.5645389556884766	551.0000	285.0000	282.0000	719.0000	925.0000	358.0000	703.0000	134.0000	857.0000	647.0000	0.2075	0.1182	0.0699	0.0610	0.0499	0.0407	0.0371	0.0251	0.0243	0.0203	6	2	
5	703	0.620202898979187	703	1.5806372165679932	703.0000	285.0000	51.0000	313.0000	134.0000	457.0000	235.0000	647.0000	409.0000	719.0000	0.6202	0.1510	0.0927	0.0244	0.0184	0.0069	0.0066	0.0056	0.0053	0.0042	0	2	
6	285	0.14844638109207153	703	3.9530930519104004	285.0000	703.0000	34.0000	647.0000	208.0000	131.0000	51.0000	492.0000	704.0000	510.0000	0.1484	0.1467	0.0801	0.0661	0.0507	0.0264	0.0255	0.0153	0.0147	0.0137	1	3	
7	703	0.4272199869155884	703	2.5892350673675537	703.0000	51.0000	443.0000	285.0000	131.0000	409.0000	134.0000	242.0000	592.0000	647.0000	0.4272	0.1859	0.0505	0.0476	0.0343	0.0140	0.0136	0.0124	0.0117	0.0113	0	3	
8	719	0.5266422629356384	703	2.391785144805908	719.0000	34.0000	924.0000	208.0000	647.0000	285.0000	540.0000	457.0000	925.0000	703.0000	0.5266	0.0646	0.0442	0.0364	0.0361	0.0321	0.0247	0.0220	0.0190	0.0159	9	4	
9	285	0.3022483289241791	703	2.4462451934814453	285.0000	703.0000	626.0000	457.0000	51.0000	896.0000	719.0000	490.0000	443.0000	789.0000	0.3022	0.2933	0.0766	0.0634	0.0287	0.0277	0.0252	0.0223	0.0162	0.0148	1	4	
10	703	0.4076996445655823	703	3.141334295272827	703.0000	507.0000	61.0000	925.0000	547.0000	457.0000	194.0000	673.0000	483.0000	208.0000	0.4077	0.1246	0.0333	0.0221	0.0211	0.0202	0.0189	0.0181	0.0151	0.0133	0	5	
11	703	0.7438892722129822	703	1.3629412651062012	703.0000	789.0000	409.0000	134.0000	457.0000	235.0000	285.0000	942.0000	443.0000	51.0000	0.7439	0.0768	0.0254	0.0147	0.0140	0.0117	0.0115	0.0109	0.0106	0.0083	0	5	
12	936	0.23089481890201569	703	3.791808605194092	936.0000	703.0000	945.0000	61.0000	205.0000	226.0000	884.0000	273.0000	285.0000	318.0000	0.2309	0.1398	0.0840	0.0315	0.0294	0.0206	0.0199	0.0153	0.0144	0.0121	1	6	
13	703	0.6470350623130798	703	1.916532039642334	703.0000	285.0000	896.0000	592.0000	242.0000	803.0000	782.0000	409.0000	942.0000	944.0000	0.6470	0.0526	0.0294	0.0263	0.0230	0.0214	0.0201	0.0183	0.0137	0.0122	0	6	
14	789	0.3005307912826538	703	2.7074527740478516	789.0000	547.0000	235.0000	483.0000	34.0000	471.0000	186.0000	134.0000	223.0000	540.0000	0.3005	0.2349	0.1168	0.0546	0.0356	0.0318	0.0138	0.0118	0.0114	0.0094	19	7	
15	789	0.19858676195144653	703	2.633141279220581	789.0000	703.0000	134.0000	34.0000	285.0000	457.0000	896.0000	627.0000	547.0000	235.0000	0.1986	0.1666	0.1627	0.1137	0.0834	0.0633	0.0354	0.0204	0.0192	0.0169	1	7	
16	703	0.6977105736732483	703	1.5978201627731323	703.0000	925.0000	194.0000	673.0000	457.0000	483.0000	273.0000	318.0000	34.0000	704.0000	0.6977	0.0544	0.0455	0.0284	0.0181	0.0168	0.0118	0.0115	0.0112	0.0089	0	8	
17	703	0.9987620115280151	703	0.01317765936255455	703.0000	457.0000	51.0000	235.0000	443.0000	409.0000	626.0000	896.0000	205.0000	134.0000	0.9988	0.0003	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0000	0.0000	0	8	
18	703	0.365705281496048	703	2.2831337451934814	703.0000	492.0000	131.0000	924.0000	169.0000	285.0000	925.0000	134.0000	208.0000	136.0000	0.3657	0.2957	0.0589	0.0309	0.0271	0.0231	0.0195	0.0155	0.0154	0.0148	0	9	
19	789	0.6296246647834778	703	1.2240098714828491	789.0000	703.0000	51.0000	285.0000	134.0000	896.0000	661.0000	507.0000	528.0000	628.0000	0.6296	0.2383	0.0475	0.0400	0.0031	0.0027	0.0027	0.0026	0.0024	0.0021	1	9	
20	49	0.40933823585510254	703	2.6982874870300293	49.0000	507.0000	925.0000	945.0000	716.0000	924.0000	703.0000	23.0000	673.0000	547.0000	0.4093	0.1209	0.0774	0.0464	0.0373	0.0361	0.0338	0.0180	0.0143	0.0137	6	10	
21	703	0.723519504070282	703	1.386544942855835	703.0000	51.0000	528.0000	134.0000	409.0000	507.0000	529.0000	23.0000	844.0000	443.0000	0.7235	0.0588	0.0466	0.0370	0.0356	0.0198	0.0080	0.0068	0.0053	0.0044	0	10	
22	547	0.6930909156799316	703	1.372750997543335	547.0000	703.0000	340.0000	235.0000	319.0000	134.0000	23.0000	361.0000	490.0000	442.0000	0.6931	0.0803	0.0562	0.0523	0.0246	0.0227	0.0143	0.0095	0.0039	0.0035	1	11	
23	703	0.30761635303497314	703	1.6402857303619385	703.0000	409.0000	134.0000	443.0000	700.0000	789.0000	626.0000	528.0000	627.0000	803.0000	0.3076	0.3054	0.2321	0.0981	0.0103	0.0083	0.0041	0.0038	0.0031	0.0031	0	11	
24	326	0.07855483144521713	703	4.298555850982666	326.0000	547.0000	203.0000	924.0000	194.0000	205.0000	521.0000	443.0000	703.0000	936.0000	0.0786	0.0618	0.0577	0.0436	0.0401	0.0366	0.0309	0.0303	0.0302	0.0267	8	12	
25	285	0.33212751150131226	703	2.3748667240142822	285.0000	703.0000	757.0000	134.0000	409.0000	424.0000	896.0000	528.0000	443.0000	529.0000	0.3321	0.2447	0.1312	0.0449	0.0234	0.0231	0.0210	0.0179	0.0139	0.0103	1	12	
26	326	0.6746588349342346	703	0.949350118637085	326.0000	837.0000	830.0000	471.0000	279.0000	854.0000	450.0000	228.0000	411.0000	133.0000	0.6747	0.2569	0.0255	0.0097	0.0081	0.0076	0.0056	0.0032	0.0016	0.0009	155	13	
27	703	0.2803036570549011	703	2.8837597370147705	703.0000	528.0000	443.0000	235.0000	134.0000	805.0000	285.0000	782.0000	896.0000	51.0000	0.2803	0.1096	0.1016	0.0889	0.0810	0.0463	0.0416	0.0390	0.0233	0.0176	0	13	
28	703	0.42269572615623474	703	2.3261961936950684	703.0000	492.0000	273.0000	51.0000	208.0000	61.0000	242.0000	131.0000	704.0000	358.0000	0.4227	0.2289	0.0642	0.0496	0.0229	0.0169	0.0136	0.0094	0.0091	0.0089	0	14	
29	285	0.8246470093727112	703	0.9072739481925964	285.0000	703.0000	242.0000	896.0000	898.0000	409.0000	443.0000	51.0000	507.0000	273.0000	0.8246	0.0728	0.0236	0.0181	0.0072	0.0063	0.0054	0.0039	0.0036	0.0025	1	14	
30	703	0.2751675844192505	703	3.4644935131073	703.0000	924.0000	131.0000	492.0000	945.0000	61.0000	529.0000	540.0000	673.0000	194.0000	0.2752	0.1071	0.0618	0.0321	0.0293	0.0231	0.0218	0.0216	0.0203	0.0199	0	15	
31	703	0.297357976436615	703	3.0419607162475586	703.0000	51.0000	896.0000	285.0000	443.0000	409.0000	626.0000	803.0000	507.0000	457.0000	0.2974	0.1226	0.0960	0.0774	0.0486	0.0456	0.0301	0.0261	0.0246	0.0134	0	15	
32	703	0.33094483613967896	703	3.3912100791931152	703.0000	884.0000	285.0000	194.0000	529.0000	585.0000	169.0000	521.0000	318.0000	670.0000	0.3309	0.1052	0.0408	0.0367	0.0307	0.0259	0.0255	0.0240	0.0168	0.0165	0	16	
33	285	0.35099437832832336	703	2.6331534385681152	285.0000	703.0000	443.0000	507.0000	896.0000	457.0000	627.0000	529.0000	532.0000	131.0000	0.3510	0.2269	0.0581	0.0543	0.0513	0.0288	0.0220	0.0161	0.0116	0.0101	1	16	
34	703	0.9383162260055542	703	0.4178331196308136	703.0000	716.0000	936.0000	318.0000	61.0000	23.0000	483.0000	797.0000	945.0000	739.0000	0.9383	0.0188	0.0064	0.0044	0.0042	0.0030	0.0024	0.0016	0.0015	0.0014	0	17	
35	703	0.9959166646003723	703	0.03428841009736061	703.0000	285.0000	443.0000	896.0000	739.0000	893.0000	628.0000	409.0000	51.0000	23.0000	0.9959	0.0020	0.0008	0.0004	0.0002	0.0001	0.0001	0.0001	0.0000	0.0000	0	17	
36	945	0.9043534398078918	703	0.6199604868888855	945.0000	273.0000	492.0000	49.0000	285.0000	358.0000	936.0000	61.0000	944.0000	925.0000	0.9044	0.0176	0.0109	0.0098	0.0086	0.0080	0.0064	0.0048	0.0023	0.0020	10	18	
37	703	0.4625069499015808	703	2.141141891479492	703.0000	285.0000	443.0000	896.0000	134.0000	51.0000	457.0000	945.0000	627.0000	409.0000	0.4625	0.2152	0.0507	0.0439	0.0276	0.0214	0.0176	0.0160	0.0122	0.0112	0	18	
38	854	0.5571199655532837	703	2.50898814201355	854.0000	558.0000	319.0000	441.0000	924.0000	626.0000	49.0000	730.0000	719.0000	279.0000	0.5571	0.0499	0.0468	0.0246	0.0185	0.0168	0.0167	0.0134	0.0114	0.0103	40	19	
39	528	0.4367540180683136	703	2.446040630340576	528.0000	409.0000	703.0000	854.0000	797.0000	942.0000	134.0000	453.0000	285.0000	208.0000	0.4368	0.1369	0.0728	0.0556	0.0467	0.0403	0.0179	0.0160	0.0151	0.0114	2	19	
40	703	0.381353497505188	703	2.8101398944854736	703.0000	235.0000	492.0000	739.0000	893.0000	540.0000	924.0000	194.0000	131.0000	208.0000	0.3814	0.1425	0.0519	0.0510	0.0363	0.0344	0.0308	0.0286	0.0189	0.0123	0	20	
41	703	0.2560180723667145	703	2.9893412590026855	703.0000	443.0000	896.0000	893.0000	532.0000	627.0000	782.0000	507.0000	285.0000	400.0000	0.2560	0.1095	0.0892	0.0782	0.0657	0.0593	0.0501	0.0336	0.0329	0.0208	0	20	
42	703	0.8297405242919922	703	0.8474302887916565	703.0000	924.0000	492.0000	208.0000	457.0000	787.0000	716.0000	444.0000	867.0000	23.0000	0.8297	0.0836	0.0264	0.0080	0.0057	0.0050	0.0041	0.0034	0.0027	0.0026	0	21	
43	703	0.8696767687797546	703	0.6221816539764404	703.0000	443.0000	51.0000	285.0000	23.0000	944.0000	661.0000	242.0000	628.0000	893.0000	0.8697	0.0690	0.0281	0.0116	0.0023	0.0017	0.0016	0.0013	0.0012	0.0012	0	21	
44	945	0.1911555826663971	703	3.547867774963379	945.0000	307.0000	944.0000	547.0000	424.0000	273.0000	670.0000	492.0000	703.0000	82.0000	0.1912	0.1551	0.0613	0.0533	0.0412	0.0398	0.0335	0.0280	0.0224	0.0209	8	22	
45	703	0.5900344848632812	703	1.4423737525939941	703.0000	944.0000	51.0000	285.0000	242.0000	757.0000	273.0000	200.0000	805.0000	424.0000	0.5900	0.1881	0.0772	0.0703	0.0186	0.0087	0.0078	0.0036	0.0027	0.0026	0	22	
