	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	205	0.4587653577327728	705	2.8186841011047363	205.0000	162.0000	705.0000	102.0000	208.0000	703.0000	495.0000	919.0000	215.0000	45.0000	0.4588	0.0929	0.0627	0.0395	0.0286	0.0276	0.0207	0.0154	0.0106	0.0097	2	0	
1	205	0.24328692257404327	705	2.5685524940490723	205.0000	45.0000	585.0000	169.0000	75.0000	705.0000	410.0000	315.0000	162.0000	925.0000	0.2433	0.1532	0.1378	0.0836	0.0757	0.0602	0.0481	0.0462	0.0326	0.0138	5	1	
2	102	0.5517242550849915	705	1.7161357402801514	102.0000	205.0000	182.0000	705.0000	179.0000	925.0000	703.0000	208.0000	585.0000	495.0000	0.5517	0.1356	0.1011	0.0883	0.0167	0.0150	0.0116	0.0105	0.0098	0.0088	3	2	
3	205	0.5993056893348694	705	1.808342456817627	205.0000	705.0000	703.0000	75.0000	925.0000	162.0000	164.0000	614.0000	184.0000	45.0000	0.5993	0.1248	0.0843	0.0305	0.0175	0.0111	0.0103	0.0076	0.0075	0.0068	1	3	
4	102	0.7534478902816772	705	0.9449588656425476	102.0000	705.0000	703.0000	205.0000	75.0000	925.0000	182.0000	179.0000	551.0000	457.0000	0.7534	0.1535	0.0276	0.0224	0.0162	0.0058	0.0021	0.0021	0.0020	0.0010	1	4	
5	705	0.36755603551864624	705	1.9924529790878296	705.0000	285.0000	182.0000	925.0000	102.0000	871.0000	460.0000	551.0000	179.0000	169.0000	0.3676	0.1963	0.1284	0.1068	0.0662	0.0647	0.0114	0.0055	0.0054	0.0040	0	5	
6	205	0.6877966523170471	705	1.181792974472046	205.0000	102.0000	705.0000	215.0000	164.0000	75.0000	585.0000	182.0000	184.0000	460.0000	0.6878	0.1167	0.0747	0.0624	0.0146	0.0123	0.0115	0.0057	0.0024	0.0015	2	6	
7	705	0.7916492819786072	705	1.0884748697280884	705.0000	925.0000	285.0000	102.0000	169.0000	184.0000	182.0000	247.0000	585.0000	191.0000	0.7916	0.0504	0.0489	0.0241	0.0155	0.0087	0.0059	0.0057	0.0037	0.0034	0	7	
8	705	0.7822146415710449	705	0.6475098133087158	705.0000	182.0000	102.0000	179.0000	205.0000	495.0000	421.0000	925.0000	507.0000	162.0000	0.7822	0.1794	0.0345	0.0009	0.0008	0.0004	0.0004	0.0003	0.0002	0.0002	0	8	
9	102	0.7064279913902283	705	0.8946280479431152	102.0000	705.0000	925.0000	182.0000	179.0000	205.0000	703.0000	184.0000	75.0000	495.0000	0.7064	0.1917	0.0794	0.0124	0.0022	0.0018	0.0011	0.0008	0.0005	0.0004	1	9	
10	102	0.4195178151130676	705	1.2160531282424927	102.0000	705.0000	205.0000	169.0000	925.0000	215.0000	703.0000	182.0000	179.0000	45.0000	0.4195	0.3584	0.1927	0.0126	0.0072	0.0014	0.0012	0.0012	0.0008	0.0008	1	10	
11	705	0.7792636752128601	705	0.6664490699768066	705.0000	102.0000	215.0000	182.0000	205.0000	460.0000	45.0000	169.0000	925.0000	162.0000	0.7793	0.1939	0.0094	0.0076	0.0031	0.0014	0.0009	0.0008	0.0006	0.0003	0	11	
12	102	0.7004481554031372	705	0.9219506978988647	102.0000	705.0000	205.0000	182.0000	703.0000	75.0000	510.0000	925.0000	162.0000	212.0000	0.7004	0.2118	0.0522	0.0128	0.0103	0.0056	0.0015	0.0010	0.0005	0.0003	1	12	
13	705	0.7963979244232178	705	1.0068073272705078	705.0000	205.0000	703.0000	585.0000	169.0000	102.0000	182.0000	162.0000	215.0000	460.0000	0.7964	0.0574	0.0354	0.0346	0.0162	0.0130	0.0112	0.0053	0.0049	0.0022	0	13	
14	705	0.8300973176956177	705	0.6504491567611694	705.0000	102.0000	182.0000	925.0000	169.0000	495.0000	166.0000	460.0000	162.0000	179.0000	0.8301	0.1103	0.0250	0.0189	0.0103	0.0033	0.0003	0.0003	0.0003	0.0002	0	14	
15	925	0.37959596514701843	705	2.0484297275543213	925.0000	705.0000	102.0000	169.0000	45.0000	166.0000	495.0000	162.0000	460.0000	177.0000	0.3796	0.2385	0.1239	0.0976	0.0425	0.0137	0.0083	0.0076	0.0067	0.0049	1	15	
16	705	0.6976786851882935	705	0.967775821685791	705.0000	205.0000	102.0000	925.0000	182.0000	169.0000	285.0000	495.0000	703.0000	421.0000	0.6977	0.1684	0.1031	0.0068	0.0058	0.0050	0.0041	0.0027	0.0014	0.0006	0	16	
17	705	0.9645333290100098	705	0.19520950317382812	705.0000	182.0000	925.0000	621.0000	460.0000	102.0000	169.0000	589.0000	510.0000	179.0000	0.9645	0.0252	0.0030	0.0029	0.0015	0.0010	0.0005	0.0004	0.0003	0.0002	0	17	
18	705	0.8664901256561279	705	0.4515600800514221	705.0000	102.0000	205.0000	182.0000	75.0000	925.0000	45.0000	703.0000	460.0000	164.0000	0.8665	0.1231	0.0031	0.0020	0.0018	0.0016	0.0007	0.0003	0.0002	0.0001	0	18	
19	705	0.6750383377075195	705	0.6652794480323792	705.0000	102.0000	205.0000	182.0000	45.0000	925.0000	285.0000	75.0000	460.0000	703.0000	0.6750	0.3198	0.0032	0.0006	0.0003	0.0003	0.0001	0.0001	0.0001	0.0001	0	19	
20	705	0.48688772320747375	705	1.5731196403503418	705.0000	169.0000	285.0000	483.0000	162.0000	182.0000	460.0000	925.0000	671.0000	49.0000	0.4869	0.2639	0.0718	0.0537	0.0456	0.0311	0.0179	0.0053	0.0027	0.0022	0	20	
21	705	0.9305617809295654	705	0.2866078019142151	705.0000	102.0000	925.0000	703.0000	75.0000	510.0000	179.0000	285.0000	205.0000	182.0000	0.9306	0.0640	0.0022	0.0005	0.0004	0.0003	0.0002	0.0002	0.0002	0.0002	0	21	
22	705	0.5077688694000244	705	1.7937827110290527	705.0000	205.0000	510.0000	285.0000	460.0000	925.0000	162.0000	215.0000	585.0000	102.0000	0.5078	0.2205	0.0610	0.0586	0.0253	0.0199	0.0147	0.0083	0.0076	0.0072	0	22	
23	705	0.9588457942008972	705	0.24186238646507263	705.0000	205.0000	925.0000	75.0000	102.0000	495.0000	162.0000	713.0000	460.0000	182.0000	0.9588	0.0248	0.0039	0.0023	0.0021	0.0018	0.0014	0.0008	0.0008	0.0007	0	23	
24	705	0.999327540397644	705	0.006908947601914406	705.0000	925.0000	205.0000	182.0000	102.0000	169.0000	703.0000	495.0000	166.0000	179.0000	0.9993	0.0003	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	24	
25	705	0.708979606628418	705	0.8686028718948364	705.0000	182.0000	205.0000	102.0000	45.0000	169.0000	162.0000	75.0000	495.0000	285.0000	0.7090	0.2306	0.0266	0.0173	0.0022	0.0021	0.0020	0.0018	0.0011	0.0011	0	25	
26	705	0.9733977913856506	705	0.17430758476257324	705.0000	102.0000	215.0000	585.0000	925.0000	205.0000	285.0000	169.0000	182.0000	460.0000	0.9734	0.0138	0.0045	0.0014	0.0013	0.0011	0.0008	0.0005	0.0004	0.0004	0	26	
27	705	0.9329490065574646	705	0.39846980571746826	705.0000	102.0000	215.0000	169.0000	205.0000	164.0000	285.0000	460.0000	182.0000	45.0000	0.9329	0.0185	0.0184	0.0095	0.0041	0.0037	0.0023	0.0017	0.0016	0.0010	0	27	
28	705	0.9837080836296082	705	0.09175998717546463	705.0000	102.0000	169.0000	925.0000	703.0000	182.0000	495.0000	45.0000	179.0000	205.0000	0.9837	0.0148	0.0005	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0	28	
29	169	0.6811694502830505	705	1.2339304685592651	169.0000	705.0000	925.0000	589.0000	460.0000	182.0000	102.0000	215.0000	166.0000	585.0000	0.6812	0.1179	0.1103	0.0177	0.0142	0.0130	0.0098	0.0080	0.0034	0.0034	1	29	
30	705	0.8544634580612183	705	0.4748009443283081	705.0000	102.0000	182.0000	205.0000	925.0000	169.0000	589.0000	460.0000	215.0000	285.0000	0.8545	0.1354	0.0036	0.0018	0.0011	0.0008	0.0005	0.0003	0.0003	0.0002	0	30	
31	705	0.7285642027854919	705	0.6830702424049377	705.0000	102.0000	182.0000	205.0000	925.0000	585.0000	169.0000	215.0000	75.0000	460.0000	0.7286	0.2555	0.0051	0.0040	0.0008	0.0008	0.0008	0.0008	0.0007	0.0005	0	31	
32	705	0.7293482422828674	705	0.7348194122314453	705.0000	102.0000	182.0000	205.0000	215.0000	589.0000	925.0000	75.0000	585.0000	169.0000	0.7293	0.2431	0.0097	0.0044	0.0029	0.0024	0.0020	0.0015	0.0015	0.0005	0	32	
33	705	0.8828728795051575	705	0.41004490852355957	705.0000	102.0000	182.0000	205.0000	925.0000	215.0000	169.0000	75.0000	585.0000	589.0000	0.8829	0.1088	0.0025	0.0023	0.0008	0.0007	0.0003	0.0003	0.0003	0.0002	0	33	
34	705	0.9129149913787842	705	0.33298009634017944	705.0000	102.0000	182.0000	205.0000	925.0000	215.0000	589.0000	169.0000	460.0000	585.0000	0.9129	0.0807	0.0020	0.0016	0.0006	0.0004	0.0003	0.0002	0.0002	0.0002	0	34	
