	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	423	0.4785655438899994	708	3.3686914443969727	423.0000	285.0000	47.0000	584.0000	377.0000	61.0000	681.0000	590.0000	301.0000	578.0000	0.4786	0.0239	0.0223	0.0208	0.0186	0.0178	0.0155	0.0141	0.0113	0.0113	440	0	
1	423	0.44894492626190186	708	2.9382190704345703	423.0000	47.0000	301.0000	584.0000	377.0000	285.0000	590.0000	681.0000	395.0000	709.0000	0.4489	0.1455	0.0550	0.0250	0.0155	0.0128	0.0099	0.0099	0.0095	0.0091	442	0	
2	259	0.4292658269405365	708	2.5653531551361084	259.0000	825.0000	657.0000	246.0000	762.0000	406.0000	423.0000	390.0000	707.0000	641.0000	0.4293	0.2272	0.0482	0.0390	0.0170	0.0163	0.0139	0.0130	0.0099	0.0099	235	1	
3	707	0.09902545809745789	708	4.513226509094238	707.0000	666.0000	104.0000	259.0000	717.0000	845.0000	390.0000	301.0000	47.0000	762.0000	0.0990	0.0838	0.0493	0.0487	0.0439	0.0390	0.0371	0.0256	0.0253	0.0231	217	1	
4	259	0.4546748995780945	708	2.558973550796509	259.0000	762.0000	423.0000	246.0000	657.0000	449.0000	72.0000	497.0000	707.0000	667.0000	0.4547	0.1006	0.0944	0.0644	0.0349	0.0268	0.0223	0.0141	0.0115	0.0113	178	2	
5	667	0.22052206099033356	708	3.6300621032714844	667.0000	259.0000	707.0000	717.0000	47.0000	98.0000	72.0000	467.0000	674.0000	323.0000	0.2205	0.1725	0.0645	0.0448	0.0413	0.0316	0.0244	0.0236	0.0222	0.0197	109	2	
6	259	0.19762751460075378	708	3.123075246810913	259.0000	323.0000	98.0000	467.0000	104.0000	662.0000	390.0000	508.0000	503.0000	246.0000	0.1976	0.1415	0.1034	0.0930	0.0629	0.0608	0.0525	0.0489	0.0183	0.0144	100	3	
7	104	0.3656565546989441	708	2.508814811706543	104.0000	98.0000	662.0000	259.0000	590.0000	390.0000	346.0000	503.0000	853.0000	707.0000	0.3657	0.2833	0.0588	0.0502	0.0177	0.0123	0.0114	0.0106	0.0078	0.0076	50	3	
8	259	0.18304002285003662	708	3.2736802101135254	259.0000	246.0000	717.0000	390.0000	657.0000	423.0000	662.0000	637.0000	825.0000	608.0000	0.1830	0.1400	0.1025	0.0963	0.0856	0.0533	0.0489	0.0253	0.0238	0.0134	201	4	
9	662	0.26344919204711914	708	3.683896064758301	662.0000	104.0000	717.0000	637.0000	98.0000	47.0000	608.0000	666.0000	35.0000	842.0000	0.2634	0.0888	0.0614	0.0594	0.0425	0.0300	0.0203	0.0185	0.0169	0.0169	139	4	
10	259	0.25154197216033936	708	2.616807460784912	259.0000	246.0000	347.0000	762.0000	406.0000	423.0000	497.0000	933.0000	657.0000	535.0000	0.2515	0.1660	0.1642	0.1069	0.0778	0.0444	0.0173	0.0141	0.0107	0.0101	478	5	
11	104	0.41739988327026367	708	1.4724996089935303	104.0000	259.0000	347.0000	98.0000	667.0000	423.0000	406.0000	497.0000	707.0000	637.0000	0.4174	0.3805	0.1208	0.0261	0.0082	0.0044	0.0034	0.0028	0.0025	0.0023	430	5	
12	259	0.3889695107936859	708	2.68947434425354	259.0000	390.0000	799.0000	717.0000	246.0000	376.0000	423.0000	515.0000	707.0000	589.0000	0.3890	0.1795	0.0579	0.0444	0.0376	0.0307	0.0287	0.0166	0.0157	0.0145	137	6	
13	104	0.39821261167526245	708	2.9060263633728027	104.0000	799.0000	717.0000	662.0000	259.0000	346.0000	390.0000	376.0000	707.0000	589.0000	0.3982	0.1281	0.0489	0.0487	0.0354	0.0344	0.0216	0.0199	0.0189	0.0172	89	6	
14	259	0.1938692331314087	708	3.1368916034698486	259.0000	762.0000	657.0000	825.0000	717.0000	535.0000	390.0000	423.0000	155.0000	765.0000	0.1939	0.1376	0.1181	0.1009	0.0841	0.0490	0.0444	0.0182	0.0145	0.0134	272	7	
15	104	0.38014987111091614	708	2.844409942626953	104.0000	259.0000	667.0000	190.0000	717.0000	799.0000	662.0000	98.0000	765.0000	390.0000	0.3801	0.1332	0.0908	0.0554	0.0501	0.0194	0.0172	0.0135	0.0132	0.0131	198	7	
16	259	0.7509279847145081	708	0.9618789553642273	259.0000	246.0000	423.0000	487.0000	657.0000	390.0000	717.0000	762.0000	662.0000	641.0000	0.7509	0.1096	0.0889	0.0096	0.0087	0.0067	0.0045	0.0037	0.0030	0.0027	258	8	
17	259	0.8593041896820068	708	0.7159355878829956	259.0000	423.0000	662.0000	717.0000	47.0000	390.0000	487.0000	98.0000	577.0000	707.0000	0.8593	0.0460	0.0326	0.0179	0.0132	0.0055	0.0049	0.0036	0.0036	0.0022	160	8	
18	390	0.41552427411079407	708	2.3121776580810547	390.0000	467.0000	423.0000	717.0000	762.0000	535.0000	662.0000	47.0000	412.0000	297.0000	0.4155	0.1387	0.1331	0.0730	0.0376	0.0320	0.0243	0.0171	0.0110	0.0093	221	9	
19	259	0.45262184739112854	708	2.828352212905884	259.0000	662.0000	717.0000	825.0000	423.0000	104.0000	390.0000	297.0000	489.0000	762.0000	0.4526	0.0765	0.0570	0.0503	0.0375	0.0373	0.0201	0.0169	0.0155	0.0092	175	9	
20	390	0.3180393874645233	708	3.158604860305786	390.0000	376.0000	487.0000	799.0000	443.0000	142.0000	872.0000	446.0000	201.0000	246.0000	0.3180	0.0983	0.0609	0.0534	0.0457	0.0339	0.0303	0.0295	0.0280	0.0173	281	10	
21	104	0.6406960487365723	708	1.6182231903076172	104.0000	799.0000	91.0000	12.0000	412.0000	888.0000	446.0000	872.0000	662.0000	487.0000	0.6407	0.1416	0.0484	0.0215	0.0141	0.0140	0.0109	0.0107	0.0100	0.0090	81	10	
22	390	0.4310184121131897	708	2.7503151893615723	390.0000	246.0000	717.0000	376.0000	328.0000	142.0000	799.0000	707.0000	259.0000	47.0000	0.4310	0.0910	0.0891	0.0376	0.0357	0.0335	0.0164	0.0147	0.0144	0.0123	75	11	
23	104	0.3220488131046295	708	3.3013293743133545	104.0000	44.0000	590.0000	98.0000	662.0000	142.0000	930.0000	487.0000	390.0000	259.0000	0.3220	0.0658	0.0621	0.0424	0.0398	0.0335	0.0301	0.0300	0.0217	0.0205	101	11	
24	246	0.45611807703971863	708	2.120929718017578	246.0000	259.0000	657.0000	825.0000	762.0000	497.0000	717.0000	390.0000	406.0000	735.0000	0.4561	0.2423	0.0753	0.0261	0.0210	0.0208	0.0124	0.0115	0.0110	0.0082	187	12	
25	259	0.3379669487476349	708	2.7977442741394043	259.0000	667.0000	104.0000	662.0000	497.0000	825.0000	406.0000	707.0000	590.0000	799.0000	0.3380	0.1894	0.1009	0.0516	0.0490	0.0185	0.0179	0.0140	0.0121	0.0104	41	12	
26	246	0.1225782185792923	708	3.8909215927124023	246.0000	235.0000	762.0000	467.0000	98.0000	47.0000	657.0000	412.0000	709.0000	446.0000	0.1226	0.0937	0.0687	0.0604	0.0556	0.0469	0.0391	0.0375	0.0374	0.0282	339	13	
27	662	0.06727796792984009	708	4.843486785888672	662.0000	33.0000	259.0000	853.0000	487.0000	346.0000	412.0000	709.0000	717.0000	842.0000	0.0673	0.0591	0.0334	0.0320	0.0306	0.0283	0.0265	0.0254	0.0237	0.0226	273	13	
28	246	0.8872767686843872	708	0.7698795795440674	246.0000	390.0000	799.0000	64.0000	142.0000	662.0000	717.0000	707.0000	709.0000	922.0000	0.8873	0.0150	0.0132	0.0120	0.0057	0.0049	0.0045	0.0038	0.0031	0.0029	194	14	
29	104	0.4347221851348877	708	2.9122979640960693	104.0000	662.0000	98.0000	259.0000	799.0000	937.0000	765.0000	426.0000	390.0000	717.0000	0.4347	0.1031	0.0518	0.0468	0.0455	0.0238	0.0116	0.0111	0.0107	0.0105	134	14	
30	259	0.2764458656311035	708	2.934328079223633	259.0000	515.0000	799.0000	717.0000	390.0000	328.0000	412.0000	872.0000	86.0000	22.0000	0.2764	0.1051	0.0982	0.0925	0.0804	0.0489	0.0276	0.0189	0.0188	0.0131	115	15	
31	104	0.3270886242389679	708	1.8619619607925415	104.0000	259.0000	799.0000	717.0000	306.0000	662.0000	487.0000	500.0000	707.0000	91.0000	0.3271	0.2503	0.2308	0.0866	0.0186	0.0140	0.0076	0.0062	0.0053	0.0046	77	15	
32	259	0.44128239154815674	708	2.4571666717529297	259.0000	390.0000	717.0000	142.0000	707.0000	432.0000	535.0000	328.0000	534.0000	487.0000	0.4413	0.1552	0.0693	0.0399	0.0306	0.0265	0.0226	0.0195	0.0151	0.0147	160	16	
33	259	0.7031418681144714	708	1.5811667442321777	259.0000	799.0000	534.0000	707.0000	487.0000	674.0000	104.0000	390.0000	142.0000	222.0000	0.7031	0.0818	0.0358	0.0306	0.0216	0.0106	0.0094	0.0059	0.0050	0.0049	93	16	
34	246	0.2328026294708252	708	2.990130662918091	246.0000	259.0000	762.0000	657.0000	717.0000	423.0000	376.0000	535.0000	86.0000	709.0000	0.2328	0.1696	0.0747	0.0684	0.0578	0.0562	0.0537	0.0309	0.0290	0.0252	320	17	
35	104	0.5237995386123657	708	1.4273443222045898	104.0000	259.0000	717.0000	423.0000	86.0000	376.0000	201.0000	662.0000	707.0000	577.0000	0.5238	0.3411	0.0304	0.0246	0.0084	0.0082	0.0057	0.0045	0.0045	0.0037	188	17	
36	246	0.24647250771522522	708	2.840254783630371	246.0000	259.0000	487.0000	376.0000	657.0000	91.0000	799.0000	497.0000	637.0000	662.0000	0.2465	0.2349	0.0863	0.0655	0.0572	0.0471	0.0295	0.0212	0.0135	0.0130	279	18	
37	487	0.18977071344852448	708	3.454202175140381	487.0000	259.0000	662.0000	91.0000	799.0000	104.0000	273.0000	406.0000	489.0000	376.0000	0.1898	0.1770	0.0843	0.0733	0.0392	0.0297	0.0275	0.0263	0.0255	0.0218	60	18	
38	259	0.2785939574241638	708	3.200047492980957	259.0000	497.0000	717.0000	762.0000	390.0000	707.0000	515.0000	47.0000	799.0000	446.0000	0.2786	0.1196	0.1055	0.0654	0.0379	0.0354	0.0265	0.0246	0.0238	0.0138	235	19	
39	717	0.3943421244621277	708	2.1147923469543457	717.0000	259.0000	347.0000	47.0000	799.0000	489.0000	515.0000	104.0000	190.0000	98.0000	0.3943	0.3453	0.0342	0.0202	0.0171	0.0142	0.0126	0.0110	0.0097	0.0090	158	19	
40	423	0.8023194670677185	708	0.9272501468658447	423.0000	246.0000	717.0000	535.0000	259.0000	390.0000	761.0000	707.0000	762.0000	47.0000	0.8023	0.0717	0.0528	0.0174	0.0100	0.0095	0.0065	0.0055	0.0055	0.0017	134	20	
41	717	0.4330804944038391	708	2.261556625366211	717.0000	259.0000	104.0000	825.0000	685.0000	799.0000	142.0000	487.0000	190.0000	118.0000	0.4331	0.2449	0.0670	0.0432	0.0171	0.0107	0.0105	0.0091	0.0088	0.0087	13	20	
42	717	0.44153231382369995	708	2.4615375995635986	717.0000	47.0000	390.0000	449.0000	22.0000	479.0000	535.0000	259.0000	33.0000	497.0000	0.4415	0.2085	0.0430	0.0353	0.0315	0.0165	0.0160	0.0134	0.0124	0.0092	107	21	
43	104	0.6618699431419373	708	1.9404584169387817	104.0000	259.0000	479.0000	118.0000	33.0000	347.0000	500.0000	375.0000	22.0000	306.0000	0.6619	0.0522	0.0502	0.0302	0.0128	0.0124	0.0106	0.0090	0.0081	0.0076	31	21	
44	246	0.4611591100692749	708	2.604156732559204	246.0000	259.0000	799.0000	485.0000	390.0000	201.0000	662.0000	717.0000	446.0000	707.0000	0.4612	0.0906	0.0819	0.0659	0.0271	0.0195	0.0170	0.0168	0.0156	0.0115	249	22	
45	799	0.4517039656639099	708	2.8363912105560303	799.0000	118.0000	201.0000	485.0000	104.0000	782.0000	446.0000	888.0000	662.0000	259.0000	0.4517	0.0747	0.0538	0.0458	0.0224	0.0223	0.0214	0.0198	0.0186	0.0147	113	22	
46	246	0.2736757695674896	708	2.5286519527435303	246.0000	259.0000	657.0000	662.0000	717.0000	799.0000	390.0000	535.0000	707.0000	497.0000	0.2737	0.2667	0.1071	0.0587	0.0542	0.0328	0.0283	0.0186	0.0151	0.0088	187	23	
47	799	0.32453039288520813	708	3.448745012283325	799.0000	662.0000	118.0000	285.0000	911.0000	584.0000	347.0000	707.0000	685.0000	65.0000	0.3245	0.0929	0.0497	0.0386	0.0350	0.0225	0.0212	0.0185	0.0171	0.0157	85	23	
48	662	0.5570389032363892	708	1.9484037160873413	662.0000	590.0000	426.0000	390.0000	842.0000	869.0000	840.0000	358.0000	799.0000	467.0000	0.5570	0.1783	0.0419	0.0393	0.0243	0.0116	0.0098	0.0093	0.0090	0.0070	208	24	
49	104	0.41051411628723145	708	1.8183255195617676	104.0000	98.0000	584.0000	799.0000	306.0000	91.0000	662.0000	840.0000	86.0000	412.0000	0.4105	0.3394	0.0774	0.0400	0.0156	0.0148	0.0126	0.0093	0.0073	0.0039	53	24	
50	246	0.27880769968032837	708	2.67891263961792	246.0000	259.0000	86.0000	479.0000	306.0000	376.0000	390.0000	799.0000	91.0000	199.0000	0.2788	0.2094	0.1410	0.0322	0.0278	0.0272	0.0266	0.0242	0.0211	0.0211	156	25	
51	259	0.1715029925107956	708	2.8072454929351807	259.0000	799.0000	446.0000	86.0000	888.0000	118.0000	306.0000	190.0000	64.0000	91.0000	0.1715	0.1713	0.1638	0.1390	0.0534	0.0522	0.0242	0.0157	0.0153	0.0135	78	25	
52	717	0.35612305998802185	708	3.0079288482666016	717.0000	423.0000	762.0000	535.0000	709.0000	550.0000	662.0000	577.0000	47.0000	761.0000	0.3561	0.1103	0.0591	0.0590	0.0421	0.0362	0.0306	0.0300	0.0242	0.0186	557	26	
53	347	0.2638723850250244	708	3.6998817920684814	347.0000	489.0000	259.0000	534.0000	584.0000	717.0000	799.0000	577.0000	118.0000	201.0000	0.2639	0.1446	0.0531	0.0326	0.0269	0.0268	0.0203	0.0198	0.0185	0.0141	259	26	
54	762	0.5394780039787292	708	2.096255302429199	762.0000	246.0000	98.0000	535.0000	423.0000	259.0000	487.0000	662.0000	118.0000	799.0000	0.5395	0.2042	0.0498	0.0206	0.0164	0.0125	0.0089	0.0069	0.0052	0.0050	276	27	
55	98	0.4439040720462799	708	2.0889394283294678	98.0000	259.0000	104.0000	487.0000	589.0000	853.0000	118.0000	489.0000	246.0000	662.0000	0.4439	0.2383	0.1048	0.0313	0.0199	0.0196	0.0194	0.0088	0.0064	0.0063	139	27	
