	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	235	0.4448905885219574	712	2.352724552154541	235.0000	142.0000	160.0000	789.0000	515.0000	724.0000	782.0000	264.0000	205.0000	468.0000	0.4449	0.0934	0.0884	0.0777	0.0775	0.0316	0.0175	0.0173	0.0122	0.0121	16	0	
1	789	0.8576428294181824	712	0.6620907187461853	789.0000	471.0000	468.0000	627.0000	919.0000	644.0000	234.0000	472.0000	720.0000	782.0000	0.8576	0.0907	0.0089	0.0077	0.0055	0.0043	0.0036	0.0024	0.0023	0.0021	19	1	
2	471	0.512752115726471	712	1.6183817386627197	471.0000	789.0000	837.0000	712.0000	720.0000	235.0000	627.0000	859.0000	737.0000	778.0000	0.5128	0.2121	0.1221	0.0430	0.0369	0.0113	0.0101	0.0073	0.0052	0.0048	3	2	
3	471	0.90609210729599	712	0.5657958984375	471.0000	627.0000	789.0000	837.0000	712.0000	235.0000	508.0000	720.0000	778.0000	324.0000	0.9061	0.0279	0.0161	0.0136	0.0049	0.0046	0.0034	0.0024	0.0016	0.0015	4	3	
4	789	0.5014427304267883	712	1.548537254333496	789.0000	235.0000	627.0000	720.0000	837.0000	468.0000	471.0000	712.0000	142.0000	782.0000	0.5014	0.3104	0.0503	0.0319	0.0268	0.0100	0.0090	0.0086	0.0062	0.0051	7	4	
5	837	0.8610532283782959	712	0.6063721179962158	837.0000	472.0000	471.0000	712.0000	0.0000	324.0000	720.0000	854.0000	310.0000	859.0000	0.8611	0.0713	0.0386	0.0143	0.0034	0.0020	0.0019	0.0012	0.0011	0.0009	3	5	
6	789	0.7236473560333252	712	1.2864785194396973	789.0000	627.0000	471.0000	0.0000	942.0000	310.0000	324.0000	644.0000	235.0000	720.0000	0.7236	0.1218	0.0213	0.0193	0.0185	0.0166	0.0066	0.0063	0.0056	0.0052	14	6	
7	471	0.517801821231842	712	1.4507544040679932	471.0000	837.0000	789.0000	919.0000	205.0000	472.0000	515.0000	234.0000	468.0000	720.0000	0.5178	0.3067	0.0481	0.0383	0.0169	0.0142	0.0109	0.0066	0.0065	0.0048	19	7	
8	235	0.6827580332756042	712	1.2353527545928955	235.0000	789.0000	234.0000	757.0000	712.0000	720.0000	627.0000	468.0000	942.0000	782.0000	0.6828	0.1594	0.0354	0.0349	0.0219	0.0150	0.0123	0.0071	0.0055	0.0054	4	8	
9	471	0.395920991897583	712	1.8430118560791016	471.0000	837.0000	789.0000	942.0000	720.0000	627.0000	468.0000	626.0000	757.0000	472.0000	0.3959	0.2335	0.1734	0.0341	0.0315	0.0275	0.0194	0.0173	0.0169	0.0148	10	9	
