	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	226	0.11448743939399719	713	5.434589385986328	226.0000	285.0000	483.0000	47.0000	143.0000	453.0000	358.0000	141.0000	364.0000	643.0000	0.1145	0.0373	0.0236	0.0198	0.0184	0.0176	0.0168	0.0131	0.0112	0.0111	71	0	
1	47	0.38412389159202576	713	2.8586585521698	47.0000	735.0000	301.0000	102.0000	395.0000	884.0000	358.0000	840.0000	584.0000	216.0000	0.3841	0.2688	0.0210	0.0146	0.0142	0.0141	0.0130	0.0119	0.0097	0.0069	73	0	
2	141	0.284660667181015	713	3.5494911670684814	141.0000	304.0000	494.0000	226.0000	662.0000	47.0000	507.0000	681.0000	377.0000	713.0000	0.2847	0.1718	0.0581	0.0385	0.0319	0.0253	0.0165	0.0149	0.0128	0.0119	9	1	
3	98	0.2621380388736725	713	2.802584171295166	98.0000	377.0000	421.0000	507.0000	358.0000	47.0000	141.0000	713.0000	681.0000	884.0000	0.2621	0.2002	0.1828	0.0426	0.0363	0.0254	0.0168	0.0155	0.0145	0.0137	7	1	
4	226	0.1904880553483963	713	4.608147621154785	226.0000	273.0000	141.0000	477.0000	468.0000	441.0000	503.0000	165.0000	446.0000	219.0000	0.1905	0.0361	0.0337	0.0326	0.0300	0.0277	0.0243	0.0186	0.0173	0.0150	16	2	
5	377	0.31549111008644104	713	2.931687831878662	377.0000	47.0000	713.0000	240.0000	180.0000	902.0000	666.0000	545.0000	512.0000	143.0000	0.3155	0.2057	0.1327	0.0238	0.0174	0.0167	0.0158	0.0152	0.0116	0.0092	2	2	
6	137	0.19013284146785736	713	3.901824712753296	137.0000	141.0000	503.0000	681.0000	507.0000	104.0000	165.0000	662.0000	489.0000	377.0000	0.1901	0.0876	0.0703	0.0583	0.0547	0.0361	0.0304	0.0264	0.0247	0.0219	14	3	
7	377	0.8124415874481201	713	1.249063491821289	377.0000	747.0000	285.0000	760.0000	884.0000	706.0000	190.0000	545.0000	160.0000	735.0000	0.8124	0.0299	0.0126	0.0107	0.0095	0.0086	0.0062	0.0061	0.0058	0.0046	30	3	
8	141	0.4721526801586151	713	2.8520126342773438	141.0000	226.0000	421.0000	489.0000	853.0000	662.0000	3.0000	96.0000	60.0000	468.0000	0.4722	0.1104	0.0345	0.0238	0.0236	0.0217	0.0169	0.0141	0.0120	0.0112	10	4	
9	645	0.13209058344364166	713	3.5941967964172363	645.0000	377.0000	47.0000	717.0000	395.0000	421.0000	884.0000	196.0000	577.0000	842.0000	0.1321	0.1161	0.0938	0.0888	0.0802	0.0649	0.0346	0.0231	0.0206	0.0170	16	4	
10	141	0.3375757038593292	713	2.8069491386413574	141.0000	713.0000	662.0000	142.0000	545.0000	830.0000	468.0000	219.0000	104.0000	477.0000	0.3376	0.2514	0.0498	0.0410	0.0263	0.0195	0.0160	0.0137	0.0120	0.0116	1	5	
11	713	0.3486737906932831	713	2.7183170318603516	713.0000	377.0000	395.0000	142.0000	902.0000	206.0000	547.0000	47.0000	587.0000	577.0000	0.3487	0.2836	0.0355	0.0256	0.0215	0.0128	0.0115	0.0109	0.0107	0.0092	0	5	
12	141	0.9324817657470703	713	0.3410574197769165	141.0000	713.0000	143.0000	75.0000	811.0000	507.0000	226.0000	82.0000	377.0000	207.0000	0.9325	0.0497	0.0046	0.0039	0.0022	0.0007	0.0006	0.0004	0.0004	0.0003	1	6	
13	713	0.9201914668083191	713	0.31472212076187134	713.0000	377.0000	196.0000	141.0000	507.0000	206.0000	432.0000	143.0000	92.0000	912.0000	0.9202	0.0749	0.0005	0.0005	0.0005	0.0004	0.0003	0.0003	0.0002	0.0002	0	6	
14	141	0.2971510887145996	713	3.412724018096924	141.0000	713.0000	662.0000	625.0000	370.0000	269.0000	137.0000	201.0000	468.0000	460.0000	0.2972	0.2138	0.0390	0.0275	0.0173	0.0143	0.0134	0.0122	0.0113	0.0097	1	7	
15	713	0.9405154585838318	713	0.43187618255615234	713.0000	377.0000	681.0000	507.0000	92.0000	715.0000	395.0000	773.0000	196.0000	769.0000	0.9405	0.0153	0.0054	0.0053	0.0044	0.0027	0.0019	0.0019	0.0012	0.0011	0	7	
16	713	0.4179597795009613	713	2.408435344696045	713.0000	141.0000	161.0000	137.0000	755.0000	681.0000	662.0000	468.0000	180.0000	226.0000	0.4180	0.1735	0.0793	0.0678	0.0276	0.0201	0.0187	0.0183	0.0176	0.0149	0	8	
17	713	0.9330359697341919	713	0.31094005703926086	713.0000	377.0000	180.0000	910.0000	507.0000	902.0000	905.0000	773.0000	612.0000	53.0000	0.9330	0.0532	0.0071	0.0017	0.0007	0.0006	0.0003	0.0003	0.0002	0.0002	0	8	
18	713	0.21055206656455994	713	3.3978028297424316	713.0000	141.0000	888.0000	468.0000	721.0000	507.0000	625.0000	476.0000	377.0000	143.0000	0.2106	0.1962	0.0999	0.0551	0.0491	0.0483	0.0196	0.0132	0.0128	0.0117	0	9	
19	377	0.8777023553848267	713	0.48823416233062744	377.0000	713.0000	507.0000	760.0000	910.0000	888.0000	163.0000	948.0000	206.0000	623.0000	0.8777	0.0929	0.0191	0.0024	0.0020	0.0013	0.0005	0.0005	0.0004	0.0002	1	9	
20	507	0.2978115379810333	713	3.1861729621887207	507.0000	468.0000	713.0000	141.0000	889.0000	626.0000	183.0000	510.0000	180.0000	662.0000	0.2978	0.2035	0.0590	0.0528	0.0386	0.0289	0.0194	0.0172	0.0104	0.0098	2	10	
21	377	0.4301234483718872	713	2.493483781814575	377.0000	715.0000	713.0000	332.0000	902.0000	507.0000	235.0000	142.0000	769.0000	163.0000	0.4301	0.1080	0.0851	0.0638	0.0428	0.0363	0.0326	0.0243	0.0192	0.0124	2	10	
