	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	161	0.5814829468727112	715	1.7079401016235352	161.0000	845.0000	715.0000	864.0000	435.0000	858.0000	800.0000	815.0000	262.0000	537.0000	0.5815	0.1611	0.0891	0.0233	0.0232	0.0126	0.0122	0.0092	0.0089	0.0083	2	0	
1	161	0.7411792278289795	715	1.3436188697814941	161.0000	143.0000	56.0000	156.0000	227.0000	902.0000	356.0000	895.0000	62.0000	750.0000	0.7412	0.0607	0.0405	0.0263	0.0180	0.0177	0.0114	0.0107	0.0064	0.0062	57	0	
2	715	0.8701483011245728	715	0.5963869690895081	715.0000	845.0000	258.0000	616.0000	54.0000	912.0000	864.0000	166.0000	815.0000	56.0000	0.8701	0.0967	0.0024	0.0023	0.0022	0.0018	0.0017	0.0015	0.0013	0.0012	0	1	
3	161	0.21179211139678955	715	3.0552163124084473	161.0000	143.0000	56.0000	356.0000	845.0000	156.0000	637.0000	750.0000	542.0000	3.0000	0.2118	0.1611	0.1210	0.0982	0.0940	0.0316	0.0296	0.0287	0.0166	0.0112	35	1	
4	258	0.3477037847042084	715	1.8101365566253662	258.0000	715.0000	845.0000	537.0000	41.0000	815.0000	123.0000	616.0000	641.0000	435.0000	0.3477	0.3265	0.1668	0.0289	0.0254	0.0243	0.0163	0.0088	0.0068	0.0057	1	2	
5	845	0.4235398769378662	715	2.771526575088501	845.0000	715.0000	243.0000	140.0000	143.0000	156.0000	356.0000	8.0000	484.0000	148.0000	0.4235	0.0729	0.0662	0.0525	0.0350	0.0316	0.0286	0.0282	0.0248	0.0244	1	2	
6	715	0.9058587551116943	715	0.5608463287353516	715.0000	845.0000	161.0000	321.0000	815.0000	41.0000	667.0000	537.0000	616.0000	258.0000	0.9059	0.0332	0.0116	0.0107	0.0057	0.0036	0.0033	0.0033	0.0030	0.0022	0	3	
7	484	0.17099973559379578	715	3.2025487422943115	484.0000	8.0000	895.0000	140.0000	610.0000	923.0000	243.0000	356.0000	228.0000	714.0000	0.1710	0.1589	0.0912	0.0906	0.0649	0.0644	0.0449	0.0306	0.0233	0.0197	20	3	
8	715	0.9383660554885864	715	0.257059782743454	715.0000	845.0000	161.0000	123.0000	790.0000	262.0000	750.0000	321.0000	258.0000	864.0000	0.9384	0.0577	0.0014	0.0008	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0	4	
9	637	0.39007529616355896	715	2.608684778213501	637.0000	56.0000	715.0000	790.0000	35.0000	750.0000	767.0000	533.0000	161.0000	156.0000	0.3901	0.1147	0.0715	0.0621	0.0392	0.0367	0.0344	0.0266	0.0242	0.0225	2	4	
10	845	0.37428805232048035	715	2.355700731277466	845.0000	912.0000	364.0000	228.0000	715.0000	497.0000	641.0000	258.0000	161.0000	489.0000	0.3743	0.2671	0.0684	0.0516	0.0392	0.0203	0.0154	0.0099	0.0098	0.0093	4	5	
11	228	0.5236595869064331	715	1.9187579154968262	228.0000	319.0000	651.0000	279.0000	484.0000	845.0000	928.0000	441.0000	8.0000	923.0000	0.5237	0.2104	0.0588	0.0478	0.0177	0.0143	0.0140	0.0081	0.0073	0.0065	259	5	
12	715	0.505718469619751	715	2.0062460899353027	715.0000	258.0000	845.0000	123.0000	262.0000	667.0000	161.0000	54.0000	56.0000	616.0000	0.5057	0.1669	0.0651	0.0612	0.0424	0.0244	0.0182	0.0162	0.0141	0.0102	0	6	
13	845	0.33747369050979614	715	2.192070245742798	845.0000	56.0000	923.0000	8.0000	484.0000	905.0000	610.0000	35.0000	637.0000	140.0000	0.3375	0.2607	0.1065	0.0732	0.0636	0.0147	0.0146	0.0125	0.0109	0.0106	22	6	
14	715	0.8650144934654236	715	0.8544995784759521	715.0000	262.0000	258.0000	161.0000	845.0000	501.0000	637.0000	489.0000	74.0000	815.0000	0.8650	0.0305	0.0146	0.0136	0.0088	0.0074	0.0046	0.0041	0.0039	0.0026	0	7	
15	715	0.48408079147338867	715	2.266200542449951	715.0000	56.0000	262.0000	790.0000	750.0000	717.0000	637.0000	845.0000	35.0000	140.0000	0.4841	0.1181	0.0781	0.0375	0.0338	0.0324	0.0304	0.0195	0.0178	0.0149	0	7	
16	715	0.6538598537445068	715	0.9378020167350769	715.0000	845.0000	537.0000	667.0000	912.0000	637.0000	258.0000	161.0000	364.0000	489.0000	0.6539	0.2979	0.0077	0.0063	0.0047	0.0045	0.0034	0.0027	0.0025	0.0021	0	8	
17	845	0.45830437541007996	715	1.5100301504135132	845.0000	715.0000	637.0000	484.0000	156.0000	855.0000	790.0000	243.0000	207.0000	714.0000	0.4583	0.3306	0.1033	0.0203	0.0166	0.0112	0.0105	0.0098	0.0050	0.0030	1	8	
18	715	0.9378404021263123	715	0.4680354595184326	715.0000	566.0000	667.0000	228.0000	364.0000	747.0000	790.0000	537.0000	845.0000	224.0000	0.9378	0.0119	0.0054	0.0047	0.0035	0.0028	0.0022	0.0018	0.0017	0.0017	0	9	
19	715	0.9777684807777405	715	0.13002775609493256	715.0000	845.0000	790.0000	637.0000	140.0000	356.0000	533.0000	484.0000	262.0000	542.0000	0.9778	0.0168	0.0020	0.0019	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0	9	
20	715	0.9534732699394226	715	0.3311005234718323	715.0000	845.0000	641.0000	258.0000	489.0000	41.0000	790.0000	626.0000	667.0000	228.0000	0.9535	0.0147	0.0044	0.0028	0.0024	0.0022	0.0017	0.0014	0.0012	0.0012	0	10	
21	715	0.750328779220581	715	1.0952258110046387	715.0000	845.0000	533.0000	637.0000	56.0000	140.0000	161.0000	35.0000	790.0000	542.0000	0.7503	0.1028	0.0366	0.0308	0.0193	0.0113	0.0074	0.0072	0.0066	0.0045	0	10	
22	715	0.7547317743301392	715	0.8657703399658203	715.0000	258.0000	845.0000	537.0000	616.0000	123.0000	667.0000	571.0000	360.0000	193.0000	0.7547	0.1228	0.0971	0.0049	0.0047	0.0046	0.0010	0.0009	0.0007	0.0007	0	11	
23	484	0.42512327432632446	715	2.1496992111206055	484.0000	8.0000	715.0000	243.0000	140.0000	845.0000	714.0000	356.0000	542.0000	156.0000	0.4251	0.1736	0.1515	0.0459	0.0458	0.0196	0.0168	0.0118	0.0071	0.0068	2	11	
24	715	0.9938362240791321	715	0.05864762142300606	715.0000	845.0000	123.0000	258.0000	364.0000	790.0000	161.0000	616.0000	342.0000	177.0000	0.9938	0.0010	0.0009	0.0005	0.0005	0.0005	0.0003	0.0002	0.0001	0.0001	0	12	
25	845	0.44188299775123596	715	1.744842290878296	845.0000	715.0000	8.0000	166.0000	637.0000	484.0000	262.0000	889.0000	855.0000	714.0000	0.4419	0.3225	0.0806	0.0243	0.0221	0.0148	0.0143	0.0088	0.0058	0.0054	1	12	
26	715	0.9959063529968262	715	0.037960756570100784	715.0000	790.0000	637.0000	161.0000	845.0000	750.0000	258.0000	667.0000	302.0000	533.0000	0.9959	0.0013	0.0005	0.0005	0.0003	0.0002	0.0002	0.0001	0.0001	0.0001	0	13	
27	790	0.3367372751235962	715	1.9349936246871948	790.0000	715.0000	533.0000	262.0000	637.0000	140.0000	356.0000	608.0000	855.0000	216.0000	0.3367	0.2980	0.1647	0.0387	0.0300	0.0296	0.0134	0.0115	0.0110	0.0085	1	13	
28	715	0.9962279796600342	715	0.03134281188249588	715.0000	790.0000	845.0000	637.0000	262.0000	216.0000	258.0000	717.0000	667.0000	161.0000	0.9962	0.0022	0.0004	0.0003	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0	14	
29	715	0.8379952907562256	715	0.5780454874038696	715.0000	845.0000	262.0000	637.0000	140.0000	207.0000	790.0000	35.0000	183.0000	484.0000	0.8380	0.1357	0.0085	0.0077	0.0013	0.0012	0.0012	0.0008	0.0006	0.0005	0	14	
30	715	0.8148276805877686	715	1.0695561170578003	715.0000	161.0000	845.0000	258.0000	750.0000	641.0000	626.0000	637.0000	717.0000	262.0000	0.8148	0.0460	0.0330	0.0177	0.0124	0.0077	0.0055	0.0038	0.0036	0.0031	0	15	
31	8	0.7589325904846191	715	0.9973304867744446	8.0000	319.0000	484.0000	845.0000	923.0000	243.0000	566.0000	650.0000	228.0000	32.0000	0.7589	0.0778	0.0768	0.0527	0.0065	0.0030	0.0022	0.0015	0.0015	0.0014	36	15	
32	715	0.9745371341705322	715	0.16457250714302063	715.0000	845.0000	258.0000	161.0000	616.0000	364.0000	790.0000	667.0000	123.0000	858.0000	0.9745	0.0133	0.0039	0.0026	0.0020	0.0015	0.0002	0.0002	0.0001	0.0001	0	16	
33	715	0.9213753938674927	715	0.4805593490600586	715.0000	533.0000	845.0000	140.0000	542.0000	637.0000	262.0000	35.0000	484.0000	632.0000	0.9214	0.0239	0.0111	0.0097	0.0073	0.0045	0.0033	0.0029	0.0021	0.0016	0	16	
34	715	0.9361100792884827	715	0.44813817739486694	715.0000	123.0000	6.0000	616.0000	258.0000	332.0000	166.0000	845.0000	50.0000	664.0000	0.9361	0.0249	0.0060	0.0020	0.0018	0.0017	0.0017	0.0014	0.0011	0.0010	0	17	
35	715	0.6546556353569031	715	1.4102215766906738	715.0000	356.0000	542.0000	56.0000	714.0000	767.0000	140.0000	533.0000	143.0000	882.0000	0.6547	0.1142	0.0642	0.0491	0.0232	0.0224	0.0172	0.0135	0.0072	0.0053	0	17	
36	715	0.5672215819358826	715	1.0731487274169922	715.0000	845.0000	123.0000	637.0000	258.0000	406.0000	213.0000	616.0000	855.0000	342.0000	0.5672	0.3686	0.0113	0.0104	0.0072	0.0033	0.0033	0.0024	0.0023	0.0017	0	18	
37	637	0.15191352367401123	715	3.2005386352539062	637.0000	542.0000	356.0000	715.0000	35.0000	156.0000	140.0000	714.0000	767.0000	533.0000	0.1519	0.0887	0.0844	0.0832	0.0790	0.0640	0.0556	0.0404	0.0396	0.0388	3	18	
38	715	0.922871470451355	715	0.30118557810783386	715.0000	161.0000	845.0000	912.0000	790.0000	3.0000	750.0000	864.0000	262.0000	637.0000	0.9229	0.0727	0.0012	0.0007	0.0004	0.0003	0.0002	0.0002	0.0002	0.0001	0	19	
39	279	0.25149956345558167	715	3.478827476501465	279.0000	637.0000	864.0000	8.0000	845.0000	923.0000	484.0000	170.0000	169.0000	460.0000	0.2515	0.1127	0.0857	0.0545	0.0516	0.0401	0.0295	0.0183	0.0145	0.0137	43	19	
40	845	0.8013520836830139	715	0.8244941234588623	845.0000	715.0000	258.0000	161.0000	637.0000	667.0000	397.0000	750.0000	489.0000	616.0000	0.8014	0.1293	0.0136	0.0134	0.0127	0.0052	0.0028	0.0026	0.0020	0.0017	1	20	
41	845	0.42338332533836365	715	2.8756539821624756	845.0000	8.0000	183.0000	750.0000	637.0000	140.0000	35.0000	96.0000	855.0000	279.0000	0.4234	0.0964	0.0734	0.0313	0.0306	0.0257	0.0166	0.0150	0.0132	0.0126	28	20	
