	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	884	0.5415728092193604	716	2.705648422241211	884.0000	900.0000	716.0000	646.0000	670.0000	899.0000	551.0000	483.0000	584.0000	692.0000	0.5416	0.0985	0.0406	0.0146	0.0136	0.0117	0.0076	0.0070	0.0066	0.0064	2	0	
1	161	0.06902287900447845	716	5.242709159851074	161.0000	637.0000	216.0000	900.0000	47.0000	301.0000	395.0000	470.0000	421.0000	645.0000	0.0690	0.0516	0.0367	0.0341	0.0292	0.0282	0.0271	0.0248	0.0179	0.0177	13	0	
2	909	0.4518553614616394	716	2.8107919692993164	909.0000	924.0000	228.0000	719.0000	899.0000	483.0000	279.0000	133.0000	347.0000	643.0000	0.4519	0.0697	0.0553	0.0474	0.0332	0.0282	0.0260	0.0232	0.0201	0.0152	17	1	
3	716	0.3083483576774597	716	3.9899327754974365	716.0000	483.0000	196.0000	55.0000	703.0000	924.0000	787.0000	362.0000	797.0000	131.0000	0.3083	0.0792	0.0531	0.0263	0.0217	0.0196	0.0176	0.0172	0.0167	0.0126	0	1	
4	23	0.5177834630012512	716	2.4420313835144043	23.0000	162.0000	457.0000	703.0000	507.0000	547.0000	924.0000	277.0000	34.0000	440.0000	0.5178	0.0861	0.0478	0.0402	0.0402	0.0287	0.0259	0.0188	0.0102	0.0093	36	2	
5	483	0.24551177024841309	716	3.881526470184326	483.0000	511.0000	362.0000	703.0000	23.0000	797.0000	551.0000	243.0000	867.0000	34.0000	0.2455	0.0864	0.0661	0.0452	0.0425	0.0387	0.0344	0.0165	0.0161	0.0137	20	2	
6	55	0.13755255937576294	716	3.175022840499878	55.0000	194.0000	132.0000	710.0000	23.0000	361.0000	716.0000	797.0000	884.0000	362.0000	0.1376	0.1278	0.1084	0.0664	0.0611	0.0611	0.0600	0.0589	0.0460	0.0279	6	3	
7	483	0.2069641500711441	716	3.8072052001953125	483.0000	544.0000	395.0000	716.0000	925.0000	679.0000	421.0000	797.0000	510.0000	909.0000	0.2070	0.1283	0.0976	0.0735	0.0339	0.0225	0.0206	0.0170	0.0159	0.0118	3	3	
8	719	0.19638508558273315	716	3.3982436656951904	719.0000	748.0000	924.0000	285.0000	551.0000	787.0000	23.0000	528.0000	162.0000	543.0000	0.1964	0.1844	0.0820	0.0508	0.0440	0.0422	0.0398	0.0230	0.0197	0.0194	14	4	
9	44	0.12739016115665436	716	4.283607006072998	44.0000	551.0000	681.0000	362.0000	787.0000	673.0000	23.0000	369.0000	509.0000	565.0000	0.1274	0.0936	0.0578	0.0569	0.0398	0.0396	0.0279	0.0214	0.0200	0.0199	15	4	
10	194	0.5259207487106323	716	1.3660242557525635	194.0000	23.0000	135.0000	797.0000	716.0000	884.0000	403.0000	171.0000	507.0000	196.0000	0.5259	0.3335	0.0397	0.0274	0.0136	0.0090	0.0077	0.0053	0.0053	0.0028	4	5	
11	510	0.13203878700733185	716	3.9475691318511963	510.0000	716.0000	681.0000	44.0000	403.0000	507.0000	312.0000	82.0000	171.0000	645.0000	0.1320	0.0829	0.0807	0.0793	0.0549	0.0392	0.0324	0.0216	0.0214	0.0205	1	5	
12	924	0.22228655219078064	716	2.8151440620422363	924.0000	162.0000	285.0000	191.0000	194.0000	55.0000	23.0000	716.0000	837.0000	507.0000	0.2223	0.2121	0.1535	0.0798	0.0363	0.0244	0.0191	0.0172	0.0166	0.0162	7	6	
13	716	0.19336427748203278	716	4.034726142883301	716.0000	797.0000	551.0000	483.0000	925.0000	138.0000	285.0000	38.0000	787.0000	44.0000	0.1934	0.1007	0.0892	0.0532	0.0224	0.0220	0.0210	0.0182	0.0177	0.0154	0	6	
14	23	0.4725700616836548	716	2.288468837738037	23.0000	551.0000	716.0000	507.0000	55.0000	358.0000	135.0000	710.0000	162.0000	194.0000	0.4726	0.1847	0.0515	0.0486	0.0351	0.0130	0.0129	0.0108	0.0104	0.0103	2	7	
15	716	0.3588067293167114	716	3.208090305328369	716.0000	138.0000	483.0000	362.0000	679.0000	55.0000	395.0000	171.0000	797.0000	421.0000	0.3588	0.0983	0.0639	0.0634	0.0616	0.0332	0.0209	0.0166	0.0148	0.0128	0	7	
