	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	38	0.13170117139816284	721	3.566124200820923	38.0000	923.0000	483.0000	340.0000	547.0000	282.0000	8.0000	442.0000	186.0000	319.0000	0.1317	0.1198	0.1078	0.0963	0.0755	0.0548	0.0390	0.0389	0.0215	0.0194	521	0	
1	909	0.5210301876068115	721	2.1163330078125	909.0000	483.0000	340.0000	583.0000	63.0000	319.0000	71.0000	282.0000	8.0000	651.0000	0.5210	0.1455	0.0958	0.0507	0.0241	0.0133	0.0116	0.0081	0.0058	0.0055	725	0	
2	340	0.14822420477867126	721	3.4445643424987793	340.0000	483.0000	442.0000	282.0000	923.0000	319.0000	8.0000	868.0000	909.0000	441.0000	0.1482	0.1410	0.0922	0.0766	0.0733	0.0526	0.0521	0.0216	0.0212	0.0196	687	0	
3	340	0.34709739685058594	721	2.492429733276367	340.0000	909.0000	483.0000	8.0000	319.0000	583.0000	441.0000	923.0000	282.0000	453.0000	0.3471	0.1795	0.1515	0.0621	0.0351	0.0306	0.0199	0.0137	0.0136	0.0126	781	0	
4	166	0.11167219281196594	721	4.385032653808594	166.0000	552.0000	282.0000	703.0000	540.0000	492.0000	776.0000	243.0000	893.0000	551.0000	0.1117	0.0627	0.0579	0.0523	0.0364	0.0338	0.0336	0.0309	0.0271	0.0265	49	1	
5	287	0.6452817916870117	721	2.499544143676758	287.0000	362.0000	583.0000	37.0000	716.0000	719.0000	597.0000	675.0000	347.0000	489.0000	0.6453	0.0178	0.0159	0.0144	0.0127	0.0121	0.0102	0.0100	0.0071	0.0065	132	1	
6	551	0.10481163114309311	721	4.373640537261963	551.0000	540.0000	34.0000	157.0000	703.0000	716.0000	925.0000	797.0000	552.0000	131.0000	0.1048	0.0994	0.0452	0.0452	0.0391	0.0326	0.0305	0.0281	0.0246	0.0243	64	1	
7	716	0.09721966087818146	721	4.676691055297852	716.0000	583.0000	489.0000	222.0000	361.0000	719.0000	362.0000	672.0000	819.0000	203.0000	0.0972	0.0965	0.0858	0.0354	0.0266	0.0192	0.0190	0.0161	0.0158	0.0156	275	1	
8	342	0.18136534094810486	721	3.936654567718506	342.0000	243.0000	166.0000	358.0000	551.0000	542.0000	767.0000	483.0000	178.0000	191.0000	0.1814	0.0774	0.0692	0.0604	0.0556	0.0287	0.0285	0.0232	0.0232	0.0184	158	2	
9	287	0.24084803462028503	721	4.062962532043457	287.0000	899.0000	909.0000	104.0000	583.0000	719.0000	854.0000	375.0000	551.0000	422.0000	0.2408	0.1162	0.0276	0.0253	0.0251	0.0222	0.0208	0.0192	0.0159	0.0154	314	2	
10	358	0.07187239825725555	721	4.28577184677124	358.0000	899.0000	547.0000	483.0000	421.0000	551.0000	617.0000	186.0000	178.0000	38.0000	0.0719	0.0668	0.0595	0.0513	0.0486	0.0438	0.0433	0.0397	0.0282	0.0254	290	2	
11	899	0.10214261710643768	721	4.347553253173828	899.0000	830.0000	583.0000	191.0000	287.0000	49.0000	719.0000	924.0000	811.0000	819.0000	0.1021	0.0712	0.0650	0.0518	0.0421	0.0400	0.0326	0.0317	0.0299	0.0267	565	2	
12	483	0.2714764475822449	721	3.786491870880127	483.0000	282.0000	538.0000	440.0000	441.0000	853.0000	651.0000	787.0000	511.0000	269.0000	0.2715	0.0765	0.0762	0.0269	0.0233	0.0223	0.0221	0.0202	0.0191	0.0178	202	3	
