	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	282	0.1412161886692047	732	4.436915874481201	282.0000	576.0000	819.0000	811.0000	876.0000	232.0000	347.0000	0.0000	808.0000	873.0000	0.1412	0.1133	0.0534	0.0372	0.0240	0.0237	0.0218	0.0202	0.0195	0.0181	254	0	
1	364	0.3298203945159912	732	4.039752960205078	364.0000	819.0000	338.0000	282.0000	605.0000	489.0000	811.0000	453.0000	466.0000	343.0000	0.3298	0.0687	0.0271	0.0263	0.0204	0.0194	0.0165	0.0155	0.0147	0.0098	307	0	
2	215	0.3421996831893921	732	3.1638708114624023	215.0000	811.0000	826.0000	57.0000	819.0000	59.0000	348.0000	576.0000	874.0000	0.0000	0.3422	0.0886	0.0671	0.0578	0.0490	0.0376	0.0332	0.0191	0.0190	0.0149	97	1	
3	215	0.2101408988237381	732	3.857473373413086	215.0000	453.0000	329.0000	153.0000	811.0000	167.0000	364.0000	449.0000	662.0000	759.0000	0.2101	0.0994	0.0541	0.0454	0.0429	0.0321	0.0265	0.0256	0.0245	0.0227	79	1	
4	59	0.34075868129730225	732	2.3134937286376953	59.0000	874.0000	826.0000	57.0000	873.0000	811.0000	215.0000	310.0000	576.0000	528.0000	0.3408	0.2465	0.1415	0.0464	0.0336	0.0256	0.0143	0.0101	0.0093	0.0092	70	2	
5	844	0.13376666605472565	732	3.388441562652588	844.0000	819.0000	232.0000	808.0000	0.0000	153.0000	524.0000	215.0000	792.0000	759.0000	0.1338	0.1335	0.0813	0.0807	0.0630	0.0623	0.0416	0.0295	0.0292	0.0251	18	2	
6	348	0.24599923193454742	732	2.58827543258667	348.0000	874.0000	576.0000	282.0000	59.0000	854.0000	826.0000	57.0000	385.0000	452.0000	0.2460	0.1895	0.1178	0.1132	0.1012	0.0224	0.0188	0.0178	0.0170	0.0146	43	3	
7	232	0.1697836071252823	732	3.4308605194091797	232.0000	27.0000	772.0000	111.0000	819.0000	626.0000	421.0000	867.0000	282.0000	153.0000	0.1698	0.1082	0.0885	0.0795	0.0644	0.0466	0.0412	0.0308	0.0272	0.0240	10	3	
8	59	0.17581504583358765	732	3.368079662322998	59.0000	282.0000	348.0000	0.0000	819.0000	811.0000	826.0000	808.0000	744.0000	854.0000	0.1758	0.1621	0.0830	0.0726	0.0695	0.0331	0.0238	0.0214	0.0214	0.0207	56	4	
9	819	0.6801789999008179	732	1.212153673171997	819.0000	0.0000	232.0000	759.0000	153.0000	844.0000	626.0000	772.0000	282.0000	865.0000	0.6802	0.2136	0.0185	0.0079	0.0074	0.0063	0.0056	0.0044	0.0041	0.0039	15	4	
10	811	0.290600061416626	732	2.4251320362091064	811.0000	59.0000	874.0000	523.0000	57.0000	452.0000	282.0000	100.0000	348.0000	0.0000	0.2906	0.2689	0.1248	0.0402	0.0295	0.0249	0.0236	0.0207	0.0177	0.0163	37	5	
11	874	0.36641886830329895	732	1.9157637357711792	874.0000	282.0000	626.0000	819.0000	65.0000	732.0000	549.0000	792.0000	0.0000	809.0000	0.3664	0.3583	0.0603	0.0472	0.0277	0.0191	0.0173	0.0131	0.0096	0.0087	5	5	
12	854	0.8274660110473633	732	0.8773397207260132	854.0000	347.0000	874.0000	809.0000	682.0000	57.0000	576.0000	807.0000	326.0000	120.0000	0.8275	0.0897	0.0091	0.0088	0.0053	0.0050	0.0050	0.0044	0.0042	0.0037	20	6	
13	854	0.19525976479053497	732	3.3705649375915527	854.0000	133.0000	909.0000	787.0000	924.0000	170.0000	789.0000	837.0000	719.0000	818.0000	0.1953	0.1292	0.0955	0.0887	0.0640	0.0626	0.0409	0.0204	0.0169	0.0149	16	6	
14	811	0.6437152028083801	732	0.8808847665786743	811.0000	874.0000	59.0000	348.0000	826.0000	876.0000	100.0000	347.0000	746.0000	0.0000	0.6437	0.3212	0.0089	0.0035	0.0032	0.0024	0.0017	0.0012	0.0008	0.0008	57	7	
15	549	0.17480164766311646	732	3.3783373832702637	549.0000	0.0000	874.0000	732.0000	811.0000	759.0000	724.0000	819.0000	232.0000	792.0000	0.1748	0.1218	0.1083	0.0899	0.0592	0.0592	0.0471	0.0419	0.0246	0.0157	3	7	
16	59	0.4099568724632263	732	2.0481021404266357	59.0000	854.0000	748.0000	874.0000	811.0000	326.0000	347.0000	57.0000	310.0000	819.0000	0.4100	0.1480	0.1453	0.1225	0.0237	0.0211	0.0202	0.0152	0.0143	0.0117	61	8	
17	719	0.4716711938381195	732	2.1346616744995117	719.0000	540.0000	819.0000	111.0000	739.0000	642.0000	167.0000	0.0000	549.0000	440.0000	0.4717	0.2578	0.0248	0.0224	0.0201	0.0187	0.0142	0.0118	0.0110	0.0102	24	8	
18	854	0.321298211812973	732	2.4980878829956055	854.0000	59.0000	348.0000	746.0000	811.0000	524.0000	874.0000	282.0000	819.0000	523.0000	0.3213	0.1626	0.1120	0.0593	0.0589	0.0368	0.0356	0.0333	0.0238	0.0201	50	9	
19	421	0.24078908562660217	732	2.9967050552368164	421.0000	819.0000	626.0000	540.0000	483.0000	549.0000	837.0000	582.0000	724.0000	320.0000	0.2408	0.1414	0.1325	0.0794	0.0581	0.0337	0.0233	0.0228	0.0216	0.0192	11	9	
