	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	454	0.862952709197998	747	0.7181646823883057	454.0000	864.0000	170.0000	438.0000	845.0000	815.0000	228.0000	927.0000	4.0000	909.0000	0.8630	0.0501	0.0286	0.0191	0.0095	0.0028	0.0026	0.0016	0.0015	0.0015	66	0	
1	454	0.3811569809913635	747	1.8013525009155273	454.0000	864.0000	170.0000	438.0000	927.0000	815.0000	949.0000	641.0000	16.0000	83.0000	0.3812	0.2322	0.2179	0.0634	0.0202	0.0151	0.0093	0.0079	0.0052	0.0031	26	0	
2	454	0.6579620242118835	747	1.313298225402832	454.0000	170.0000	438.0000	864.0000	246.0000	657.0000	815.0000	641.0000	259.0000	735.0000	0.6580	0.1508	0.0749	0.0479	0.0093	0.0086	0.0073	0.0065	0.0051	0.0037	30	0	
3	438	0.8175914883613586	747	1.1013191938400269	438.0000	657.0000	170.0000	123.0000	815.0000	571.0000	864.0000	50.0000	258.0000	616.0000	0.8176	0.0267	0.0205	0.0185	0.0161	0.0120	0.0100	0.0057	0.0057	0.0044	25	1	
4	438	0.8789697885513306	747	0.7593331336975098	438.0000	537.0000	815.0000	747.0000	258.0000	571.0000	667.0000	735.0000	616.0000	170.0000	0.8790	0.0148	0.0133	0.0123	0.0107	0.0100	0.0077	0.0076	0.0053	0.0046	3	1	
5	438	0.6025997400283813	747	1.1507295370101929	438.0000	735.0000	170.0000	657.0000	258.0000	571.0000	815.0000	747.0000	332.0000	616.0000	0.6026	0.3013	0.0238	0.0191	0.0103	0.0084	0.0079	0.0048	0.0025	0.0020	7	1	
6	815	0.330174058675766	747	2.3263251781463623	815.0000	170.0000	438.0000	360.0000	664.0000	224.0000	864.0000	359.0000	193.0000	123.0000	0.3302	0.1726	0.1580	0.0555	0.0421	0.0379	0.0361	0.0202	0.0182	0.0152	47	2	
7	170	0.40090858936309814	747	1.694129467010498	170.0000	438.0000	815.0000	864.0000	537.0000	838.0000	193.0000	667.0000	735.0000	619.0000	0.4009	0.2964	0.1536	0.0425	0.0173	0.0156	0.0128	0.0115	0.0078	0.0053	23	2	
8	735	0.5259161591529846	747	1.3681354522705078	735.0000	657.0000	170.0000	438.0000	815.0000	667.0000	258.0000	224.0000	616.0000	459.0000	0.5259	0.1962	0.1404	0.1023	0.0144	0.0043	0.0036	0.0017	0.0016	0.0011	19	2	
9	815	0.3909473121166229	747	2.2722840309143066	815.0000	438.0000	454.0000	193.0000	123.0000	641.0000	50.0000	927.0000	864.0000	664.0000	0.3909	0.1602	0.1220	0.0425	0.0414	0.0387	0.0341	0.0199	0.0193	0.0155	61	3	
