	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	85	0.083090640604496	748	4.258584976196289	85.0000	57.0000	844.0000	528.0000	8.0000	748.0000	819.0000	217.0000	792.0000	520.0000	0.0831	0.0775	0.0640	0.0447	0.0374	0.0332	0.0289	0.0284	0.0283	0.0259	5	0	
1	819	0.13422544300556183	748	3.790027618408203	819.0000	808.0000	85.0000	811.0000	0.0000	844.0000	57.0000	401.0000	521.0000	524.0000	0.1342	0.1034	0.0710	0.0572	0.0543	0.0499	0.0366	0.0349	0.0324	0.0304	25	0	
2	844	0.10389678180217743	748	4.363588809967041	844.0000	241.0000	364.0000	819.0000	521.0000	808.0000	0.0000	232.0000	285.0000	532.0000	0.1039	0.0855	0.0759	0.0601	0.0493	0.0343	0.0325	0.0316	0.0239	0.0194	15	0	
3	8	0.38351500034332275	748	2.8105382919311523	8.0000	285.0000	241.0000	811.0000	57.0000	59.0000	808.0000	819.0000	524.0000	85.0000	0.3835	0.1929	0.0692	0.0496	0.0167	0.0150	0.0147	0.0132	0.0128	0.0088	17	0	
4	8	0.1700112521648407	748	4.483591556549072	8.0000	522.0000	0.0000	326.0000	297.0000	45.0000	472.0000	807.0000	626.0000	811.0000	0.1700	0.0395	0.0377	0.0325	0.0290	0.0278	0.0272	0.0257	0.0225	0.0186	428	0	
5	673	0.27462297677993774	748	2.430394172668457	673.0000	483.0000	811.0000	521.0000	191.0000	285.0000	282.0000	924.0000	364.0000	509.0000	0.2746	0.2048	0.1831	0.0732	0.0558	0.0373	0.0213	0.0164	0.0162	0.0145	29	0	
6	191	0.4372935891151428	748	2.8757457733154297	191.0000	282.0000	811.0000	522.0000	854.0000	285.0000	868.0000	320.0000	521.0000	166.0000	0.4373	0.1449	0.0806	0.0201	0.0161	0.0143	0.0116	0.0112	0.0085	0.0078	54	0	
7	811	0.12005552649497986	748	4.917557716369629	811.0000	521.0000	808.0000	893.0000	626.0000	282.0000	285.0000	627.0000	543.0000	674.0000	0.1201	0.0711	0.0448	0.0393	0.0340	0.0242	0.0217	0.0177	0.0142	0.0124	405	0	
8	819	0.17252543568611145	748	4.398143291473389	819.0000	521.0000	808.0000	232.0000	0.0000	792.0000	670.0000	524.0000	241.0000	532.0000	0.1725	0.0619	0.0377	0.0360	0.0354	0.0296	0.0273	0.0216	0.0199	0.0199	21	0	
9	521	0.11772041767835617	748	4.784602165222168	521.0000	0.0000	47.0000	235.0000	532.0000	808.0000	423.0000	33.0000	707.0000	326.0000	0.1177	0.1137	0.0575	0.0340	0.0229	0.0211	0.0177	0.0150	0.0119	0.0118	359	0	
10	285	0.13020764291286469	748	4.698371887207031	285.0000	844.0000	893.0000	811.0000	706.0000	282.0000	797.0000	364.0000	544.0000	808.0000	0.1302	0.0767	0.0427	0.0328	0.0327	0.0314	0.0288	0.0244	0.0244	0.0204	487	0	
11	452	0.12600263953208923	748	3.68518328666687	452.0000	807.0000	0.0000	771.0000	85.0000	58.0000	744.0000	520.0000	523.0000	792.0000	0.1260	0.1094	0.0732	0.0693	0.0514	0.0418	0.0391	0.0327	0.0323	0.0295	37	0	
12	65	0.14832313358783722	748	4.219585418701172	65.0000	282.0000	807.0000	452.0000	191.0000	811.0000	523.0000	57.0000	85.0000	181.0000	0.1483	0.0958	0.0727	0.0408	0.0264	0.0253	0.0240	0.0229	0.0227	0.0221	44	0	
13	285	0.3259124457836151	748	2.7212562561035156	285.0000	191.0000	811.0000	483.0000	854.0000	282.0000	706.0000	673.0000	808.0000	57.0000	0.3259	0.2710	0.0848	0.0258	0.0247	0.0244	0.0209	0.0099	0.0082	0.0077	17	0	
14	57	0.25933289527893066	748	2.3153865337371826	57.0000	854.0000	411.0000	819.0000	85.0000	523.0000	748.0000	807.0000	522.0000	452.0000	0.2593	0.2423	0.1474	0.0748	0.0644	0.0299	0.0224	0.0222	0.0221	0.0170	6	1	
15	488	0.36189064383506775	748	2.2568016052246094	488.0000	808.0000	85.0000	523.0000	57.0000	120.0000	792.0000	819.0000	348.0000	944.0000	0.3619	0.1755	0.1251	0.1017	0.0336	0.0272	0.0232	0.0172	0.0160	0.0145	15	1	
16	819	0.8469542264938354	748	0.9322553873062134	819.0000	748.0000	329.0000	364.0000	57.0000	811.0000	59.0000	772.0000	792.0000	4.0000	0.8470	0.0245	0.0231	0.0200	0.0114	0.0101	0.0092	0.0047	0.0042	0.0034	1	1	
17	85	0.35570648312568665	748	2.2253522872924805	85.0000	57.0000	488.0000	8.0000	748.0000	364.0000	59.0000	819.0000	348.0000	523.0000	0.3557	0.2265	0.0819	0.0770	0.0525	0.0339	0.0304	0.0170	0.0157	0.0122	4	1	
18	700	0.39101818203926086	748	2.9045395851135254	700.0000	320.0000	522.0000	488.0000	100.0000	807.0000	528.0000	819.0000	452.0000	523.0000	0.3910	0.0660	0.0637	0.0557	0.0433	0.0325	0.0313	0.0246	0.0240	0.0230	104	1	
19	811	0.4529527425765991	748	2.4348535537719727	811.0000	285.0000	320.0000	854.0000	191.0000	807.0000	307.0000	57.0000	441.0000	44.0000	0.4530	0.0810	0.0544	0.0513	0.0500	0.0457	0.0416	0.0415	0.0222	0.0148	49	1	
20	854	0.5444620251655579	748	1.8449032306671143	854.0000	320.0000	191.0000	285.0000	319.0000	340.0000	811.0000	453.0000	924.0000	787.0000	0.5445	0.1750	0.1069	0.0196	0.0171	0.0145	0.0101	0.0072	0.0069	0.0064	182	1	
21	854	0.15356583893299103	748	4.063185214996338	854.0000	509.0000	811.0000	347.0000	279.0000	626.0000	320.0000	945.0000	307.0000	364.0000	0.1536	0.0944	0.0897	0.0500	0.0494	0.0426	0.0354	0.0314	0.0263	0.0211	272	1	
22	819	0.9356949329376221	748	0.454948365688324	819.0000	748.0000	811.0000	57.0000	329.0000	772.0000	364.0000	191.0000	478.0000	792.0000	0.9357	0.0164	0.0061	0.0058	0.0039	0.0032	0.0023	0.0022	0.0017	0.0017	1	1	
23	819	0.6570320725440979	748	2.203803300857544	819.0000	811.0000	945.0000	320.0000	232.0000	521.0000	626.0000	808.0000	100.0000	532.0000	0.6570	0.0273	0.0196	0.0167	0.0144	0.0143	0.0130	0.0119	0.0101	0.0097	57	1	
24	811	0.21662387251853943	748	4.0323357582092285	811.0000	706.0000	191.0000	544.0000	521.0000	44.0000	36.0000	674.0000	285.0000	893.0000	0.2166	0.0765	0.0644	0.0546	0.0356	0.0344	0.0316	0.0211	0.0207	0.0204	460	1	
25	320	0.4028348922729492	748	1.7091182470321655	320.0000	807.0000	819.0000	854.0000	57.0000	411.0000	85.0000	811.0000	191.0000	523.0000	0.4028	0.2419	0.1528	0.1144	0.0188	0.0123	0.0109	0.0055	0.0050	0.0045	24	1	
26	320	0.5719401836395264	748	1.4105947017669678	320.0000	807.0000	543.0000	217.0000	523.0000	85.0000	854.0000	819.0000	411.0000	452.0000	0.5719	0.2881	0.0251	0.0176	0.0139	0.0111	0.0100	0.0069	0.0039	0.0036	54	1	
27	854	0.35632240772247314	748	1.6124500036239624	854.0000	285.0000	191.0000	811.0000	57.0000	320.0000	304.0000	924.0000	307.0000	44.0000	0.3563	0.2944	0.2342	0.0428	0.0246	0.0095	0.0036	0.0031	0.0029	0.0027	38	1	
28	57	0.1604190319776535	748	3.7425568103790283	57.0000	523.0000	826.0000	524.0000	521.0000	528.0000	100.0000	844.0000	348.0000	217.0000	0.1604	0.1447	0.0664	0.0415	0.0388	0.0380	0.0352	0.0345	0.0345	0.0216	11	2	
29	153	0.18403257429599762	748	3.7994136810302734	153.0000	215.0000	348.0000	532.0000	826.0000	945.0000	528.0000	811.0000	329.0000	524.0000	0.1840	0.1558	0.0995	0.0319	0.0274	0.0221	0.0218	0.0214	0.0174	0.0171	66	2	
30	75	0.5719122886657715	748	2.636101722717285	75.0000	811.0000	364.0000	703.0000	532.0000	307.0000	329.0000	348.0000	57.0000	531.0000	0.5719	0.0865	0.0161	0.0142	0.0118	0.0110	0.0107	0.0099	0.0080	0.0079	19	2	
31	348	0.3755028247833252	748	2.9912590980529785	348.0000	364.0000	826.0000	453.0000	776.0000	532.0000	582.0000	59.0000	811.0000	215.0000	0.3755	0.1335	0.0694	0.0642	0.0392	0.0318	0.0235	0.0133	0.0106	0.0100	37	2	
32	348	0.2459174394607544	748	3.720047950744629	348.0000	524.0000	522.0000	110.0000	488.0000	443.0000	942.0000	100.0000	582.0000	453.0000	0.2459	0.1221	0.0512	0.0351	0.0319	0.0316	0.0216	0.0197	0.0189	0.0180	186	2	
33	780	0.36798709630966187	748	2.5936381816864014	780.0000	811.0000	521.0000	945.0000	307.0000	629.0000	893.0000	476.0000	904.0000	523.0000	0.3680	0.1630	0.0905	0.0536	0.0518	0.0482	0.0162	0.0155	0.0138	0.0121	222	2	
34	307	0.15427301824092865	748	4.220603942871094	307.0000	844.0000	584.0000	488.0000	945.0000	453.0000	884.0000	521.0000	888.0000	476.0000	0.1543	0.0725	0.0710	0.0563	0.0401	0.0343	0.0288	0.0238	0.0208	0.0179	382	2	
35	904	0.06262823194265366	748	4.763574600219727	904.0000	893.0000	945.0000	582.0000	780.0000	811.0000	509.0000	521.0000	629.0000	532.0000	0.0626	0.0552	0.0536	0.0500	0.0369	0.0348	0.0341	0.0320	0.0294	0.0284	729	2	
36	75	0.09280093014240265	748	4.623185634613037	75.0000	811.0000	819.0000	307.0000	626.0000	348.0000	215.0000	57.0000	130.0000	44.0000	0.0928	0.0838	0.0654	0.0570	0.0479	0.0354	0.0352	0.0225	0.0157	0.0145	13	2	
37	210	0.13830378651618958	748	3.9799070358276367	210.0000	419.0000	259.0000	423.0000	811.0000	47.0000	904.0000	629.0000	246.0000	762.0000	0.1383	0.1331	0.0645	0.0555	0.0518	0.0420	0.0287	0.0286	0.0230	0.0209	562	2	
38	521	0.21489939093589783	748	3.604100465774536	521.0000	776.0000	544.0000	893.0000	584.0000	217.0000	844.0000	528.0000	320.0000	476.0000	0.2149	0.1014	0.0858	0.0597	0.0544	0.0526	0.0476	0.0269	0.0226	0.0220	519	2	
39	532	0.317880779504776	748	2.9886410236358643	532.0000	528.0000	524.0000	744.0000	826.0000	0.0000	520.0000	771.0000	523.0000	58.0000	0.3179	0.1513	0.0747	0.0747	0.0569	0.0284	0.0223	0.0198	0.0173	0.0129	62	2	
40	100	0.24281001091003418	748	3.09553861618042	100.0000	524.0000	521.0000	884.0000	476.0000	361.0000	744.0000	543.0000	348.0000	808.0000	0.2428	0.1850	0.0942	0.0683	0.0450	0.0315	0.0310	0.0291	0.0194	0.0130	46	2	
41	746	0.1465889811515808	748	4.360121726989746	746.0000	524.0000	811.0000	44.0000	521.0000	307.0000	884.0000	320.0000	945.0000	348.0000	0.1466	0.0914	0.0572	0.0470	0.0457	0.0352	0.0321	0.0253	0.0216	0.0206	74	2	
42	748	0.39664366841316223	748	1.764363408088684	748.0000	57.0000	49.0000	191.0000	811.0000	247.0000	181.0000	854.0000	819.0000	626.0000	0.3966	0.3170	0.0785	0.0590	0.0473	0.0430	0.0090	0.0078	0.0043	0.0034	0	3	
43	819	0.2780429720878601	748	3.056671142578125	819.0000	100.0000	521.0000	523.0000	348.0000	808.0000	57.0000	452.0000	65.0000	320.0000	0.2780	0.0905	0.0805	0.0796	0.0472	0.0447	0.0349	0.0310	0.0279	0.0241	19	3	
44	819	0.30379247665405273	748	2.5711476802825928	819.0000	57.0000	811.0000	809.0000	748.0000	59.0000	130.0000	118.0000	65.0000	181.0000	0.3038	0.2083	0.1217	0.1105	0.0523	0.0273	0.0106	0.0095	0.0085	0.0063	4	3	
45	57	0.38487008213996887	748	2.4237313270568848	57.0000	348.0000	748.0000	85.0000	59.0000	49.0000	478.0000	452.0000	247.0000	65.0000	0.3849	0.1228	0.1067	0.0778	0.0680	0.0265	0.0216	0.0204	0.0192	0.0178	2	3	
46	326	0.3709133267402649	748	2.326854705810547	326.0000	452.0000	682.0000	425.0000	819.0000	522.0000	320.0000	807.0000	865.0000	744.0000	0.3709	0.2450	0.0722	0.0616	0.0412	0.0389	0.0238	0.0185	0.0104	0.0087	144	3	
47	543	0.29077693819999695	748	2.7788703441619873	543.0000	347.0000	811.0000	780.0000	71.0000	483.0000	65.0000	285.0000	171.0000	787.0000	0.2908	0.2181	0.1024	0.0676	0.0253	0.0242	0.0219	0.0199	0.0176	0.0157	145	3	
48	809	0.6710633635520935	748	1.5328245162963867	809.0000	854.0000	811.0000	191.0000	320.0000	181.0000	285.0000	807.0000	945.0000	730.0000	0.6711	0.1278	0.0283	0.0277	0.0213	0.0165	0.0161	0.0091	0.0082	0.0075	35	3	
49	582	0.15100902318954468	748	4.278359413146973	582.0000	552.0000	551.0000	945.0000	492.0000	364.0000	721.0000	169.0000	570.0000	282.0000	0.1510	0.0722	0.0704	0.0573	0.0302	0.0282	0.0281	0.0211	0.0210	0.0205	628	3	
50	819	0.2979186177253723	748	2.9378271102905273	819.0000	811.0000	57.0000	748.0000	809.0000	59.0000	181.0000	854.0000	247.0000	347.0000	0.2979	0.1645	0.1489	0.0621	0.0249	0.0197	0.0182	0.0152	0.0137	0.0125	3	3	
51	811	0.23403285443782806	748	3.6152079105377197	811.0000	797.0000	419.0000	551.0000	945.0000	626.0000	199.0000	350.0000	245.0000	210.0000	0.2340	0.1062	0.1049	0.0501	0.0369	0.0255	0.0243	0.0241	0.0210	0.0168	308	3	
52	844	0.2710892856121063	748	3.3683338165283203	844.0000	285.0000	811.0000	893.0000	320.0000	85.0000	521.0000	551.0000	217.0000	544.0000	0.2711	0.1142	0.0603	0.0553	0.0504	0.0408	0.0316	0.0288	0.0255	0.0251	824	3	
53	247	0.5982751250267029	748	2.0194528102874756	247.0000	854.0000	57.0000	181.0000	626.0000	811.0000	320.0000	819.0000	792.0000	520.0000	0.5983	0.0666	0.0482	0.0404	0.0342	0.0329	0.0216	0.0204	0.0146	0.0071	12	3	
54	320	0.29169365763664246	748	3.288926601409912	320.0000	819.0000	247.0000	543.0000	676.0000	521.0000	100.0000	57.0000	476.0000	807.0000	0.2917	0.0835	0.0755	0.0641	0.0475	0.0451	0.0262	0.0262	0.0210	0.0190	14	3	
55	746	0.497619092464447	748	2.3093936443328857	746.0000	854.0000	811.0000	57.0000	809.0000	181.0000	868.0000	285.0000	730.0000	347.0000	0.4976	0.1526	0.0354	0.0334	0.0200	0.0186	0.0181	0.0177	0.0172	0.0127	25	3	
56	748	0.5225232243537903	748	2.0542073249816895	748.0000	57.0000	247.0000	854.0000	85.0000	285.0000	811.0000	411.0000	807.0000	191.0000	0.5225	0.1254	0.0743	0.0706	0.0456	0.0189	0.0108	0.0107	0.0091	0.0079	0	4	
